Id;Question;Chart
25;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 9274.;'adult_decision_tree'
26;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 9274.;'adult_decision_tree'
27;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 9274.;'adult_decision_tree'
28;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 9274.;'adult_decision_tree'
29;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 9274.;'adult_decision_tree'
30;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 9274.;'adult_decision_tree'
31;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 9274.;'adult_decision_tree'
32;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 434.;'adult_decision_tree'
33;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 434.;'adult_decision_tree'
34;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 434.;'adult_decision_tree'
35;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 434.;'adult_decision_tree'
36;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 434.;'adult_decision_tree'
37;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 434.;'adult_decision_tree'
38;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 434.;'adult_decision_tree'
39;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 434.;'adult_decision_tree'
40;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as <=50K.;'adult_decision_tree'
41;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as <=50K.;'adult_decision_tree'
42;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as <=50K.;'adult_decision_tree'
43;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as <=50K.;'adult_decision_tree'
44;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as >50K.;'adult_decision_tree'
45;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as >50K.;'adult_decision_tree'
46;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as >50K.;'adult_decision_tree'
47;Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as >50K.;'adult_decision_tree'
48;We are able to identify the existence of overfitting for MLP models trained longer than 1498 episodes.;'adult_overfitting_mlp'
49;We are able to identify the existence of overfitting for MLP models trained longer than 717 episodes.;'adult_overfitting_mlp'
50;We are able to identify the existence of overfitting for MLP models trained longer than 566 episodes.;'adult_overfitting_mlp'
51;We are able to identify the existence of overfitting for MLP models trained longer than 657 episodes.;'adult_overfitting_mlp'
52;We are able to identify the existence of overfitting for MLP models trained longer than 936 episodes.;'adult_overfitting_mlp'
53;We are able to identify the existence of overfitting for gradient boosting models with more than 133 estimators.;'adult_overfitting_gb'
54;We are able to identify the existence of overfitting for gradient boosting models with more than 54 estimators.;'adult_overfitting_gb'
55;We are able to identify the existence of overfitting for gradient boosting models with more than 76 estimators.;'adult_overfitting_gb'
56;We are able to identify the existence of overfitting for gradient boosting models with more than 119 estimators.;'adult_overfitting_gb'
57;We are able to identify the existence of overfitting for gradient boosting models with more than 146 estimators.;'adult_overfitting_gb'
58;We are able to identify the existence of overfitting for random forest models with more than 102 estimators.;'adult_overfitting_rf'
59;We are able to identify the existence of overfitting for random forest models with more than 95 estimators.;'adult_overfitting_rf'
60;We are able to identify the existence of overfitting for random forest models with more than 122 estimators.;'adult_overfitting_rf'
61;We are able to identify the existence of overfitting for random forest models with more than 112 estimators.;'adult_overfitting_rf'
62;We are able to identify the existence of overfitting for random forest models with more than 91 estimators.;'adult_overfitting_rf'
63;We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.;'adult_overfitting_knn'
64;We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.;'adult_overfitting_knn'
65;We are able to identify the existence of overfitting for KNN models with less than 4 neighbors.;'adult_overfitting_knn'
66;We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.;'adult_overfitting_knn'
67;We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.;'adult_overfitting_knn'
68;We are able to identify the existence of overfitting for decision tree models with more than 2 nodes of depth.;'adult_overfitting_decision_tree'
69;We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.;'adult_overfitting_decision_tree'
70;We are able to identify the existence of overfitting for decision tree models with more than 4 nodes of depth.;'adult_overfitting_decision_tree'
71;We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.;'adult_overfitting_decision_tree'
72;We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.;'adult_overfitting_decision_tree'
73;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.;'adult_overfitting_rf'
74;The recall for the presented tree is higher than its accuracy.;'adult_decision_tree'
75;The precision for the presented tree is higher than its accuracy.;'adult_decision_tree'
76;The specificity for the presented tree is higher than its accuracy.;'adult_decision_tree'
77;The recall for the presented tree is lower than its accuracy.;'adult_decision_tree'
78;The precision for the presented tree is lower than its accuracy.;'adult_decision_tree'
79;The specificity for the presented tree is lower than its accuracy.;'adult_decision_tree'
80;The accuracy for the presented tree is higher than its recall.;'adult_decision_tree'
81;The precision for the presented tree is higher than its recall.;'adult_decision_tree'
82;The specificity for the presented tree is higher than its recall.;'adult_decision_tree'
83;The accuracy for the presented tree is lower than its recall.;'adult_decision_tree'
84;The precision for the presented tree is lower than its recall.;'adult_decision_tree'
85;The specificity for the presented tree is lower than its recall.;'adult_decision_tree'
86;The accuracy for the presented tree is higher than its precision.;'adult_decision_tree'
87;The recall for the presented tree is higher than its precision.;'adult_decision_tree'
88;The specificity for the presented tree is higher than its precision.;'adult_decision_tree'
89;The accuracy for the presented tree is lower than its precision.;'adult_decision_tree'
90;The recall for the presented tree is lower than its precision.;'adult_decision_tree'
91;The specificity for the presented tree is lower than its precision.;'adult_decision_tree'
92;The accuracy for the presented tree is higher than its specificity.;'adult_decision_tree'
93;The recall for the presented tree is higher than its specificity.;'adult_decision_tree'
94;The precision for the presented tree is higher than its specificity.;'adult_decision_tree'
95;The accuracy for the presented tree is lower than its specificity.;'adult_decision_tree'
96;The recall for the presented tree is lower than its specificity.;'adult_decision_tree'
97;The precision for the presented tree is lower than its specificity.;'adult_decision_tree'
98;The number of False Positives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
99;The number of True Negatives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
100;The number of False Negatives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
101;The number of False Positives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
102;The number of True Negatives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
103;The number of False Negatives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
104;The number of True Positives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
105;The number of True Negatives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
106;The number of False Negatives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
107;The number of True Positives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
108;The number of True Negatives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
109;The number of False Negatives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
110;The number of True Positives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
111;The number of False Positives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
112;The number of False Negatives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
113;The number of True Positives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
114;The number of False Positives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
115;The number of False Negatives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
116;The number of True Positives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
117;The number of False Positives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
118;The number of True Negatives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
119;The number of True Positives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
120;The number of False Positives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
121;The number of True Negatives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
122;The number of True Positives reported in the same tree is 12.;'adult_decision_tree'
123;The number of False Positives reported in the same tree is 35.;'adult_decision_tree'
124;The number of True Negatives reported in the same tree is 37.;'adult_decision_tree'
125;The number of False Negatives reported in the same tree is 15.;'adult_decision_tree'
126;The number of True Positives reported in the same tree is 17.;'adult_decision_tree'
127;The number of False Positives reported in the same tree is 50.;'adult_decision_tree'
128;The number of True Negatives reported in the same tree is 11.;'adult_decision_tree'
129;The number of False Negatives reported in the same tree is 41.;'adult_decision_tree'
130;The number of True Positives reported in the same tree is 25.;'adult_decision_tree'
131;The number of False Positives reported in the same tree is 18.;'adult_decision_tree'
132;The number of True Negatives reported in the same tree is 28.;'adult_decision_tree'
133;The number of False Negatives reported in the same tree is 33.;'adult_decision_tree'
134;The number of True Positives reported in the same tree is 34.;'adult_decision_tree'
135;The number of False Positives reported in the same tree is 45.;'adult_decision_tree'
136;The number of True Negatives reported in the same tree is 22.;'adult_decision_tree'
137;The number of False Negatives reported in the same tree is 30.;'adult_decision_tree'
138;The number of True Positives reported in the same tree is 23.;'adult_decision_tree'
139;The number of False Positives reported in the same tree is 21.;'adult_decision_tree'
140;The number of True Negatives reported in the same tree is 39.;'adult_decision_tree'
141;The number of False Negatives reported in the same tree is 40.;'adult_decision_tree'
142;The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.;'adult_overfitting_dt_acc_rec'
143;The decision tree is in overfitting for depths above 3.;'adult_overfitting_decision_tree'
144;The decision tree is in overfitting for depths above 4.;'adult_overfitting_decision_tree'
145;The decision tree is in overfitting for depths above 5.;'adult_overfitting_decision_tree'
146;The decision tree is in overfitting for depths above 6.;'adult_overfitting_decision_tree'
147;The decision tree is in overfitting for depths above 7.;'adult_overfitting_decision_tree'
148;The decision tree is in overfitting for depths above 8.;'adult_overfitting_decision_tree'
149;The decision tree is in overfitting for depths above 9.;'adult_overfitting_decision_tree'
150;The decision tree is in overfitting for depths above 10.;'adult_overfitting_decision_tree'
151;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 3.;'adult_overfitting_decision_tree'
152;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 4.;'adult_overfitting_decision_tree'
153;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 5.;'adult_overfitting_decision_tree'
154;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 6.;'adult_overfitting_decision_tree'
155;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 7.;'adult_overfitting_decision_tree'
156;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 8.;'adult_overfitting_decision_tree'
157;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 9.;'adult_overfitting_decision_tree'
158;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 10.;'adult_overfitting_decision_tree'
159;The accuracy for the presented tree is higher than 63%.;'adult_decision_tree'
160;The recall for the presented tree is higher than 90%.;'adult_decision_tree'
161;The precision for the presented tree is higher than 73%.;'adult_decision_tree'
162;The specificity for the presented tree is higher than 87%.;'adult_decision_tree'
163;The accuracy for the presented tree is lower than 64%.;'adult_decision_tree'
164;The recall for the presented tree is lower than 79%.;'adult_decision_tree'
165;The precision for the presented tree is lower than 70%.;'adult_decision_tree'
166;The specificity for the presented tree is lower than 62%.;'adult_decision_tree'
167;The accuracy for the presented tree is higher than 71%.;'adult_decision_tree'
168;The recall for the presented tree is higher than 85%.;'adult_decision_tree'
169;The precision for the presented tree is higher than 83%.;'adult_decision_tree'
170;The specificity for the presented tree is higher than 89%.;'adult_decision_tree'
171;The accuracy for the presented tree is lower than 84%.;'adult_decision_tree'
172;The recall for the presented tree is lower than 76%.;'adult_decision_tree'
173;The precision for the presented tree is lower than 61%.;'adult_decision_tree'
174;The specificity for the presented tree is lower than 75%.;'adult_decision_tree'
175;The accuracy for the presented tree is higher than 65%.;'adult_decision_tree'
176;The recall for the presented tree is higher than 80%.;'adult_decision_tree'
177;The precision for the presented tree is higher than 60%.;'adult_decision_tree'
178;The specificity for the presented tree is higher than 72%.;'adult_decision_tree'
179;The accuracy for the presented tree is lower than 67%.;'adult_decision_tree'
180;The recall for the presented tree is lower than 68%.;'adult_decision_tree'
181;The precision for the presented tree is lower than 69%.;'adult_decision_tree'
182;The specificity for the presented tree is lower than 78%.;'adult_decision_tree'
183;The accuracy for the presented tree is higher than 88%.;'adult_decision_tree'
184;The recall for the presented tree is higher than 66%.;'adult_decision_tree'
185;The precision for the presented tree is higher than 77%.;'adult_decision_tree'
186;The specificity for the presented tree is higher than 74%.;'adult_decision_tree'
187;The accuracy for the presented tree is lower than 81%.;'adult_decision_tree'
188;The recall for the presented tree is lower than 82%.;'adult_decision_tree'
189;The precision for the presented tree is lower than 86%.;'adult_decision_tree'
190;The specificity for the presented tree is lower than 61%.;'adult_decision_tree'
191;The accuracy for the presented tree is higher than 87%.;'adult_decision_tree'
192;The recall for the presented tree is higher than 62%.;'adult_decision_tree'
193;The precision for the presented tree is higher than 70%.;'adult_decision_tree'
194;The specificity for the presented tree is higher than 71%.;'adult_decision_tree'
195;The accuracy for the presented tree is lower than 66%.;'adult_decision_tree'
196;The recall for the presented tree is lower than 68%.;'adult_decision_tree'
197;The precision for the presented tree is lower than 73%.;'adult_decision_tree'
198;The specificity for the presented tree is lower than 84%.;'adult_decision_tree'
199;Results for Random Forests identified as 2, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
200;Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
201;Results for Random Forests identified as 10, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
202;Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
203;Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
204;Results for Random Forests identified as 10, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
205;KNN with more than 2 neighbours is in overfitting.;'adult_overfitting_knn'
206;KNN with less than 2 neighbours is in overfitting.;'adult_overfitting_knn'
207;KNN with more than 3 neighbours is in overfitting.;'adult_overfitting_knn'
208;KNN with less than 3 neighbours is in overfitting.;'adult_overfitting_knn'
209;KNN with more than 4 neighbours is in overfitting.;'adult_overfitting_knn'
210;KNN with less than 4 neighbours is in overfitting.;'adult_overfitting_knn'
211;KNN with more than 5 neighbours is in overfitting.;'adult_overfitting_knn'
212;KNN with less than 5 neighbours is in overfitting.;'adult_overfitting_knn'
213;KNN with more than 6 neighbours is in overfitting.;'adult_overfitting_knn'
214;KNN with less than 6 neighbours is in overfitting.;'adult_overfitting_knn'
215;KNN with more than 7 neighbours is in overfitting.;'adult_overfitting_knn'
216;KNN with less than 7 neighbours is in overfitting.;'adult_overfitting_knn'
217;KNN with more than 8 neighbours is in overfitting.;'adult_overfitting_knn'
218;KNN with less than 8 neighbours is in overfitting.;'adult_overfitting_knn'
219;KNN with 1 neighbour is in overfitting.;'adult_overfitting_knn'
220;KNN with 2 neighbour is in overfitting.;'adult_overfitting_knn'
221;KNN with 3 neighbour is in overfitting.;'adult_overfitting_knn'
222;KNN with 4 neighbour is in overfitting.;'adult_overfitting_knn'
223;KNN with 5 neighbour is in overfitting.;'adult_overfitting_knn'
224;KNN with 6 neighbour is in overfitting.;'adult_overfitting_knn'
225;KNN with 7 neighbour is in overfitting.;'adult_overfitting_knn'
226;KNN with 8 neighbour is in overfitting.;'adult_overfitting_knn'
227;KNN with 9 neighbour is in overfitting.;'adult_overfitting_knn'
228;KNN with 10 neighbour is in overfitting.;'adult_overfitting_knn'
229;KNN is in overfitting for k less than 2.;'adult_overfitting_knn'
230;KNN is in overfitting for k larger than 2.;'adult_overfitting_knn'
231;KNN is in overfitting for k less than 3.;'adult_overfitting_knn'
232;KNN is in overfitting for k larger than 3.;'adult_overfitting_knn'
233;KNN is in overfitting for k less than 4.;'adult_overfitting_knn'
234;KNN is in overfitting for k larger than 4.;'adult_overfitting_knn'
235;KNN is in overfitting for k less than 5.;'adult_overfitting_knn'
236;KNN is in overfitting for k larger than 5.;'adult_overfitting_knn'
237;KNN is in overfitting for k less than 6.;'adult_overfitting_knn'
238;KNN is in overfitting for k larger than 6.;'adult_overfitting_knn'
239;KNN is in overfitting for k less than 7.;'adult_overfitting_knn'
240;KNN is in overfitting for k larger than 7.;'adult_overfitting_knn'
241;KNN is in overfitting for k less than 8.;'adult_overfitting_knn'
242;KNN is in overfitting for k larger than 8.;'adult_overfitting_knn'
243;As reported in the tree, the number of False Positive is smaller than the number of False Negatives.;'adult_decision_tree'
244;As reported in the tree, the number of False Positive is bigger than the number of False Negatives.;'adult_decision_tree'
245;According to the decision tree overfitting chart, the tree with 3 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
246;According to the decision tree overfitting chart, the tree with 4 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
247;According to the decision tree overfitting chart, the tree with 5 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
248;According to the decision tree overfitting chart, the tree with 6 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
249;According to the decision tree overfitting chart, the tree with 7 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
250;According to the decision tree overfitting chart, the tree with 8 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
251;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.;'adult_decision_tree'
252;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.;'adult_decision_tree'
253;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 7%.;'adult_decision_tree'
254;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.;'adult_decision_tree'
255;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 9%.;'adult_decision_tree'
256;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 10%.;'adult_decision_tree'
257;Using the first 2 principal components would imply an error between 5 and 20%.;'adult_pca'
258;Using the first 3 principal components would imply an error between 5 and 20%.;'adult_pca'
259;Using the first 4 principal components would imply an error between 5 and 20%.;'adult_pca'
260;Using the first 2 principal components would imply an error between 10 and 20%.;'adult_pca'
261;Using the first 3 principal components would imply an error between 10 and 20%.;'adult_pca'
262;Using the first 4 principal components would imply an error between 10 and 20%.;'adult_pca'
263;Using the first 2 principal components would imply an error between 15 and 20%.;'adult_pca'
264;Using the first 3 principal components would imply an error between 15 and 20%.;'adult_pca'
265;Using the first 4 principal components would imply an error between 15 and 20%.;'adult_pca'
266;Using the first 2 principal components would imply an error between 5 and 25%.;'adult_pca'
267;Using the first 3 principal components would imply an error between 5 and 25%.;'adult_pca'
268;Using the first 4 principal components would imply an error between 5 and 25%.;'adult_pca'
269;Using the first 2 principal components would imply an error between 10 and 25%.;'adult_pca'
270;Using the first 3 principal components would imply an error between 10 and 25%.;'adult_pca'
271;Using the first 4 principal components would imply an error between 10 and 25%.;'adult_pca'
272;Using the first 2 principal components would imply an error between 15 and 25%.;'adult_pca'
273;Using the first 3 principal components would imply an error between 15 and 25%.;'adult_pca'
274;Using the first 4 principal components would imply an error between 15 and 25%.;'adult_pca'
275;Using the first 2 principal components would imply an error between 5 and 30%.;'adult_pca'
276;Using the first 3 principal components would imply an error between 5 and 30%.;'adult_pca'
277;Using the first 4 principal components would imply an error between 5 and 30%.;'adult_pca'
278;Using the first 2 principal components would imply an error between 10 and 30%.;'adult_pca'
279;Using the first 3 principal components would imply an error between 10 and 30%.;'adult_pca'
280;Using the first 4 principal components would imply an error between 10 and 30%.;'adult_pca'
281;Using the first 2 principal components would imply an error between 15 and 30%.;'adult_pca'
282;Using the first 3 principal components would imply an error between 15 and 30%.;'adult_pca'
283;Using the first 4 principal components would imply an error between 15 and 30%.;'adult_pca'
284;There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable age.;'adult_correlation_heatmap'
285;There is evidence in favour for sequential backward selection to select variable educational-num previously than variable age.;'adult_correlation_heatmap'
286;There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable age.;'adult_correlation_heatmap'
287;There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable age.;'adult_correlation_heatmap'
288;There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable age.;'adult_correlation_heatmap'
289;There is evidence in favour for sequential backward selection to select variable age previously than variable fnlwgt.;'adult_correlation_heatmap'
290;There is evidence in favour for sequential backward selection to select variable educational-num previously than variable fnlwgt.;'adult_correlation_heatmap'
291;There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable fnlwgt.;'adult_correlation_heatmap'
292;There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable fnlwgt.;'adult_correlation_heatmap'
293;There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable fnlwgt.;'adult_correlation_heatmap'
294;There is evidence in favour for sequential backward selection to select variable age previously than variable educational-num.;'adult_correlation_heatmap'
295;There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable educational-num.;'adult_correlation_heatmap'
296;There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable educational-num.;'adult_correlation_heatmap'
297;There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable educational-num.;'adult_correlation_heatmap'
