Question;Chart
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 9274.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 434.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as <=50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as <=50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as <=50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as <=50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as >50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as >50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as >50K.;'adult_decision_tree'
Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as >50K.;'adult_decision_tree'
We are able to identify the existence of overfitting for MLP models trained longer than 1498 episodes.;'adult_overfitting_mlp'
We are able to identify the existence of overfitting for MLP models trained longer than 717 episodes.;'adult_overfitting_mlp'
We are able to identify the existence of overfitting for MLP models trained longer than 566 episodes.;'adult_overfitting_mlp'
We are able to identify the existence of overfitting for MLP models trained longer than 657 episodes.;'adult_overfitting_mlp'
We are able to identify the existence of overfitting for MLP models trained longer than 936 episodes.;'adult_overfitting_mlp'
We are able to identify the existence of overfitting for gradient boosting models with more than 133 estimators.;'adult_overfitting_gb'
We are able to identify the existence of overfitting for gradient boosting models with more than 54 estimators.;'adult_overfitting_gb'
We are able to identify the existence of overfitting for gradient boosting models with more than 76 estimators.;'adult_overfitting_gb'
We are able to identify the existence of overfitting for gradient boosting models with more than 119 estimators.;'adult_overfitting_gb'
We are able to identify the existence of overfitting for gradient boosting models with more than 146 estimators.;'adult_overfitting_gb'
We are able to identify the existence of overfitting for random forest models with more than 102 estimators.;'adult_overfitting_rf'
We are able to identify the existence of overfitting for random forest models with more than 95 estimators.;'adult_overfitting_rf'
We are able to identify the existence of overfitting for random forest models with more than 122 estimators.;'adult_overfitting_rf'
We are able to identify the existence of overfitting for random forest models with more than 112 estimators.;'adult_overfitting_rf'
We are able to identify the existence of overfitting for random forest models with more than 91 estimators.;'adult_overfitting_rf'
We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.;'adult_overfitting_knn'
We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.;'adult_overfitting_knn'
We are able to identify the existence of overfitting for KNN models with less than 4 neighbors.;'adult_overfitting_knn'
We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.;'adult_overfitting_knn'
We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.;'adult_overfitting_knn'
We are able to identify the existence of overfitting for decision tree models with more than 2 nodes of depth.;'adult_overfitting_decision_tree'
We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.;'adult_overfitting_decision_tree'
We are able to identify the existence of overfitting for decision tree models with more than 4 nodes of depth.;'adult_overfitting_decision_tree'
We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.;'adult_overfitting_decision_tree'
We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.;'adult_overfitting_decision_tree'
The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.;'adult_overfitting_rf'
The recall for the presented tree is higher than its accuracy.;'adult_decision_tree'
The precision for the presented tree is higher than its accuracy.;'adult_decision_tree'
The specificity for the presented tree is higher than its accuracy.;'adult_decision_tree'
The recall for the presented tree is lower than its accuracy.;'adult_decision_tree'
The precision for the presented tree is lower than its accuracy.;'adult_decision_tree'
The specificity for the presented tree is lower than its accuracy.;'adult_decision_tree'
The accuracy for the presented tree is higher than its recall.;'adult_decision_tree'
The precision for the presented tree is higher than its recall.;'adult_decision_tree'
The specificity for the presented tree is higher than its recall.;'adult_decision_tree'
The accuracy for the presented tree is lower than its recall.;'adult_decision_tree'
The precision for the presented tree is lower than its recall.;'adult_decision_tree'
The specificity for the presented tree is lower than its recall.;'adult_decision_tree'
The accuracy for the presented tree is higher than its precision.;'adult_decision_tree'
The recall for the presented tree is higher than its precision.;'adult_decision_tree'
The specificity for the presented tree is higher than its precision.;'adult_decision_tree'
The accuracy for the presented tree is lower than its precision.;'adult_decision_tree'
The recall for the presented tree is lower than its precision.;'adult_decision_tree'
The specificity for the presented tree is lower than its precision.;'adult_decision_tree'
The accuracy for the presented tree is higher than its specificity.;'adult_decision_tree'
The recall for the presented tree is higher than its specificity.;'adult_decision_tree'
The precision for the presented tree is higher than its specificity.;'adult_decision_tree'
The accuracy for the presented tree is lower than its specificity.;'adult_decision_tree'
The recall for the presented tree is lower than its specificity.;'adult_decision_tree'
The precision for the presented tree is lower than its specificity.;'adult_decision_tree'
The number of False Positives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of True Negatives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of False Negatives is higher than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of False Positives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of True Negatives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of False Negatives is lower than the number of True Positives for the presented tree.;'adult_decision_tree'
The number of True Positives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of True Negatives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of False Negatives is higher than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of True Positives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of True Negatives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of False Negatives is lower than the number of False Positives for the presented tree.;'adult_decision_tree'
The number of True Positives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of False Positives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of False Negatives is higher than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of True Positives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of False Positives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of False Negatives is lower than the number of True Negatives for the presented tree.;'adult_decision_tree'
The number of True Positives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of False Positives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of True Negatives is higher than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of True Positives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of False Positives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of True Negatives is lower than the number of False Negatives for the presented tree.;'adult_decision_tree'
The number of True Positives reported in the same tree is 12.;'adult_decision_tree'
The number of False Positives reported in the same tree is 35.;'adult_decision_tree'
The number of True Negatives reported in the same tree is 37.;'adult_decision_tree'
The number of False Negatives reported in the same tree is 15.;'adult_decision_tree'
The number of True Positives reported in the same tree is 17.;'adult_decision_tree'
The number of False Positives reported in the same tree is 50.;'adult_decision_tree'
The number of True Negatives reported in the same tree is 11.;'adult_decision_tree'
The number of False Negatives reported in the same tree is 41.;'adult_decision_tree'
The number of True Positives reported in the same tree is 25.;'adult_decision_tree'
The number of False Positives reported in the same tree is 18.;'adult_decision_tree'
The number of True Negatives reported in the same tree is 28.;'adult_decision_tree'
The number of False Negatives reported in the same tree is 33.;'adult_decision_tree'
The number of True Positives reported in the same tree is 34.;'adult_decision_tree'
The number of False Positives reported in the same tree is 45.;'adult_decision_tree'
The number of True Negatives reported in the same tree is 22.;'adult_decision_tree'
The number of False Negatives reported in the same tree is 30.;'adult_decision_tree'
The number of True Positives reported in the same tree is 23.;'adult_decision_tree'
The number of False Positives reported in the same tree is 21.;'adult_decision_tree'
The number of True Negatives reported in the same tree is 39.;'adult_decision_tree'
The number of False Negatives reported in the same tree is 40.;'adult_decision_tree'
The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.;'adult_overfitting_dt_acc_rec'
The decision tree is in overfitting for depths above 3.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 4.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 5.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 6.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 7.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 8.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 9.;'adult_overfitting_decision_tree'
The decision tree is in overfitting for depths above 10.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 3.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 4.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 5.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 6.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 7.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 8.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 9.;'adult_overfitting_decision_tree'
The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 10.;'adult_overfitting_decision_tree'
The accuracy for the presented tree is higher than 63%.;'adult_decision_tree'
The recall for the presented tree is higher than 90%.;'adult_decision_tree'
The precision for the presented tree is higher than 73%.;'adult_decision_tree'
The specificity for the presented tree is higher than 87%.;'adult_decision_tree'
The accuracy for the presented tree is lower than 64%.;'adult_decision_tree'
The recall for the presented tree is lower than 79%.;'adult_decision_tree'
The precision for the presented tree is lower than 70%.;'adult_decision_tree'
The specificity for the presented tree is lower than 62%.;'adult_decision_tree'
The accuracy for the presented tree is higher than 71%.;'adult_decision_tree'
The recall for the presented tree is higher than 85%.;'adult_decision_tree'
The precision for the presented tree is higher than 83%.;'adult_decision_tree'
The specificity for the presented tree is higher than 89%.;'adult_decision_tree'
The accuracy for the presented tree is lower than 84%.;'adult_decision_tree'
The recall for the presented tree is lower than 76%.;'adult_decision_tree'
The precision for the presented tree is lower than 61%.;'adult_decision_tree'
The specificity for the presented tree is lower than 75%.;'adult_decision_tree'
The accuracy for the presented tree is higher than 65%.;'adult_decision_tree'
The recall for the presented tree is higher than 80%.;'adult_decision_tree'
The precision for the presented tree is higher than 60%.;'adult_decision_tree'
The specificity for the presented tree is higher than 72%.;'adult_decision_tree'
The accuracy for the presented tree is lower than 67%.;'adult_decision_tree'
The recall for the presented tree is lower than 68%.;'adult_decision_tree'
The precision for the presented tree is lower than 69%.;'adult_decision_tree'
The specificity for the presented tree is lower than 78%.;'adult_decision_tree'
The accuracy for the presented tree is higher than 88%.;'adult_decision_tree'
The recall for the presented tree is higher than 66%.;'adult_decision_tree'
The precision for the presented tree is higher than 77%.;'adult_decision_tree'
The specificity for the presented tree is higher than 74%.;'adult_decision_tree'
The accuracy for the presented tree is lower than 81%.;'adult_decision_tree'
The recall for the presented tree is lower than 82%.;'adult_decision_tree'
The precision for the presented tree is lower than 86%.;'adult_decision_tree'
The specificity for the presented tree is lower than 61%.;'adult_decision_tree'
The accuracy for the presented tree is higher than 87%.;'adult_decision_tree'
The recall for the presented tree is higher than 62%.;'adult_decision_tree'
The precision for the presented tree is higher than 70%.;'adult_decision_tree'
The specificity for the presented tree is higher than 71%.;'adult_decision_tree'
The accuracy for the presented tree is lower than 66%.;'adult_decision_tree'
The recall for the presented tree is lower than 68%.;'adult_decision_tree'
The precision for the presented tree is lower than 73%.;'adult_decision_tree'
The specificity for the presented tree is lower than 84%.;'adult_decision_tree'
Results for Random Forests identified as 2, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
Results for Random Forests identified as 10, may be explained by its estimators being in underfitting.;'adult_overfitting_rf'
Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
Results for Random Forests identified as 10, may be explained by its estimators being in overfitting.;'adult_overfitting_rf'
KNN with more than 2 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 2 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 3 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 3 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 4 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 4 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 5 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 5 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 6 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 6 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 7 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 7 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with more than 8 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with less than 8 neighbours is in overfitting.;'adult_overfitting_knn'
KNN with 1 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 2 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 3 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 4 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 5 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 6 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 7 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 8 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 9 neighbour is in overfitting.;'adult_overfitting_knn'
KNN with 10 neighbour is in overfitting.;'adult_overfitting_knn'
KNN is in overfitting for k less than 2.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 2.;'adult_overfitting_knn'
KNN is in overfitting for k less than 3.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 3.;'adult_overfitting_knn'
KNN is in overfitting for k less than 4.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 4.;'adult_overfitting_knn'
KNN is in overfitting for k less than 5.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 5.;'adult_overfitting_knn'
KNN is in overfitting for k less than 6.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 6.;'adult_overfitting_knn'
KNN is in overfitting for k less than 7.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 7.;'adult_overfitting_knn'
KNN is in overfitting for k less than 8.;'adult_overfitting_knn'
KNN is in overfitting for k larger than 8.;'adult_overfitting_knn'
As reported in the tree, the number of False Positive is smaller than the number of False Negatives.;'adult_decision_tree'
As reported in the tree, the number of False Positive is bigger than the number of False Negatives.;'adult_decision_tree'
According to the decision tree overfitting chart, the tree with 3 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
According to the decision tree overfitting chart, the tree with 4 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
According to the decision tree overfitting chart, the tree with 5 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
According to the decision tree overfitting chart, the tree with 6 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
According to the decision tree overfitting chart, the tree with 7 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
According to the decision tree overfitting chart, the tree with 8 nodes of depth is in overfitting.;'adult_overfitting_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.;'adult_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.;'adult_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 7%.;'adult_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.;'adult_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 9%.;'adult_decision_tree'
A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 10%.;'adult_decision_tree'
Using the first 2 principal components would imply an error between 5 and 20%.;'adult_pca'
Using the first 3 principal components would imply an error between 5 and 20%.;'adult_pca'
Using the first 4 principal components would imply an error between 5 and 20%.;'adult_pca'
Using the first 2 principal components would imply an error between 10 and 20%.;'adult_pca'
Using the first 3 principal components would imply an error between 10 and 20%.;'adult_pca'
Using the first 4 principal components would imply an error between 10 and 20%.;'adult_pca'
Using the first 2 principal components would imply an error between 15 and 20%.;'adult_pca'
Using the first 3 principal components would imply an error between 15 and 20%.;'adult_pca'
Using the first 4 principal components would imply an error between 15 and 20%.;'adult_pca'
Using the first 2 principal components would imply an error between 5 and 25%.;'adult_pca'
Using the first 3 principal components would imply an error between 5 and 25%.;'adult_pca'
Using the first 4 principal components would imply an error between 5 and 25%.;'adult_pca'
Using the first 2 principal components would imply an error between 10 and 25%.;'adult_pca'
Using the first 3 principal components would imply an error between 10 and 25%.;'adult_pca'
Using the first 4 principal components would imply an error between 10 and 25%.;'adult_pca'
Using the first 2 principal components would imply an error between 15 and 25%.;'adult_pca'
Using the first 3 principal components would imply an error between 15 and 25%.;'adult_pca'
Using the first 4 principal components would imply an error between 15 and 25%.;'adult_pca'
Using the first 2 principal components would imply an error between 5 and 30%.;'adult_pca'
Using the first 3 principal components would imply an error between 5 and 30%.;'adult_pca'
Using the first 4 principal components would imply an error between 5 and 30%.;'adult_pca'
Using the first 2 principal components would imply an error between 10 and 30%.;'adult_pca'
Using the first 3 principal components would imply an error between 10 and 30%.;'adult_pca'
Using the first 4 principal components would imply an error between 10 and 30%.;'adult_pca'
Using the first 2 principal components would imply an error between 15 and 30%.;'adult_pca'
Using the first 3 principal components would imply an error between 15 and 30%.;'adult_pca'
Using the first 4 principal components would imply an error between 15 and 30%.;'adult_pca'
There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable age.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable educational-num previously than variable age.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable age.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable age.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable age.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable age previously than variable fnlwgt.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable educational-num previously than variable fnlwgt.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable fnlwgt.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable fnlwgt.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable fnlwgt.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable age previously than variable educational-num.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable educational-num.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable educational-num.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable educational-num.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable educational-num.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable age previously than variable capital-gain.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable capital-gain.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable educational-num previously than variable capital-gain.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable capital-gain.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable capital-gain.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable age previously than variable capital-loss.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable capital-loss.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable educational-num previously than variable capital-loss.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable capital-loss.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable capital-loss.;'adult_correlation_heatmap'
There is evidence in favour for sequential backward selection to select variable age previously than variable hours-per-week.;'adult_correlation_heatmap'
