Chart,Question,Id
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 541.",17
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 541.",18
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 541.",19
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 541.",20
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 541.",21
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 541.",22
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 541.",23
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 9274.",24
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 9274.",25
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 9274.",26
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 9274.",27
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 9274.",28
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 9274.",29
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 9274.",30
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 9274.",31
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as <=50K for any k ≤ 434.",32
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as <=50K for any k ≤ 434.",33
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as <=50K for any k ≤ 434.",34
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as <=50K for any k ≤ 434.",35
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A,B) as >50K for any k ≤ 434.",36
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, B) as >50K for any k ≤ 434.",37
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (A, not B) as >50K for any k ≤ 434.",38
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, it is possible to state that KNN algorithm classifies (not A, not B) as >50K for any k ≤ 434.",39
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as <=50K.",40
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as <=50K.",41
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as <=50K.",42
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as <=50K.",43
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A,B) as >50K.",44
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, B) as >50K.",45
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (A, not B) as >50K.",46
adult_decision_tree.png,"Considering that A=True<=>hours-per-week<=41.5 and B=True<=>capital-loss<=1820.5, the Decision Tree presented classifies (not A, not B) as >50K.",47
adult_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 1498 episodes.,48
adult_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 717 episodes.,49
adult_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 566 episodes.,50
adult_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 657 episodes.,51
adult_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 936 episodes.,52
adult_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 133 estimators.,53
adult_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 54 estimators.,54
adult_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 76 estimators.,55
adult_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 119 estimators.,56
adult_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 146 estimators.,57
adult_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 102 estimators.,58
adult_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 95 estimators.,59
adult_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 122 estimators.,60
adult_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 112 estimators.,61
adult_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 91 estimators.,62
adult_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.,63
adult_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.,64
adult_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 4 neighbors.,65
adult_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.,66
adult_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.,67
adult_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 2 nodes of depth.,68
adult_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.,69
adult_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 4 nodes of depth.,70
adult_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.,71
adult_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.,72
adult_overfitting_rf.png,The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.,73
adult_decision_tree.png,The recall for the presented tree is higher than its accuracy.,74
adult_decision_tree.png,The precision for the presented tree is higher than its accuracy.,75
adult_decision_tree.png,The specificity for the presented tree is higher than its accuracy.,76
adult_decision_tree.png,The recall for the presented tree is lower than its accuracy.,77
adult_decision_tree.png,The precision for the presented tree is lower than its accuracy.,78
adult_decision_tree.png,The specificity for the presented tree is lower than its accuracy.,79
adult_decision_tree.png,The accuracy for the presented tree is higher than its recall.,80
adult_decision_tree.png,The precision for the presented tree is higher than its recall.,81
adult_decision_tree.png,The specificity for the presented tree is higher than its recall.,82
adult_decision_tree.png,The accuracy for the presented tree is lower than its recall.,83
adult_decision_tree.png,The precision for the presented tree is lower than its recall.,84
adult_decision_tree.png,The specificity for the presented tree is lower than its recall.,85
adult_decision_tree.png,The accuracy for the presented tree is higher than its precision.,86
adult_decision_tree.png,The recall for the presented tree is higher than its precision.,87
adult_decision_tree.png,The specificity for the presented tree is higher than its precision.,88
adult_decision_tree.png,The accuracy for the presented tree is lower than its precision.,89
adult_decision_tree.png,The recall for the presented tree is lower than its precision.,90
adult_decision_tree.png,The specificity for the presented tree is lower than its precision.,91
adult_decision_tree.png,The accuracy for the presented tree is higher than its specificity.,92
adult_decision_tree.png,The recall for the presented tree is higher than its specificity.,93
adult_decision_tree.png,The precision for the presented tree is higher than its specificity.,94
adult_decision_tree.png,The accuracy for the presented tree is lower than its specificity.,95
adult_decision_tree.png,The recall for the presented tree is lower than its specificity.,96
adult_decision_tree.png,The precision for the presented tree is lower than its specificity.,97
adult_decision_tree.png,The number of False Positives is higher than the number of True Positives for the presented tree.,98
adult_decision_tree.png,The number of True Negatives is higher than the number of True Positives for the presented tree.,99
adult_decision_tree.png,The number of False Negatives is higher than the number of True Positives for the presented tree.,100
adult_decision_tree.png,The number of False Positives is lower than the number of True Positives for the presented tree.,101
adult_decision_tree.png,The number of True Negatives is lower than the number of True Positives for the presented tree.,102
adult_decision_tree.png,The number of False Negatives is lower than the number of True Positives for the presented tree.,103
adult_decision_tree.png,The number of True Positives is higher than the number of False Positives for the presented tree.,104
adult_decision_tree.png,The number of True Negatives is higher than the number of False Positives for the presented tree.,105
adult_decision_tree.png,The number of False Negatives is higher than the number of False Positives for the presented tree.,106
adult_decision_tree.png,The number of True Positives is lower than the number of False Positives for the presented tree.,107
adult_decision_tree.png,The number of True Negatives is lower than the number of False Positives for the presented tree.,108
adult_decision_tree.png,The number of False Negatives is lower than the number of False Positives for the presented tree.,109
adult_decision_tree.png,The number of True Positives is higher than the number of True Negatives for the presented tree.,110
adult_decision_tree.png,The number of False Positives is higher than the number of True Negatives for the presented tree.,111
adult_decision_tree.png,The number of False Negatives is higher than the number of True Negatives for the presented tree.,112
adult_decision_tree.png,The number of True Positives is lower than the number of True Negatives for the presented tree.,113
adult_decision_tree.png,The number of False Positives is lower than the number of True Negatives for the presented tree.,114
adult_decision_tree.png,The number of False Negatives is lower than the number of True Negatives for the presented tree.,115
adult_decision_tree.png,The number of True Positives is higher than the number of False Negatives for the presented tree.,116
adult_decision_tree.png,The number of False Positives is higher than the number of False Negatives for the presented tree.,117
adult_decision_tree.png,The number of True Negatives is higher than the number of False Negatives for the presented tree.,118
adult_decision_tree.png,The number of True Positives is lower than the number of False Negatives for the presented tree.,119
adult_decision_tree.png,The number of False Positives is lower than the number of False Negatives for the presented tree.,120
adult_decision_tree.png,The number of True Negatives is lower than the number of False Negatives for the presented tree.,121
adult_decision_tree.png,The number of True Positives reported in the same tree is 12.,122
adult_decision_tree.png,The number of False Positives reported in the same tree is 35.,123
adult_decision_tree.png,The number of True Negatives reported in the same tree is 37.,124
adult_decision_tree.png,The number of False Negatives reported in the same tree is 15.,125
adult_decision_tree.png,The number of True Positives reported in the same tree is 17.,126
adult_decision_tree.png,The number of False Positives reported in the same tree is 50.,127
adult_decision_tree.png,The number of True Negatives reported in the same tree is 11.,128
adult_decision_tree.png,The number of False Negatives reported in the same tree is 41.,129
adult_decision_tree.png,The number of True Positives reported in the same tree is 25.,130
adult_decision_tree.png,The number of False Positives reported in the same tree is 18.,131
adult_decision_tree.png,The number of True Negatives reported in the same tree is 28.,132
adult_decision_tree.png,The number of False Negatives reported in the same tree is 33.,133
adult_decision_tree.png,The number of True Positives reported in the same tree is 34.,134
adult_decision_tree.png,The number of False Positives reported in the same tree is 45.,135
adult_decision_tree.png,The number of True Negatives reported in the same tree is 22.,136
adult_decision_tree.png,The number of False Negatives reported in the same tree is 30.,137
adult_decision_tree.png,The number of True Positives reported in the same tree is 23.,138
adult_decision_tree.png,The number of False Positives reported in the same tree is 21.,139
adult_decision_tree.png,The number of True Negatives reported in the same tree is 39.,140
adult_decision_tree.png,The number of False Negatives reported in the same tree is 40.,141
adult_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.,142
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 3.,143
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 4.,144
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 5.,145
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 6.,146
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 7.,147
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 8.,148
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 9.,149
adult_overfitting_decision_tree.png,The decision tree is in overfitting for depths above 10.,150
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 3.,151
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 4.,152
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 5.,153
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 6.,154
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 7.,155
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 8.,156
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 9.,157
adult_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 10.,158
adult_decision_tree.png,The accuracy for the presented tree is higher than 63%.,159
adult_decision_tree.png,The recall for the presented tree is higher than 90%.,160
adult_decision_tree.png,The precision for the presented tree is higher than 73%.,161
adult_decision_tree.png,The specificity for the presented tree is higher than 87%.,162
adult_decision_tree.png,The accuracy for the presented tree is lower than 64%.,163
adult_decision_tree.png,The recall for the presented tree is lower than 79%.,164
adult_decision_tree.png,The precision for the presented tree is lower than 70%.,165
adult_decision_tree.png,The specificity for the presented tree is lower than 62%.,166
adult_decision_tree.png,The accuracy for the presented tree is higher than 71%.,167
adult_decision_tree.png,The recall for the presented tree is higher than 85%.,168
adult_decision_tree.png,The precision for the presented tree is higher than 83%.,169
adult_decision_tree.png,The specificity for the presented tree is higher than 89%.,170
adult_decision_tree.png,The accuracy for the presented tree is lower than 84%.,171
adult_decision_tree.png,The recall for the presented tree is lower than 76%.,172
adult_decision_tree.png,The precision for the presented tree is lower than 61%.,173
adult_decision_tree.png,The specificity for the presented tree is lower than 75%.,174
adult_decision_tree.png,The accuracy for the presented tree is higher than 65%.,175
adult_decision_tree.png,The recall for the presented tree is higher than 80%.,176
adult_decision_tree.png,The precision for the presented tree is higher than 60%.,177
adult_decision_tree.png,The specificity for the presented tree is higher than 72%.,178
adult_decision_tree.png,The accuracy for the presented tree is lower than 67%.,179
adult_decision_tree.png,The recall for the presented tree is lower than 68%.,180
adult_decision_tree.png,The precision for the presented tree is lower than 69%.,181
adult_decision_tree.png,The specificity for the presented tree is lower than 78%.,182
adult_decision_tree.png,The accuracy for the presented tree is higher than 88%.,183
adult_decision_tree.png,The recall for the presented tree is higher than 66%.,184
adult_decision_tree.png,The precision for the presented tree is higher than 77%.,185
adult_decision_tree.png,The specificity for the presented tree is higher than 74%.,186
adult_decision_tree.png,The accuracy for the presented tree is lower than 81%.,187
adult_decision_tree.png,The recall for the presented tree is lower than 82%.,188
adult_decision_tree.png,The precision for the presented tree is lower than 86%.,189
adult_decision_tree.png,The specificity for the presented tree is lower than 61%.,190
adult_decision_tree.png,The accuracy for the presented tree is higher than 87%.,191
adult_decision_tree.png,The recall for the presented tree is higher than 62%.,192
adult_decision_tree.png,The precision for the presented tree is higher than 70%.,193
adult_decision_tree.png,The specificity for the presented tree is higher than 71%.,194
adult_decision_tree.png,The accuracy for the presented tree is lower than 66%.,195
adult_decision_tree.png,The recall for the presented tree is lower than 68%.,196
adult_decision_tree.png,The precision for the presented tree is lower than 73%.,197
adult_decision_tree.png,The specificity for the presented tree is lower than 84%.,198
adult_overfitting_rf.png,"Results for Random Forests identified as 2, may be explained by its estimators being in underfitting.",199
adult_overfitting_rf.png,"Results for Random Forests identified as 3, may be explained by its estimators being in underfitting.",200
adult_overfitting_rf.png,"Results for Random Forests identified as 10, may be explained by its estimators being in underfitting.",201
adult_overfitting_rf.png,"Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.",202
adult_overfitting_rf.png,"Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.",203
adult_overfitting_rf.png,"Results for Random Forests identified as 10, may be explained by its estimators being in overfitting.",204
adult_overfitting_knn.png,KNN with more than 2 neighbours is in overfitting.,205
adult_overfitting_knn.png,KNN with less than 2 neighbours is in overfitting.,206
adult_overfitting_knn.png,KNN with more than 3 neighbours is in overfitting.,207
adult_overfitting_knn.png,KNN with less than 3 neighbours is in overfitting.,208
adult_overfitting_knn.png,KNN with more than 4 neighbours is in overfitting.,209
adult_overfitting_knn.png,KNN with less than 4 neighbours is in overfitting.,210
adult_overfitting_knn.png,KNN with more than 5 neighbours is in overfitting.,211
adult_overfitting_knn.png,KNN with less than 5 neighbours is in overfitting.,212
adult_overfitting_knn.png,KNN with more than 6 neighbours is in overfitting.,213
adult_overfitting_knn.png,KNN with less than 6 neighbours is in overfitting.,214
adult_overfitting_knn.png,KNN with more than 7 neighbours is in overfitting.,215
adult_overfitting_knn.png,KNN with less than 7 neighbours is in overfitting.,216
adult_overfitting_knn.png,KNN with more than 8 neighbours is in overfitting.,217
adult_overfitting_knn.png,KNN with less than 8 neighbours is in overfitting.,218
adult_overfitting_knn.png,KNN with 1 neighbour is in overfitting.,219
adult_overfitting_knn.png,KNN with 2 neighbour is in overfitting.,220
adult_overfitting_knn.png,KNN with 3 neighbour is in overfitting.,221
adult_overfitting_knn.png,KNN with 4 neighbour is in overfitting.,222
adult_overfitting_knn.png,KNN with 5 neighbour is in overfitting.,223
adult_overfitting_knn.png,KNN with 6 neighbour is in overfitting.,224
adult_overfitting_knn.png,KNN with 7 neighbour is in overfitting.,225
adult_overfitting_knn.png,KNN with 8 neighbour is in overfitting.,226
adult_overfitting_knn.png,KNN with 9 neighbour is in overfitting.,227
adult_overfitting_knn.png,KNN with 10 neighbour is in overfitting.,228
adult_overfitting_knn.png,KNN is in overfitting for k less than 2.,229
adult_overfitting_knn.png,KNN is in overfitting for k larger than 2.,230
adult_overfitting_knn.png,KNN is in overfitting for k less than 3.,231
adult_overfitting_knn.png,KNN is in overfitting for k larger than 3.,232
adult_overfitting_knn.png,KNN is in overfitting for k less than 4.,233
adult_overfitting_knn.png,KNN is in overfitting for k larger than 4.,234
adult_overfitting_knn.png,KNN is in overfitting for k less than 5.,235
adult_overfitting_knn.png,KNN is in overfitting for k larger than 5.,236
adult_overfitting_knn.png,KNN is in overfitting for k less than 6.,237
adult_overfitting_knn.png,KNN is in overfitting for k larger than 6.,238
adult_overfitting_knn.png,KNN is in overfitting for k less than 7.,239
adult_overfitting_knn.png,KNN is in overfitting for k larger than 7.,240
adult_overfitting_knn.png,KNN is in overfitting for k less than 8.,241
adult_overfitting_knn.png,KNN is in overfitting for k larger than 8.,242
adult_decision_tree.png,"As reported in the tree, the number of False Positive is smaller than the number of False Negatives.",243
adult_decision_tree.png,"As reported in the tree, the number of False Positive is bigger than the number of False Negatives.",244
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 3 nodes of depth is in overfitting.",245
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 4 nodes of depth is in overfitting.",246
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 5 nodes of depth is in overfitting.",247
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 6 nodes of depth is in overfitting.",248
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 7 nodes of depth is in overfitting.",249
adult_overfitting_decision_tree.png,"According to the decision tree overfitting chart, the tree with 8 nodes of depth is in overfitting.",250
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.",251
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.",252
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 7%.",253
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.",254
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 9%.",255
adult_decision_tree.png,"A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 10%.",256
adult_pca.png,Using the first 2 principal components would imply an error between 5 and 20%.,257
adult_pca.png,Using the first 3 principal components would imply an error between 5 and 20%.,258
adult_pca.png,Using the first 4 principal components would imply an error between 5 and 20%.,259
adult_pca.png,Using the first 2 principal components would imply an error between 10 and 20%.,260
adult_pca.png,Using the first 3 principal components would imply an error between 10 and 20%.,261
adult_pca.png,Using the first 4 principal components would imply an error between 10 and 20%.,262
adult_pca.png,Using the first 2 principal components would imply an error between 15 and 20%.,263
adult_pca.png,Using the first 3 principal components would imply an error between 15 and 20%.,264
adult_pca.png,Using the first 4 principal components would imply an error between 15 and 20%.,265
adult_pca.png,Using the first 2 principal components would imply an error between 5 and 25%.,266
adult_pca.png,Using the first 3 principal components would imply an error between 5 and 25%.,267
adult_pca.png,Using the first 4 principal components would imply an error between 5 and 25%.,268
adult_pca.png,Using the first 2 principal components would imply an error between 10 and 25%.,269
adult_pca.png,Using the first 3 principal components would imply an error between 10 and 25%.,270
adult_pca.png,Using the first 4 principal components would imply an error between 10 and 25%.,271
adult_pca.png,Using the first 2 principal components would imply an error between 15 and 25%.,272
adult_pca.png,Using the first 3 principal components would imply an error between 15 and 25%.,273
adult_pca.png,Using the first 4 principal components would imply an error between 15 and 25%.,274
adult_pca.png,Using the first 2 principal components would imply an error between 5 and 30%.,275
adult_pca.png,Using the first 3 principal components would imply an error between 5 and 30%.,276
adult_pca.png,Using the first 4 principal components would imply an error between 5 and 30%.,277
adult_pca.png,Using the first 2 principal components would imply an error between 10 and 30%.,278
adult_pca.png,Using the first 3 principal components would imply an error between 10 and 30%.,279
adult_pca.png,Using the first 4 principal components would imply an error between 10 and 30%.,280
adult_pca.png,Using the first 2 principal components would imply an error between 15 and 30%.,281
adult_pca.png,Using the first 3 principal components would imply an error between 15 and 30%.,282
adult_pca.png,Using the first 4 principal components would imply an error between 15 and 30%.,283
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable age.,284
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable educational-num previously than variable age.,285
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable age.,286
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable age.,287
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable age.,288
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable age previously than variable fnlwgt.,289
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable educational-num previously than variable fnlwgt.,290
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable fnlwgt.,291
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable capital-loss previously than variable fnlwgt.,292
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable hours-per-week previously than variable fnlwgt.,293
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable age previously than variable educational-num.,294
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable fnlwgt previously than variable educational-num.,295
adult_correlation_heatmap.png,There is evidence in favour for sequential backward selection to select variable capital-gain previously than variable educational-num.,296
