no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,2018,3,18,0,105.3,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,2018,4,9,0,115.8,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,2018,5,19,0,149.4,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,2018,8,30,0,111.59,0,Canceled
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,2018,8,4,0,130.5,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,0,115.0,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,2018,4,13,0,90.95,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,2018,11,17,0,76.08,1,Not_Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,2018,12,22,0,156.9,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,189,2018,10,23,0,85.5,2,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,2018,5,13,0,159.3,2,Not_Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,2018,12,13,0,74.8,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,2017,10,31,0,95.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,2017,10,8,0,107.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2018,2,16,0,64.0,0,Not_Canceled
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,2017,11,2,0,82.95,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,2017,9,21,0,155.0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,12,2018,6,30,0,101.68,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2017,9,5,0,94.5,3,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,0,117.9,2,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,1,2018,6,27,0,127.0,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,122,2018,6,16,0,116.1,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,30,0,117.9,1,Not_Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 2,116,2018,6,26,0,184.24,1,Canceled
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,2018,8,13,0,155.7,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,40,2018,4,22,0,135.76,0,Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,105,2018,11,12,0,102.83,3,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,0,65.0,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,2017,11,14,0,103.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,0,106.2,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,0,58.5,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,68,2018,3,10,0,73.95,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,5,5,0,105.3,0,Not_Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,0,133.2,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,30,0,85.5,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,11,3,0,112.0,1,Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,110,2018,10,14,0,190.8,0,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,117,2018,6,5,0,110.0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,85,2018,7,13,0,91.48,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,1,2018,10,20,0,135.0,2,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,25,2018,10,17,0,129.0,2,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,289,2018,12,28,0,70.55,2,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,28,2017,10,19,0,75.0,0,Not_Canceled
1,0,0,4,Not Selected,0,Room_Type 1,80,2018,3,29,0,72.25,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,11,2017,10,9,0,155.0,2,Not_Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,162,2018,7,25,0,121.5,2,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,2018,6,28,0,90.95,2,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,5,22,0,109.65,0,Not_Canceled
3,0,2,4,Meal Plan 1,0,Room_Type 4,27,2018,4,15,0,142.72,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,13,2018,5,9,0,90.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,0,75.0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2018,11,18,0,111.0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,266,2018,10,30,0,86.7,2,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,3,28,0,117.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,1,0.0,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,112,2018,5,4,0,101.58,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,88,2018,4,8,0,58.9,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,0,120.0,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,73,2018,4,7,0,107.1,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,5,2,0,126.9,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,0,139.5,2,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,69,2018,4,4,0,80.75,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,0,109.0,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,0,104.0,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,11,1,1,65.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,97,2018,5,24,0,140.4,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,0,75.0,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,31,2018,4,14,0,94.5,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,0,2018,6,5,0,109.0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,11,12,0,105.0,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,86,2018,4,17,0,107.95,1,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 7,3,2018,10,7,0,215.6,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,197,2018,8,1,0,85.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,143,2018,7,12,0,105.3,2,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,0,1.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,6,15,0,156.0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,11,16,0,73.15,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,0,110.0,0,Canceled
2,1,1,0,Not Selected,0,Room_Type 1,11,2017,9,13,0,87.4,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,0,120.0,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,0,79.2,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,160,2018,6,30,0,90.95,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,104,2018,10,18,0,91.48,1,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,11,2018,11,5,0,150.0,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2,2018,3,22,0,89.0,0,Not_Canceled
2,0,1,4,Not Selected,0,Room_Type 1,14,2018,8,17,0,91.43,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,0,140.0,0,Not_Canceled
1,1,2,5,Not Selected,0,Room_Type 1,37,2017,10,24,0,87.78,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,0,115.0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,11,2017,9,9,0,80.85,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,86,2018,3,31,0,82.45,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,109,2018,10,11,0,108.0,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,2,0,96.3,1,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,196,2018,8,22,0,99.45,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,56,2018,5,13,0,140.4,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,189,2018,8,8,0,72.25,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,126,2018,8,15,0,126.0,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,2018,8,19,0,78.0,0,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 4,81,2018,11,6,0,146.6,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,54,2018,10,10,0,118.8,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,10,6,0,145.0,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,86,2018,4,6,0,84.58,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,0,130.0,0,Canceled
2,0,4,10,Meal Plan 1,0,Room_Type 4,147,2018,8,3,0,118.88,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,92,2018,5,30,0,101.52,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,87,2017,9,11,0,100.0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,3,20,0,58.0,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,127,2018,3,23,0,61.5,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,0,107.0,0,Canceled
2,0,1,4,Not Selected,0,Room_Type 1,156,2018,8,24,0,87.3,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2017,7,16,0,76.5,1,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,211,2018,12,16,0,63.75,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,0,95.0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,58,2018,11,19,0,75.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,0,70.0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,111,2018,5,2,0,101.58,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,34,2018,8,21,0,85.0,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,17,2018,12,3,0,98.39,0,Not_Canceled
1,0,0,0,Meal Plan 1,0,Room_Type 1,4,2018,2,27,0,0.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,9,22,0,106.07,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,0,105.0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,4,2017,9,22,0,145.0,2,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,195,2018,8,13,0,106.03,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,119,2018,8,13,0,114.3,1,Not_Canceled
1,0,1,1,Not Selected,0,Room_Type 1,13,2018,12,5,0,88.0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,15,0,89.25,2,Not_Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 4,78,2018,3,20,0,86.32,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,0,90.0,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,103,2017,8,22,0,55.96,0,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,0,2018,6,8,0,109.0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,118,2018,3,1,0,86.0,0,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,56,2018,9,5,0,118.95,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,0,130.0,1,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,70,2018,4,14,0,90.56,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,76,2018,4,1,0,87.3,1,Not_Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 6,144,2018,5,27,0,177.65,1,Canceled
1,2,2,2,Meal Plan 1,0,Room_Type 6,4,2017,9,19,0,200.75,2,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 1,15,2018,3,18,0,127.0,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,32,2018,2,5,0,72.9,0,Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,49,2018,5,7,0,159.3,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,77,2018,5,12,0,135.15,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,10,28,0,90.0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,0,2017,10,18,0,114.0,0,Not_Canceled
2,1,0,1,Meal Plan 1,1,Room_Type 1,58,2018,6,21,0,125.1,1,Not_Canceled
2,0,2,6,Not Selected,0,Room_Type 1,4,2017,8,14,0,95.13,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,117,2018,4,29,0,105.84,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,36,2018,12,26,0,102.0,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,35,2018,12,2,0,74.8,2,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,31,2018,4,24,0,94.5,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,79,2018,6,16,0,120.6,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2017,10,9,0,139.33,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,21,2017,9,3,0,105.0,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,12,2018,9,14,0,100.0,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,33,2018,2,8,0,80.3,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,0,100.0,0,Not_Canceled
2,0,0,3,Meal Plan 1,1,Room_Type 1,78,2018,3,24,0,105.3,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,18,2018,5,31,0,112.8,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,21,2018,8,15,0,151.0,0,Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2017,11,9,0,91.0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,152,2018,8,13,0,146.7,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,43,2017,10,2,0,58.4,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,177,2018,7,26,0,80.75,1,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,47,2018,5,21,0,76.5,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,57,2018,9,7,0,140.13,0,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,60,2017,11,15,0,76.0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,16,0,200.0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,0,101.5,0,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,71,2018,10,18,0,108.0,1,Not_Canceled
3,0,2,3,Meal Plan 2,0,Room_Type 4,111,2018,7,23,0,189.0,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,1,2018,6,11,0,166.0,3,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,4,2018,1,16,0,67.5,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,25,2017,9,14,0,78.54,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,209,2018,11,6,0,152.1,1,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,0,115.0,0,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,53,2017,9,2,0,66.53,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,8,12,1,0.0,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,4,2017,8,23,0,0.0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,302,2018,12,29,0,90.3,2,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,0,85.0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,3,11,0,75.0,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,28,2018,8,28,0,115.37,1,Canceled
