Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,Yes,72,Yes,Artist,1.0,Average,6.0,Cat_1,D
Female,Yes,41,Yes,Doctor,9.0,Average,2.0,,D
Female,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,C
Male,Yes,62,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,B
Male,Yes,60,Yes,Artist,2.0,Average,5.0,Cat_6,C
Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,B
Male,No,19,No,Healthcare,,Low,8.0,Cat_6,A
Male,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,D
Male,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,A
Female,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,C
Female,Yes,86,No,Artist,1.0,High,2.0,Cat_6,A
Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,C
Male,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,B
Male,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,D
Female,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,D
Male,Yes,50,No,Artist,0.0,High,4.0,Cat_6,B
Male,Yes,80,Yes,Lawyer,,High,2.0,Cat_6,B
Male,Yes,78,No,Lawyer,,Low,1.0,Cat_2,C
Female,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,A
Male,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,B
Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,D
Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,D
Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,B
Male,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,D
Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,C
Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,C
Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6,A
Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,A
Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,A
Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,D
Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,C
Female,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,A
Female,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,B
Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3,B
Female,No,18,No,Entertainment,0.0,Low,4.0,Cat_6,D
Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C
Female,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,B
Female,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,D
Male,Yes,69,No,Entertainment,,Low,1.0,Cat_6,B
Female,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6,A
Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,C
Female,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,D
Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,A
Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6,D
Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,D
Male,No,33,Yes,Artist,1.0,Low,6.0,Cat_6,D
Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,D
Male,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6,A
Female,Yes,83,Yes,Lawyer,1.0,High,,Cat_6,C
Female,No,30,No,Healthcare,9.0,Low,4.0,Cat_6,A
Female,No,35,Yes,Artist,0.0,Low,2.0,Cat_6,D
Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,D
Male,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6,B
Female,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,C
Male,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4,C
Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,B
Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,C
Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,No,21,No,Healthcare,,Low,,Cat_1,C
Male,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6,B
Female,Yes,61,Yes,Artist,1.0,Low,,Cat_6,B
Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,B
Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,A
Female,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6,D
Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,D
Male,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6,A
Female,No,18,No,Doctor,,Low,,Cat_6,D
Male,Yes,80,No,Executive,,Low,,Cat_6,D
Male,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6,C
Female,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6,D
Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
Female,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6,B
Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,B
Male,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6,B
Female,Yes,50,Yes,Artist,,High,3.0,Cat_6,B
Female,Yes,74,No,Homemaker,,Low,1.0,Cat_6,B
Female,No,29,Yes,Healthcare,,Low,3.0,Cat_6,A
Female,No,32,Yes,Engineer,,Low,2.0,Cat_6,D
Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,D
Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,C
Female,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6,B
Male,Yes,41,No,Engineer,,Average,7.0,Cat_4,A
Male,Yes,22,No,Executive,0.0,High,4.0,Cat_6,A
Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,D
Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,D
Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,D
Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7,A
Male,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6,C
Female,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6,B
Male,No,28,No,Entertainment,8.0,Low,2.0,Cat_6,D
Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,A
Female,Yes,58,No,Lawyer,,High,2.0,Cat_6,B
Male,No,28,No,Healthcare,1.0,Low,3.0,,C
Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,B
Female,Yes,78,No,Doctor,1.0,High,2.0,Cat_6,B
Female,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6,A
Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Female,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,61,Yes,,1.0,Average,3.0,Cat_6,D
Female,Yes,79,Yes,Artist,,High,2.0,Cat_6,B
Male,No,30,No,Doctor,0.0,Low,4.0,Cat_6,A
Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,C
Male,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6,B
Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6,C
Male,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6,D
Male,Yes,46,Yes,Entertainment,,Low,4.0,Cat_6,A
Male,No,21,No,Healthcare,8.0,Low,5.0,Cat_6,A
Male,Yes,47,Yes,Doctor,,Low,3.0,Cat_6,B
Female,No,39,No,Marketing,0.0,Low,2.0,Cat_4,D
Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,C
Female,No,66,Yes,Artist,0.0,Low,2.0,Cat_6,A
Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,A
Female,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,B
Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,C
Male,Yes,37,Yes,Artist,,Low,2.0,Cat_6,A
Female,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,D
Female,No,66,No,Lawyer,,Low,1.0,Cat_6,A
Male,No,33,No,Marketing,,Low,,Cat_6,C
Male,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6,A
Female,Yes,35,Yes,Artist,1.0,Low,1.0,Cat_1,B
Male,No,27,Yes,Artist,,Low,2.0,Cat_6,A
Female,Yes,48,Yes,Artist,0.0,Average,3.0,Cat_4,A
Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6,B
Male,Yes,25,Yes,Healthcare,,Low,6.0,Cat_6,B
Female,No,30,No,Artist,,Low,8.0,Cat_6,A
Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,Cat_6,C
Male,Yes,49,No,Lawyer,0.0,Low,2.0,Cat_6,C
Male,Yes,72,No,Marketing,1.0,Low,4.0,Cat_6,C
Female,Yes,79,Yes,Lawyer,,High,2.0,Cat_6,C
Female,No,35,Yes,Artist,,Low,3.0,Cat_6,A
Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,C
Male,Yes,42,Yes,Healthcare,6.0,High,4.0,Cat_6,D
Female,No,42,Yes,Engineer,,Low,1.0,Cat_6,A
Male,Yes,67,No,Lawyer,,High,2.0,Cat_1,B
Male,No,26,Yes,Healthcare,1.0,Low,1.0,Cat_6,B
Male,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,55,Yes,Engineer,1.0,Low,1.0,Cat_6,D
Female,,56,Yes,Artist,,Average,2.0,Cat_6,D
Male,Yes,63,,,,Average,4.0,Cat_6,A
Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6,D
Female,No,49,Yes,Homemaker,13.0,Low,1.0,Cat_6,B
Male,Yes,59,Yes,Artist,1.0,High,2.0,Cat_6,C
Male,No,22,No,Healthcare,8.0,Low,5.0,Cat_4,D
Female,No,28,Yes,Artist,8.0,Low,1.0,Cat_6,B
Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
Female,Yes,37,Yes,Artist,13.0,Low,2.0,Cat_6,A
Male,Yes,50,Yes,Doctor,0.0,Average,2.0,Cat_6,B
Female,Yes,50,Yes,Executive,1.0,High,4.0,Cat_6,C
Female,Yes,88,No,Lawyer,,Low,,,B
Female,Yes,35,Yes,Artist,3.0,Average,5.0,Cat_4,A
Female,No,35,No,,,Low,,Cat_7,C
Male,Yes,31,No,Entertainment,,Average,3.0,Cat_6,A
Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6,C
Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,No,33,Yes,Artist,7.0,Low,3.0,Cat_6,A
Male,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,25,No,Healthcare,0.0,Low,3.0,Cat_6,D
Female,Yes,41,Yes,Artist,6.0,Low,1.0,Cat_6,D
Female,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,D
Female,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6,A
Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,Cat_6,A
Female,No,62,Yes,Doctor,,Low,1.0,Cat_6,D
Male,No,21,No,Healthcare,,Low,2.0,Cat_6,D
Female,No,20,No,Healthcare,,Low,4.0,Cat_1,D
Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,C
Male,Yes,57,Yes,Doctor,0.0,Average,2.0,Cat_4,B
Female,No,25,No,Healthcare,8.0,Low,,,A
Female,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6,B
Female,Yes,26,No,Entertainment,1.0,Low,3.0,Cat_6,D
Female,Yes,50,No,Marketing,0.0,High,3.0,Cat_4,C
Female,No,30,No,Marketing,9.0,Low,4.0,Cat_2,D
Female,No,26,No,Engineer,,Low,4.0,Cat_4,B
Male,Yes,61,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,42,Yes,Artist,3.0,Low,1.0,Cat_6,A
Male,Yes,88,Yes,Artist,4.0,Low,2.0,Cat_6,A
Male,Yes,45,No,Artist,3.0,Average,3.0,Cat_6,A
Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_6,A
Male,No,37,Yes,Entertainment,,Low,1.0,Cat_6,B
Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,A
Male,Yes,58,No,Artist,,Average,2.0,Cat_6,D
Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A
Female,Yes,50,Yes,Artist,0.0,High,3.0,,C
Female,,56,Yes,Engineer,8.0,Average,3.0,Cat_6,A
Male,No,46,No,Artist,3.0,Low,3.0,Cat_5,D
Male,Yes,57,Yes,Artist,,Low,1.0,Cat_6,D
Male,Yes,42,No,Executive,9.0,High,6.0,Cat_6,D
Male,No,20,No,Healthcare,,Low,4.0,Cat_6,D
Male,No,19,No,Healthcare,,Low,3.0,Cat_6,C
Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_6,D
Male,Yes,68,Yes,Executive,1.0,Low,1.0,Cat_6,B
Female,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,Yes,82,No,Lawyer,,High,2.0,Cat_6,D
Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
Female,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,D
Male,Yes,51,No,Artist,0.0,Low,4.0,Cat_1,C
Male,,59,Yes,Artist,1.0,Average,2.0,Cat_6,B
Female,Yes,41,Yes,Artist,1.0,Average,5.0,Cat_6,C
Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6,B
Female,Yes,62,No,Artist,,Average,3.0,Cat_6,C
Female,Yes,62,No,Lawyer,1.0,High,4.0,Cat_4,C
Female,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,No,18,No,Artist,,Low,4.0,Cat_4,D
Male,No,22,No,Healthcare,3.0,Low,4.0,Cat_6,D
Female,,30,Yes,Doctor,0.0,Low,3.0,Cat_3,A
Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
Female,No,43,No,Entertainment,1.0,Low,3.0,Cat_6,A
Female,No,32,Yes,Engineer,,Low,1.0,Cat_3,D
Male,Yes,37,Yes,Artist,1.0,High,,Cat_6,B
Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,No,31,Yes,Engineer,4.0,Low,2.0,Cat_6,B
Male,Yes,46,No,Artist,4.0,High,4.0,Cat_6,C
Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_6,A
Male,Yes,43,No,Doctor,,Average,4.0,Cat_6,A
Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,Yes,37,Yes,Doctor,,Low,2.0,Cat_6,A
Male,Yes,72,Yes,Entertainment,,High,2.0,Cat_6,C
Male,,71,No,Executive,,High,1.0,,A
Female,No,39,Yes,Engineer,1.0,Low,1.0,Cat_4,D
Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_2,D
Female,No,26,No,,,Low,1.0,Cat_7,A
Male,Yes,72,Yes,Executive,1.0,Low,1.0,Cat_6,D
Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,Cat_4,B
Male,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,C
Male,No,33,No,Executive,7.0,Low,5.0,Cat_6,D
Male,Yes,50,No,Entertainment,0.0,Average,3.0,Cat_6,C
Male,No,31,Yes,Entertainment,6.0,Low,1.0,Cat_6,A
Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,B
Female,Yes,68,No,Artist,,High,2.0,Cat_6,A
Female,No,49,Yes,Artist,,Low,1.0,Cat_6,D
Male,Yes,49,Yes,Marketing,0.0,High,2.0,Cat_6,C
Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,A
Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,C
Female,No,38,Yes,Entertainment,,Low,4.0,Cat_6,A
Male,Yes,28,No,Artist,0.0,Low,4.0,Cat_6,A
Male,Yes,46,No,Artist,3.0,Average,2.0,,D
Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6,B
Female,Yes,56,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,Yes,69,Yes,Artist,0.0,Low,1.0,Cat_6,C
Male,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_6,C
Male,No,18,No,Healthcare,4.0,Low,6.0,Cat_2,D
Male,No,36,Yes,Artist,4.0,Low,1.0,Cat_4,A
Male,No,31,Yes,Marketing,1.0,Low,2.0,Cat_3,B
Male,Yes,67,No,Executive,1.0,High,2.0,Cat_4,D
Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,D
Male,No,42,Yes,Entertainment,4.0,Low,3.0,Cat_6,C
Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6,A
Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,D
Female,No,59,Yes,Artist,0.0,Low,1.0,Cat_6,C
Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,D
Male,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2,B
Male,Yes,55,Yes,Artist,9.0,Low,1.0,Cat_6,B
Female,No,33,Yes,Doctor,1.0,Low,3.0,Cat_6,A
Male,No,38,Yes,Artist,13.0,Low,1.0,Cat_7,A
Male,No,43,Yes,Artist,0.0,Low,2.0,Cat_6,A
Female,No,53,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6,B
Female,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A
Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A
Male,Yes,62,Yes,Artist,1.0,Low,1.0,Cat_6,D
Female,No,38,No,Artist,2.0,Low,2.0,Cat_6,B
Male,No,55,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
Male,Yes,60,No,Entertainment,1.0,Average,2.0,Cat_6,C
Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_5,A
Male,No,30,No,Entertainment,5.0,Low,9.0,Cat_3,D
Female,No,66,No,Entertainment,4.0,Low,3.0,Cat_6,A
Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
Female,No,40,Yes,Entertainment,6.0,Low,,Cat_6,C
Female,,45,Yes,Entertainment,5.0,Low,3.0,Cat_6,D
Male,Yes,41,Yes,,2.0,Low,1.0,Cat_6,B
Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,Cat_5,A
Male,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,C
Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,D
Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,Cat_6,A
Male,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,A
Female,No,86,Yes,Lawyer,0.0,Low,1.0,Cat_3,D
Male,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_4,B
Female,No,46,No,Entertainment,4.0,Low,,Cat_4,A
Male,No,52,Yes,Marketing,0.0,Low,1.0,Cat_3,B
Female,No,45,No,Marketing,0.0,Low,1.0,Cat_6,B
Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,A
Female,Yes,36,Yes,Engineer,3.0,Low,1.0,Cat_6,B
Female,No,25,Yes,Artist,,Low,1.0,Cat_6,D
Female,No,40,No,Doctor,1.0,Low,1.0,Cat_6,B
Male,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6,A
Female,Yes,25,Yes,Homemaker,,High,2.0,Cat_6,B
Male,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6,B
Female,No,46,Yes,Artist,3.0,Low,1.0,Cat_3,A
Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6,D
Male,,40,Yes,Artist,0.0,Low,2.0,Cat_3,B
Male,No,49,Yes,,1.0,Low,1.0,Cat_3,A
Female,No,26,Yes,Healthcare,8.0,Low,3.0,Cat_3,D
Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_4,D
Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_4,A
Female,Yes,71,Yes,Entertainment,0.0,Low,,Cat_6,A
Male,Yes,48,Yes,Engineer,1.0,Average,5.0,Cat_6,C
Male,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_2,B
Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
Female,No,46,Yes,Artist,1.0,Low,2.0,,B
Male,Yes,26,Yes,Engineer,8.0,Average,2.0,Cat_3,D
Female,Yes,42,Yes,,1.0,Low,2.0,Cat_6,D
Female,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6,D
Male,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
Female,No,39,No,Artist,1.0,Low,1.0,Cat_6,A
Female,No,41,Yes,Artist,0.0,Low,3.0,Cat_6,B
Female,Yes,48,Yes,Marketing,8.0,Low,,Cat_6,C
Male,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6,C
Female,No,25,Yes,Healthcare,4.0,Low,3.0,Cat_6,A
Female,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6,A
Male,No,37,Yes,Artist,11.0,Low,1.0,Cat_6,A
Female,No,53,Yes,Doctor,0.0,Low,,Cat_3,A
Female,Yes,51,Yes,Engineer,0.0,Average,3.0,Cat_3,A
Male,Yes,73,Yes,Entertainment,1.0,Average,3.0,Cat_6,D
Male,Yes,61,No,,1.0,Low,5.0,Cat_4,D
Male,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_3,A
Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_2,D
Female,No,19,No,Healthcare,0.0,Low,7.0,Cat_2,A
Female,No,23,No,Entertainment,1.0,Low,5.0,Cat_2,D
Male,Yes,83,Yes,Executive,0.0,High,2.0,Cat_2,A
Female,Yes,62,Yes,Artist,1.0,High,2.0,Cat_6,C
Female,No,43,Yes,Artist,9.0,Low,4.0,Cat_6,C
Female,No,27,No,Artist,0.0,Low,5.0,Cat_2,A
Male,No,50,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,No,23,No,Entertainment,0.0,Low,6.0,Cat_2,D
Male,No,35,No,Entertainment,9.0,Low,2.0,Cat_6,D
Male,No,32,No,Healthcare,9.0,Low,3.0,Cat_6,D
Female,No,42,Yes,Doctor,2.0,Low,3.0,Cat_6,C
Male,No,33,No,Entertainment,13.0,Low,1.0,Cat_6,A
Female,No,28,Yes,Entertainment,9.0,Low,3.0,Cat_6,D
Male,Yes,35,Yes,,1.0,Low,2.0,Cat_7,A
Female,No,35,Yes,Healthcare,9.0,Low,2.0,Cat_6,D
Female,Yes,39,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
Male,Yes,28,,Artist,6.0,Low,1.0,Cat_6,A
Male,Yes,35,Yes,Entertainment,11.0,Low,6.0,Cat_6,A
Female,Yes,45,Yes,Engineer,0.0,Average,2.0,Cat_6,C
Female,,73,Yes,Lawyer,4.0,High,,Cat_6,A
Male,No,52,No,Entertainment,1.0,Low,1.0,Cat_6,A
Male,No,28,No,Healthcare,0.0,Low,3.0,Cat_6,A
Male,Yes,38,Yes,Healthcare,9.0,Low,3.0,Cat_6,A
Female,No,42,Yes,Entertainment,8.0,Low,1.0,Cat_6,C
Female,No,26,No,Doctor,9.0,Low,,Cat_6,B
Female,No,27,Yes,Healthcare,7.0,Low,2.0,Cat_6,B
Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,B
Male,Yes,47,Yes,Executive,0.0,High,4.0,Cat_6,D
Male,No,35,Yes,Doctor,8.0,Low,1.0,Cat_6,A
Female,No,88,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
Female,No,46,Yes,Artist,6.0,Low,1.0,Cat_6,B
Female,Yes,41,Yes,Artist,3.0,Low,2.0,Cat_6,A
Female,No,30,Yes,Doctor,10.0,Low,5.0,Cat_6,B
Male,Yes,43,Yes,Doctor,12.0,Low,2.0,Cat_6,A
Female,No,29,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,61,Yes,Artist,4.0,Average,6.0,Cat_4,B
Female,No,51,Yes,Lawyer,2.0,Low,1.0,Cat_6,B
Female,No,38,Yes,Artist,2.0,Low,1.0,,A
Female,,49,Yes,Entertainment,0.0,High,1.0,Cat_6,A
Female,No,43,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
Male,No,27,No,Healthcare,14.0,Low,4.0,Cat_6,A
