Question;Charts
The variable DiabetesPedigreeFunction can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable BMI can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Insulin can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable SkinThickness can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable BloodPressure can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Glucose can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
The variable Pregnancies can be seen as ordinal without losing information.;[Scatter-plots,All_Histograms]
Variable Age is balanced.;[Histograms,Boxplots]
Variable DiabetesPedigreeFunction is balanced.;[Histograms,Boxplots]
Variable BMI is balanced.;[Histograms,Boxplots]
Variable Insulin is balanced.;[Histograms,Boxplots]
Variable SkinThickness is balanced.;[Histograms,Boxplots]
Variable BloodPressure is balanced.;[Histograms,Boxplots]
Variable Glucose is balanced.;[Histograms,Boxplots]
Variable Pregnancies is balanced.;[Histograms,Boxplots]
Those boxplots show that the data is not normalized.;[Boxplot global,Single boxplots]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable Age.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable DiabetesPedigreeFunction.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable BMI.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable Insulin.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable SkinThickness.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable BloodPressure.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable Pregnancies shows some outliers, but we can’t be sure of the same for variable Glucose.;[Boxplots,Histograms]
It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable DiabetesPedigreeFunction shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable BMI shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable Insulin shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable SkinThickness shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable BloodPressure shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
It is clear that variable Glucose shows some outliers, but we can’t be sure of the same for variable Pregnancies.;[Boxplots,Histograms]
Outliers seem to be a problem in the dataset.;[Boxplots,Histograms]
Variable Age shows a high number of outlier values.;[Boxplots,Histograms]
Variable DiabetesPedigreeFunction shows a high number of outlier values.;[Boxplots,Histograms]
Variable BMI shows a high number of outlier values.;[Boxplots,Histograms]
Variable Insulin shows a high number of outlier values.;[Boxplots,Histograms]
Variable SkinThickness shows a high number of outlier values.;[Boxplots,Histograms]
Variable BloodPressure shows a high number of outlier values.;[Boxplots,Histograms]
Variable Glucose shows a high number of outlier values.;[Boxplots,Histograms]
Variable Pregnancies shows a high number of outlier values.;[Boxplots,Histograms]
Variable Age shows some outlier values.;[Boxplots,Histograms]
Variable DiabetesPedigreeFunction shows some outlier values.;[Boxplots,Histograms]
Variable BMI shows some outlier values.;[Boxplots,Histograms]
Variable Insulin shows some outlier values.;[Boxplots,Histograms]
Variable SkinThickness shows some outlier values.;[Boxplots,Histograms]
Variable BloodPressure shows some outlier values.;[Boxplots,Histograms]
Variable Glucose shows some outlier values.;[Boxplots,Histograms]
Variable Pregnancies shows some outlier values.;[Boxplots,Histograms]
Variable Age doesn’t have any outliers.;[Boxplots,Histograms]
Variable DiabetesPedigreeFunction doesn’t have any outliers.;[Boxplots,Histograms]
Variable BMI doesn’t have any outliers.;[Boxplots,Histograms]
Variable Insulin doesn’t have any outliers.;[Boxplots,Histograms]
Variable SkinThickness doesn’t have any outliers.;[Boxplots,Histograms]
Variable BloodPressure doesn’t have any outliers.;[Boxplots,Histograms]
Variable Glucose doesn’t have any outliers.;[Boxplots,Histograms]
Variable Pregnancies doesn’t have any outliers.;[Boxplots,Histograms]
Variable Age presents some outliers.;[Boxplots,Histograms]
Variable DiabetesPedigreeFunction presents some outliers.;[Boxplots,Histograms]
Variable BMI presents some outliers.;[Boxplots,Histograms]
Variable Insulin presents some outliers.;[Boxplots,Histograms]
Variable SkinThickness presents some outliers.;[Boxplots,Histograms]
Variable BloodPressure presents some outliers.;[Boxplots,Histograms]
Variable Glucose presents some outliers.;[Boxplots,Histograms]
Variable Pregnancies presents some outliers.;[Boxplots,Histograms]
The histograms presented show a large number of outliers for most of the numeric variables.;[Boxplots,Histograms]
The boxplots presented show a large number of outliers for most of the numeric variables.;[Boxplots,Histograms]
The existence of outliers is one of the problems to tackle in this dataset.;[Boxplots,Histograms]
Variable Outcome is a false predictor.;[Description]
Variable Age is a false predictor.;[Description]
Variable DiabetesPedigreeFunction is a false predictor.;[Description]
Variable BMI is a false predictor.;[Description]
Variable Insulin is a false predictor.;[Description]
Variable SkinThickness is a false predictor.;[Description]
Variable BloodPressure is a false predictor.;[Description]
Variable Glucose is a false predictor.;[Description]
Variable Pregnancies is a false predictor.;[Description]
One of the variables DiabetesPedigreeFunction or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or Age can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or DiabetesPedigreeFunction can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or BMI can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or Insulin can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or SkinThickness can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or BloodPressure can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables Pregnancies or Glucose can be discarded without losing information.;[Correlation heatmap]
One of the variables Age or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables DiabetesPedigreeFunction or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables BMI or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables Insulin or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables SkinThickness or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables BloodPressure or Pregnancies can be discarded without losing information.;[Correlation heatmap]
One of the variables Glucose or Pregnancies can be discarded without losing information.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and Glucose.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Insulin and BMI.;[Correlation heatmap]
Variables BMI and Age are redundant, but we can’t say the same for the pair Pregnancies and BloodPressure.;[Correlation heatmap]
Variables SkinThickness and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Insulin and Age.;[Correlation heatmap]
Variables BloodPressure and Insulin are redundant, but we can’t say the same for the pair Glucose and BMI.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and BMI.;[Correlation heatmap]
Variables Glucose and Age are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and SkinThickness are redundant, but we can’t say the same for the pair Pregnancies and BMI.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and Insulin.;[Correlation heatmap]
Variables Insulin and Age are redundant, but we can’t say the same for the pair Glucose and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Pregnancies and Glucose are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Insulin and BMI are redundant, but we can’t say the same for the pair Pregnancies and BloodPressure.;[Correlation heatmap]
Variables Pregnancies and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and Insulin.;[Correlation heatmap]
Variables BloodPressure and BMI are redundant, but we can’t say the same for the pair Glucose and Age.;[Correlation heatmap]
Variables Pregnancies and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and BMI.;[Correlation heatmap]
Variables Pregnancies and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and Age.;[Correlation heatmap]
Variables Glucose and SkinThickness are redundant, but we can’t say the same for the pair BMI and Age.;[Correlation heatmap]
Variables Insulin and Age are redundant, but we can’t say the same for the pair BMI and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables SkinThickness and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and BMI.;[Correlation heatmap]
Variables Pregnancies and Glucose are redundant, but we can’t say the same for the pair SkinThickness and BMI.;[Correlation heatmap]
Variables SkinThickness and Age are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Insulin and BMI are redundant, but we can’t say the same for the pair Glucose and Age.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and Insulin.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and SkinThickness.;[Correlation heatmap]
Variables Pregnancies and BMI are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and Age.;[Correlation heatmap]
Variables Pregnancies and Age are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Insulin and Age are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and SkinThickness are redundant, but we can’t say the same for the pair Pregnancies and BMI.;[Correlation heatmap]
Variables DiabetesPedigreeFunction and Age are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables SkinThickness and Insulin are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BMI and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Insulin and Age.;[Correlation heatmap]
Variables Glucose and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and Insulin.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair BloodPressure and SkinThickness.;[Correlation heatmap]
Variables Pregnancies and Insulin are redundant, but we can’t say the same for the pair SkinThickness and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables SkinThickness and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair BMI and Age.;[Correlation heatmap]
Variables BloodPressure and Insulin are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables Pregnancies and Glucose are redundant, but we can’t say the same for the pair SkinThickness and Age.;[Correlation heatmap]
Variables SkinThickness and Age are redundant, but we can’t say the same for the pair Glucose and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables DiabetesPedigreeFunction and Age are redundant, but we can’t say the same for the pair BloodPressure and Insulin.;[Correlation heatmap]
Variables Glucose and Age are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and Insulin are redundant, but we can’t say the same for the pair BloodPressure and BMI.;[Correlation heatmap]
Variables Pregnancies and Age are redundant, but we can’t say the same for the pair Glucose and BloodPressure.;[Correlation heatmap]
Variables Pregnancies and BMI are redundant, but we can’t say the same for the pair Glucose and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Pregnancies and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and BloodPressure.;[Correlation heatmap]
Variables SkinThickness and Age are redundant, but we can’t say the same for the pair Glucose and BMI.;[Correlation heatmap]
Variables Insulin and Age are redundant, but we can’t say the same for the pair Pregnancies and BloodPressure.;[Correlation heatmap]
Variables Glucose and BloodPressure are redundant, but we can’t say the same for the pair SkinThickness and BMI.;[Correlation heatmap]
Variables SkinThickness and BMI are redundant, but we can’t say the same for the pair Pregnancies and Insulin.;[Correlation heatmap]
Variables DiabetesPedigreeFunction and Age are redundant, but we can’t say the same for the pair Glucose and Insulin.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and BMI are redundant, but we can’t say the same for the pair Pregnancies and Glucose.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and BloodPressure.;[Correlation heatmap]
Variables Pregnancies and BMI are redundant, but we can’t say the same for the pair Glucose and SkinThickness.;[Correlation heatmap]
Variables BloodPressure and Age are redundant, but we can’t say the same for the pair Insulin and BMI.;[Correlation heatmap]
Variables Pregnancies and Age are redundant, but we can’t say the same for the pair BloodPressure and BMI.;[Correlation heatmap]
Variables Glucose and Insulin are redundant, but we can’t say the same for the pair SkinThickness and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and Age.;[Correlation heatmap]
Variables Glucose and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair SkinThickness and BMI.;[Correlation heatmap]
Variables Glucose and SkinThickness are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BMI and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and Age.;[Correlation heatmap]
Variables Glucose and Insulin are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables Glucose and BloodPressure are redundant, but we can’t say the same for the pair SkinThickness and Insulin.;[Correlation heatmap]
Variables Pregnancies and SkinThickness are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and SkinThickness are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Pregnancies and BloodPressure are redundant, but we can’t say the same for the pair Insulin and BMI.;[Correlation heatmap]
Variables Glucose and Age are redundant, but we can’t say the same for the pair Pregnancies and Insulin.;[Correlation heatmap]
Variables Pregnancies and Insulin are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and Glucose.;[Correlation heatmap]
Variables BloodPressure and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and Age.;[Correlation heatmap]
Variables BMI and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables Glucose and Insulin are redundant, but we can’t say the same for the pair Pregnancies and BloodPressure.;[Correlation heatmap]
Variables Insulin and BMI are redundant, but we can’t say the same for the pair SkinThickness and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair BMI and Age.;[Correlation heatmap]
Variables BMI and Age are redundant, but we can’t say the same for the pair Pregnancies and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables SkinThickness and BMI are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and Insulin are redundant, but we can’t say the same for the pair Pregnancies and Age.;[Correlation heatmap]
Variables Pregnancies and Insulin are redundant, but we can’t say the same for the pair BloodPressure and Age.;[Correlation heatmap]
Variables Pregnancies and BloodPressure are redundant, but we can’t say the same for the pair SkinThickness and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Glucose and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Insulin and BMI.;[Correlation heatmap]
Variables Glucose and Age are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables Glucose and SkinThickness are redundant, but we can’t say the same for the pair BloodPressure and BMI.;[Correlation heatmap]
Variables SkinThickness and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair Glucose and Age.;[Correlation heatmap]
Variables SkinThickness and Age are redundant, but we can’t say the same for the pair Pregnancies and BMI.;[Correlation heatmap]
Variables Glucose and Insulin are redundant, but we can’t say the same for the pair Pregnancies and Age.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair BloodPressure and Age.;[Correlation heatmap]
Variables Insulin and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair BloodPressure and SkinThickness.;[Correlation heatmap]
Variables Glucose and DiabetesPedigreeFunction are redundant, but we can’t say the same for the pair BloodPressure and Insulin.;[Correlation heatmap]
Variables Glucose and BMI are redundant, but we can’t say the same for the pair SkinThickness and Age.;[Correlation heatmap]
Variables Pregnancies and BMI are redundant, but we can’t say the same for the pair Insulin and Age.;[Correlation heatmap]
Variables BloodPressure and Age are redundant, but we can’t say the same for the pair Pregnancies and SkinThickness.;[Correlation heatmap]
Variables BMI and Age are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables Pregnancies and Age are redundant, but we can’t say the same for the pair BloodPressure and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BMI and Age are redundant, but we can’t say the same for the pair SkinThickness and DiabetesPedigreeFunction.;[Correlation heatmap]
Variables BloodPressure and SkinThickness are redundant, but we can’t say the same for the pair Insulin and DiabetesPedigreeFunction.;[Correlation heatmap]
