Image;Question;Prediction;Reference
Titanic_mv.png;There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.;T;T
Titanic_mv.png;Feature generation based on variable Embarked seems to be promising.;F;F
Titanic_mv.png;Considering that the dataset has 200 records, it is better to drop the variable Age than removing all records with missing values.;F;T
Titanic_class_histogram.png;Balancing this dataset would be mandatory to improve the results.;T;T
Titanic_nr_records_nr_variables.png;Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;F;F
Titanic_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.;F;F
Titanic_histograms_numeric.png;All variables should be dealt with as symbolic.;F;F
Titanic_histograms_numeric.png;The variable Parch can be seen as ordinal.;F;T
Titanic_histograms_numeric.png;The variable Fare can be seen as ordinal without losing information.;F;F
Titanic_histograms_numeric.png;Variable Pclass is balanced.;T;F
Titanic_histograms_numeric.png;It is clear that variable Parch shows some outliers, but we can’t be sure of the same for variable SibSp.;F;F
Titanic_histograms_numeric.png;Outliers seem to be a problem in the dataset.;T;T
Titanic_histograms_numeric.png;Variable Age shows a high number of outlier values.;F;T
Titanic_histograms_numeric.png;Variable Fare doesn’t have any outliers.;F;F
Titanic_histograms_numeric.png;Variable Parch presents some outliers.;T;T
Titanic_histograms_numeric.png;At least 60% of the variables present outliers.;F;T
Titanic_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.;T;T
Titanic_histograms_numeric.png;Considering the common semantics for Age and Pclass variables, dummification if applied would increase the risk of facing the curse of dimensionality.;T;F
Titanic_histograms_numeric.png;Considering the common semantics for SibSp variable, dummification would be the most adequate encoding.;F;F
Titanic_histograms_numeric.png;The variable Pclass can be coded as ordinal without losing information.;T;T
Titanic_histograms_numeric.png;Feature generation based on variable Parch seems to be promising.;F;F
Titanic_histograms_numeric.png;Feature generation based on the use of variable Age wouldn’t be useful, but the use of Pclass seems to be promising.;F;F
Titanic_histograms_numeric.png;Given the usual semantics of Age variable, dummification would have been a better codification.;F;F
Titanic_histograms_numeric.png;Not knowing the semantics of SibSp variable, dummification could have been a more adequate codification.;F;F
apple_quality_decision_tree.png;The variable Crunchiness discriminates between the target values, as shown in the decision tree.;T;T
apple_quality_decision_tree.png;Variable Juiciness is one of the most relevant variables.;T;T
apple_quality_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.;T;T
apple_quality_decision_tree.png;As reported in the tree, the number of False Positive is smaller than the number of False Negatives, consider good as the positive class and bad as the negative class.;T;F
apple_quality_decision_tree.png;The recall for the presented tree is higher than 75%, consider good as the positive class and bad as the negative class.;T;T
apple_quality_decision_tree.png;The number of True Positives is higher than the number of False Negatives for the presented tree, consider good as the positive class and bad as the negative class.;T;T
apple_quality_decision_tree.png;The number of False Positives is higher than the number of True Positives for the presented tree, consider good as the positive class and bad as the negative class.;F;F
apple_quality_decision_tree.png;The specificity for the presented tree is higher than 90%, consider good as the positive class and bad as the negative class.;T;F
apple_quality_decision_tree.png;Considering that A=True<=>[Juiciness <= -0.3] and B=True<=>[Crunchiness <= 2.25], the Decision Tree presented classifies (not A, not B) as bad.;F;F
apple_quality_decision_tree.png;Considering that A=True<=>[Juiciness <= -0.3] and B=True<=>[Crunchiness <= 2.25], it is possible to state that KNN algorithm classifies (not A, not B) as bad for any k ≤ 1625.;F;F
apple_quality_decision_tree.png;Considering that A=True<=>[Juiciness <= -0.3] and B=True<=>[Crunchiness <= 2.25], it is possible to state that Naive Bayes algorithm classifies (not A, not B), as good.;T;T
apple_quality_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.;F;F
apple_quality_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.;T;F
apple_quality_overfitting_rf.png;Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.;F;F
apple_quality_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.;T;F
apple_quality_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.;F;F
apple_quality_overfitting_knn.png;KNN is in overfitting for k larger than 17.;F;F
apple_quality_overfitting_knn.png;KNN with 7 neighbour is in overfitting.;T;T
apple_quality_overfitting_knn.png;KNN with more than 17 neighbours is in overfitting.;F;F
apple_quality_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.;T;T
apple_quality_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.;F;F
apple_quality_overfitting_decision_tree.png;The chart reporting the accuracy for different trees shows that the model enters in overfitting for models with depth higher than 5.;F;F
apple_quality_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 6.;F;F
apple_quality_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 2 nodes of depth.;F;F
apple_quality_overfitting_dt_acc_rec.png;The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.;F;F
apple_quality_pca.png;The first 5 principal components are enough for explaining half the data variance.;T;T
apple_quality_pca.png;Using the first 2 principal components would imply an error between 15 and 20%.;F;F
apple_quality_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 2.;F;F
apple_quality_correlation_heatmap.png;One of the variables Crunchiness or Acidity can be discarded without losing information.;F;F
apple_quality_correlation_heatmap.png;The variable Ripeness can be discarded without risking losing information.;F;F
apple_quality_correlation_heatmap.png;Variables Juiciness and Crunchiness are redundant, but we can’t say the same for the pair Sweetness and Ripeness.;F;F
apple_quality_correlation_heatmap.png;Variables Juiciness and Crunchiness are redundant.;F;F
apple_quality_correlation_heatmap.png;Considering that the target variable is Ripeness we can say that from the correlation analysis alone, it is clear that there are relevant variables.;F;F
apple_quality_correlation_heatmap.png;Considering that the target variable is Ripeness we can say that variable Juiciness seems to be relevant for the majority of mining tasks.;F;F
apple_quality_correlation_heatmap.png;Considering that the target variable is Ripeness we can say that variables Crunchiness and Weight seem to be useful for classification tasks.;F;F
apple_quality_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.;T;T
apple_quality_correlation_heatmap.png;Removing variable Juiciness might improve the training of decision trees .;F;F
apple_quality_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable Juiciness previously than variable Ripeness.;F;F
apple_quality_boxplots.png;Variable Weight is balanced.;T;T
apple_quality_boxplots.png;Those boxplots show that the data is not normalized.;T;F
apple_quality_boxplots.png;It is clear that variable Sweetness shows some outliers, but we can’t be sure of the same for variable Crunchiness.;F;F
apple_quality_boxplots.png;Outliers seem to be a problem in the dataset.;T;T
apple_quality_boxplots.png;Variable Ripeness shows a high number of outlier values.;T;F
apple_quality_boxplots.png;Variable Acidity doesn’t have any outliers.;F;F
apple_quality_boxplots.png;Variable Juiciness presents some outliers.;T;T
apple_quality_boxplots.png;At least 75% of the variables present outliers.;T;T
apple_quality_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.;T;T
apple_quality_boxplots.png;A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.;F;F
apple_quality_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.;F;F
apple_quality_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.;F;T
apple_quality_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.;T;F
apple_quality_class_histogram.png;Balancing this dataset would be mandatory to improve the results.;T;F
apple_quality_nr_records_nr_variables.png;Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;F;F
apple_quality_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.;F;F
apple_quality_histograms_numeric.png;All variables should be dealt with as numeric.;F;T
apple_quality_histograms_numeric.png;The variable Acidity can be seen as ordinal.;F;F
apple_quality_histograms_numeric.png;The variable Size can be seen as ordinal without losing information.;F;F
apple_quality_histograms_numeric.png;Variable Juiciness is balanced.;T;T
apple_quality_histograms_numeric.png;It is clear that variable Weight shows some outliers, but we can’t be sure of the same for variable Sweetness.;F;F
apple_quality_histograms_numeric.png;Outliers seem to be a problem in the dataset.;T;F
apple_quality_histograms_numeric.png;Variable Juiciness shows a high number of outlier values.;F;F
apple_quality_histograms_numeric.png;Variable Size doesn’t have any outliers.;F;F
apple_quality_histograms_numeric.png;Variable Weight presents some outliers.;T;T
apple_quality_histograms_numeric.png;At least 50% of the variables present outliers.;T;T
apple_quality_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.;T;T
apple_quality_histograms_numeric.png;Considering the common semantics for Crunchiness and Size variables, dummification if applied would increase the risk of facing the curse of dimensionality.;T;T
apple_quality_histograms_numeric.png;Considering the common semantics for Sweetness variable, dummification would be the most adequate encoding.;F;F
apple_quality_histograms_numeric.png;The variable Juiciness can be coded as ordinal without losing information.;F;F
apple_quality_histograms_numeric.png;Feature generation based on variable Acidity seems to be promising.;F;F
apple_quality_histograms_numeric.png;Feature generation based on the use of variable Acidity wouldn’t be useful, but the use of Size seems to be promising.;F;F
apple_quality_histograms_numeric.png;Given the usual semantics of Acidity variable, dummification would have been a better codification.;F;F
apple_quality_histograms_numeric.png;Not knowing the semantics of Acidity variable, dummification could have been a more adequate codification.;F;F
Employee_decision_tree.png;The variable JoiningYear discriminates between the target values, as shown in the decision tree.;T;T
Employee_decision_tree.png;Variable ExperienceInCurrentDomain is one of the most relevant variables.;T;T
Employee_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.;T;T
Employee_decision_tree.png;As reported in the tree, the number of False Positive is smaller than the number of False Negatives, consider 1 as the positive class and 0 as the negative class.;T;T
Employee_decision_tree.png;The recall for the presented tree is lower than 60%, consider 1 as the positive class and 0 as the negative class.;F;F
Employee_decision_tree.png;The number of False Positives is higher than the number of False Negatives for the presented tree, consider 1 as the positive class and 0 as the negative class.;F;F
Employee_decision_tree.png;The number of False Positives is higher than the number of True Positives for the presented tree, consider 1 as the positive class and 0 as the negative class.;F;F
Employee_decision_tree.png;The number of True Negatives is higher than the number of False Negatives for the presented tree, consider 1 as the positive class and 0 as the negative class.;T;T
Employee_decision_tree.png;Considering that A=True<=>[JoiningYear <= 2017.5] and B=True<=>[ExperienceInCurrentDomain <= 3.5], it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 44.;F;T
Employee_decision_tree.png;Considering that A=True<=>[JoiningYear <= 2017.5] and B=True<=>[ExperienceInCurrentDomain <= 3.5], the Decision Tree presented classifies (not A, B) as 1.;F;T
Employee_decision_tree.png;Considering that A=True<=>[JoiningYear <= 2017.5] and B=True<=>[ExperienceInCurrentDomain <= 3.5], the Decision Tree presented classifies (A,B) as 0.;F;T
Employee_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.;F;F
Employee_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.;F;F
Employee_overfitting_rf.png;Results for Random Forests identified as 2, may be explained by its estimators being in underfitting.;T;T
Employee_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.;T;F
Employee_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.;F;F
Employee_overfitting_knn.png;KNN is in overfitting for k less than 13.;F;F
Employee_overfitting_knn.png;KNN with 7 neighbour is in overfitting.;T;F
Employee_overfitting_knn.png;KNN with more than 15 neighbours is in overfitting.;F;F
Employee_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 2 neighbors.;T;T
Employee_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 9 nodes of depth is in overfitting.;T;T
Employee_overfitting_decision_tree.png;The chart reporting the accuracy for different trees shows that the model enters in overfitting for models with depth higher than 9.;T;T
Employee_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 4.;F;F
Employee_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 2 nodes of depth.;F;F
Employee_overfitting_dt_acc_rec.png;The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.;F;F
Employee_pca.png;The first 3 principal components are enough for explaining half the data variance.;T;T
Employee_pca.png;Using the first 3 principal components would imply an error between 15 and 25%.;F;F
Employee_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 2.;F;F
Employee_correlation_heatmap.png;One of the variables PaymentTier or JoiningYear can be discarded without losing information.;F;F
Employee_correlation_heatmap.png;The variable JoiningYear can be discarded without risking losing information.;F;F
Employee_correlation_heatmap.png;Variables Age and PaymentTier are redundant, but we can’t say the same for the pair ExperienceInCurrentDomain and JoiningYear.;F;F
Employee_correlation_heatmap.png;Variables PaymentTier and JoiningYear are redundant.;F;F
Employee_correlation_heatmap.png;Considering that the target variable is PaymentTier we can say that from the correlation analysis alone, it is clear that there are relevant variables.;F;F
Employee_correlation_heatmap.png;Considering that the target variable is PaymentTier we can say that variable JoiningYear seems to be relevant for the majority of mining tasks.;F;F
Employee_correlation_heatmap.png;Considering that the target variable is PaymentTier we can say that variables Age and ExperienceInCurrentDomain seem to be useful for classification tasks.;F;F
Employee_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.;T;T
Employee_correlation_heatmap.png;Removing variable PaymentTier might improve the training of decision trees .;F;F
Employee_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable ExperienceInCurrentDomain previously than variable PaymentTier.;F;F
Employee_boxplots.png;Variable ExperienceInCurrentDomain is balanced.;F;F
Employee_boxplots.png;Those boxplots show that the data is not normalized.;T;T
Employee_boxplots.png;It is clear that variable PaymentTier shows some outliers, but we can’t be sure of the same for variable Age.;F;F
Employee_boxplots.png;Outliers seem to be a problem in the dataset.;F;T
Employee_boxplots.png;Variable JoiningYear shows a high number of outlier values.;F;F
Employee_boxplots.png;Variable JoiningYear doesn’t have any outliers.;T;T
Employee_boxplots.png;Variable PaymentTier presents some outliers.;F;T
Employee_boxplots.png;At least 60% of the variables present outliers.;F;T
Employee_boxplots.png;The boxplots presented show a large number of outliers for most of the numeric variables.;F;F
Employee_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.;F;T
Employee_boxplots.png;A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.;T;T
Employee_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.;F;F
Employee_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.;F;F
