Id;Chart;Question
26;ObesityDataSet_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 3.
27;ObesityDataSet_correlation_heatmap.png;One of the variables Age or Height can be discarded without losing information.
28;ObesityDataSet_correlation_heatmap.png;The variable Weight can be discarded without risking losing information.
29;ObesityDataSet_correlation_heatmap.png;Variables NCP and TUE are redundant, but we can’t say the same for the pair Weight and Height.
30;ObesityDataSet_correlation_heatmap.png;Variables FAF and TUE are redundant.
31;ObesityDataSet_correlation_heatmap.png;From the correlation analysis alone, it is clear that there are relevant variables.
32;ObesityDataSet_correlation_heatmap.png;Variable Height seems to be relevant for the majority of mining tasks.
33;ObesityDataSet_correlation_heatmap.png;Variables FAF and Height seem to be useful for classification tasks.
34;ObesityDataSet_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.
35;ObesityDataSet_correlation_heatmap.png;Removing variable CH2O might improve the training of decision trees .
36;ObesityDataSet_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable Age previously than variable Height.
37;ObesityDataSet_boxplots.png;Variable CH2O is balanced.
38;ObesityDataSet_boxplots.png;Those boxplots show that the data is not normalized.
39;ObesityDataSet_boxplots.png;It is clear that variable FCVC shows some outliers, but we can’t be sure of the same for variable TUE.
40;ObesityDataSet_boxplots.png;Outliers seem to be a problem in the dataset.
41;ObesityDataSet_boxplots.png;Variable FAF shows some outlier values.
42;ObesityDataSet_boxplots.png;Variable NCP doesn’t have any outliers.
43;ObesityDataSet_boxplots.png;Variable Height presents some outliers.
44;ObesityDataSet_boxplots.png;At least 75 of the variables present outliers.
45;ObesityDataSet_boxplots.png;The boxplots presented show a large number of outliers for most of the numeric variables.
46;ObesityDataSet_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.
47;ObesityDataSet_boxplots.png;A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.
48;ObesityDataSet_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.
49;ObesityDataSet_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.
50;ObesityDataSet_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.
51;ObesityDataSet_histograms_symbolic.png;All variables, but the class, should be dealt with as numeric.
52;ObesityDataSet_histograms_symbolic.png;The variable SMOKE can be seen as ordinal.
53;ObesityDataSet_histograms_symbolic.png;The variable FAVC can be seen as ordinal without losing information.
54;ObesityDataSet_histograms_symbolic.png;Considering the common semantics for FAVC and CAEC variables, dummification if applied would increase the risk of facing the curse of dimensionality.
55;ObesityDataSet_histograms_symbolic.png;Considering the common semantics for family_history_with_overweight variable, dummification would be the most adequate encoding.
56;ObesityDataSet_histograms_symbolic.png;The variable MTRANS can be coded as ordinal without losing information.
57;ObesityDataSet_histograms_symbolic.png;Feature generation based on variable family_history_with_overweight seems to be promising.
58;ObesityDataSet_histograms_symbolic.png;Feature generation based on the use of variable SCC wouldn’t be useful, but the use of CAEC seems to be promising.
59;ObesityDataSet_histograms_symbolic.png;Given the usual semantics of family_history_with_overweight variable, dummification would have been a better codification.
60;ObesityDataSet_histograms_symbolic.png;It is better to drop the variable CALC than removing all records with missing values.
61;ObesityDataSet_histograms_symbolic.png;Not knowing the semantics of family_history_with_overweight variable, dummification could have been a more adequate codification.
62;ObesityDataSet_class_histogram.png;Balancing this dataset would be mandatory to improve the results.
63;ObesityDataSet_nr_records_nr_variables.png;Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.
64;ObesityDataSet_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.
65;ObesityDataSet_nr_records_nr_variables.png;Balancing this dataset by SMOTE would most probably be preferable over undersampling.
66;ObesityDataSet_histograms_numeric.png;All variables, but the class, should be dealt with as symbolic.
67;ObesityDataSet_histograms_numeric.png;The variable Height can be seen as ordinal.
68;ObesityDataSet_histograms_numeric.png;The variable NCP can be seen as ordinal without losing information.
69;ObesityDataSet_histograms_numeric.png;Variable FAF is balanced.
70;ObesityDataSet_histograms_numeric.png;It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable CH2O.
71;ObesityDataSet_histograms_numeric.png;Outliers seem to be a problem in the dataset.
72;ObesityDataSet_histograms_numeric.png;Variable Height shows a high number of outlier values.
73;ObesityDataSet_histograms_numeric.png;Variable TUE doesn’t have any outliers.
74;ObesityDataSet_histograms_numeric.png;Variable FCVC presents some outliers.
75;ObesityDataSet_histograms_numeric.png;At least 60 of the variables present outliers.
76;ObesityDataSet_histograms_numeric.png;The boxplots presented show a large number of outliers for most of the numeric variables.
77;ObesityDataSet_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.
78;ObesityDataSet_histograms_numeric.png;Considering the common semantics for Weight and Age variables, dummification if applied would increase the risk of facing the curse of dimensionality.
79;ObesityDataSet_histograms_numeric.png;Considering the common semantics for Age variable, dummification would be the most adequate encoding.
80;ObesityDataSet_histograms_numeric.png;The variable Weight can be coded as ordinal without losing information.
81;ObesityDataSet_histograms_numeric.png;Feature generation based on variable TUE seems to be promising.
82;ObesityDataSet_histograms_numeric.png;Feature generation based on the use of variable Weight wouldn’t be useful, but the use of Age seems to be promising.
83;ObesityDataSet_histograms_numeric.png;Given the usual semantics of FAF variable, dummification would have been a better codification.
84;ObesityDataSet_histograms_numeric.png;It is better to drop the variable Age than removing all records with missing values.
85;ObesityDataSet_histograms_numeric.png;Not knowing the semantics of CH2O variable, dummification could have been a more adequate codification.
86;customer_segmentation_decision_tree.png;The variable Family_Size discriminates between the target values, as shown in the decision tree.
87;customer_segmentation_decision_tree.png;Variable Work_Experience is one of the most relevant variables.
88;customer_segmentation_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.
89;customer_segmentation_decision_tree.png;As reported in the tree, the number of False Positive is smaller than the number of False Negatives.
90;customer_segmentation_decision_tree.png;The precision for the presented tree is lower than 60%.
91;customer_segmentation_decision_tree.png;The number of True Negatives is higher than the number of False Positives for the presented tree.
92;customer_segmentation_decision_tree.png;The number of True Negatives is higher than the number of True Positives for the presented tree.
93;customer_segmentation_decision_tree.png;The recall for the presented tree is higher than its accuracy.
94;customer_segmentation_decision_tree.png;Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (A,B) as B for any k ≤ 11.
95;customer_segmentation_decision_tree.png;Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (A, not B) as C for any k ≤ 723.
96;customer_segmentation_decision_tree.png;Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (not A, B) as B for any k ≤ 524.
97;customer_segmentation_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 300 episodes.
98;customer_segmentation_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
99;customer_segmentation_overfitting_rf.png;Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.
100;customer_segmentation_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.
101;customer_segmentation_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.
102;customer_segmentation_overfitting_knn.png;KNN is in overfitting for k larger than 13.
103;customer_segmentation_overfitting_knn.png;KNN with 11 neighbour is in overfitting.
104;customer_segmentation_overfitting_knn.png;KNN with more than 17 neighbours is in overfitting.
105;customer_segmentation_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.
106;customer_segmentation_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.
107;customer_segmentation_overfitting_decision_tree.png;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 7.
108;customer_segmentation_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 5.
109;customer_segmentation_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.
110;customer_segmentation_pca.png;The first 2 principal components are enough for explaining half the data variance.
111;customer_segmentation_pca.png;Using the first 2 principal components would imply an error between 10 and 20%.
112;customer_segmentation_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 2.
113;customer_segmentation_correlation_heatmap.png;One of the variables Age or Family_Size can be discarded without losing information.
114;customer_segmentation_correlation_heatmap.png;The variable Age can be discarded without risking losing information.
115;customer_segmentation_correlation_heatmap.png;Variables Age and Work_Experience seem to be useful for classification tasks.
116;customer_segmentation_correlation_heatmap.png;Variables Age and Work_Experience are redundant.
117;customer_segmentation_correlation_heatmap.png;From the correlation analysis alone, it is clear that there are relevant variables.
118;customer_segmentation_correlation_heatmap.png;Variable Family_Size seems to be relevant for the majority of mining tasks.
119;customer_segmentation_correlation_heatmap.png;Variables Family_Size and Work_Experience seem to be useful for classification tasks.
120;customer_segmentation_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.
121;customer_segmentation_correlation_heatmap.png;Removing variable Work_Experience might improve the training of decision trees .
122;customer_segmentation_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable Age previously than variable Family_Size.
123;customer_segmentation_boxplots.png;Variable Family_Size is balanced.
124;customer_segmentation_boxplots.png;Those boxplots show that the data is not normalized.
125;customer_segmentation_boxplots.png;It is clear that variable Work_Experience shows some outliers, but we can’t be sure of the same for variable Family_Size.
126;customer_segmentation_boxplots.png;Outliers seem to be a problem in the dataset.
127;customer_segmentation_boxplots.png;Variable Work_Experience shows a high number of outlier values.
128;customer_segmentation_boxplots.png;Variable Work_Experience doesn’t have any outliers.
129;customer_segmentation_boxplots.png;Variable Age presents some outliers.
130;customer_segmentation_boxplots.png;At least 50 of the variables present outliers.
131;customer_segmentation_boxplots.png;The histograms presented show a large number of outliers for most of the numeric variables.
132;customer_segmentation_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.
133;customer_segmentation_boxplots.png;A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.
134;customer_segmentation_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.
135;customer_segmentation_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.
136;customer_segmentation_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.
137;customer_segmentation_histograms_symbolic.png;All variables, but the class, should be dealt with as numeric.
138;customer_segmentation_histograms_symbolic.png;The variable Gender can be seen as ordinal.
139;customer_segmentation_histograms_symbolic.png;The variable Ever_Married can be seen as ordinal without losing information.
140;customer_segmentation_histograms_symbolic.png;Considering the common semantics for Var_1 and Profession variables, dummification if applied would increase the risk of facing the curse of dimensionality.
141;customer_segmentation_histograms_symbolic.png;Considering the common semantics for Profession variable, dummification would be the most adequate encoding.
142;customer_segmentation_histograms_symbolic.png;The variable Graduated can be coded as ordinal without losing information.
143;customer_segmentation_histograms_symbolic.png;Feature generation based on variable Gender seems to be promising.
144;customer_segmentation_histograms_symbolic.png;Feature generation based on the use of variable Graduated wouldn’t be useful, but the use of Profession seems to be promising.
145;customer_segmentation_histograms_symbolic.png;Given the usual semantics of Profession variable, dummification would have been a better codification.
146;customer_segmentation_histograms_symbolic.png;It is better to drop the variable Graduated than removing all records with missing values.
147;customer_segmentation_histograms_symbolic.png;Not knowing the semantics of Spending_Score variable, dummification could have been a more adequate codification.
148;customer_segmentation_mv.png;Discarding variable Var_1 would be better than discarding all the records with missing values for that variable.
149;customer_segmentation_mv.png;Dropping all records with missing values would be better than to drop the variables with missing values.
150;customer_segmentation_mv.png;Dropping all rows with missing values can lead to a dataset with less than 30% of the original data.
151;customer_segmentation_mv.png;There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.
152;customer_segmentation_mv.png;Feature generation based on variable Var_1 seems to be promising.
153;customer_segmentation_mv.png;It is better to drop the variable Family_Size than removing all records with missing values.
154;customer_segmentation_class_histogram.png;Balancing this dataset would be mandatory to improve the results.
155;customer_segmentation_nr_records_nr_variables.png;Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.
156;customer_segmentation_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.
157;customer_segmentation_nr_records_nr_variables.png;Balancing this dataset by SMOTE would most probably be preferable over undersampling.
158;customer_segmentation_histograms_numeric.png;All variables, but the class, should be dealt with as symbolic.
159;customer_segmentation_histograms_numeric.png;The variable Family_Size can be seen as ordinal.
160;customer_segmentation_histograms_numeric.png;The variable Age can be seen as ordinal without losing information.
161;customer_segmentation_histograms_numeric.png;Variable Family_Size is balanced.
162;customer_segmentation_histograms_numeric.png;It is clear that variable Work_Experience shows some outliers, but we can’t be sure of the same for variable Age.
163;customer_segmentation_histograms_numeric.png;Outliers seem to be a problem in the dataset.
164;customer_segmentation_histograms_numeric.png;Variable Age shows some outlier values.
165;customer_segmentation_histograms_numeric.png;Variable Family_Size doesn’t have any outliers.
166;customer_segmentation_histograms_numeric.png;Variable Work_Experience presents some outliers.
167;customer_segmentation_histograms_numeric.png;At least 75 of the variables present outliers.
168;customer_segmentation_histograms_numeric.png;The histograms presented show a large number of outliers for most of the numeric variables.
169;customer_segmentation_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.
170;customer_segmentation_histograms_numeric.png;Considering the common semantics for Family_Size and Age variables, dummification if applied would increase the risk of facing the curse of dimensionality.
171;customer_segmentation_histograms_numeric.png;Considering the common semantics for Age variable, dummification would be the most adequate encoding.
172;customer_segmentation_histograms_numeric.png;The variable Age can be coded as ordinal without losing information.
173;customer_segmentation_histograms_numeric.png;Feature generation based on variable Work_Experience seems to be promising.
174;customer_segmentation_histograms_numeric.png;Feature generation based on the use of variable Work_Experience wouldn’t be useful, but the use of Age seems to be promising.
175;customer_segmentation_histograms_numeric.png;Given the usual semantics of Age variable, dummification would have been a better codification.
176;customer_segmentation_histograms_numeric.png;It is better to drop the variable Age than removing all records with missing values.
177;customer_segmentation_histograms_numeric.png;Not knowing the semantics of Family_Size variable, dummification could have been a more adequate codification.
178;urinalysis_tests_decision_tree.png;The variable Age discriminates between the target values, as shown in the decision tree.
179;urinalysis_tests_decision_tree.png;Variable Age is one of the most relevant variables.
180;urinalysis_tests_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.
181;urinalysis_tests_decision_tree.png;As reported in the tree, the number of False Positive is bigger than the number of False Negatives.
182;urinalysis_tests_decision_tree.png;The specificity for the presented tree is higher than 60%.
183;urinalysis_tests_decision_tree.png;The number of True Positives reported in the same tree is 10.
184;urinalysis_tests_decision_tree.png;The number of False Positives is higher than the number of False Negatives for the presented tree.
185;urinalysis_tests_decision_tree.png;The recall for the presented tree is lower than its specificity.
186;urinalysis_tests_decision_tree.png;Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], the Decision Tree presented classifies (not A, B) as NEGATIVE.
187;urinalysis_tests_decision_tree.png;Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], the Decision Tree presented classifies (not A, B) as POSITIVE.
188;urinalysis_tests_decision_tree.png;Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], it is possible to state that KNN algorithm classifies (not A, B) as NEGATIVE for any k ≤ 763.
189;urinalysis_tests_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
190;urinalysis_tests_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.
191;urinalysis_tests_overfitting_rf.png;Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.
192;urinalysis_tests_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.
193;urinalysis_tests_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.
194;urinalysis_tests_overfitting_knn.png;KNN is in overfitting for k larger than 5.
195;urinalysis_tests_overfitting_knn.png;KNN with 7 neighbour is in overfitting.
196;urinalysis_tests_overfitting_knn.png;KNN with less than 17 neighbours is in overfitting.
197;urinalysis_tests_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.
198;urinalysis_tests_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 5 nodes of depth is in overfitting.
199;urinalysis_tests_overfitting_decision_tree.png;The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 9.
200;urinalysis_tests_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 8.
201;urinalysis_tests_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.
202;urinalysis_tests_overfitting_dt_acc_rec.png;The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
203;urinalysis_tests_pca.png;The first 2 principal components are enough for explaining half the data variance.
204;urinalysis_tests_pca.png;Using the first 2 principal components would imply an error between 5 and 20%.
205;urinalysis_tests_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 2.
206;urinalysis_tests_correlation_heatmap.png;One of the variables pH or Age can be discarded without losing information.
207;urinalysis_tests_correlation_heatmap.png;The variable Age can be discarded without risking losing information.
208;urinalysis_tests_correlation_heatmap.png;Variables Specific Gravity and Age seem to be useful for classification tasks.
209;urinalysis_tests_correlation_heatmap.png;Variables Age and pH are redundant.
210;urinalysis_tests_correlation_heatmap.png;From the correlation analysis alone, it is clear that there are relevant variables.
211;urinalysis_tests_correlation_heatmap.png;Variable Specific Gravity seems to be relevant for the majority of mining tasks.
212;urinalysis_tests_correlation_heatmap.png;Variables Specific Gravity and pH seem to be useful for classification tasks.
213;urinalysis_tests_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.
214;urinalysis_tests_correlation_heatmap.png;Removing variable pH might improve the training of decision trees .
215;urinalysis_tests_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable Age previously than variable pH.
216;urinalysis_tests_boxplots.png;Variable pH is balanced.
217;urinalysis_tests_boxplots.png;Those boxplots show that the data is not normalized.
218;urinalysis_tests_boxplots.png;It is clear that variable Specific Gravity shows some outliers, but we can’t be sure of the same for variable Age.
219;urinalysis_tests_boxplots.png;Outliers seem to be a problem in the dataset.
220;urinalysis_tests_boxplots.png;Variable Specific Gravity shows a high number of outlier values.
221;urinalysis_tests_boxplots.png;Variable Age doesn’t have any outliers.
222;urinalysis_tests_boxplots.png;Variable Age presents some outliers.
223;urinalysis_tests_boxplots.png;At least 60 of the variables present outliers.
224;urinalysis_tests_boxplots.png;The boxplots presented show a large number of outliers for most of the numeric variables.
225;urinalysis_tests_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.
226;urinalysis_tests_boxplots.png;A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.
227;urinalysis_tests_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.
228;urinalysis_tests_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.
229;urinalysis_tests_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.
230;urinalysis_tests_histograms_symbolic.png;All variables, but the class, should be dealt with as symbolic.
231;urinalysis_tests_histograms_symbolic.png;The variable Gender can be seen as ordinal.
232;urinalysis_tests_histograms_symbolic.png;The variable Mucous Threads can be seen as ordinal without losing information.
233;urinalysis_tests_histograms_symbolic.png;Considering the common semantics for Epithelial Cells and Color variables, dummification if applied would increase the risk of facing the curse of dimensionality.
234;urinalysis_tests_histograms_symbolic.png;Considering the common semantics for Amorphous Urates variable, dummification would be the most adequate encoding.
235;urinalysis_tests_histograms_symbolic.png;The variable Color can be coded as ordinal without losing information.
236;urinalysis_tests_histograms_symbolic.png;Feature generation based on variable Amorphous Urates seems to be promising.
237;urinalysis_tests_histograms_symbolic.png;Feature generation based on the use of variable Protein wouldn’t be useful, but the use of Color seems to be promising.
238;urinalysis_tests_histograms_symbolic.png;Given the usual semantics of Bacteria variable, dummification would have been a better codification.
239;urinalysis_tests_histograms_symbolic.png;It is better to drop the variable Bacteria than removing all records with missing values.
240;urinalysis_tests_histograms_symbolic.png;Not knowing the semantics of Epithelial Cells variable, dummification could have been a more adequate codification.
241;urinalysis_tests_mv.png;Discarding variable Color would be better than discarding all the records with missing values for that variable.
242;urinalysis_tests_mv.png;Dropping all records with missing values would be better than to drop the variables with missing values.
243;urinalysis_tests_mv.png;Dropping all rows with missing values can lead to a dataset with less than 30% of the original data.
244;urinalysis_tests_mv.png;There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.
245;urinalysis_tests_mv.png;Feature generation based on variable Color seems to be promising.
246;urinalysis_tests_mv.png;It is better to drop the variable Color than removing all records with missing values.
247;urinalysis_tests_class_histogram.png;Balancing this dataset would be mandatory to improve the results.
248;urinalysis_tests_nr_records_nr_variables.png;Given the number of records and that some variables are date, we might be facing the curse of dimensionality.
249;urinalysis_tests_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.
250;urinalysis_tests_nr_records_nr_variables.png;Balancing this dataset by SMOTE would most probably be preferable over undersampling.
251;urinalysis_tests_histograms_numeric.png;All variables, but the class, should be dealt with as binary.
252;urinalysis_tests_histograms_numeric.png;The variable Specific Gravity can be seen as ordinal.
253;urinalysis_tests_histograms_numeric.png;The variable Specific Gravity can be seen as ordinal without losing information.
254;urinalysis_tests_histograms_numeric.png;Variable Specific Gravity is balanced.
255;urinalysis_tests_histograms_numeric.png;It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable pH.
256;urinalysis_tests_histograms_numeric.png;Outliers seem to be a problem in the dataset.
257;urinalysis_tests_histograms_numeric.png;Variable Specific Gravity shows a high number of outlier values.
258;urinalysis_tests_histograms_numeric.png;Variable Specific Gravity doesn’t have any outliers.
259;urinalysis_tests_histograms_numeric.png;Variable Specific Gravity presents some outliers.
260;urinalysis_tests_histograms_numeric.png;At least 50 of the variables present outliers.
261;urinalysis_tests_histograms_numeric.png;The boxplots presented show a large number of outliers for most of the numeric variables.
262;urinalysis_tests_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.
263;urinalysis_tests_histograms_numeric.png;Considering the common semantics for Age and pH variables, dummification if applied would increase the risk of facing the curse of dimensionality.
264;urinalysis_tests_histograms_numeric.png;Considering the common semantics for Age variable, dummification would be the most adequate encoding.
265;urinalysis_tests_histograms_numeric.png;The variable pH can be coded as ordinal without losing information.
266;urinalysis_tests_histograms_numeric.png;Feature generation based on variable Age seems to be promising.
267;urinalysis_tests_histograms_numeric.png;Feature generation based on the use of variable Age wouldn’t be useful, but the use of pH seems to be promising.
268;urinalysis_tests_histograms_numeric.png;Given the usual semantics of Specific Gravity variable, dummification would have been a better codification.
269;urinalysis_tests_histograms_numeric.png;It is better to drop the variable pH than removing all records with missing values.
270;urinalysis_tests_histograms_numeric.png;Not knowing the semantics of Age variable, dummification could have been a more adequate codification.
271;detect_dataset_decision_tree.png;The variable Ic discriminates between the target values, as shown in the decision tree.
272;detect_dataset_decision_tree.png;Variable Vb is one of the most relevant variables.
273;detect_dataset_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.
274;detect_dataset_decision_tree.png;As reported in the tree, the number of False Positive is smaller than the number of False Negatives.
275;detect_dataset_decision_tree.png;The precision for the presented tree is higher than 75%.
276;detect_dataset_decision_tree.png;The number of False Negatives is lower than the number of True Negatives for the presented tree.
277;detect_dataset_decision_tree.png;The number of True Positives is lower than the number of False Positives for the presented tree.
278;detect_dataset_decision_tree.png;The number of False Negatives reported in the same tree is 50.
279;detect_dataset_decision_tree.png;Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 3.
280;detect_dataset_decision_tree.png;Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], the Decision Tree presented classifies (A, not B) as 0.
281;detect_dataset_decision_tree.png;Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], the Decision Tree presented classifies (A,B) as 0.
282;detect_dataset_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
283;detect_dataset_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.
284;detect_dataset_overfitting_rf.png;Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.
285;detect_dataset_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.
286;detect_dataset_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 502 estimators.
287;detect_dataset_overfitting_knn.png;KNN is in overfitting for k less than 17.
288;detect_dataset_overfitting_knn.png;KNN with 5 neighbour is in overfitting.
289;detect_dataset_overfitting_knn.png;KNN with less than 17 neighbours is in overfitting.
290;detect_dataset_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.
