Chart;Prediction;Reference
apple_quality_histograms_numeric.png;{Size:{Outliers:F,Balanced:F,Ordinal:F},Weight:{Outliers:T,Balanced:F,Ordinal:F},Sweetness:{Outliers:T,Balanced:F,Ordinal:F},Acidity:{Outliers:T,Balanced:F,Ordinal:F}};{Size:{Outliers:T,Balanced:T,Ordinal:F},Weight:{Outliers:T,Balanced:T,Ordinal:F},Sweetness:{Outliers:T,Balanced:T,Ordinal:F},Crunchiness:{Outliers:T,Balanced:T,Ordinal:F},Juiciness:{Outliers:T,Balanced:T,Ordinal:F},Ripeness:{Outliers:T,Balanced:T,Ordinal:F},Acidity:{Outliers:T,Balanced:T,Ordinal:F}}
Employee_decision_tree.png;{'JoiningYear <= 2017.5': {'samples': 3257, 'value': [2137,1120], 'class': '0', 'True': {'ExperienceInCurrentDomain <= 3.5': {'samples': 2996, 'value': [3134,802], 'class': '0', 'True': {'samples': 1215, 'value': [1227,354], 'class': '0'}, 'False': {'samples': 44, 'value': [317,314], 'class': '1'}}}, 'False': {'ExperienceInCurrentDomain <= 3.5': {'samples': 261, 'value': [3,3,8], 'class': '1', 'True': {'samples': 217, 'value': [3,114], 'class': '1'}, 'False': {'samples': 174, 'value': [3,114], 'class': '1'}}}}};{'JoiningYear <= 2017.5': {'samples': 3257, 'value': [2137,1120], 'class': '0', 'True': {'ExperienceInCurrentDomain <= 3.5': {'samples': 2996, 'value': [2134,862], 'class': '0', 'True': {'samples': 1781, 'value': [1227,554], 'class': '0'}, 'False': {'samples': 1215, 'value': [907,308], 'class': '0'}}}, 'False': {'ExperienceInCurrentDomain <= 3.5': {'samples': 261, 'value': [3,258], 'class': '1', 'True': {'samples': 44, 'value': [0,44], 'class': '1'}, 'False': {'samples': 217, 'value': [3,214], 'class': '1'}}}}}
Employee_overfitting_mlp.png;overfitting after 100;no
Employee_overfitting_gb.png;overfitting after 502;no
Employee_overfitting_rf.png;overfitting after 502;underfitting until 502,no overfitting,acc>0.8
Employee_overfitting_knn.png;overfitting after 19;overfitting until 9
Employee_overfitting_decision_tree.png;overfitting after 3;overfitting after 8
Employee_overfitting_dt_acc_rec.png;acc_rec;acc_rec
Employee_pca.png;[0.79,0.12,0.08,0.01];[0.79,0.12,0.08,0.01]
Employee_correlation_heatmap.png;{5,[]};{4,[]}
Employee_boxplots.png;[2014,0.00,0.4,0.6,0.8,0.0,0.2,0.4,0.4,0.6];[F,{JoiningYear:{Outliers:F,Balanced:T},PaymentTier:{Outliers:F,Balanced:F},Age:{Outliers:F,Balanced:F},ExperienceInCurrentDomain:{Outliers:F,Balanced:F}}]
Employee_histograms_symbolic.png;{Education:['Bachelors', 'Masters', 'Doctorate', '5th', '1st', '2nd', '3rd', '4th', '5th', '6th', '7th', '8th', '9th', '1st', '1st', '2nd', '3rd', '4th', '5th', '1st', 'Preschool'],City:['Capital', 'State', 'Province', 'Town', 'State', 'Province', 'Country', 'State', 'Province', 'Country', 'State'],Gender:['Female', 'Male'],EverBenched:[0, 1]};{Education:['Bachelors', 'Masters', 'PHD'],City:['Bangalore', 'Pune', 'New Delhi'],Gender:['Male', 'Female'],EverBenched:['No', 'Yes']}
Employee_class_histogram.png;[3053,1600];[3053,1600]
Employee_nr_records_nr_variables.png;[4653,9];[4653,9]
Employee_histograms_numeric.png;{'Histopram for JoiningYear': 3500, 'PaymentTier': 2500, 'Histopram for Age': 400, 'ExperienceInCurrentDomain': 0.8', '0.2': 1.00, '0.2': 1.50, '0.0': 2.55, '0.8': 1.00, '0.4': 0.4', '0.5': 1.00, '0.4': 0.4', '0.6': 1.00};{JoiningYear:{Outliers:F,Balanced:F,Ordinal:T},PaymentTier:{Outliers:F,Balanced:F,Ordinal:T},Age:{Outliers:F,Balanced:F,Ordinal:F},ExperienceInCurrentDomain:{Outliers:F,Balanced:F,Ordinal:T}}
