CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited
730.0,43.0,1.0,103960.38,1.0,193650.16,0
720.0,23.0,0.0,187861.18,2.0,104120.17,0
505.0,43.0,5.0,136855.94,2.0,171070.52,0
495.0,42.0,7.0,0.0,2.0,130404.53,0
850.0,42.0,9.0,113311.11,1.0,198193.75,0
727.0,32.0,1.0,59271.82,1.0,46019.43,0
605.0,52.0,1.0,63349.75,1.0,108887.44,0
800.0,40.0,5.0,97764.41,1.0,98640.15,1
707.0,32.0,9.0,0.0,2.0,126475.79,0
794.0,35.0,6.0,0.0,2.0,68730.91,0
545.0,23.0,2.0,0.0,2.0,189613.12,0
763.0,23.0,2.0,0.0,2.0,153983.99,0
579.0,39.0,2.0,151963.26,2.0,158948.63,0
609.0,37.0,5.0,129312.79,1.0,26793.82,0
777.0,43.0,1.0,0.0,2.0,21785.91,0
456.0,33.0,1.0,188285.68,1.0,58363.94,0
521.0,37.0,2.0,0.0,2.0,86372.24,0
529.0,43.0,5.0,0.0,2.0,79476.63,0
629.0,44.0,5.0,0.0,4.0,117572.59,1
554.0,26.0,7.0,92606.86,2.0,192709.69,0
724.0,36.0,1.0,0.0,2.0,52462.25,0
651.0,38.0,2.0,0.0,3.0,67029.82,1
588.0,42.0,2.0,164307.77,1.0,48498.19,0
673.0,39.0,8.0,138160.0,1.0,110468.51,0
615.0,44.0,9.0,126104.98,2.0,110718.02,0
802.0,41.0,5.0,0.0,2.0,134626.3,0
544.0,22.0,3.0,66483.32,1.0,110317.39,0
496.0,32.0,4.0,127845.83,1.0,66469.2,0
710.0,37.0,5.0,0.0,2.0,115403.31,0
710.0,38.0,4.0,0.0,2.0,136390.88,0
805.0,26.0,2.0,0.0,2.0,25042.1,0
659.0,31.0,4.0,118342.26,1.0,161574.19,0
622.0,32.0,6.0,169089.38,2.0,101057.95,0
605.0,33.0,9.0,128152.82,1.0,147822.81,0
645.0,24.0,3.0,34547.82,1.0,11638.17,0
650.0,37.0,9.0,0.0,2.0,17974.08,0
659.0,43.0,1.0,106086.42,2.0,26900.63,0
806.0,31.0,10.0,138653.51,1.0,190803.37,0
572.0,47.0,4.0,99353.42,1.0,196549.85,1
576.0,33.0,3.0,0.0,2.0,190112.05,0
472.0,37.0,1.0,0.0,2.0,48357.9,0
759.0,30.0,4.0,101802.67,1.0,8693.8,0
680.0,32.0,5.0,92961.61,1.0,116957.6,0
729.0,44.0,6.0,0.0,2.0,151733.43,0
628.0,37.0,9.0,0.0,2.0,34689.77,0
622.0,43.0,8.0,0.0,2.0,100618.17,0
580.0,42.0,2.0,123331.36,1.0,103516.08,1
762.0,19.0,6.0,0.0,2.0,55500.17,0
701.0,41.0,9.0,164046.1,1.0,49405.93,0
786.0,32.0,2.0,120452.4,2.0,79602.86,0
504.0,32.0,8.0,170291.22,2.0,15658.99,0
554.0,26.0,4.0,121365.39,1.0,8742.36,0
661.0,35.0,9.0,100107.99,1.0,83949.68,0
756.0,30.0,2.0,145127.85,1.0,7554.68,0
678.0,61.0,8.0,0.0,2.0,159938.82,0
588.0,64.0,3.0,0.0,1.0,189703.65,0
762.0,32.0,10.0,191775.65,1.0,179657.83,0
534.0,42.0,9.0,144801.97,1.0,12483.39,1
599.0,58.0,4.0,0.0,1.0,176407.15,1
850.0,28.0,2.0,101100.22,2.0,35337.31,0
562.0,31.0,2.0,112708.2,1.0,186370.3,0
473.0,35.0,6.0,69617.36,1.0,143345.69,0
514.0,45.0,1.0,178827.79,1.0,60375.18,0
604.0,41.0,10.0,0.0,2.0,166224.39,0
785.0,33.0,5.0,136624.6,2.0,169117.74,0
773.0,50.0,4.0,0.0,2.0,129372.94,0
778.0,37.0,3.0,141803.77,1.0,179421.84,0
582.0,29.0,0.0,0.0,1.0,84012.81,0
639.0,31.0,3.0,98360.03,1.0,20973.8,0
742.0,39.0,8.0,140004.96,1.0,92985.78,0
609.0,39.0,8.0,141675.23,1.0,175664.25,0
651.0,34.0,4.0,91562.99,1.0,123954.15,0
673.0,47.0,1.0,0.0,2.0,108762.16,0
574.0,26.0,8.0,97460.1,1.0,43093.67,0
698.0,57.0,9.0,111359.55,2.0,105715.01,0
663.0,34.0,7.0,0.0,2.0,180427.24,0
778.0,33.0,9.0,151772.63,2.0,180249.94,1
655.0,32.0,2.0,0.0,1.0,71047.51,0
739.0,32.0,3.0,102128.27,1.0,63981.37,1
638.0,37.0,7.0,124513.66,2.0,158610.89,0
569.0,32.0,8.0,145330.43,1.0,132038.65,0
636.0,36.0,6.0,96643.32,1.0,182059.28,0
659.0,67.0,4.0,145981.87,1.0,131043.2,0
662.0,42.0,6.0,105021.28,1.0,48242.38,0
577.0,32.0,1.0,0.0,2.0,9902.39,0
813.0,30.0,1.0,116416.94,1.0,85808.22,0
727.0,35.0,5.0,136364.46,1.0,142754.71,0
561.0,22.0,6.0,186788.96,2.0,73286.8,0
731.0,52.0,10.0,0.0,1.0,24998.75,1
807.0,47.0,9.0,167664.83,1.0,125440.11,1
670.0,33.0,7.0,0.0,2.0,88187.81,0
691.0,29.0,9.0,0.0,2.0,199635.93,0
626.0,29.0,4.0,105767.28,2.0,41104.82,0
671.0,23.0,9.0,123943.18,1.0,159553.27,0
703.0,45.0,7.0,0.0,2.0,68831.72,0
803.0,26.0,4.0,0.0,2.0,181208.47,0
788.0,42.0,6.0,138650.49,2.0,64746.07,0
734.0,47.0,10.0,91522.04,2.0,138835.91,0
787.0,46.0,7.0,117685.31,2.0,93360.35,0
624.0,36.0,6.0,0.0,2.0,84635.64,0
439.0,32.0,3.0,138901.61,1.0,75685.97,0
513.0,49.0,5.0,171601.27,1.0,126223.84,0
664.0,44.0,7.0,77526.66,3.0,57338.56,1
511.0,29.0,9.0,0.0,2.0,140676.98,0
632.0,30.0,1.0,58668.02,1.0,78670.52,0
634.0,25.0,9.0,0.0,2.0,8227.91,0
833.0,29.0,1.0,96462.25,2.0,48986.18,0
725.0,39.0,5.0,116803.8,1.0,124052.97,0
663.0,22.0,6.0,0.0,2.0,131827.15,0
671.0,38.0,0.0,92674.94,2.0,3647.57,0
635.0,38.0,1.0,0.0,2.0,90605.05,0
632.0,47.0,3.0,0.0,2.0,178822.32,0
637.0,43.0,8.0,0.0,1.0,12156.93,1
527.0,33.0,9.0,132168.28,1.0,98734.15,0
705.0,48.0,0.0,0.0,2.0,149772.61,0
510.0,52.0,6.0,191665.21,1.0,131312.56,1
746.0,32.0,4.0,0.0,2.0,72909.75,0
741.0,38.0,9.0,0.0,2.0,14379.01,0
585.0,44.0,7.0,163867.86,1.0,112333.22,0
511.0,30.0,5.0,0.0,2.0,143994.86,0
699.0,26.0,6.0,79932.41,1.0,150242.44,0
583.0,54.0,6.0,115988.86,1.0,57553.98,1
790.0,37.0,3.0,0.0,3.0,98897.32,0
672.0,39.0,2.0,0.0,2.0,87372.49,0
777.0,28.0,2.0,134571.5,1.0,118313.38,0
650.0,61.0,1.0,152968.73,1.0,82970.69,0
832.0,27.0,10.0,98590.25,1.0,30912.89,0
549.0,29.0,8.0,0.0,2.0,189558.44,0
704.0,32.0,7.0,127785.17,4.0,184464.7,1
635.0,44.0,2.0,79064.85,2.0,113291.75,0
593.0,32.0,6.0,99162.29,1.0,128384.11,0
526.0,28.0,1.0,112070.44,1.0,126281.83,0
762.0,39.0,2.0,81273.13,1.0,18719.67,0
733.0,31.0,6.0,157791.07,2.0,177994.81,0
656.0,26.0,4.0,139584.57,1.0,36308.93,0
709.0,26.0,6.0,156551.63,1.0,4410.77,0
585.0,40.0,3.0,162261.01,2.0,137028.51,0
728.0,32.0,9.0,127772.1,2.0,152643.48,0
740.0,31.0,8.0,0.0,2.0,86657.48,0
685.0,30.0,4.0,84958.6,2.0,194343.72,0
609.0,26.0,7.0,0.0,2.0,98463.99,0
713.0,59.0,3.0,0.0,2.0,62700.08,0
643.0,33.0,4.0,0.0,2.0,152992.04,0
657.0,27.0,8.0,0.0,2.0,6468.24,0
777.0,37.0,10.0,121532.17,2.0,73464.88,0
723.0,21.0,4.0,0.0,2.0,24847.02,0
757.0,31.0,1.0,127320.36,3.0,163170.32,0
757.0,23.0,2.0,80673.96,2.0,93991.65,0
563.0,32.0,0.0,148326.09,1.0,191604.27,1
584.0,49.0,8.0,172713.44,1.0,113860.81,0
705.0,56.0,2.0,143249.67,1.0,88428.41,1
719.0,48.0,5.0,0.0,2.0,78563.66,0
748.0,35.0,5.0,105492.53,1.0,150057.2,0
557.0,27.0,2.0,0.0,2.0,4497.55,0
744.0,29.0,6.0,123737.04,2.0,141558.04,0
650.0,32.0,2.0,84906.45,1.0,163216.48,0
539.0,38.0,8.0,71460.67,2.0,10074.05,0
560.0,31.0,3.0,115141.18,1.0,39806.75,0
499.0,44.0,6.0,77627.33,2.0,108222.68,0
501.0,40.0,5.0,114655.58,1.0,126535.92,0
610.0,45.0,3.0,0.0,1.0,38276.84,1
648.0,34.0,3.0,95039.73,2.0,147055.87,0
587.0,35.0,5.0,121863.61,1.0,23481.69,1
510.0,38.0,4.0,0.0,1.0,118913.53,1
601.0,42.0,9.0,133636.16,1.0,103315.74,0
610.0,46.0,5.0,116886.59,1.0,107973.44,0
644.0,37.0,6.0,117271.8,2.0,104217.96,1
539.0,24.0,3.0,0.0,2.0,198161.07,0
726.0,44.0,2.0,0.0,2.0,26733.86,0
637.0,40.0,9.0,154309.67,1.0,125334.16,1
559.0,46.0,5.0,0.0,1.0,21006.1,1
756.0,67.0,4.0,0.0,3.0,93081.87,0
645.0,38.0,7.0,59568.57,1.0,167723.25,0
637.0,44.0,2.0,0.0,2.0,149665.65,0
655.0,45.0,7.0,57327.04,1.0,47349.0,0
577.0,60.0,10.0,125389.7,2.0,178616.73,0
721.0,36.0,2.0,0.0,2.0,106977.8,0
730.0,38.0,5.0,118866.36,1.0,163317.5,0
824.0,77.0,3.0,27517.15,2.0,2746.41,0
669.0,29.0,7.0,146011.4,1.0,50249.16,0
662.0,38.0,2.0,96479.81,1.0,120259.41,0
850.0,37.0,4.0,126872.6,1.0,197266.58,0
649.0,46.0,5.0,0.0,2.0,76946.6,0
717.0,64.0,10.0,98362.35,2.0,21630.21,0
567.0,54.0,5.0,92316.31,2.0,158590.66,1
688.0,26.0,1.0,0.0,2.0,104435.94,0
634.0,34.0,8.0,105302.66,1.0,123164.97,0
649.0,39.0,3.0,113096.41,1.0,60335.24,0
647.0,28.0,8.0,0.0,2.0,91055.27,0
678.0,36.0,6.0,118448.15,2.0,53172.02,0
600.0,53.0,7.0,106261.63,1.0,93629.66,1
665.0,27.0,2.0,147435.96,1.0,187508.06,0
612.0,62.0,0.0,167026.61,2.0,192892.05,0
575.0,49.0,7.0,121205.15,4.0,168080.53,1
675.0,38.0,1.0,104016.88,1.0,22068.83,1
641.0,42.0,9.0,132657.55,1.0,35367.19,0
821.0,28.0,8.0,0.0,1.0,36754.13,0
734.0,54.0,3.0,0.0,1.0,130805.54,1
555.0,24.0,2.0,0.0,2.0,197866.55,0
731.0,39.0,2.0,126816.18,1.0,74850.93,0
849.0,41.0,10.0,84622.13,1.0,198072.16,0
636.0,36.0,1.0,0.0,1.0,43134.58,0
667.0,44.0,2.0,122806.95,1.0,15120.86,0
512.0,41.0,8.0,145150.28,1.0,64869.32,1
501.0,41.0,3.0,144260.5,1.0,172114.67,0
453.0,38.0,8.0,120623.21,1.0,129697.99,0
577.0,29.0,7.0,0.0,2.0,55473.15,0
545.0,26.0,7.0,0.0,2.0,156598.23,0
590.0,32.0,0.0,127763.24,1.0,100717.54,0
701.0,41.0,10.0,0.0,2.0,146257.77,0
768.0,30.0,6.0,0.0,2.0,199454.37,0
507.0,35.0,2.0,0.0,2.0,97633.93,0
531.0,31.0,3.0,0.0,1.0,42589.33,0
771.0,36.0,5.0,77846.9,1.0,99805.99,0
509.0,46.0,1.0,0.0,1.0,71244.59,1
519.0,21.0,1.0,146329.57,2.0,194867.27,0
812.0,44.0,4.0,115049.15,2.0,165038.41,0
679.0,39.0,6.0,0.0,2.0,12266.06,0
703.0,73.0,5.0,137761.55,1.0,159677.46,0
435.0,44.0,3.0,151739.65,1.0,167461.5,0
503.0,32.0,4.0,0.0,2.0,153036.97,0
778.0,33.0,1.0,0.0,2.0,85439.73,0
623.0,37.0,4.0,140211.88,1.0,93832.33,0
561.0,33.0,6.0,0.0,2.0,173680.39,0
831.0,30.0,2.0,0.0,2.0,3430.38,0
475.0,46.0,10.0,0.0,2.0,122953.0,1
519.0,39.0,1.0,97700.02,1.0,30709.03,0
781.0,28.0,4.0,0.0,2.0,177703.15,0
350.0,40.0,0.0,111098.85,1.0,172321.21,1
752.0,37.0,5.0,113291.05,2.0,132467.54,0
745.0,54.0,8.0,0.0,1.0,173912.29,1
605.0,43.0,8.0,125338.8,2.0,23970.13,0
628.0,33.0,6.0,0.0,2.0,184230.23,0
601.0,32.0,8.0,93012.89,1.0,86957.42,0
729.0,40.0,5.0,113574.61,2.0,103396.08,0
789.0,43.0,8.0,119654.44,2.0,148412.24,1
640.0,29.0,5.0,197200.04,2.0,141453.62,0
850.0,28.0,9.0,0.0,2.0,164864.67,0
542.0,34.0,8.0,108653.93,1.0,144725.14,0
749.0,27.0,9.0,0.0,2.0,132734.87,0
729.0,30.0,9.0,0.0,2.0,151869.35,0
811.0,52.0,10.0,76915.4,1.0,146359.81,1
579.0,33.0,1.0,0.0,2.0,54816.57,0
607.0,31.0,1.0,102523.88,1.0,166792.71,0
524.0,29.0,3.0,159035.45,1.0,2705.31,1
607.0,39.0,8.0,105103.33,1.0,104721.5,1
686.0,47.0,6.0,0.0,1.0,32080.69,1
580.0,34.0,6.0,0.0,2.0,160095.31,0
594.0,31.0,0.0,79340.95,1.0,78255.86,0
645.0,49.0,2.0,0.0,2.0,10023.15,0
635.0,36.0,9.0,81231.85,2.0,196731.08,0
667.0,34.0,5.0,0.0,2.0,163830.64,0
751.0,42.0,4.0,0.0,2.0,81442.6,0
782.0,27.0,3.0,0.0,2.0,143614.01,0
699.0,44.0,8.0,158697.61,1.0,107181.22,0
697.0,43.0,8.0,103409.16,1.0,66893.28,1
516.0,33.0,7.0,115195.58,1.0,11205.5,0
530.0,29.0,5.0,0.0,2.0,121451.21,0
641.0,57.0,5.0,0.0,2.0,122449.18,0
658.0,43.0,7.0,140260.36,2.0,2748.72,0
590.0,47.0,3.0,0.0,2.0,171774.5,0
699.0,40.0,8.0,122038.34,1.0,102085.35,0
700.0,46.0,5.0,95872.86,1.0,98273.01,1
678.0,28.0,2.0,109137.12,1.0,58814.41,0
606.0,36.0,0.0,94153.56,1.0,120138.27,0
512.0,41.0,6.0,0.0,1.0,100507.81,0
471.0,42.0,3.0,164951.56,1.0,190531.77,0
654.0,29.0,7.0,0.0,2.0,149184.15,0
536.0,28.0,4.0,0.0,1.0,136197.65,0
574.0,43.0,3.0,141349.43,1.0,100187.43,0
516.0,27.0,1.0,0.0,1.0,112311.15,0
540.0,35.0,7.0,128369.75,2.0,198256.15,0
711.0,52.0,5.0,0.0,1.0,159808.95,0
669.0,41.0,0.0,150219.41,2.0,107839.03,0
752.0,33.0,4.0,0.0,2.0,39570.78,0
722.0,40.0,6.0,89175.06,2.0,152883.95,0
681.0,43.0,8.0,154100.3,1.0,114659.81,0
568.0,44.0,7.0,0.0,2.0,62370.67,1
794.0,30.0,1.0,154970.54,1.0,156768.45,0
574.0,54.0,1.0,99774.5,1.0,4896.11,1
725.0,46.0,6.0,0.0,2.0,161767.38,0
527.0,53.0,8.0,0.0,1.0,51711.57,0
598.0,28.0,8.0,129991.76,2.0,46041.08,0
806.0,36.0,8.0,167983.17,2.0,106714.28,0
750.0,22.0,3.0,121681.82,1.0,128643.35,1
686.0,60.0,9.0,0.0,3.0,75246.21,1
551.0,42.0,1.0,50194.59,1.0,23399.58,0
653.0,32.0,4.0,83772.95,1.0,23920.65,0
593.0,43.0,10.0,0.0,2.0,53478.02,0
780.0,34.0,5.0,94108.54,2.0,177235.21,0
469.0,52.0,8.0,139493.25,3.0,150093.32,1
601.0,20.0,9.0,122446.61,2.0,86791.9,0
471.0,28.0,5.0,0.0,2.0,22356.97,0
806.0,48.0,4.0,164701.68,1.0,21439.49,0
588.0,35.0,1.0,103060.63,1.0,179866.01,1
541.0,32.0,4.0,0.0,1.0,114951.42,0
790.0,34.0,2.0,164011.48,1.0,199420.41,0
776.0,38.0,2.0,169824.46,1.0,169291.7,0
693.0,28.0,8.0,0.0,2.0,158545.25,0
665.0,37.0,3.0,111911.63,1.0,110359.68,1
640.0,43.0,9.0,172478.15,1.0,191084.4,1
619.0,23.0,5.0,132725.1,1.0,143913.33,0
691.0,50.0,6.0,136953.47,1.0,2704.98,0
643.0,32.0,2.0,0.0,1.0,131301.74,0
613.0,29.0,6.0,185709.28,2.0,77242.19,0
659.0,56.0,9.0,123785.24,1.0,99504.03,1
614.0,43.0,8.0,140733.74,1.0,166588.76,0
478.0,32.0,6.0,71187.24,1.0,110593.62,0
743.0,30.0,1.0,127023.39,1.0,138780.89,0
513.0,72.0,3.0,98903.06,1.0,81251.24,0
680.0,33.0,1.0,123082.08,1.0,134960.98,0
659.0,31.0,7.0,149620.88,2.0,104533.51,0
591.0,39.0,8.0,0.0,2.0,42392.24,0
793.0,32.0,1.0,96408.98,1.0,138191.81,0
443.0,36.0,6.0,70438.01,2.0,56937.43,0
731.0,33.0,5.0,137388.01,2.0,165000.68,0
563.0,57.0,6.0,0.0,2.0,39297.48,0
668.0,38.0,10.0,86977.96,1.0,37094.75,0
714.0,33.0,10.0,103121.33,2.0,49672.01,0
693.0,28.0,1.0,145118.83,1.0,77742.38,0
611.0,30.0,2.0,104145.65,1.0,159629.64,0
586.0,64.0,1.0,0.0,2.0,53710.23,0
702.0,36.0,2.0,105264.88,2.0,52909.87,0
559.0,31.0,3.0,127070.73,1.0,160941.78,0
559.0,34.0,4.0,0.0,2.0,66721.98,0
793.0,63.0,0.0,0.0,2.0,27166.75,0
747.0,29.0,7.0,0.0,2.0,141706.43,0
728.0,32.0,5.0,61825.5,1.0,156124.93,0
691.0,44.0,6.0,134066.1,2.0,197572.41,0
692.0,53.0,7.0,150926.99,2.0,119817.19,0
445.0,61.0,2.0,137655.31,1.0,29909.84,0
805.0,56.0,6.0,151802.29,1.0,46791.09,1
652.0,36.0,6.0,112518.71,2.0,110421.31,0
766.0,30.0,4.0,127786.28,2.0,28879.3,0
551.0,35.0,7.0,129717.3,2.0,86937.2,0
742.0,32.0,6.0,160485.16,1.0,29023.03,0
660.0,46.0,5.0,109019.65,2.0,33680.56,0
548.0,29.0,5.0,83442.98,1.0,177017.39,0
707.0,40.0,1.0,0.0,2.0,14090.4,1
581.0,54.0,4.0,89299.81,1.0,5558.47,1
516.0,35.0,10.0,104088.59,2.0,119666.0,0
784.0,38.0,10.0,122267.85,1.0,145759.93,0
700.0,27.0,6.0,137963.07,1.0,8996.79,0
568.0,31.0,1.0,61592.14,2.0,61796.64,0
850.0,36.0,7.0,102800.72,1.0,87352.43,0
782.0,33.0,7.0,191523.09,1.0,167058.75,0
702.0,29.0,6.0,149218.39,1.0,9633.01,0
565.0,38.0,2.0,158651.29,2.0,179445.28,0
516.0,27.0,9.0,0.0,1.0,142680.64,1
755.0,29.0,9.0,117035.89,1.0,21862.19,0
687.0,34.0,7.0,111388.18,2.0,148564.76,0
524.0,32.0,6.0,0.0,1.0,132861.9,1
626.0,48.0,2.0,0.0,2.0,95794.98,0
782.0,72.0,5.0,148666.99,1.0,2605.65,1
585.0,32.0,8.0,144705.87,2.0,171482.56,0
672.0,43.0,5.0,0.0,2.0,64515.5,0
757.0,49.0,2.0,0.0,2.0,164482.92,0
648.0,42.0,8.0,121980.56,2.0,4027.02,0
731.0,43.0,9.0,79120.27,1.0,548.52,1
585.0,37.0,6.0,152496.82,1.0,99907.29,0
592.0,37.0,4.0,212692.97,1.0,176395.02,0
720.0,33.0,2.0,0.0,2.0,141031.08,0
576.0,26.0,8.0,0.0,2.0,34101.06,0
663.0,40.0,6.0,156218.19,1.0,33607.72,0
629.0,41.0,10.0,150148.51,1.0,6936.27,0
623.0,43.0,1.0,0.0,2.0,146379.3,0
648.0,54.0,9.0,120633.42,1.0,5924.38,1
581.0,31.0,6.0,116891.72,1.0,107137.3,0
544.0,29.0,1.0,118560.55,1.0,164137.36,0
850.0,49.0,6.0,128663.9,1.0,65769.3,1
638.0,29.0,9.0,103417.74,1.0,15336.4,0
786.0,29.0,4.0,0.0,2.0,103372.79,0
631.0,29.0,3.0,0.0,2.0,197963.46,0
722.0,49.0,3.0,168197.66,1.0,140765.57,1
636.0,29.0,6.0,157576.47,2.0,101102.39,0
686.0,56.0,5.0,111642.08,1.0,80553.87,0
549.0,25.0,6.0,193858.2,1.0,21600.11,0
629.0,35.0,1.0,172170.36,1.0,159777.37,0
629.0,28.0,8.0,108601.0,1.0,119647.7,0
689.0,28.0,2.0,64808.32,2.0,78591.15,0
602.0,23.0,7.0,113758.48,2.0,84077.6,0
680.0,32.0,7.0,175454.0,1.0,77349.92,0
616.0,31.0,3.0,94263.91,2.0,168895.06,0
511.0,58.0,0.0,149117.31,1.0,162599.51,0
781.0,33.0,3.0,89276.48,1.0,6959.0,0
416.0,35.0,8.0,0.0,1.0,119712.78,0
592.0,26.0,4.0,105082.07,2.0,132801.57,0
634.0,59.0,3.0,95727.05,1.0,97939.4,1
454.0,48.0,5.0,144837.79,1.0,93151.77,0
620.0,38.0,0.0,0.0,2.0,38015.34,0
704.0,23.0,6.0,166594.78,1.0,155823.2,0
584.0,46.0,6.0,87361.02,2.0,120376.87,1
728.0,28.0,4.0,142243.54,2.0,33074.51,0
577.0,46.0,1.0,0.0,1.0,158750.53,0
538.0,42.0,1.0,98548.62,2.0,94047.75,0
603.0,56.0,5.0,90778.76,2.0,162223.67,1
641.0,77.0,9.0,0.0,3.0,81514.06,0
790.0,26.0,5.0,0.0,1.0,20510.79,0
627.0,32.0,1.0,0.0,1.0,106851.7,0
654.0,28.0,7.0,0.0,2.0,151316.37,0
670.0,35.0,2.0,79585.96,1.0,198802.9,0
525.0,60.0,7.0,0.0,2.0,168034.9,0
576.0,29.0,7.0,130575.26,1.0,173629.78,0
750.0,22.0,5.0,0.0,2.0,105125.65,0
700.0,30.0,9.0,0.0,1.0,174971.64,0
479.0,35.0,4.0,125920.98,1.0,20393.44,0
678.0,54.0,1.0,123699.28,2.0,105221.76,0
776.0,37.0,1.0,93124.04,2.0,196079.32,0
684.0,54.0,6.0,0.0,2.0,94888.6,0
699.0,31.0,6.0,114493.68,1.0,138396.32,0
595.0,39.0,7.0,120962.13,1.0,23305.01,0
605.0,28.0,10.0,113690.83,1.0,33114.24,0
514.0,26.0,1.0,0.0,2.0,121551.93,0
521.0,41.0,8.0,120586.54,1.0,20491.15,0
678.0,40.0,3.0,128398.38,1.0,168658.3,0
583.0,42.0,7.0,0.0,2.0,144039.05,0
667.0,44.0,8.0,122277.87,1.0,91810.71,0
660.0,28.0,1.0,118402.25,2.0,14288.93,0
733.0,74.0,3.0,106545.53,1.0,134589.58,0
647.0,52.0,7.0,130013.12,1.0,190806.36,1
758.0,61.0,8.0,125397.21,1.0,182184.09,1
729.0,42.0,1.0,0.0,2.0,149535.97,0
618.0,42.0,2.0,0.0,4.0,111097.39,1
724.0,37.0,10.0,68598.56,1.0,157862.82,0
725.0,31.0,8.0,0.0,2.0,59650.42,0
565.0,59.0,9.0,69129.59,1.0,170705.53,0
714.0,25.0,2.0,0.0,1.0,132979.43,0
690.0,30.0,5.0,0.0,2.0,78700.03,0
611.0,49.0,2.0,88915.37,3.0,161435.02,1
850.0,35.0,9.0,102050.47,1.0,3769.71,0
736.0,29.0,9.0,0.0,2.0,176152.7,0
511.0,40.0,1.0,0.0,1.0,184118.73,0
743.0,40.0,6.0,0.0,1.0,28280.8,1
820.0,33.0,2.0,132150.26,2.0,23067.97,0
595.0,64.0,2.0,105736.32,1.0,89935.73,1
582.0,25.0,9.0,148042.97,2.0,52341.15,0
564.0,62.0,5.0,114931.35,3.0,18260.98,1
622.0,29.0,7.0,101486.96,1.0,8788.35,0
