Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,ReachedOnTime
4,2,251,2,24,2405,Yes
3,5,230,4,5,4450,Yes
5,4,217,3,8,4949,Yes
7,5,308,4,1,1477,Yes
4,1,269,3,3,4409,Yes
3,3,159,3,3,5230,Yes
4,4,167,4,2,5908,Yes
5,2,254,5,2,5655,Yes
3,4,257,3,4,4883,No
4,3,137,3,9,5016,No
3,1,256,3,5,5643,No
3,1,198,4,44,2848,Yes
4,2,161,4,10,5322,No
5,4,269,2,38,2770,Yes
6,3,257,4,4,1358,Yes
2,5,216,2,57,3807,Yes
6,4,257,6,7,4265,No
3,4,202,5,5,4632,No
3,5,251,3,1,5073,No
5,1,228,5,7,1818,No
2,3,263,3,10,5997,No
3,5,171,3,49,1333,Yes
2,1,271,8,5,4924,No
6,4,201,2,4,5916,Yes
4,4,161,2,8,4348,Yes
5,1,248,8,2,4023,Yes
5,4,256,5,6,1551,No
4,3,174,2,10,5554,No
2,2,247,3,4,4686,Yes
4,5,243,2,19,2829,Yes
4,2,245,2,8,5871,Yes
4,3,249,6,2,1046,Yes
4,5,213,3,7,4114,No
4,2,225,8,8,5623,No
4,4,203,2,10,5192,No
4,5,263,2,62,2267,Yes
2,5,278,4,34,3416,Yes
3,4,136,2,54,1056,Yes
5,1,231,2,10,4892,Yes
3,2,161,3,1,5757,No
3,2,202,2,7,5328,No
2,4,134,3,42,1415,Yes
7,3,305,4,5,1198,No
2,2,220,3,1,5289,No
3,3,148,4,2,5557,No
3,2,141,4,9,1909,Yes
4,4,97,6,4,5801,No
2,2,212,4,3,1284,Yes
3,2,260,3,2,2176,Yes
3,4,244,3,4,4458,No
5,4,160,3,10,5527,No
4,1,155,4,1,4985,No
6,5,185,3,1,5399,Yes
3,2,202,3,49,2881,Yes
4,1,170,10,3,5211,Yes
2,4,178,4,8,4620,No
3,1,235,4,7,4833,Yes
5,1,211,3,7,5594,Yes
3,1,166,2,7,4375,No
4,3,211,3,12,3922,Yes
4,3,197,5,8,4209,Yes
4,5,269,5,3,1118,No
3,3,264,3,6,5482,Yes
3,3,254,2,17,3153,Yes
2,2,199,3,1,4697,Yes
5,1,254,5,10,1020,No
3,5,220,3,9,5672,Yes
2,4,182,3,47,3792,Yes
3,1,183,4,5,5326,No
5,1,149,3,9,5173,Yes
5,1,291,4,3,1663,Yes
4,2,275,6,2,1712,Yes
7,5,244,4,2,1330,Yes
6,1,173,3,2,4892,No
4,2,254,7,6,5121,No
3,2,262,2,26,2370,Yes
5,5,250,2,10,5475,Yes
5,3,254,6,8,1932,No
3,4,243,2,7,4024,No
6,1,289,4,3,1181,Yes
4,4,247,3,2,5324,Yes
4,2,220,3,3,5020,No
4,2,162,4,7,5294,No
6,1,281,3,36,2536,Yes
3,3,203,3,4,5548,No
3,3,167,3,8,4420,No
4,2,190,4,61,2077,Yes
3,1,244,3,1,5695,Yes
3,1,164,2,2,1304,Yes
5,5,223,3,5,4373,Yes
3,4,181,3,9,5470,No
3,4,122,3,15,1354,Yes
4,4,275,3,10,5674,Yes
5,1,236,6,4,1705,No
3,5,162,7,16,1052,Yes
2,5,202,3,50,2587,Yes
4,2,206,7,7,5479,Yes
4,2,152,3,6,5764,Yes
4,5,137,2,7,4068,No
3,3,247,2,55,3461,Yes
5,4,140,3,4,4623,No
5,5,139,4,61,1265,Yes
3,2,177,3,9,5427,No
3,5,271,4,3,5831,Yes
4,3,233,5,5,1799,Yes
6,5,305,4,6,1787,Yes
4,1,173,3,5,5232,No
6,3,135,5,20,1266,Yes
3,4,179,2,5,1340,No
5,5,132,4,8,4339,Yes
4,2,151,3,10,5698,No
5,4,141,4,5,5444,Yes
5,1,219,6,2,1650,Yes
2,3,280,4,17,3555,Yes
3,1,102,4,4,5936,Yes
5,2,168,2,10,5225,Yes
5,5,137,3,5,5914,Yes
3,5,241,3,10,5099,Yes
3,1,170,3,6,5750,No
5,3,121,2,4,5231,Yes
3,5,254,3,6,4703,No
3,4,106,6,7,4621,No
6,5,213,6,7,2709,Yes
2,4,258,3,3,4811,No
3,4,130,2,42,1213,Yes
3,5,190,3,4,5069,No
3,4,198,3,7,4020,No
4,3,175,2,3,4961,Yes
5,5,182,3,9,5388,No
3,3,153,5,12,1972,Yes
3,5,203,10,1,4996,No
3,3,227,2,5,4269,Yes
3,3,235,3,5,3065,Yes
3,5,256,2,9,5750,No
6,4,261,4,5,1794,Yes
6,4,220,4,5,5465,Yes
4,4,224,2,8,5754,Yes
7,5,282,5,7,1260,Yes
4,5,148,3,6,5473,Yes
6,5,285,7,9,4112,No
3,3,143,3,23,1281,Yes
2,1,113,5,9,1957,Yes
4,2,166,5,8,4493,No
4,2,116,3,2,5602,Yes
4,1,258,3,10,5916,No
5,5,156,3,5,5398,Yes
6,4,291,4,5,1327,No
5,5,216,2,33,3202,Yes
4,5,141,3,12,1672,Yes
2,5,238,4,9,4086,No
4,1,102,3,3,4179,No
5,5,229,5,2,1975,Yes
6,5,220,3,1,5508,No
5,2,246,5,9,1876,No
4,1,234,2,4,5066,Yes
3,1,154,3,5,4720,Yes
5,5,205,2,65,3671,Yes
4,5,201,3,41,3563,Yes
5,1,160,2,32,1576,Yes
3,2,144,10,3,5000,No
5,1,183,3,8,4531,No
6,3,301,4,2,1083,No
5,2,193,2,1,2775,Yes
6,2,304,5,6,1178,Yes
5,4,200,3,24,2078,Yes
4,5,234,3,3,5142,Yes
7,4,267,4,9,1378,Yes
4,1,214,5,9,5801,No
4,2,252,3,8,4262,Yes
4,5,179,3,4,4487,No
3,4,192,4,3,4030,No
5,5,162,3,31,1364,Yes
5,5,258,4,7,5478,No
4,2,177,3,8,4904,No
4,1,163,8,9,5489,Yes
4,3,142,3,1,4900,No
3,1,125,3,9,5489,No
6,5,157,5,10,1133,No
7,3,308,5,10,1152,Yes
4,3,180,3,5,4038,Yes
3,4,210,3,7,2878,Yes
4,1,111,4,10,4711,No
3,4,156,2,10,5107,Yes
4,2,215,3,48,2953,Yes
5,3,213,2,27,2581,Yes
5,5,225,4,3,5274,Yes
4,2,268,6,2,4348,No
2,4,151,4,2,1150,No
5,1,239,2,5,5759,Yes
5,1,272,6,2,1681,Yes
3,1,153,4,1,4608,No
4,2,243,2,6,4573,No
3,5,251,2,28,3936,Yes
3,1,156,3,49,1253,Yes
5,2,155,3,10,4485,Yes
3,1,155,3,9,5539,No
5,1,181,4,4,5505,No
5,2,208,8,62,3450,Yes
5,3,262,5,10,1197,Yes
3,5,245,4,8,5600,No
3,4,253,3,8,5857,No
5,4,259,3,43,2685,Yes
5,5,174,6,26,1184,Yes
4,1,197,2,2,5685,No
4,2,245,3,2,4835,Yes
4,5,254,3,7,4363,No
4,2,182,3,58,3943,Yes
6,1,272,4,10,1534,Yes
6,5,254,4,2,1824,No
4,1,239,4,2,5502,No
5,1,193,2,1,4450,No
4,4,173,3,9,5382,Yes
4,5,228,2,63,3401,Yes
4,4,247,2,6,5833,Yes
3,4,177,2,3,4240,Yes
4,5,113,3,52,1741,Yes
4,5,149,2,56,1141,Yes
4,1,195,3,43,2849,Yes
3,4,202,4,20,3655,Yes
4,1,215,2,32,3066,Yes
3,3,160,4,7,5147,No
5,4,238,3,5,5907,Yes
5,1,186,10,64,2529,Yes
4,4,222,3,24,3503,Yes
5,3,237,3,8,5131,No
3,3,144,3,1,1274,Yes
4,1,258,3,2,4188,No
4,4,199,3,10,5002,Yes
5,2,105,4,1,1622,Yes
4,1,224,2,2,4581,Yes
5,1,259,6,2,1876,No
4,4,172,3,1,4201,No
4,5,259,5,2,1066,Yes
4,3,149,6,5,5456,Yes
5,1,257,3,7,4133,No
5,3,137,3,6,5357,No
4,3,264,3,39,2213,Yes
6,4,222,8,1,5808,Yes
4,2,196,2,4,5852,No
3,4,136,3,4,5368,No
4,4,145,3,8,5780,No
4,3,145,4,2,5735,No
4,4,176,4,52,1096,Yes
5,1,238,6,10,5508,No
5,5,234,2,50,3914,Yes
4,4,189,4,56,2646,Yes
4,4,137,2,37,1447,Yes
5,3,255,6,1,5874,No
4,5,272,2,9,5055,Yes
3,2,226,3,3,4940,Yes
7,3,289,4,3,1037,Yes
3,2,255,3,8,4471,No
5,4,262,6,3,1700,No
4,1,144,4,6,5197,Yes
5,2,230,2,9,4483,No
3,2,181,3,45,3786,Yes
3,5,227,4,9,4647,No
3,2,215,3,10,4198,Yes
6,4,291,4,5,1112,Yes
4,5,240,5,8,4558,No
2,5,168,2,1,4831,No
4,3,229,3,3,5027,No
3,2,263,3,57,2113,Yes
3,2,210,3,9,4731,Yes
7,3,306,4,2,1790,Yes
3,1,255,7,3,4477,No
4,1,261,2,9,4158,No
4,3,206,2,9,5076,Yes
3,5,195,2,42,3814,Yes
3,2,238,2,32,3274,Yes
4,5,265,2,9,5040,No
4,5,98,4,5,4643,No
4,5,188,3,13,2409,Yes
3,4,230,2,15,2302,Yes
4,1,139,3,7,5317,No
5,5,167,2,2,5908,No
6,5,295,4,5,1963,Yes
4,3,174,3,3,4846,Yes
3,5,189,2,8,4567,No
4,4,183,4,6,4562,Yes
5,5,273,4,7,4064,Yes
2,2,149,3,4,4819,Yes
5,4,263,2,5,4595,No
5,2,265,4,7,4883,No
3,5,134,3,38,1169,Yes
4,3,266,3,9,5621,Yes
4,2,262,3,6,5381,No
3,4,176,3,4,1095,Yes
4,1,300,5,6,1027,No
4,1,262,6,3,1830,Yes
6,5,211,4,4,4032,No
3,4,151,4,1,4587,Yes
3,3,279,4,3,4620,No
6,3,269,4,6,1822,Yes
5,3,221,5,2,1630,Yes
5,2,265,5,5,1864,No
3,4,202,2,6,5030,No
4,2,136,2,7,4305,Yes
3,4,237,3,9,5514,Yes
5,1,276,5,6,1793,No
3,3,242,3,8,5915,Yes
4,4,166,6,6,4100,Yes
4,3,210,3,46,2344,Yes
3,1,164,10,6,5603,No
3,5,260,2,1,5970,No
7,5,301,4,7,1727,No
3,2,244,2,9,4142,No
4,2,170,2,5,4996,Yes
4,5,161,2,55,1457,Yes
4,4,247,6,4,1044,No
3,1,191,3,60,2069,Yes
6,3,289,4,5,1708,No
4,5,232,3,8,5923,No
3,3,147,3,4,5805,No
3,2,219,4,6,4314,Yes
3,3,99,5,9,5470,No
4,1,152,3,3,4250,Yes
5,4,97,6,7,5509,Yes
4,1,247,2,3,4113,No
3,5,185,3,5,4317,Yes
6,1,147,3,5,4012,No
4,1,224,3,27,3400,Yes
4,2,168,3,3,4653,Yes
2,1,203,3,6,4234,No
4,4,274,2,7,4873,Yes
4,2,268,2,8,4219,No
4,5,192,3,41,3873,Yes
5,2,209,4,12,2933,Yes
5,4,180,2,52,1122,Yes
3,1,155,3,47,1193,Yes
3,3,158,2,7,4865,No
4,2,254,10,7,5820,No
4,3,187,2,58,3665,Yes
3,2,217,3,7,5910,No
4,2,189,10,5,5470,No
3,2,261,5,45,2488,Yes
6,4,293,4,8,1145,Yes
4,5,134,6,7,4881,Yes
5,3,245,5,8,1471,No
3,2,138,3,49,1923,Yes
7,1,301,4,6,1052,Yes
6,2,259,4,5,1771,Yes
5,2,215,6,5,5195,Yes
6,4,254,4,2,1174,No
5,5,269,5,3,1120,No
4,3,201,3,54,2487,Yes
5,4,275,2,7,5292,No
6,3,306,4,5,1490,Yes
3,3,157,4,2,5684,No
3,3,207,10,7,4423,No
5,1,241,2,3,5391,Yes
4,2,160,2,3,4304,Yes
6,1,214,2,5,4708,No
4,2,255,5,1,1353,Yes
4,1,220,5,9,1817,No
2,1,214,3,1,4391,No
4,1,161,3,59,1454,Yes
4,2,137,3,6,5271,No
4,3,135,3,11,1322,Yes
3,3,202,3,35,3986,Yes
5,5,219,2,4,4289,No
5,4,230,2,48,3743,Yes
3,3,134,2,1,5646,No
4,1,244,2,3,4644,Yes
3,2,257,2,1,4132,Yes
4,1,188,2,6,5894,Yes
5,3,202,2,9,5645,Yes
3,1,236,6,10,4858,No
2,3,140,2,20,1832,Yes
2,1,158,3,51,1540,Yes
4,5,232,5,3,1817,No
4,4,192,2,7,4151,No
4,2,128,5,28,1247,Yes
3,1,155,3,2,5446,No
4,1,214,5,6,4573,Yes
3,2,159,2,3,4876,No
3,3,202,4,3,4003,Yes
5,4,201,2,5,5593,Yes
4,1,273,3,5,5055,No
6,1,300,4,2,1790,Yes
5,3,133,4,29,1094,Yes
3,3,163,3,2,5791,Yes
