ssc_p,hsc_p,degree_p,etest_p,mba_p,status
62.0,65.0,60.0,84.0,64.15,Not Placed
80.0,73.0,75.0,61.0,58.78,Placed
69.0,60.0,65.0,87.55,52.81,Placed
64.0,73.5,73.0,52.0,56.7,Placed
50.0,37.0,52.0,65.0,56.11,Not Placed
75.4,60.5,84.0,98.0,65.25,Placed
61.0,62.0,65.0,62.0,56.81,Placed
58.0,70.0,61.0,54.0,52.21,Not Placed
41.0,42.0,60.0,97.0,53.39,Not Placed
75.2,73.2,68.4,65.0,62.98,Placed
67.0,71.0,64.33,64.0,61.26,Placed
65.0,68.0,64.0,75.0,57.8,Placed
65.0,75.0,69.0,72.0,64.66,Placed
77.0,70.0,59.0,58.0,54.43,Placed
62.0,67.0,58.0,77.0,51.29,Not Placed
63.0,67.0,66.0,68.0,57.69,Placed
80.0,80.0,72.0,63.79,66.04,Placed
67.9,62.0,67.0,58.1,75.71,Not Placed
88.0,72.0,78.0,82.0,71.43,Placed
62.0,62.0,60.0,63.0,52.38,Placed
40.89,45.83,53.0,71.2,65.49,Not Placed
72.0,60.0,69.0,55.5,58.4,Placed
61.8,47.0,54.38,57.0,56.13,Not Placed
78.0,77.0,80.0,60.0,66.72,Placed
81.7,63.0,67.0,86.0,70.2,Placed
77.44,92.0,72.0,94.0,67.13,Placed
56.28,62.83,59.79,60.0,57.29,Not Placed
68.2,72.8,66.6,96.0,70.85,Placed
81.0,68.0,64.0,93.0,62.56,Placed
82.0,64.0,73.0,96.0,71.77,Placed
63.0,62.0,68.0,64.0,62.46,Placed
61.0,82.0,69.0,84.0,58.31,Placed
59.96,42.16,61.26,54.48,65.48,Not Placed
66.5,66.8,69.3,80.4,71.0,Placed
68.0,56.0,68.0,73.0,68.07,Placed
75.0,70.29,71.0,95.0,66.94,Placed
73.96,79.0,67.0,72.15,63.08,Placed
60.8,68.4,64.6,82.66,64.34,Placed
85.0,90.0,82.0,92.0,68.03,Placed
84.86,67.0,78.0,95.5,68.53,Placed
