Id,Image,Prediction
453,apple_quality_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
454,apple_quality_nr_records_nr_variables.png,"Given the number of records and that some variables are date, we might be facing the curse of dimensionality."
455,apple_quality_histograms_numeric.png,"Given the usual semantics of Ripeness variable, dummification would have been a better codification."
456,Employee_decision_tree.png,Variable JoiningYear is one of the most relevant variables.
457,Employee_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
458,Employee_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
459,Employee_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.
460,Employee_overfitting_knn.png,KNN with less than 9 neighbours is in overfitting.
461,Employee_overfitting_decision_tree.png,The chart reporting the recall of a KNN model for different values of K shows that it enters in overfitting for K above 30.
462,Employee_overfitting_dt_acc_rec.png,We are able to identify the existence of overfitting for decision tree models with more than 8 nodes of depth.
463,Employee_pca.png,The first 3 principal components are enough for explaining half the data variance.
464,Employee_correlation_heatmap.png,It is clear that variable Age and variable JoiningYear are redundant.
465,Employee_boxplots.png,The existence of outliers is one of the problems to tackle in this dataset.
466,Employee_histograms_symbolic.png,The variable Gender can be seen as ordinal.
467,Employee_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
468,Employee_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
469,Employee_histograms_numeric.png,"It is clear that variable ExperienceInCurrentDomain shows some outliers, but we can’t be sure of the same for variable Age."
