Id,Image,Prediction
42,phone_overfitting_rf.png,"Results for Random Forests identified as 20, may be explained by its estimators being in overfitting."
43,phone_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.
44,phone_overfitting_decision_tree.png,The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 6.
45,phone_pca.png,The first 3 principal components are enough for explaining half the data variance.
46,phone_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 11.
47,phone_boxplots.png,The existence of outliers is one of the problems to tackle in this dataset.
48,phone_histograms_symbolic.png,The variable wifi can be seen as ordinal without losing information.
49,phone_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
50,phone_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
51,phone_histograms_numeric.png,The histograms presented show a large number of outliers for most of the numeric variables.
52,Titanic_decision_tree.png,"Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], the Decision Tree presented classifies (not A, B) as 1."
53,Titanic_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
54,Titanic_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.
55,Titanic_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.
56,Titanic_overfitting_knn.png,KNN with 7 neighbour is in overfitting.
57,Titanic_overfitting_decision_tree.png,We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.
58,Titanic_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
59,Titanic_pca.png,Using the first 4 principal components would imply an error between 5 and 20%.
60,Titanic_correlation_heatmap.png,The intrinsic dimensionality of this dataset is 2.
61,Titanic_boxplots.png,"Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations."
62,Titanic_histograms_symbolic.png,"All variables, but the class, should be dealt with as numeric."
63,Titanic_mv.png,"According to the variable generation report, the variable Embarked can be seen as ordinal without losing information."
64,Titanic_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
65,Titanic_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
66,Titanic_histograms_numeric.png,"J48 would not be my choice of algorithm for this dataset, as we face the typical challenges of decision tree algorithms."
67,apple_quality_decision_tree.png,The number of True Positives is lower than the number of False Negatives for the presented tree.
68,apple_quality_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
69,apple_quality_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 1002 estimators.
70,apple_quality_overfitting_rf.png,We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.
71,apple_quality_overfitting_knn.png,We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.
72,apple_quality_overfitting_decision_tree.png,The chart reporting the recall of a K-NN classifier for different  values is .
73,apple_quality_overfitting_dt_acc_rec.png,The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.
74,apple_quality_pca.png,The first 3 principal components are enough for explaining half the data variance.
75,apple_quality_correlation_heatmap.png,The variable Juiciness can be discarded without risking losing information.
76,apple_quality_boxplots.png,Scaling this dataset would be mandatory to improve the results with distance-based methods.
77,apple_quality_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
78,apple_quality_nr_records_nr_variables.png,We face the curse of dimensionality when training a classifier with this dataset.
79,apple_quality_histograms_numeric.png,The histograms presented show a large number of outliers for most of the numeric variables.
80,Employee_decision_tree.png,"Considering that A=True<=>[JoiningYear <= 2017.5] and B=True<=>[ExperienceInCurrentDomain <= 3.5], it is possible to state that KNN algorithm classifies (A, not B) as 0 for any k ≤ 471."
81,Employee_overfitting_mlp.png,We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.
82,Employee_overfitting_gb.png,We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.
83,Employee_overfitting_rf.png,The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.
84,Employee_overfitting_knn.png,KNN with more than 7 neighbours is in overfitting.
85,Employee_overfitting_decision_tree.png,"Results for Decision Trees identified as 3, are underspecified."
86,Employee_overfitting_dt_acc_rec.png,We are able to identify the existence of overfitting for decision tree models with more than 3 nodes of depth.
87,Employee_pca.png,The first 2 principal components are enough for explaining half the data variance.
88,Employee_correlation_heatmap.png,Variable JoiningYear seems to be important for the majority of mining tasks.
89,Employee_boxplots.png,The boxplots presented show a large number of outliers for most of the analysed variables.
90,Employee_histograms_symbolic.png,"Given the usual semantics of Gender variable, dummification would have been a better codification."
91,Employee_class_histogram.png,Balancing this dataset would be mandatory to improve the results.
92,Employee_nr_records_nr_variables.png,Balancing this dataset by synthetic oversampling would most probably be preferable over generative undersampling.
93,Employee_histograms_numeric.png,"A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset."
