no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_month,arrival_date,avg_price_per_room,no_of_special_requests,booking_status
1.0,0.0,0.0,3.0,7.0,8.0,23.0,67.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,54.0,11.0,18.0,74.8,1.0,Not_Canceled
2.0,0.0,1.0,2.0,305.0,11.0,4.0,89.0,0.0,Canceled
1.0,0.0,0.0,1.0,27.0,12.0,6.0,88.0,1.0,Not_Canceled
1.0,0.0,1.0,2.0,100.0,4.0,25.0,80.1,0.0,Not_Canceled
2.0,2.0,0.0,1.0,10.0,8.0,20.0,153.0,1.0,Not_Canceled
2.0,0.0,2.0,0.0,28.0,4.0,17.0,89.0,0.0,Canceled
2.0,0.0,2.0,2.0,5.0,8.0,16.0,92.25,0.0,Not_Canceled
2.0,0.0,0.0,1.0,1.0,8.0,4.0,151.0,1.0,Not_Canceled
2.0,0.0,0.0,1.0,126.0,5.0,7.0,103.5,0.0,Canceled
2.0,0.0,0.0,3.0,19.0,10.0,6.0,90.0,0.0,Not_Canceled
2.0,0.0,1.0,0.0,52.0,3.0,21.0,99.0,1.0,Not_Canceled
1.0,0.0,1.0,5.0,21.0,11.0,21.0,63.75,0.0,Not_Canceled
2.0,0.0,0.0,2.0,44.0,4.0,27.0,106.2,1.0,Not_Canceled
1.0,0.0,0.0,1.0,0.0,2.0,19.0,80.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,5.0,4.0,28.0,130.13,0.0,Not_Canceled
2.0,0.0,0.0,3.0,58.0,11.0,16.0,75.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,198.0,9.0,9.0,90.0,0.0,Canceled
3.0,0.0,0.0,1.0,2.0,5.0,27.0,197.0,1.0,Not_Canceled
3.0,0.0,1.0,4.0,12.0,3.0,30.0,161.0,0.0,Canceled
2.0,0.0,0.0,1.0,0.0,9.0,16.0,200.0,0.0,Not_Canceled
1.0,0.0,0.0,2.0,6.0,3.0,1.0,68.0,1.0,Not_Canceled
2.0,0.0,1.0,2.0,189.0,10.0,28.0,96.3,4.0,Not_Canceled
2.0,0.0,0.0,3.0,104.0,8.0,18.0,76.5,0.0,Canceled
2.0,0.0,2.0,1.0,79.0,4.0,17.0,88.5,0.0,Canceled
1.0,0.0,0.0,2.0,1.0,4.0,14.0,95.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,39.0,10.0,23.0,74.88,1.0,Not_Canceled
1.0,0.0,0.0,2.0,4.0,9.0,15.0,115.0,0.0,Not_Canceled
1.0,0.0,0.0,1.0,4.0,3.0,11.0,90.0,0.0,Not_Canceled
2.0,0.0,2.0,5.0,152.0,8.0,23.0,98.87,0.0,Canceled
2.0,0.0,2.0,2.0,110.0,4.0,10.0,93.08,3.0,Not_Canceled
2.0,0.0,1.0,3.0,15.0,12.0,5.0,96.9,0.0,Not_Canceled
2.0,0.0,0.0,4.0,88.0,7.0,5.0,87.3,0.0,Not_Canceled
2.0,0.0,1.0,3.0,18.0,9.0,22.0,150.5,1.0,Not_Canceled
2.0,0.0,0.0,3.0,25.0,11.0,22.0,80.08,1.0,Not_Canceled
2.0,0.0,0.0,5.0,4.0,8.0,11.0,90.0,2.0,Not_Canceled
2.0,0.0,0.0,2.0,53.0,12.0,29.0,81.0,1.0,Not_Canceled
2.0,0.0,2.0,5.0,6.0,3.0,1.0,70.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,1.0,12.0,31.0,135.0,1.0,Not_Canceled
1.0,0.0,1.0,2.0,118.0,6.0,6.0,110.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,103.0,3.0,18.0,78.3,0.0,Not_Canceled
2.0,0.0,0.0,3.0,45.0,2.0,18.0,83.3,1.0,Not_Canceled
2.0,0.0,2.0,3.0,232.0,10.0,23.0,66.53,1.0,Not_Canceled
2.0,0.0,0.0,2.0,27.0,9.0,30.0,108.0,0.0,Not_Canceled
3.0,0.0,0.0,4.0,19.0,9.0,30.0,91.47,2.0,Not_Canceled
2.0,0.0,2.0,1.0,56.0,9.0,11.0,125.1,0.0,Canceled
1.0,0.0,0.0,3.0,104.0,5.0,4.0,110.1,1.0,Not_Canceled
1.0,0.0,0.0,3.0,37.0,10.0,13.0,95.0,0.0,Not_Canceled
1.0,0.0,1.0,2.0,262.0,11.0,14.0,106.0,0.0,Canceled
2.0,0.0,0.0,3.0,42.0,5.0,17.0,96.3,0.0,Not_Canceled
2.0,0.0,0.0,2.0,265.0,6.0,24.0,109.0,0.0,Canceled
2.0,0.0,2.0,2.0,43.0,12.0,26.0,64.0,2.0,Not_Canceled
2.0,0.0,1.0,1.0,301.0,7.0,30.0,115.0,1.0,Canceled
1.0,0.0,0.0,3.0,74.0,11.0,17.0,63.75,1.0,Canceled
2.0,0.0,2.0,3.0,86.0,11.0,6.0,72.25,1.0,Not_Canceled
3.0,0.0,0.0,4.0,86.0,7.0,27.0,139.95,0.0,Canceled
2.0,0.0,0.0,1.0,63.0,9.0,3.0,99.0,0.0,Canceled
2.0,1.0,1.0,0.0,86.0,8.0,14.0,134.1,0.0,Canceled
2.0,0.0,2.0,3.0,227.0,10.0,29.0,77.35,0.0,Canceled
2.0,0.0,1.0,3.0,169.0,7.0,25.0,89.25,1.0,Not_Canceled
2.0,0.0,1.0,0.0,39.0,3.0,28.0,117.9,1.0,Not_Canceled
2.0,0.0,1.0,2.0,168.0,4.0,22.0,85.0,0.0,Canceled
2.0,0.0,2.0,5.0,25.0,11.0,10.0,68.0,1.0,Not_Canceled
2.0,0.0,2.0,3.0,57.0,5.0,13.0,109.65,0.0,Canceled
2.0,0.0,1.0,1.0,26.0,11.0,19.0,104.0,1.0,Canceled
2.0,0.0,2.0,1.0,12.0,9.0,12.0,95.48,1.0,Not_Canceled
2.0,0.0,2.0,2.0,62.0,3.0,13.0,63.49,1.0,Not_Canceled
2.0,0.0,0.0,2.0,263.0,10.0,21.0,110.0,0.0,Canceled
2.0,0.0,1.0,4.0,197.0,12.0,21.0,113.4,0.0,Not_Canceled
2.0,0.0,0.0,2.0,179.0,6.0,3.0,97.7,1.0,Not_Canceled
1.0,0.0,0.0,2.0,16.0,3.0,8.0,76.0,0.0,Not_Canceled
1.0,0.0,0.0,3.0,58.0,1.0,27.0,80.67,1.0,Not_Canceled
2.0,0.0,2.0,1.0,92.0,3.0,26.0,100.0,0.0,Canceled
3.0,0.0,2.0,6.0,113.0,7.0,1.0,138.55,0.0,Canceled
2.0,0.0,0.0,1.0,88.0,3.0,1.0,70.0,0.0,Canceled
2.0,0.0,0.0,2.0,35.0,10.0,7.0,66.53,1.0,Not_Canceled
2.0,0.0,2.0,3.0,47.0,8.0,28.0,116.5,2.0,Not_Canceled
2.0,0.0,0.0,3.0,10.0,11.0,3.0,136.67,2.0,Not_Canceled
1.0,0.0,1.0,2.0,7.0,10.0,19.0,126.0,1.0,Not_Canceled
1.0,0.0,0.0,2.0,5.0,11.0,18.0,65.0,0.0,Not_Canceled
2.0,0.0,2.0,1.0,1.0,7.0,9.0,147.67,1.0,Not_Canceled
2.0,0.0,1.0,1.0,167.0,7.0,25.0,72.25,1.0,Not_Canceled
2.0,2.0,0.0,1.0,20.0,4.0,2.0,221.0,0.0,Canceled
2.0,1.0,2.0,1.0,25.0,4.0,16.0,127.67,2.0,Not_Canceled
2.0,0.0,0.0,3.0,18.0,11.0,3.0,139.0,2.0,Not_Canceled
2.0,0.0,2.0,5.0,59.0,10.0,14.0,90.55,2.0,Not_Canceled
1.0,0.0,1.0,1.0,118.0,6.0,6.0,110.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,65.0,10.0,27.0,75.54,1.0,Not_Canceled
2.0,0.0,1.0,1.0,80.0,12.0,5.0,75.0,1.0,Not_Canceled
1.0,0.0,0.0,2.0,4.0,5.0,31.0,121.0,0.0,Not_Canceled
2.0,0.0,0.0,4.0,126.0,7.0,6.0,97.75,0.0,Canceled
2.0,0.0,2.0,1.0,58.0,4.0,24.0,81.08,0.0,Not_Canceled
1.0,0.0,2.0,5.0,163.0,4.0,9.0,73.37,1.0,Not_Canceled
2.0,0.0,0.0,3.0,11.0,12.0,29.0,148.0,1.0,Not_Canceled
3.0,0.0,0.0,1.0,1.0,10.0,29.0,203.81,1.0,Not_Canceled
2.0,2.0,2.0,2.0,30.0,9.0,24.0,195.53,0.0,Canceled
2.0,0.0,1.0,2.0,49.0,3.0,7.0,78.3,0.0,Canceled
2.0,0.0,0.0,1.0,49.0,9.0,2.0,109.8,3.0,Not_Canceled
3.0,0.0,2.0,4.0,7.0,4.0,9.0,159.0,0.0,Canceled
2.0,0.0,4.0,10.0,24.0,12.0,1.0,74.8,0.0,Not_Canceled
2.0,0.0,0.0,4.0,112.0,12.0,6.0,97.75,1.0,Canceled
2.0,0.0,2.0,1.0,41.0,9.0,18.0,149.4,1.0,Canceled
1.0,0.0,2.0,2.0,147.0,7.0,15.0,89.25,0.0,Not_Canceled
2.0,0.0,1.0,1.0,3.0,8.0,22.0,100.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,4.0,11.0,27.0,87.0,1.0,Not_Canceled
1.0,0.0,2.0,1.0,145.0,8.0,29.0,72.5,0.0,Not_Canceled
2.0,0.0,0.0,3.0,204.0,5.0,5.0,100.0,0.0,Canceled
2.0,0.0,0.0,1.0,151.0,7.0,15.0,105.3,1.0,Canceled
2.0,0.0,1.0,2.0,57.0,9.0,16.0,90.95,0.0,Not_Canceled
2.0,0.0,2.0,2.0,14.0,12.0,26.0,99.5,0.0,Not_Canceled
2.0,0.0,2.0,5.0,178.0,9.0,2.0,112.01,0.0,Canceled
2.0,0.0,1.0,1.0,88.0,10.0,5.0,112.2,0.0,Not_Canceled
3.0,0.0,1.0,1.0,89.0,8.0,15.0,150.3,1.0,Not_Canceled
2.0,0.0,0.0,1.0,119.0,11.0,10.0,170.1,1.0,Not_Canceled
2.0,0.0,1.0,2.0,168.0,4.0,22.0,85.0,0.0,Canceled
1.0,0.0,2.0,4.0,11.0,11.0,5.0,106.35,1.0,Not_Canceled
2.0,0.0,1.0,4.0,113.0,5.0,18.0,132.77,2.0,Not_Canceled
2.0,0.0,0.0,2.0,8.0,2.0,16.0,88.0,1.0,Not_Canceled
2.0,0.0,0.0,4.0,323.0,5.0,17.0,70.0,0.0,Canceled
1.0,0.0,0.0,2.0,0.0,10.0,30.0,85.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,47.0,11.0,5.0,105.5,1.0,Not_Canceled
2.0,0.0,0.0,3.0,433.0,9.0,8.0,70.0,0.0,Canceled
2.0,0.0,0.0,3.0,43.0,11.0,1.0,75.0,0.0,Not_Canceled
2.0,0.0,1.0,5.0,28.0,11.0,28.0,88.4,2.0,Not_Canceled
3.0,0.0,0.0,4.0,74.0,7.0,13.0,137.7,3.0,Not_Canceled
3.0,0.0,2.0,5.0,151.0,8.0,4.0,136.12,0.0,Canceled
2.0,0.0,2.0,2.0,222.0,8.0,13.0,90.95,1.0,Not_Canceled
2.0,1.0,0.0,3.0,130.0,5.0,5.0,104.4,1.0,Not_Canceled
1.0,0.0,1.0,0.0,31.0,11.0,7.0,63.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,55.0,4.0,6.0,104.0,0.0,Not_Canceled
2.0,0.0,1.0,1.0,0.0,9.0,19.0,168.0,2.0,Not_Canceled
1.0,0.0,0.0,2.0,1.0,11.0,15.0,88.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,301.0,11.0,18.0,52.0,0.0,Canceled
1.0,0.0,1.0,0.0,111.0,10.0,10.0,120.0,0.0,Canceled
1.0,0.0,2.0,1.0,9.0,2.0,21.0,85.0,0.0,Canceled
1.0,0.0,0.0,1.0,1.0,1.0,21.0,41.0,1.0,Not_Canceled
2.0,0.0,2.0,2.0,52.0,10.0,1.0,122.4,1.0,Not_Canceled
2.0,0.0,0.0,3.0,67.0,5.0,31.0,140.4,1.0,Not_Canceled
2.0,0.0,2.0,2.0,204.0,10.0,9.0,72.75,0.0,Not_Canceled
2.0,0.0,0.0,2.0,346.0,9.0,13.0,115.0,1.0,Canceled
2.0,0.0,1.0,0.0,119.0,7.0,20.0,76.5,1.0,Canceled
2.0,1.0,3.0,7.0,74.0,7.0,27.0,69.4,0.0,Not_Canceled
1.0,0.0,1.0,1.0,42.0,6.0,13.0,89.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,98.0,9.0,30.0,95.0,0.0,Canceled
2.0,0.0,2.0,3.0,166.0,7.0,7.0,99.45,0.0,Canceled
2.0,0.0,0.0,2.0,32.0,11.0,20.0,85.0,0.0,Not_Canceled
2.0,0.0,1.0,3.0,12.0,10.0,12.0,100.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,53.0,12.0,25.0,67.5,1.0,Not_Canceled
2.0,0.0,1.0,5.0,124.0,8.0,8.0,97.01,1.0,Not_Canceled
2.0,0.0,2.0,2.0,22.0,8.0,21.0,166.0,0.0,Canceled
2.0,0.0,0.0,1.0,14.0,5.0,27.0,73.0,0.0,Not_Canceled
2.0,0.0,1.0,0.0,103.0,4.0,11.0,76.22,1.0,Not_Canceled
1.0,0.0,0.0,1.0,221.0,8.0,12.0,73.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,61.0,12.0,8.0,93.6,1.0,Not_Canceled
2.0,0.0,0.0,2.0,58.0,4.0,13.0,105.3,0.0,Canceled
2.0,1.0,2.0,2.0,42.0,12.0,31.0,102.0,1.0,Not_Canceled
2.0,0.0,2.0,1.0,221.0,10.0,17.0,65.0,0.0,Not_Canceled
2.0,0.0,1.0,1.0,31.0,3.0,14.0,81.9,0.0,Not_Canceled
2.0,0.0,3.0,7.0,23.0,9.0,7.0,95.98,0.0,Not_Canceled
2.0,0.0,1.0,2.0,52.0,10.0,23.0,94.5,3.0,Not_Canceled
1.0,0.0,0.0,2.0,346.0,9.0,13.0,90.0,0.0,Not_Canceled
1.0,0.0,1.0,0.0,3.0,2.0,8.0,129.0,1.0,Not_Canceled
2.0,0.0,0.0,2.0,29.0,12.0,2.0,85.0,1.0,Not_Canceled
2.0,0.0,1.0,2.0,133.0,8.0,19.0,82.45,0.0,Canceled
1.0,0.0,2.0,0.0,52.0,10.0,2.0,108.0,1.0,Canceled
1.0,0.0,1.0,0.0,0.0,12.0,21.0,65.0,0.0,Not_Canceled
3.0,0.0,1.0,4.0,200.0,10.0,3.0,115.6,4.0,Not_Canceled
2.0,0.0,0.0,3.0,213.0,6.0,7.0,130.0,0.0,Canceled
3.0,0.0,0.0,3.0,50.0,6.0,7.0,147.3,2.0,Not_Canceled
2.0,0.0,2.0,2.0,175.0,7.0,24.0,123.25,1.0,Canceled
2.0,0.0,0.0,1.0,46.0,8.0,26.0,125.1,0.0,Canceled
2.0,1.0,0.0,2.0,19.0,3.0,18.0,174.5,0.0,Canceled
2.0,0.0,2.0,1.0,221.0,10.0,10.0,65.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,54.0,3.0,18.0,99.0,1.0,Not_Canceled
2.0,0.0,5.0,12.0,81.0,8.0,3.0,76.5,1.0,Canceled
2.0,0.0,0.0,2.0,2.0,11.0,25.0,95.0,0.0,Not_Canceled
2.0,0.0,1.0,1.0,301.0,7.0,30.0,109.0,0.0,Canceled
2.0,0.0,1.0,4.0,259.0,12.0,28.0,131.43,2.0,Not_Canceled
1.0,0.0,0.0,2.0,6.0,10.0,20.0,120.0,2.0,Not_Canceled
3.0,0.0,1.0,1.0,87.0,8.0,8.0,135.27,1.0,Not_Canceled
1.0,0.0,2.0,2.0,115.0,2.0,27.0,76.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,132.0,6.0,30.0,96.3,0.0,Canceled
2.0,0.0,1.0,2.0,70.0,4.0,4.0,96.3,1.0,Not_Canceled
1.0,0.0,1.0,0.0,1.0,9.0,26.0,195.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,174.0,6.0,5.0,115.2,0.0,Canceled
2.0,0.0,0.0,3.0,213.0,6.0,7.0,130.0,0.0,Canceled
1.0,0.0,1.0,0.0,45.0,11.0,28.0,67.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,183.0,9.0,8.0,110.0,1.0,Canceled
2.0,0.0,0.0,3.0,64.0,4.0,12.0,94.5,0.0,Canceled
1.0,0.0,0.0,1.0,0.0,2.0,27.0,60.0,0.0,Not_Canceled
2.0,0.0,2.0,0.0,35.0,3.0,27.0,107.1,1.0,Not_Canceled
2.0,0.0,1.0,4.0,65.0,12.0,30.0,96.2,1.0,Not_Canceled
2.0,0.0,0.0,1.0,45.0,10.0,20.0,107.1,2.0,Not_Canceled
3.0,0.0,4.0,5.0,95.0,7.0,17.0,139.7,2.0,Not_Canceled
2.0,0.0,0.0,1.0,207.0,10.0,4.0,108.9,3.0,Not_Canceled
2.0,0.0,1.0,1.0,247.0,6.0,6.0,115.0,1.0,Canceled
2.0,0.0,0.0,1.0,15.0,6.0,15.0,95.0,1.0,Not_Canceled
2.0,1.0,2.0,2.0,84.0,8.0,14.0,134.1,0.0,Canceled
2.0,0.0,2.0,0.0,275.0,4.0,17.0,110.0,0.0,Canceled
2.0,0.0,2.0,2.0,141.0,4.0,17.0,80.75,0.0,Not_Canceled
2.0,0.0,0.0,5.0,124.0,4.0,12.0,82.13,0.0,Not_Canceled
2.0,0.0,0.0,2.0,273.0,7.0,17.0,109.0,0.0,Canceled
1.0,0.0,1.0,3.0,8.0,6.0,20.0,116.5,0.0,Canceled
1.0,0.0,0.0,1.0,6.0,12.0,6.0,105.0,0.0,Not_Canceled
3.0,0.0,1.0,4.0,100.0,7.0,6.0,98.83,2.0,Not_Canceled
2.0,0.0,0.0,3.0,27.0,5.0,10.0,141.0,0.0,Canceled
2.0,2.0,0.0,3.0,69.0,7.0,19.0,180.3,2.0,Not_Canceled
2.0,0.0,2.0,2.0,132.0,5.0,13.0,113.05,1.0,Not_Canceled
3.0,1.0,1.0,1.0,51.0,8.0,29.0,181.19,0.0,Not_Canceled
2.0,0.0,0.0,2.0,86.0,9.0,9.0,100.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,9.0,12.0,16.0,78.0,0.0,Not_Canceled
2.0,0.0,2.0,4.0,91.0,10.0,20.0,127.65,1.0,Canceled
1.0,0.0,0.0,1.0,47.0,12.0,24.0,81.0,2.0,Not_Canceled
1.0,0.0,0.0,2.0,265.0,6.0,24.0,90.0,0.0,Not_Canceled
2.0,0.0,0.0,3.0,314.0,10.0,12.0,75.0,0.0,Canceled
2.0,0.0,2.0,4.0,198.0,8.0,3.0,72.25,0.0,Not_Canceled
2.0,0.0,2.0,2.0,87.0,12.0,18.0,75.0,0.0,Not_Canceled
1.0,0.0,1.0,1.0,89.0,8.0,29.0,116.1,0.0,Not_Canceled
2.0,0.0,0.0,4.0,120.0,8.0,10.0,114.3,0.0,Canceled
1.0,0.0,2.0,6.0,12.0,3.0,5.0,92.63,1.0,Canceled
2.0,0.0,1.0,3.0,322.0,5.0,19.0,80.0,0.0,Canceled
2.0,0.0,2.0,0.0,12.0,12.0,4.0,104.0,0.0,Not_Canceled
3.0,0.0,2.0,3.0,49.0,8.0,20.0,168.3,1.0,Canceled
2.0,0.0,2.0,1.0,89.0,4.0,9.0,79.5,1.0,Not_Canceled
2.0,0.0,2.0,5.0,182.0,9.0,22.0,90.95,1.0,Not_Canceled
2.0,0.0,1.0,2.0,194.0,8.0,22.0,102.25,1.0,Canceled
2.0,0.0,2.0,3.0,228.0,6.0,26.0,77.23,1.0,Not_Canceled
2.0,0.0,0.0,4.0,144.0,7.0,6.0,97.75,0.0,Canceled
1.0,0.0,0.0,2.0,39.0,8.0,14.0,87.0,0.0,Not_Canceled
2.0,0.0,2.0,2.0,95.0,6.0,10.0,119.85,1.0,Not_Canceled
2.0,2.0,2.0,4.0,156.0,8.0,17.0,170.28,0.0,Canceled
2.0,0.0,2.0,1.0,124.0,8.0,8.0,94.5,0.0,Not_Canceled
3.0,0.0,0.0,4.0,184.0,8.0,16.0,139.05,3.0,Not_Canceled
2.0,0.0,1.0,3.0,210.0,10.0,8.0,72.75,0.0,Not_Canceled
2.0,0.0,0.0,2.0,39.0,8.0,14.0,101.5,0.0,Not_Canceled
2.0,0.0,2.0,1.0,154.0,7.0,10.0,124.8,1.0,Canceled
2.0,1.0,1.0,4.0,93.0,8.0,3.0,134.1,0.0,Canceled
1.0,0.0,1.0,2.0,219.0,9.0,4.0,76.67,0.0,Not_Canceled
2.0,0.0,2.0,2.0,51.0,9.0,3.0,139.28,0.0,Canceled
3.0,0.0,0.0,4.0,65.0,12.0,21.0,122.65,0.0,Not_Canceled
3.0,0.0,2.0,0.0,10.0,2.0,7.0,130.0,2.0,Not_Canceled
2.0,0.0,2.0,0.0,3.0,2.0,21.0,105.0,0.0,Not_Canceled
2.0,0.0,0.0,1.0,3.0,2.0,27.0,93.0,0.0,Not_Canceled
2.0,0.0,0.0,2.0,2.0,12.0,11.0,116.0,0.0,Not_Canceled
1.0,0.0,1.0,0.0,14.0,10.0,3.0,95.0,0.0,Not_Canceled
2.0,0.0,1.0,5.0,3.0,11.0,9.0,72.75,1.0,Not_Canceled
2.0,0.0,2.0,2.0,54.0,10.0,16.0,81.0,0.0,Not_Canceled
2.0,0.0,0.0,4.0,66.0,4.0,19.0,112.2,0.0,Not_Canceled
2.0,0.0,2.0,1.0,10.0,10.0,2.0,85.0,0.0,Not_Canceled
2.0,0.0,1.0,2.0,121.0,6.0,24.0,90.0,0.0,Canceled
2.0,0.0,0.0,3.0,203.0,8.0,10.0,105.3,1.0,Canceled
2.0,0.0,0.0,1.0,0.0,5.0,24.0,141.0,0.0,Not_Canceled
2.0,0.0,1.0,4.0,18.0,6.0,13.0,94.4,1.0,Not_Canceled
