ra,dec,run,camcol,field,redshift,plate,mjd,class
13.839221,1.2219732,7717.0,1.0,422.0,0.04204927,395.0,51783.0,GALAXY
32.914839,-0.5584234,2700.0,2.0,85.0,1.00552,9316.0,58082.0,GALAXY
46.943675,-0.78756523,4263.0,2.0,429.0,0.03824062,411.0,51817.0,GALAXY
333.31133,0.56936,4192.0,5.0,177.0,1.526814,9239.0,58018.0,QSO
236.31929,14.116313,5194.0,3.0,792.0,0.4715228,4890.0,55741.0,GALAXY
176.86847,-3.1332656,1231.0,2.0,51.0,0.1087069,329.0,52056.0,GALAXY
33.810998,5.0006698,7727.0,5.0,291.0,0.4735109,4266.0,55486.0,GALAXY
231.09992,6.919598,3903.0,3.0,331.0,5.147139e-05,4889.0,55709.0,STAR
180.49895,37.027816,4392.0,3.0,209.0,1.166783,8864.0,57428.0,QSO
164.17895,-0.74057443,6793.0,2.0,24.0,0.5340518,3836.0,55302.0,GALAXY
131.19479,38.809465,2830.0,6.0,160.0,0.4953546,3765.0,55508.0,GALAXY
251.77727,18.736998,4002.0,4.0,296.0,0.5339887,4179.0,55684.0,GALAXY
229.10909,0.11874671,752.0,4.0,571.0,0.1167859,312.0,51689.0,GALAXY
230.81214,6.720503,3909.0,3.0,236.0,1.665598e-05,2902.0,54629.0,STAR
34.832357,-1.7051457,7780.0,5.0,134.0,0.788155,9317.0,58070.0,GALAXY
185.25469,31.025301,5061.0,6.0,451.0,0.5866112,11395.0,58488.0,GALAXY
52.795629,18.266031,6475.0,5.0,88.0,-0.0001534949,3187.0,54821.0,STAR
338.59972,1.4852154,7717.0,2.0,186.0,0.7029605,9242.0,58022.0,GALAXY
46.749129,-0.81154465,4263.0,2.0,428.0,0.03761568,411.0,51817.0,GALAXY
200.64033,23.572968,5116.0,2.0,197.0,-0.0002022944,3301.0,54939.0,STAR
235.44262,0.46141753,752.0,5.0,614.0,0.07377017,315.0,51663.0,GALAXY
153.66398,53.843623,2735.0,5.0,66.0,5.392519e-06,3324.0,54943.0,STAR
126.19757,29.940292,3530.0,4.0,67.0,-0.0004830792,3188.0,54831.0,STAR
152.68091,6.8566563,2986.0,5.0,228.0,0.5789234,4875.0,55677.0,GALAXY
33.723721,4.9362007,7727.0,5.0,291.0,0.5083551,4266.0,55486.0,GALAXY
185.42082,-2.5771193,1140.0,3.0,217.0,0.08850802,333.0,52313.0,GALAXY
153.11176,7.6252898,3015.0,6.0,261.0,0.5974289,4875.0,55677.0,GALAXY
235.83476,0.78690984,2327.0,2.0,90.0,0.08384647,315.0,51663.0,GALAXY
129.31792,49.565608,1345.0,2.0,146.0,0.5764844,3697.0,55290.0,GALAXY
42.094461,-1.9343736,7780.0,4.0,183.0,0.7844654,9311.0,57743.0,GALAXY
186.80775,6.2477851,3841.0,1.0,146.0,-0.0001211797,3253.0,54941.0,STAR
251.68354,27.188334,3918.0,3.0,372.0,0.4609161,4185.0,55469.0,GALAXY
338.61787,1.6061019,7717.0,2.0,187.0,1.138844,9242.0,58022.0,GALAXY
242.05994,38.516861,3177.0,5.0,219.0,-0.0005347564,3467.0,54999.0,STAR
137.12726,20.497088,5071.0,2.0,153.0,0.9004826,9563.0,58070.0,GALAXY
15.395073,-1.8818688,7907.0,5.0,174.0,0.1253816,9309.0,58074.0,QSO
333.89116,0.23738811,4207.0,4.0,197.0,0.8705686,9239.0,58018.0,GALAXY
209.22525,33.675434,4570.0,6.0,15.0,0.0007164914,3861.0,55274.0,STAR
254.80912,29.460934,4828.0,5.0,45.0,-0.001111901,2829.0,54623.0,STAR
230.56815,20.36156,4670.0,4.0,216.0,0.5581313,3950.0,55680.0,GALAXY
235.39898,0.67432168,1477.0,5.0,93.0,0.08654554,315.0,51663.0,GALAXY
225.4201,-0.014928223,756.0,3.0,732.0,0.04066654,310.0,51990.0,GALAXY
240.62535,25.384625,3900.0,4.0,697.0,0.5303047,3940.0,55327.0,GALAXY
3.8307669,-1.0543113,4263.0,1.0,141.0,0.09294511,389.0,51795.0,GALAXY
162.93915,-2.4275742,1140.0,3.0,67.0,0.557806,3786.0,55563.0,GALAXY
175.41718,-2.2463244,5973.0,3.0,59.0,0.05417665,328.0,52282.0,GALAXY
120.23005,29.864943,2830.0,5.0,75.0,1.87602e-05,10292.0,58113.0,STAR
238.06166,26.010188,3900.0,2.0,681.0,3.19276,3946.0,55659.0,QSO
37.331349,-4.2105793,7881.0,4.0,271.0,0.7111858,9319.0,58043.0,GALAXY
171.60499,-3.5164417,1231.0,1.0,16.0,0.06232633,326.0,52375.0,GALAXY
44.140819,-2.9648029,7264.0,1.0,157.0,1.191278,9312.0,57784.0,GALAXY
237.37995,6.5866122,3909.0,5.0,279.0,0.5135212,4877.0,55707.0,GALAXY
174.82017,-3.0584713,5976.0,3.0,164.0,7.601461e-05,327.0,52294.0,STAR
341.89263,-1.1686525,3388.0,1.0,198.0,-0.0002502415,378.0,52146.0,STAR
164.23189,-0.63700288,6793.0,2.0,24.0,0.6017079,3787.0,55565.0,GALAXY
39.163521,-4.1788091,7865.0,3.0,176.0,0.906704,9314.0,57716.0,GALAXY
8.76553260000003,1.7120761,7717.0,2.0,388.0,0.0798294,4304.0,55506.0,GALAXY
230.33044,20.54331,4670.0,4.0,215.0,0.5135694,3950.0,55680.0,GALAXY
192.99805,-2.0409843,1231.0,5.0,159.0,0.02289673,337.0,51997.0,GALAXY
172.07771,-2.8788457,1140.0,2.0,128.0,0.09526824,326.0,52375.0,GALAXY
228.93035,-0.42329277,756.0,2.0,756.0,0.02799002,312.0,51689.0,GALAXY
4.1209284,-0.60741536,2728.0,2.0,440.0,0.06819184,389.0,51795.0,GALAXY
192.98003,-2.4222133,1231.0,4.0,158.0,0.2232378,337.0,51997.0,GALAXY
118.67319,26.735552,2864.0,2.0,62.0,0.0002371679,3227.0,54893.0,STAR
246.4604,12.046568,5330.0,5.0,117.0,0.5605918,4067.0,55361.0,GALAXY
178.43075,-3.2094008,1231.0,2.0,61.0,0.0002163616,330.0,52370.0,STAR
223.55878,0.35596744,756.0,4.0,720.0,0.1162082,309.0,51994.0,GALAXY
164.10677,-0.93409331,756.0,1.0,322.0,0.9908883,3836.0,55302.0,GALAXY
33.153273,5.0036394,7727.0,5.0,287.0,0.07273487,4266.0,55486.0,GALAXY
235.60156,14.283531,5330.0,2.0,45.0,5.544406,4890.0,55741.0,QSO
9.11603059999999,2.2176078,7717.0,3.0,390.0,0.1470743,4304.0,55506.0,GALAXY
182.29604,-2.6107067,1140.0,3.0,196.0,0.3903233,332.0,52367.0,GALAXY
233.8722,13.546269,5317.0,4.0,69.0,0.505263,4891.0,55736.0,GALAXY
164.21213,-0.62708326,756.0,2.0,323.0,0.000552899,3836.0,55302.0,STAR
231.83,6.8260778,3903.0,3.0,336.0,2.685264,4885.0,55735.0,QSO
225.60086,-0.81332169,752.0,2.0,548.0,0.0879861,310.0,51990.0,GALAXY
181.55154,-2.6671391,1140.0,3.0,191.0,0.3169848,332.0,52367.0,GALAXY
235.97633,14.055682,5330.0,2.0,48.0,0.211021,4890.0,55741.0,GALAXY
178.64205,-3.2566656,1231.0,2.0,63.0,0.1358891,330.0,52370.0,GALAXY
8.69530070000002,2.2942149,7674.0,3.0,89.0,0.6059332,4304.0,55506.0,GALAXY
187.49406,-1.6413264,1231.0,6.0,122.0,0.09628421,334.0,51993.0,GALAXY
225.80342,-0.93721966,2379.0,6.0,111.0,0.03712127,310.0,51990.0,GALAXY
71.352229,11.787306,6519.0,5.0,78.0,-0.0001859331,2669.0,54086.0,STAR
231.43702,-0.29099328,752.0,3.0,587.0,0.0533567,313.0,51673.0,GALAXY
192.87484,-3.4861113,1140.0,1.0,267.0,0.1595591,337.0,51997.0,GALAXY
174.17938,-2.3991045,5976.0,5.0,166.0,0.1427871,327.0,52294.0,GALAXY
187.00602,-1.9335376,1231.0,5.0,119.0,0.4027353,334.0,51993.0,GALAXY
176.21029,-3.0305113,1140.0,2.0,156.0,0.2623403,329.0,52056.0,GALAXY
182.22724,-0.34882131,6793.0,3.0,144.0,8.723774e-05,324.0,51666.0,STAR
182.37781,-2.8165155,1231.0,3.0,88.0,0.1603171,332.0,52367.0,GALAXY
143.66199,43.145157,2864.0,1.0,236.0,0.0002417808,3265.0,54888.0,STAR
184.1077,-3.6358897,1231.0,1.0,99.0,0.112224,333.0,52313.0,GALAXY
174.14707,-1.9587622,5973.0,6.0,57.0,0.514429,327.0,52294.0,GALAXY
201.86211,24.798902,5116.0,5.0,204.0,-0.000121833,3301.0,54939.0,STAR
176.23085,-1.9545377,5973.0,2.0,64.0,0.1091434,328.0,52282.0,GALAXY
71.276441,11.703019,6519.0,5.0,77.0,-7.548372e-05,2669.0,54086.0,STAR
237.95351,12.835122,5194.0,1.0,805.0,0.5029389,4882.0,55721.0,GALAXY
231.87088,0.4277505,752.0,5.0,590.0,0.07581986,313.0,51673.0,GALAXY
136.76578,20.014698,5071.0,1.0,150.0,0.8887637,9563.0,58070.0,GALAXY
237.19955,11.967194,5308.0,2.0,300.0,0.3502881,4886.0,55737.0,GALAXY
236.02578,13.9685,5330.0,2.0,48.0,0.7170975,4890.0,55741.0,GALAXY
9.69929389999999,-0.95426284,2728.0,1.0,478.0,0.4954258,3587.0,55182.0,GALAXY
221.03777,0.17845968,752.0,4.0,517.0,0.2964831,308.0,51662.0,GALAXY
231.11956,6.711516,3909.0,3.0,238.0,0.4804203,4889.0,55709.0,GALAXY
177.98523,-2.6779532,1140.0,3.0,167.0,0.1639176,330.0,52370.0,GALAXY
243.3286,7.1801071,3894.0,5.0,263.0,0.4669669,4895.0,55708.0,GALAXY
233.36029,0.52054312,752.0,5.0,600.0,0.03774762,315.0,51663.0,GALAXY
231.48807,6.6725706,3909.0,3.0,240.0,-0.0002825095,4889.0,55709.0,STAR
39.884141,-4.1411981,7865.0,3.0,180.0,0.8429673,9314.0,57716.0,GALAXY
185.35402,31.122466,5071.0,6.0,449.0,1.221872,11395.0,58488.0,QSO
233.42505,14.693018,5194.0,2.0,773.0,0.3435172,4892.0,55738.0,GALAXY
33.219877,5.1368926,7718.0,5.0,210.0,0.5103132,4266.0,55486.0,GALAXY
180.04335,-1.8853537,1231.0,5.0,72.0,0.4319787,331.0,52368.0,GALAXY
136.98341,20.18128,5071.0,1.0,151.0,0.7883326,9563.0,58070.0,GALAXY
185.67775,-1.5115655,1231.0,6.0,110.0,0.2902458,333.0,52313.0,GALAXY
220.42262,-0.068077081,756.0,3.0,699.0,0.1947246,308.0,51662.0,GALAXY
173.11104,-1.8657942,1231.0,5.0,26.0,2.044183,326.0,52375.0,QSO
175.94928,-2.0779879,5976.0,2.0,173.0,0.1246979,328.0,52282.0,GALAXY
176.93984,-3.3460896,1140.0,1.0,160.0,-0.0001689628,329.0,52056.0,STAR
42.393014,-2.7878883,6572.0,5.0,199.0,1.363482,9311.0,57743.0,QSO
44.017104,-0.94234658,3461.0,1.0,12.0,-0.0006345719,3184.0,54850.0,STAR
185.28802,-3.5965133,1231.0,1.0,107.0,1.299465,333.0,52313.0,QSO
152.91703,7.718495,3031.0,2.0,219.0,0.484589,4875.0,55677.0,GALAXY
230.26659,0.55645147,752.0,5.0,579.0,0.09721545,312.0,51689.0,GALAXY
192.06323,-2.2884353,6005.0,2.0,148.0,0.1412633,336.0,51999.0,GALAXY
240.50085,8.3599615,3836.0,6.0,606.0,2.257959,4893.0,55709.0,QSO
226.94935,-0.39122397,752.0,3.0,557.0,0.1621091,310.0,51990.0,GALAXY
26.365208,17.336764,7845.0,6.0,117.0,0.7581158,11044.0,58508.0,GALAXY
181.53556,-0.09877083,756.0,3.0,439.0,2.943257e-05,324.0,51666.0,STAR
251.10462,19.275439,4002.0,4.0,290.0,0.2897577,4179.0,55684.0,GALAXY
244.25349,8.080855,3996.0,4.0,267.0,0.8379724,4896.0,55712.0,GALAXY
35.015042,-1.2410716,4263.0,1.0,349.0,0.6970645,9317.0,58070.0,GALAXY
180.61428,-1.3649647,1140.0,6.0,185.0,0.09931689,331.0,52368.0,GALAXY
174.4074,-3.3594866,5973.0,4.0,50.0,0.07960288,327.0,52294.0,GALAXY
7.0738604,-0.36276322,4263.0,3.0,163.0,0.2880202,391.0,51782.0,GALAXY
174.7955,-1.7084063,5973.0,5.0,61.0,1.712296,327.0,52294.0,QSO
231.63358,-0.50693041,756.0,2.0,774.0,0.08215656,313.0,51673.0,GALAXY
227.88475,0.36823938,756.0,4.0,749.0,0.07243982,311.0,51665.0,GALAXY
251.59986,27.872338,3918.0,4.0,368.0,0.5778677,4185.0,55469.0,GALAXY
178.64538,-3.508884,1140.0,1.0,172.0,0.1502271,330.0,52370.0,GALAXY
190.17166,-3.2688154,6121.0,6.0,140.0,0.7390029,335.0,52000.0,GALAXY
180.87962,-1.6865915,1140.0,5.0,187.0,1.822922,331.0,52368.0,QSO
237.71724,-0.8727714,2334.0,5.0,280.0,-0.0002287733,342.0,51691.0,STAR
7.80254760000003,0.21869931,2728.0,4.0,465.0,0.4570989,4221.0,55443.0,GALAXY
192.13316,-1.8281306,6005.0,2.0,151.0,0.1909423,336.0,51999.0,GALAXY
128.99811,49.49905,1345.0,2.0,144.0,0.5406559,3697.0,55290.0,GALAXY
183.79811,-3.4412346,1140.0,1.0,206.0,0.01739901,332.0,52367.0,GALAXY
172.71297,-1.4619272,1231.0,6.0,23.0,0.4450708,326.0,52375.0,GALAXY
226.6603,14.376275,5317.0,2.0,22.0,0.0799473,2765.0,54535.0,GALAXY
8.83005859999997,2.6394031,7717.0,4.0,388.0,0.4140499,4304.0,55506.0,GALAXY
183.71862,0.81044793,756.0,5.0,453.0,-3.972853e-05,324.0,51666.0,STAR
184.23016,-3.7204295,1231.0,1.0,100.0,0.1115549,333.0,52313.0,GALAXY
243.07991,7.4581183,3996.0,2.0,260.0,1.722075,4895.0,55708.0,QSO
236.02711,13.989978,5330.0,2.0,48.0,0.0005577672,4890.0,55741.0,STAR
228.07324,0.72256151,2327.0,1.0,38.0,0.2195004,311.0,51665.0,GALAXY
175.05661,-1.5479666,5973.0,5.0,62.0,0.04671609,328.0,52282.0,GALAXY
226.18803,-0.01284361,756.0,3.0,737.0,0.05463576,310.0,51990.0,GALAXY
126.17781,37.299942,2711.0,5.0,136.0,0.0,3229.0,54876.0,GALAXY
354.41137,-0.34335346,4263.0,3.0,78.0,0.05962069,384.0,51821.0,GALAXY
193.53127,-2.3526477,1231.0,4.0,162.0,1.033069,337.0,51997.0,QSO
181.27804,-2.2095437,1140.0,4.0,189.0,0.06987606,331.0,52368.0,GALAXY
211.82344,33.281032,4470.0,1.0,164.0,0.4664308,3858.0,55273.0,GALAXY
212.22819,32.902064,4576.0,6.0,599.0,0.5693322,3858.0,55273.0,GALAXY
177.65097,-1.7015387,1140.0,5.0,165.0,0.000155684,329.0,52056.0,STAR
194.42003,-1.5530186,1231.0,6.0,168.0,0.08268777,338.0,51694.0,GALAXY
189.90141,36.234512,4470.0,1.0,43.0,3.114898,3969.0,55307.0,QSO
147.61469,-0.63659674,1239.0,2.0,182.0,0.6360314,3827.0,55565.0,QSO
178.1492,-2.6376744,1140.0,3.0,169.0,0.1767353,329.0,52056.0,GALAXY
120.4814,53.841538,4294.0,4.0,100.0,0.0001112225,3682.0,55244.0,STAR
334.16726,0.27223,4207.0,4.0,199.0,1.020313,9239.0,58018.0,QSO
246.52079,12.899036,4678.0,4.0,300.0,-1.007395e-05,4067.0,55361.0,STAR
43.889451,-3.8450739,7881.0,4.0,314.0,1.008863,9312.0,57784.0,GALAXY
188.32402,-2.8107255,1231.0,3.0,127.0,0.06042962,335.0,52000.0,GALAXY
201.05118,23.460021,5224.0,2.0,306.0,3.715403e-05,3301.0,54939.0,STAR
338.44711,1.1337374,7717.0,1.0,185.0,0.8626209,9242.0,58022.0,GALAXY
138.63539,33.318809,4516.0,2.0,91.0,1.610044,2961.0,54550.0,QSO
234.6584,6.8440104,3903.0,4.0,355.0,0.5435348,4881.0,55733.0,GALAXY
183.32516,-2.810326,1231.0,3.0,94.0,0.1104945,333.0,52313.0,GALAXY
180.94505,37.848624,4504.0,4.0,150.0,0.7148376,8864.0,57428.0,QSO
230.20706,21.558101,4646.0,2.0,237.0,0.5179208,3950.0,55680.0,GALAXY
183.26625,-2.8457515,1231.0,3.0,94.0,-4.758422e-05,332.0,52367.0,STAR
205.99414,35.987805,4512.0,4.0,60.0,2.448066,3986.0,55329.0,QSO
229.01389,0.14098152,752.0,4.0,571.0,0.1222645,312.0,51689.0,GALAXY
251.7299,27.33387,3964.0,4.0,271.0,0.5466375,4185.0,55469.0,GALAXY
184.29299,-0.22408334,752.0,3.0,272.0,-7.523957e-06,324.0,51666.0,STAR
237.39798,12.774743,5308.0,4.0,300.0,0.4888631,4886.0,55737.0,GALAXY
15.687403,-1.8873088,7907.0,5.0,176.0,0.7999538,9309.0,58074.0,GALAXY
230.3297,20.515435,4670.0,4.0,215.0,0.5127583,3950.0,55680.0,GALAXY
234.68872,0.52551853,752.0,5.0,609.0,4.769617e-05,315.0,51663.0,STAR
193.68012,-2.6484586,1140.0,3.0,272.0,0.1149318,337.0,51997.0,GALAXY
190.76921,37.354078,4504.0,3.0,202.0,0.5907107,3969.0,55307.0,GALAXY
53.183488,17.632294,6475.0,4.0,91.0,-0.0001930241,3187.0,54821.0,STAR
221.93922,-0.67532366,752.0,2.0,524.0,0.04259245,308.0,51662.0,GALAXY
231.21289,-0.59345505,756.0,2.0,771.0,0.2232722,313.0,51673.0,QSO
185.88712,-2.2075897,1140.0,4.0,220.0,8.203601e-05,333.0,52313.0,STAR
183.75938,-0.64368354,752.0,2.0,268.0,0.0002923914,324.0,51666.0,STAR
177.25162,-3.5794294,1231.0,1.0,53.0,0.02903826,329.0,52056.0,GALAXY
183.01356,-3.5777035,1231.0,1.0,92.0,0.0519608,332.0,52367.0,GALAXY
233.94988,12.608846,5317.0,2.0,71.0,2.489525,4891.0,55736.0,QSO
171.20579,-2.6746573,1231.0,3.0,13.0,0.1192216,326.0,52375.0,GALAXY
177.93322,-2.8752266,1231.0,3.0,58.0,0.1558302,329.0,52056.0,GALAXY
231.19774,-0.74835894,752.0,2.0,585.0,-0.0002860239,313.0,51673.0,STAR
212.05733,33.952659,4470.0,3.0,164.0,0.7791007,3858.0,55273.0,QSO
171.52301,-3.1783542,1231.0,2.0,15.0,-0.0001253775,326.0,52375.0,STAR
219.31089,29.769122,4576.0,3.0,644.0,0.7152299,3873.0,55277.0,GALAXY
237.72535,6.6470924,3909.0,5.0,281.0,0.5249593,4877.0,55707.0,GALAXY
338.77339,1.8017285,7712.0,2.0,188.0,0.0005451808,9242.0,58022.0,STAR
41.61041,-4.809842,7881.0,2.0,299.0,0.6124321,9315.0,57713.0,QSO
130.98443,39.102501,2711.0,2.0,162.0,0.5992308,3765.0,55508.0,GALAXY
186.84915,20.129924,5314.0,4.0,67.0,0.07435916,2611.0,54477.0,GALAXY
128.45793,39.48959,2822.0,1.0,151.0,0.6351299,3764.0,55514.0,GALAXY
187.35462,-1.9309848,1231.0,5.0,121.0,0.08327337,334.0,51993.0,GALAXY
37.108623,-4.5259059,7881.0,3.0,269.0,0.8930645,9319.0,58043.0,GALAXY
225.7138,-0.087272845,756.0,3.0,734.0,0.3324466,310.0,51990.0,GALAXY
205.10247,36.017449,4512.0,4.0,55.0,-0.0007144164,3986.0,55329.0,STAR
172.70274,-3.5246101,1231.0,1.0,23.0,0.02158975,326.0,52375.0,GALAXY
229.80791,1.0547753,2327.0,2.0,50.0,0.11304,312.0,51689.0,GALAXY
233.4414,15.241975,5330.0,3.0,30.0,2.504431,4892.0,55738.0,QSO
230.65827,21.316014,4670.0,6.0,215.0,0.6399792,3950.0,55680.0,GALAXY
232.42885,6.4335317,3909.0,3.0,247.0,0.6176792,4885.0,55735.0,GALAXY
182.93488,-0.60530211,756.0,2.0,448.0,-4.964221e-05,323.0,51615.0,STAR
209.06637,32.89423,4570.0,4.0,16.0,0.9160334,3861.0,55274.0,QSO
175.77186,-3.6023915,5973.0,1.0,53.0,0.2064265,328.0,52282.0,GALAXY
34.773425,-1.8541257,7778.0,4.0,549.0,1.016033,9317.0,58070.0,GALAXY
229.78395,-0.1192761,756.0,3.0,761.0,-0.000110584,312.0,51689.0,STAR
40.818985,-1.0201876,2820.0,1.0,139.0,0.0006682336,3650.0,55244.0,STAR
247.22211,12.997089,4678.0,5.0,304.0,0.5814191,4067.0,55361.0,GALAXY
71.626477,11.297093,6514.0,3.0,84.0,0.000133293,2669.0,54086.0,STAR
131.7216,2.0730835,2126.0,1.0,83.0,0.0001880253,3813.0,55532.0,STAR
237.37428,12.677106,5317.0,4.0,92.0,-0.002349337,4886.0,55737.0,STAR
229.00403,0.16380113,752.0,4.0,571.0,0.1713439,312.0,51689.0,QSO
39.61114,-4.5625411,7865.0,2.0,178.0,0.5523663,9314.0,57716.0,GALAXY
244.59696,14.617761,4670.0,3.0,314.0,0.4434344,4074.0,55679.0,GALAXY
18.990398,0.69333601,4128.0,5.0,250.0,0.04286787,398.0,51789.0,GALAXY
39.157995,-4.9388115,7881.0,2.0,282.0,0.8807275,9320.0,58069.0,GALAXY
38.736212,-0.24362184,4263.0,3.0,374.0,0.5518153,3745.0,55234.0,GALAXY
240.68232,8.142057,3996.0,2.0,244.0,0.507698,4893.0,55709.0,GALAXY
247.09603,12.602478,4678.0,4.0,305.0,-0.0006715534,4067.0,55361.0,STAR
41.972851,-2.0289938,7778.0,3.0,597.0,0.0,9311.0,57743.0,GALAXY
176.41128,-2.4206551,5973.0,1.0,62.0,0.1295092,328.0,52282.0,GALAXY
171.77495,-3.3644521,1140.0,1.0,126.0,0.06881012,326.0,52375.0,GALAXY
71.373437,11.228569,6519.0,4.0,76.0,-5.75546e-05,2669.0,54086.0,STAR
177.3956,-2.849872,1231.0,3.0,54.0,0.0867858,329.0,52056.0,GALAXY
213.50627,3.1859699,1478.0,1.0,37.0,0.7534841,4030.0,55634.0,QSO
182.1823,-2.7494538,1231.0,3.0,86.0,0.09657646,332.0,52367.0,GALAXY
172.73044,-1.4017948,1231.0,6.0,23.0,0.07265232,326.0,52375.0,GALAXY
194.1329,-2.5251559,1140.0,3.0,275.0,0.5621304,337.0,51997.0,QSO
18.666737,0.46875351,4263.0,5.0,240.0,0.09188061,398.0,51789.0,GALAXY
190.7723,-2.2253525,6121.0,5.0,147.0,0.08275269,336.0,51999.0,GALAXY
191.87053,-1.7544555,6121.0,2.0,151.0,0.08963812,336.0,51999.0,GALAXY
229.03361,0.033648299,752.0,4.0,571.0,0.121459,312.0,51689.0,GALAXY
219.05878,29.311733,4576.0,2.0,643.0,0.5291843,3873.0,55277.0,GALAXY
198.62411,-2.4002164,1231.0,4.0,196.0,1.169635e-05,340.0,51990.0,STAR
25.341392,0.37103916,2700.0,4.0,35.0,0.03035894,401.0,51788.0,GALAXY
130.7879,39.15145,2777.0,2.0,161.0,-0.0002202298,3765.0,55508.0,STAR
136.89621,19.779033,5061.0,1.0,152.0,0.7353368,9563.0,58070.0,GALAXY
39.195259,-4.1313553,7881.0,4.0,283.0,0.7672139,9314.0,57716.0,GALAXY
