MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomorrow
15.4,31.5,0.0,9.4,11.5,39.0,17.0,31.0,45.0,22.0,1016.0,1011.8,0.0,0.0,24.4,30.8,No
24.5,33.4,11.8,7.2,6.9,37.0,20.0,22.0,71.0,80.0,1011.3,1008.5,7.0,7.0,28.8,27.6,No
-1.7,15.6,0.0,4.4,10.8,50.0,9.0,33.0,30.0,16.0,1029.7,1026.7,0.0,0.0,8.0,14.2,No
24.9,32.4,0.0,5.2,8.4,39.0,13.0,17.0,75.0,64.0,1012.9,1009.0,7.0,6.0,27.6,31.3,Yes
23.6,30.6,58.2,4.4,1.9,61.0,17.0,11.0,90.0,91.0,1007.9,1004.6,7.0,7.0,24.8,24.1,Yes
23.0,32.3,22.0,7.4,2.9,39.0,4.0,22.0,88.0,73.0,1008.0,1004.4,7.0,7.0,27.1,30.4,Yes
24.4,34.1,0.0,6.2,11.1,33.0,9.0,19.0,52.0,47.0,1012.8,1009.0,3.0,2.0,30.8,32.0,No
20.9,31.4,0.0,5.2,10.6,35.0,19.0,20.0,45.0,26.0,1014.2,1011.6,1.0,0.0,24.6,30.9,No
25.8,30.0,0.0,6.8,0.0,57.0,15.0,17.0,65.0,62.0,1013.8,1010.5,7.0,7.0,27.0,29.1,Yes
25.9,34.1,0.0,7.0,10.4,41.0,20.0,28.0,65.0,56.0,1013.3,1009.6,4.0,1.0,29.7,32.4,Yes
23.7,32.5,0.0,4.6,10.5,33.0,13.0,20.0,76.0,53.0,1010.1,1006.1,6.0,2.0,28.3,31.8,No
4.7,27.1,0.0,9.0,11.5,41.0,19.0,11.0,12.0,6.0,1021.2,1014.9,0.0,0.0,19.1,25.5,No
22.2,32.0,0.0,7.6,10.8,35.0,9.0,26.0,67.0,53.0,1012.8,1008.7,2.0,1.0,27.5,30.1,No
9.2,18.1,0.0,4.2,7.1,31.0,17.0,19.0,70.0,32.0,1026.9,1023.8,7.0,0.0,11.4,17.6,No
25.3,33.6,0.0,5.8,9.2,52.0,11.0,19.0,75.0,84.0,1008.4,1004.9,7.0,6.0,30.1,27.9,Yes
24.1,32.2,17.6,5.8,4.4,56.0,19.0,9.0,80.0,80.0,1007.6,1004.9,7.0,8.0,29.7,26.6,Yes
18.0,31.2,0.0,8.6,10.9,52.0,20.0,15.0,27.0,21.0,1015.6,1011.0,1.0,0.0,21.3,30.3,No
24.1,40.3,0.0,10.8,12.8,52.0,13.0,22.0,40.0,21.0,1005.5,1002.7,0.0,6.0,30.8,38.7,No
20.4,31.8,0.0,13.4,11.5,41.0,24.0,20.0,26.0,16.0,1011.1,1009.7,2.0,6.0,25.2,30.6,No
22.1,32.3,0.0,5.0,11.0,22.0,6.0,11.0,57.0,59.0,1013.9,1010.6,2.0,2.0,27.2,30.9,No
22.2,32.4,0.0,4.2,9.4,22.0,9.0,15.0,79.0,55.0,1012.3,1008.7,2.0,3.0,26.5,30.8,No
23.9,33.7,0.0,7.8,11.0,35.0,11.0,17.0,67.0,54.0,1013.7,1008.7,2.0,2.0,28.6,32.5,No
23.9,32.9,0.0,8.6,9.4,44.0,24.0,26.0,60.0,43.0,1012.0,1009.1,7.0,7.0,27.8,32.2,Yes
18.8,39.5,0.0,11.8,11.9,33.0,19.0,13.0,21.0,13.0,1014.0,1010.2,5.0,5.0,31.3,37.4,No
20.3,38.3,0.0,16.0,13.1,43.0,28.0,19.0,8.0,4.0,1013.6,1008.8,0.0,0.0,29.3,37.5,No
1.0,24.6,0.0,7.8,11.3,37.0,9.0,13.0,26.0,13.0,1022.8,1017.1,0.0,0.0,13.2,23.5,No
11.7,23.9,0.0,9.2,5.9,52.0,30.0,26.0,38.0,24.0,1025.5,1022.2,7.0,7.0,17.8,22.0,No
25.9,39.0,0.0,10.6,9.5,57.0,15.0,15.0,37.0,24.0,1010.6,1005.9,6.0,6.0,32.6,37.8,Yes
20.8,32.2,0.0,5.8,11.0,33.0,15.0,20.0,61.0,34.0,1014.6,1010.9,0.0,0.0,25.9,29.9,No
24.3,32.0,0.8,5.6,1.8,26.0,9.0,9.0,68.0,64.0,1010.4,1007.7,7.0,7.0,27.8,31.0,No
22.9,38.3,0.0,11.4,10.6,43.0,19.0,17.0,40.0,22.0,1010.6,1006.2,1.0,3.0,32.0,36.6,No
25.7,33.3,15.4,4.8,9.2,41.0,11.0,19.0,81.0,62.0,1008.8,1005.7,5.0,6.0,27.3,32.7,Yes
23.9,35.5,0.0,8.6,11.9,31.0,7.0,20.0,57.0,39.0,1012.3,1009.1,1.0,2.0,30.1,33.6,No
25.6,34.1,0.0,9.2,7.8,41.0,11.0,11.0,77.0,83.0,1011.9,1008.2,5.0,5.0,29.7,27.9,Yes
24.3,32.8,3.6,3.8,5.5,28.0,13.0,15.0,81.0,62.0,1009.7,1006.2,7.0,8.0,28.1,32.6,No
18.4,30.8,0.0,6.0,10.8,37.0,26.0,11.0,32.0,23.0,1014.1,1010.6,1.0,1.0,22.3,29.7,No
23.9,33.0,1.2,4.0,9.3,33.0,15.0,24.0,77.0,48.0,1010.5,1006.8,7.0,7.0,27.6,32.2,No
21.0,33.9,0.0,7.8,10.0,46.0,9.0,26.0,67.0,23.0,1015.2,1011.7,1.0,1.0,27.1,32.7,No
21.1,31.5,0.0,4.8,10.3,33.0,9.0,20.0,74.0,53.0,1015.4,1011.2,1.0,2.0,26.4,30.0,No
29.4,40.0,0.0,17.4,11.9,50.0,33.0,15.0,27.0,17.0,1009.8,1005.3,0.0,2.0,32.5,38.5,No
20.6,30.4,0.0,6.8,10.6,37.0,22.0,13.0,54.0,33.0,1016.2,1012.1,5.0,3.0,23.1,29.6,No
4.5,19.1,0.0,3.0,10.4,41.0,7.0,28.0,76.0,26.0,1026.5,1022.6,1.0,1.0,10.7,18.6,No
-2.3,16.8,0.0,5.0,10.3,35.0,13.0,28.0,53.0,24.0,1027.8,1023.5,0.0,0.0,7.0,15.8,No
22.2,30.9,0.0,10.0,4.5,52.0,17.0,26.0,30.0,19.0,1014.5,1011.4,7.0,7.0,23.0,30.2,No
24.3,33.3,21.8,5.2,7.2,31.0,11.0,22.0,72.0,61.0,1011.9,1008.1,6.0,7.0,29.4,32.3,No
12.4,28.8,0.0,2.8,7.4,35.0,9.0,17.0,52.0,24.0,1017.3,1012.9,6.0,2.0,17.3,28.3,No
24.6,33.9,0.0,8.4,10.5,37.0,17.0,22.0,64.0,52.0,1014.2,1010.1,5.0,5.0,29.2,32.2,No
7.6,27.1,0.0,8.4,10.8,39.0,9.0,22.0,33.0,14.0,1023.6,1019.2,1.0,3.0,18.1,25.8,No
9.9,25.4,0.0,7.0,11.5,37.0,17.0,19.0,55.0,25.0,1015.8,1012.2,1.0,1.0,17.4,24.7,No
23.3,32.0,0.0,6.8,10.5,39.0,13.0,31.0,70.0,51.0,1012.9,1008.9,4.0,1.0,28.2,31.7,No
10.3,28.9,0.0,4.8,9.4,33.0,17.0,13.0,19.0,9.0,1019.8,1014.4,7.0,5.0,19.8,28.0,No
17.4,32.0,0.0,5.8,10.6,35.0,11.0,22.0,71.0,45.0,1014.5,1011.0,1.0,0.0,25.3,29.3,No
23.1,37.7,0.0,13.2,9.8,56.0,15.0,28.0,39.0,27.0,1007.4,1002.8,1.0,7.0,32.1,37.3,No
6.1,19.3,0.0,5.4,10.2,43.0,19.0,26.0,55.0,31.0,1027.2,1024.0,4.0,1.0,12.5,18.7,No
12.6,33.3,0.0,11.8,11.1,41.0,9.0,13.0,23.0,9.0,1018.6,1013.7,7.0,6.0,24.8,32.5,No
24.9,33.2,2.2,5.0,8.8,35.0,9.0,20.0,70.0,60.0,1009.4,1006.2,7.0,5.0,29.0,32.2,No
25.5,33.3,0.0,3.2,10.3,28.0,6.0,19.0,79.0,66.0,1010.7,1007.5,3.0,3.0,29.5,32.7,Yes
25.6,36.1,0.2,10.2,4.5,52.0,9.0,13.0,57.0,69.0,1007.2,1002.4,6.0,7.0,27.7,28.1,Yes
23.2,32.2,8.6,5.6,7.9,39.0,7.0,26.0,86.0,66.0,1010.0,1006.6,7.0,7.0,28.2,31.8,No
14.8,27.5,0.0,9.4,12.9,54.0,30.0,30.0,23.0,17.0,1017.6,1014.3,2.0,1.0,22.3,26.4,No
-2.1,19.5,0.0,3.8,10.2,39.0,9.0,24.0,30.0,9.0,1024.1,1021.6,0.0,0.0,8.3,18.8,No
22.0,28.0,49.2,9.2,0.0,56.0,4.0,7.0,92.0,92.0,1005.4,1003.8,8.0,8.0,24.1,24.7,Yes
19.0,32.0,0.0,7.4,10.8,41.0,9.0,13.0,73.0,22.0,1015.9,1010.9,2.0,1.0,24.4,30.7,No
17.6,26.5,0.0,12.4,9.9,48.0,17.0,20.0,43.0,19.0,1017.1,1012.9,7.0,2.0,18.7,26.0,No
27.8,34.6,0.0,6.2,6.3,35.0,15.0,20.0,73.0,72.0,1009.4,1007.8,7.0,7.0,31.2,31.4,No
23.6,33.9,0.0,8.0,10.9,35.0,7.0,22.0,62.0,50.0,1013.8,1009.8,4.0,2.0,28.8,31.9,No
28.2,32.4,0.0,8.0,9.6,37.0,19.0,24.0,73.0,67.0,1004.6,1001.8,7.0,7.0,29.8,31.9,No
9.0,25.7,0.0,7.8,11.3,41.0,20.0,22.0,59.0,28.0,1017.6,1013.4,0.0,0.0,17.2,24.8,No
6.7,28.1,0.0,9.8,11.8,41.0,28.0,4.0,6.0,1.0,1020.6,1015.8,0.0,0.0,18.9,27.5,No
23.8,33.9,0.0,7.0,10.7,44.0,6.0,30.0,63.0,44.0,1012.4,1008.7,1.0,3.0,29.8,32.3,No
7.3,19.1,0.0,3.6,11.0,50.0,19.0,24.0,52.0,28.0,1022.9,1019.5,0.0,0.0,13.2,18.5,No
23.5,35.3,0.4,7.6,11.3,41.0,15.0,26.0,69.0,41.0,1010.5,1005.7,4.0,2.0,29.6,34.3,No
21.7,31.2,0.0,8.2,9.8,41.0,24.0,11.0,56.0,36.0,1013.0,1009.7,7.0,5.0,24.5,30.5,No
28.8,31.0,0.0,7.4,1.3,74.0,33.0,22.0,73.0,69.0,1004.5,1002.5,7.0,7.0,30.2,29.6,Yes
25.6,33.1,0.0,6.2,4.3,59.0,22.0,24.0,66.0,44.0,1014.6,1011.5,2.0,5.0,28.5,31.4,No
24.9,32.6,0.0,3.8,6.0,61.0,11.0,24.0,75.0,95.0,1007.6,1005.6,7.0,7.0,29.1,23.5,Yes
23.7,29.4,35.8,5.0,1.9,30.0,11.0,17.0,89.0,79.0,1008.2,1005.4,7.0,7.0,26.5,28.5,No
19.4,31.2,0.0,7.0,10.4,43.0,13.0,17.0,65.0,48.0,1013.8,1010.9,1.0,3.0,24.1,29.5,No
20.6,29.5,0.0,4.0,7.7,30.0,15.0,19.0,83.0,49.0,1012.9,1009.8,7.0,5.0,24.3,28.9,No
25.5,35.4,0.0,15.4,5.7,50.0,20.0,30.0,25.0,22.0,1016.1,1014.0,6.0,7.0,30.8,33.8,No
10.6,26.8,0.8,2.0,10.2,22.0,9.0,9.0,85.0,32.0,1019.1,1015.1,1.0,1.0,17.6,26.3,No
17.6,30.5,0.0,8.0,8.9,44.0,24.0,11.0,40.0,33.0,1015.0,1010.7,0.0,5.0,20.7,29.4,No
23.5,32.2,3.2,7.2,7.2,46.0,28.0,20.0,31.0,14.0,1016.7,1012.3,7.0,1.0,24.1,31.9,No
5.7,22.3,0.0,5.0,10.5,41.0,13.0,22.0,58.0,31.0,1024.1,1020.0,4.0,1.0,14.5,21.4,No
5.3,25.2,0.0,3.6,10.1,30.0,9.0,17.0,36.0,13.0,1021.2,1019.1,1.0,1.0,14.3,25.2,No
25.1,36.3,0.0,6.2,10.8,37.0,15.0,24.0,74.0,45.0,1013.0,1008.6,2.0,0.0,28.9,32.8,No
6.5,21.4,0.0,7.0,10.7,41.0,20.0,22.0,43.0,23.0,1025.9,1021.4,2.0,2.0,13.7,20.6,No
8.0,21.9,0.0,4.2,10.7,30.0,2.0,9.0,68.0,39.0,1020.2,1017.1,1.0,3.0,15.2,21.4,No
23.3,25.6,14.2,6.4,0.0,35.0,15.0,22.0,83.0,89.0,1011.7,1009.1,7.0,7.0,25.6,24.4,Yes
23.6,28.1,28.0,5.6,0.2,35.0,15.0,24.0,96.0,87.0,1009.3,1005.7,8.0,8.0,23.8,26.7,Yes
20.4,33.3,0.0,8.2,11.1,39.0,24.0,20.0,26.0,26.0,1015.9,1011.6,1.0,0.0,25.1,31.8,No
26.1,41.3,0.0,14.8,9.9,70.0,15.0,30.0,27.0,11.0,1003.8,999.0,2.0,5.0,34.6,40.7,No
24.0,39.2,0.2,8.6,9.6,50.0,9.0,20.0,36.0,17.0,1012.1,1007.7,1.0,3.0,30.7,37.9,No
-1.0,23.6,0.0,3.6,10.1,26.0,2.0,11.0,58.0,12.0,1024.7,1019.7,0.0,0.0,7.4,23.1,No
25.4,31.9,0.0,4.0,7.6,33.0,7.0,22.0,77.0,68.0,1009.9,1006.9,5.0,7.0,29.8,30.6,Yes
25.8,33.6,6.6,4.8,8.4,44.0,6.0,20.0,64.0,58.0,1009.5,1005.5,5.0,6.0,30.8,32.8,No
20.6,30.0,0.0,8.2,4.5,41.0,24.0,22.0,70.0,46.0,1009.9,1006.2,7.0,6.0,22.6,29.1,No
22.5,33.3,0.0,8.8,11.0,48.0,30.0,26.0,44.0,31.0,1014.7,1010.5,4.0,1.0,25.8,31.7,No
25.8,32.9,1.4,4.8,4.0,35.0,15.0,20.0,77.0,69.0,1011.3,1009.2,7.0,7.0,29.2,30.0,No
20.7,29.9,0.0,6.2,8.7,37.0,26.0,20.0,51.0,40.0,1014.1,1011.6,6.0,6.0,23.5,29.5,No
26.6,29.5,4.2,1.8,0.7,41.0,11.0,11.0,84.0,80.0,1011.9,1009.6,7.0,7.0,28.9,27.4,Yes
2.6,18.9,0.0,4.4,6.3,28.0,13.0,15.0,61.0,33.0,1025.7,1023.0,1.0,7.0,9.8,18.5,Yes
22.6,41.6,0.0,12.8,7.8,50.0,17.0,19.0,12.0,13.0,1009.4,1004.5,5.0,7.0,35.2,39.8,No
8.5,25.1,0.0,6.6,12.4,41.0,19.0,19.0,45.0,26.0,1020.2,1015.1,0.0,1.0,19.3,24.7,No
19.0,33.7,0.0,6.4,9.8,50.0,15.0,15.0,55.0,33.0,1010.5,1006.4,4.0,2.0,26.7,32.4,No
20.3,29.5,0.0,5.8,8.0,28.0,7.0,19.0,68.0,58.0,1015.2,1011.1,7.0,6.0,25.3,28.5,No
28.3,33.1,0.0,4.0,6.6,35.0,15.0,20.0,75.0,64.0,1011.3,1007.8,7.0,6.0,30.1,32.9,No
22.4,31.2,0.0,3.0,10.9,35.0,17.0,15.0,46.0,36.0,1013.1,1010.6,2.0,2.0,25.6,30.8,No
24.3,35.2,0.0,6.8,11.1,39.0,9.0,19.0,62.0,40.0,1010.5,1007.5,1.0,3.0,30.0,33.6,No
16.6,31.9,0.0,8.0,11.4,31.0,15.0,13.0,44.0,35.0,1012.9,1008.3,0.0,2.0,24.8,30.5,No
25.0,35.2,0.0,3.8,11.0,33.0,9.0,15.0,75.0,36.0,1012.3,1008.9,1.0,2.0,28.8,34.5,No
27.4,34.2,0.0,5.6,7.9,41.0,9.0,17.0,77.0,66.0,1012.8,1008.9,3.0,4.0,30.9,33.1,Yes
25.5,34.2,7.4,4.4,10.5,30.0,9.0,13.0,68.0,54.0,1009.9,1005.6,7.0,6.0,30.9,33.6,No
1.1,18.5,0.0,5.0,10.3,50.0,13.0,24.0,65.0,30.0,1027.6,1024.1,1.0,2.0,9.6,17.5,No
24.2,30.7,2.4,2.8,3.8,37.0,15.0,15.0,88.0,91.0,1012.9,1009.3,7.0,7.0,25.9,26.4,Yes
2.9,17.7,0.0,4.0,9.0,33.0,19.0,20.0,53.0,33.0,1022.3,1019.1,3.0,1.0,11.0,16.6,No
24.2,33.3,10.0,4.4,11.1,50.0,19.0,28.0,82.0,62.0,1009.1,1005.6,7.0,7.0,29.3,32.8,No
19.9,32.8,0.0,5.8,10.9,54.0,22.0,28.0,64.0,27.0,1015.6,1011.3,2.0,1.0,24.3,32.0,No
24.7,30.5,15.2,6.8,0.4,48.0,7.0,20.0,83.0,91.0,1007.8,1005.5,8.0,8.0,27.5,27.0,Yes
21.9,31.6,0.0,10.0,9.9,43.0,22.0,22.0,25.0,18.0,1015.8,1012.0,7.0,4.0,23.5,31.3,No
20.8,37.4,0.8,11.8,10.4,28.0,9.0,9.0,35.0,21.0,1007.8,1002.6,2.0,6.0,30.4,36.1,No
20.4,31.2,0.0,4.4,10.9,39.0,17.0,15.0,64.0,42.0,1014.3,1010.7,1.0,3.0,23.5,30.5,No
26.7,31.9,0.0,7.2,10.2,41.0,20.0,24.0,70.0,60.0,1010.9,1008.7,7.0,6.0,29.2,31.2,No
24.3,29.1,9.0,2.2,0.0,24.0,13.0,9.0,90.0,76.0,1008.8,1007.0,7.0,7.0,26.8,28.8,No
25.7,32.3,7.8,6.2,5.8,44.0,17.0,31.0,91.0,76.0,1010.2,1007.2,7.0,7.0,27.4,30.6,Yes
18.1,30.8,0.0,9.2,10.8,46.0,31.0,17.0,13.0,9.0,1018.4,1014.7,2.0,1.0,21.1,29.5,No
21.5,27.9,33.6,7.6,0.3,33.0,17.0,17.0,93.0,78.0,1010.2,1008.4,8.0,8.0,22.9,26.2,Yes
9.9,23.8,0.0,6.2,8.4,41.0,11.0,20.0,40.0,23.0,1027.5,1023.6,3.0,4.0,15.5,22.7,No
27.5,32.1,0.0,8.2,11.0,48.0,28.0,35.0,75.0,71.0,1010.6,1008.0,3.0,5.0,29.7,31.1,No
2.9,21.7,0.0,11.0,11.5,46.0,28.0,22.0,14.0,6.0,1025.7,1020.7,0.0,0.0,14.5,20.4,No
19.3,33.0,0.0,12.0,11.6,46.0,33.0,28.0,26.0,18.0,1018.2,1013.9,0.0,0.0,26.4,32.2,No
24.8,32.6,0.0,6.6,7.5,37.0,24.0,30.0,71.0,43.0,1010.1,1007.5,4.0,6.0,27.4,32.3,No
23.1,33.8,2.0,6.4,9.0,31.0,11.0,17.0,73.0,54.0,1010.5,1006.4,7.0,7.0,27.2,32.2,Yes
25.0,30.2,6.8,3.6,2.8,30.0,9.0,19.0,85.0,83.0,1010.1,1007.3,6.0,7.0,27.6,27.4,Yes
25.9,32.8,3.6,6.6,5.7,44.0,7.0,22.0,78.0,57.0,1010.6,1008.1,7.0,6.0,29.2,29.8,Yes
18.8,37.7,0.0,12.0,12.1,54.0,15.0,26.0,17.0,8.0,1010.3,1006.7,0.0,1.0,29.9,36.8,No
25.2,33.9,0.0,6.4,7.9,56.0,9.0,24.0,63.0,62.0,1008.3,1005.8,7.0,7.0,29.5,33.6,Yes
20.0,33.1,0.0,4.4,11.0,41.0,13.0,17.0,81.0,32.0,1016.0,1012.1,1.0,2.0,25.4,32.3,No
23.1,31.5,0.0,4.6,9.0,33.0,19.0,17.0,69.0,54.0,1011.9,1008.7,3.0,6.0,26.1,30.1,No
25.3,33.4,0.0,8.4,9.6,37.0,13.0,28.0,60.0,56.0,1011.5,1007.4,1.0,2.0,30.4,32.9,Yes
24.4,34.9,29.0,9.0,8.1,39.0,17.0,15.0,85.0,45.0,1010.2,1005.7,7.0,7.0,26.7,34.4,No
23.7,30.8,14.6,4.6,5.3,70.0,30.0,35.0,87.0,73.0,1005.3,1003.5,7.0,7.0,26.5,29.8,Yes
17.1,33.0,0.0,8.0,11.5,35.0,13.0,24.0,52.0,31.0,1016.9,1012.2,1.0,1.0,24.4,30.2,No
10.1,33.1,0.0,8.2,10.4,44.0,6.0,13.0,14.0,10.0,1016.2,1010.5,0.0,1.0,26.1,32.5,No
25.2,31.7,5.0,5.0,2.1,78.0,28.0,22.0,84.0,81.0,1004.5,1002.3,8.0,8.0,27.7,28.9,Yes
20.2,40.0,0.4,10.0,12.1,48.0,17.0,17.0,17.0,17.0,1006.7,1001.5,2.0,4.0,31.2,38.5,Yes
19.7,32.9,0.0,8.0,10.5,35.0,17.0,15.0,44.0,35.0,1016.9,1013.2,3.0,1.0,25.6,32.2,No
15.5,24.8,3.4,0.8,0.8,28.0,17.0,15.0,91.0,61.0,1008.2,1006.3,8.0,7.0,17.8,23.3,No
2.9,22.6,0.0,2.2,10.2,28.0,4.0,11.0,86.0,20.0,1021.5,1018.0,1.0,1.0,9.8,21.9,No
26.0,33.6,0.0,8.0,10.6,31.0,11.0,22.0,71.0,50.0,1012.9,1009.0,3.0,1.0,28.8,32.0,No
26.7,34.0,0.0,8.4,8.6,35.0,17.0,19.0,70.0,74.0,1010.6,1007.9,5.0,7.0,31.0,31.2,No
24.5,33.2,0.0,7.0,10.2,35.0,11.0,26.0,61.0,50.0,1014.3,1009.8,2.0,2.0,29.0,31.8,No
18.1,35.5,0.0,11.8,12.7,50.0,20.0,17.0,21.0,15.0,1010.8,1007.4,0.0,1.0,27.3,34.0,No
26.4,35.4,0.0,5.8,7.6,67.0,11.0,24.0,67.0,54.0,1010.6,1006.8,5.0,7.0,30.4,34.8,Yes
23.9,34.4,0.0,7.4,11.5,37.0,19.0,26.0,58.0,43.0,1015.7,1011.1,1.0,2.0,29.4,32.7,No
8.7,26.0,0.0,4.4,11.6,31.0,19.0,17.0,50.0,19.0,1019.0,1017.2,1.0,1.0,19.2,25.8,No
22.8,31.8,0.0,5.2,9.2,30.0,11.0,22.0,69.0,60.0,1015.7,1011.6,7.0,5.0,27.0,30.0,No
2.1,23.0,0.0,4.2,10.7,30.0,4.0,9.0,53.0,22.0,1020.1,1015.4,0.0,0.0,12.6,22.3,No
25.4,31.6,0.2,1.8,1.2,39.0,9.0,11.0,83.0,79.0,1008.2,1004.8,8.0,7.0,27.7,28.8,Yes
24.8,33.5,0.4,4.8,9.6,33.0,13.0,17.0,75.0,49.0,1011.5,1008.1,1.0,5.0,27.8,32.5,No
20.6,37.1,0.0,14.4,13.0,35.0,24.0,17.0,23.0,16.0,1014.6,1011.5,3.0,5.0,30.3,36.3,No
1.3,18.3,0.0,3.0,10.4,28.0,2.0,9.0,49.0,22.0,1025.2,1021.0,0.0,0.0,9.5,17.7,No
24.7,30.6,7.2,2.0,5.3,48.0,19.0,24.0,75.0,73.0,1007.8,1005.5,7.0,7.0,28.7,29.4,Yes
26.5,34.8,0.0,7.6,8.1,41.0,13.0,22.0,62.0,54.0,1012.5,1008.4,4.0,5.0,30.5,32.6,Yes
21.0,31.7,0.0,8.2,10.8,56.0,30.0,15.0,50.0,46.0,1014.9,1010.9,5.0,5.0,23.6,31.2,No
