From Bank,To Bank,Amount Received,Amount Paid,Is_Laundering
70.0,113804.0,804.89,804.89,0
25400.0,14652.0,359920.62,359920.62,0
18247.0,240728.0,323.61,323.61,0
24070.0,120229.0,7.96,7.96,0
16293.0,132483.0,152.98,152.98,0
214342.0,145289.0,1220.47,1220.47,0
213123.0,247593.0,3756.43,3756.43,0
229026.0,28865.0,354.56,354.56,0
28335.0,8997.0,2.61,2.61,0
216.0,63940.0,21686.3,21686.3,0
141465.0,241469.0,1717.83,1717.83,0
15745.0,21479.0,64695.87,64695.87,0
224.0,1390.0,1987.56,1987.56,0
112876.0,18121.0,308.92,308.92,0
63834.0,163897.0,1027.85,1027.85,0
158927.0,258630.0,4728.09,4728.09,0
2514.0,12055.0,15603.9,15603.9,0
24029.0,16934.0,183.72,183.72,0
498.0,1768.0,81.18,81.18,0
25.0,233186.0,10.02,10.02,0
1126.0,24027.0,27856.87,27856.87,0
225547.0,27673.0,13868.19,13868.19,0
1135.0,19.0,9920.34,9920.34,0
6045.0,216093.0,482.87,482.87,0
115.0,157900.0,16041.32,16041.32,0
70.0,52860.0,282.74,282.74,0
14.0,11.0,90.23,90.23,0
8814.0,27967.0,638368.51,638368.51,0
69314.0,169489.0,0.014816,0.014816,0
110.0,141204.0,196.8,196.8,0
18.0,67187.0,73300.43,73300.43,0
12274.0,18491.0,6972.18,6972.18,0
423.0,29908.0,7698.22,7698.22,0
19.0,141204.0,43.05,43.05,0
216.0,216.0,2750.32,2750.32,0
11.0,5923.0,1235.98,1235.98,0
15.0,112659.0,557.91,557.91,0
70.0,215478.0,2827256.53,2827256.53,0
52914.0,154228.0,300.46,300.46,0
3533.0,15284.0,135486.23,135486.23,0
1217.0,224.0,3432.39,3432.39,0
12055.0,15400.0,11394.64,11394.64,0
24950.0,124682.0,357.05,357.05,0
24677.0,25235.0,123333.97,123333.97,0
70.0,2.0,73734.76,73734.76,0
1390.0,115690.0,64.01,64.01,0
219760.0,127004.0,112.06,112.06,0
3671.0,5724.0,42.27,42.27,0
169261.0,69465.0,3.146406,3.146406,0
23809.0,26300.0,36788.39,36788.39,0
5436.0,212854.0,38.73,38.73,0
16.0,235676.0,341.56,341.56,0
33067.0,48055.0,1012.29,1012.29,0
8884.0,14652.0,1640.7,1640.7,0
217662.0,115648.0,84130.62,84130.62,0
11.0,425.0,70556.52,70556.52,0
1422.0,1.0,3804.83,3804.83,0
5687.0,4894.0,2748.04,2748.04,0
15.0,210858.0,9930.83,9930.83,0
11.0,2514.0,42301.13,42301.13,0
3.0,23194.0,32.58,32.58,0
70.0,15763.0,23564.71,23564.71,0
110400.0,110198.0,32848.71,32848.71,0
157937.0,14.0,1828.81,1828.81,0
149034.0,149205.0,880.21,880.21,0
115943.0,214867.0,107.67,107.67,0
70.0,231387.0,1309.66,1309.66,0
70.0,170558.0,0.057552,0.057552,0
70.0,253214.0,486.99,486.99,0
236628.0,3653.0,3075.14,3075.14,0
269329.0,171316.0,0.008395,0.008395,0
248756.0,249585.0,440.61,440.61,0
1595.0,116299.0,1302.58,1302.58,0
2514.0,6586.0,234944.55,234944.55,0
115114.0,210472.0,29649.37,29649.37,0
52860.0,54266.0,701.93,701.93,0
27425.0,112926.0,98540.62,98540.62,0
1231.0,13210.0,17168.88,17168.88,0
214.0,214.0,35.65,35.65,0
21444.0,0.0,621.78,621.78,0
110400.0,10920.0,439.68,439.68,0
1390.0,15516.0,16659.46,16659.46,0
24029.0,24643.0,90.67,90.67,0
127004.0,7249.0,7204.25,7204.25,0
135933.0,138237.0,5052.32,5052.32,0
12386.0,14195.0,1115.95,1115.95,0
118.0,118.0,0.029555,0.029555,0
0.0,231026.0,249.24,249.24,0
13395.0,110856.0,943.58,943.58,0
149205.0,149453.0,523840.89,523840.89,0
70.0,8814.0,111149856.7,111149856.7,0
217.0,217.0,0.011492,0.011492,0
16.0,235735.0,510.48,510.48,0
2557.0,6090.0,1327.64,1327.64,0
1110.0,23571.0,3054.42,3054.42,0
163233.0,63940.0,27016.41,27016.41,0
26.0,15.0,243.38,243.38,0
1394.0,22435.0,34590.59,34590.59,0
54525.0,153743.0,1725.19,1725.19,0
15516.0,3.0,4722.61,4722.61,0
233282.0,134326.0,799.36,799.36,0
216093.0,49308.0,43292.54,43292.54,0
264152.0,265216.0,9161.54,9161.54,0
13395.0,110856.0,2268.67,2268.67,0
17.0,136009.0,6587.15,6587.15,0
158053.0,157900.0,19032.68,19032.68,0
1835.0,11314.0,298.64,298.64,0
1199.0,115.0,0.00542,0.00542,0
167557.0,67682.0,1378.87,1378.87,0
423.0,600.0,139.65,139.65,0
18076.0,45566.0,33880.89,33880.89,0
257741.0,157937.0,2886.07,2886.07,0
70.0,29640.0,34462.85,34462.85,0
12.0,531.0,3010.89,3010.89,0
70.0,14003.0,2436.31,2436.31,0
146768.0,146738.0,1914.73,1914.73,0
119699.0,119699.0,62977.19,62977.19,0
59524.0,61813.0,11514.99,11514.99,0
219788.0,246342.0,54.92,54.92,0
498.0,138920.0,1912.12,1912.12,0
123519.0,151442.0,943.46,943.46,0
21444.0,12503.0,8.75,8.75,0
114948.0,14195.0,815.45,815.45,0
17036.0,14620.0,33.59,33.59,0
135933.0,136009.0,2646.61,2646.61,0
18890.0,128019.0,21.5,21.5,0
23539.0,123260.0,398663.11,398663.11,0
19.0,212.0,2681.4,2681.4,0
233186.0,234116.0,4.79,4.79,0
6971.0,138920.0,157.69,157.69,0
425.0,218604.0,3211.78,3211.78,0
70.0,123568.0,813811.21,813811.21,0
12274.0,21444.0,253.54,253.54,0
11.0,40989.0,119.4,119.4,0
216.0,263025.0,31292.91,31292.91,0
216.0,63779.0,27143.04,27143.04,0
262521.0,63251.0,4229.31,4229.31,0
12.0,12966.0,7502.58,7502.58,0
223281.0,24869.0,778638.23,778638.23,0
2860.0,14162.0,3991.18,3991.18,0
20.0,211018.0,38.52,38.52,0
28102.0,22432.0,55.34,55.34,0
169489.0,169489.0,0.305699,0.305699,0
70.0,498.0,6735.76,6735.76,0
5923.0,26.0,7046.86,7046.86,0
248739.0,49411.0,9637.26,9637.26,0
11305.0,22364.0,2491.13,2491.13,0
5294.0,7522.0,10615.24,10615.24,0
258461.0,160643.0,456.6,456.6,0
14.0,25235.0,24452.92,24452.92,0
8801.0,216.0,1929.47,1929.47,0
19104.0,12868.0,46.27,46.27,0
2557.0,14.0,85.8,85.8,0
11.0,1.0,3533.18,3533.18,0
11832.0,116914.0,41311.2,41311.2,0
210.0,148698.0,363.73,363.73,0
2175.0,220916.0,456.15,456.15,0
2.0,123651.0,88913.62,88913.62,0
18.0,13.0,19463.56,19463.56,0
227876.0,139974.0,2569.73,2569.73,0
692.0,29867.0,6751.64,6751.64,0
22086.0,234039.0,143.84,143.84,0
70.0,9735.0,2878.3,2878.3,0
171474.0,169489.0,0.001358,0.001358,0
11.0,135933.0,177.9,177.9,0
70.0,257741.0,875917.69,875917.69,0
169335.0,69314.0,0.72818,0.72818,0
5.0,23486.0,36455.43,36455.43,0
12.0,11701.0,11222.87,11222.87,0
5294.0,110851.0,3502.92,3502.92,0
1199.0,57466.0,3740.65,3740.65,0
217662.0,17096.0,1101813.56,1101813.56,0
70.0,28168.0,2906.96,2906.96,0
119732.0,25235.0,112542.45,112542.45,0
1291.0,22364.0,285.5,285.5,0
69289.0,69521.0,0.134439,0.134439,0
11305.0,16739.0,1140.8,1140.8,0
52898.0,152926.0,1523.03,1523.03,0
16.0,16.0,3308.2,3308.2,0
2.0,119699.0,15988.17,15988.17,0
7.0,29.0,342.69,342.69,0
12202.0,24455.0,808114.54,808114.54,0
5082.0,211018.0,290.29,290.29,0
5082.0,24643.0,74.15,74.15,0
1835.0,3671.0,257.4,257.4,0
1120.0,22595.0,2293.81,2293.81,0
1768.0,600.0,213.99,213.99,0
70.0,247876.0,153.72,153.72,0
9534.0,27.0,783.78,783.78,0
1231.0,1231.0,247.84,290.41,0
233064.0,135417.0,799.86,799.86,0
70.0,5312.0,1320.74,1320.74,0
17036.0,14620.0,673.99,673.99,0
216.0,163233.0,1163.39,1163.39,0
18.0,152768.0,125.97,125.97,0
6829.0,20798.0,2081.81,2081.81,0
33858.0,233674.0,55.3,55.3,0
115081.0,236190.0,3804.1,3804.1,0
70.0,244702.0,275.76,275.76,0
30731.0,123440.0,1440.61,1440.61,0
70.0,27868.0,58.8,58.8,0
18624.0,12386.0,46.34,46.34,0
136606.0,135933.0,78.38,78.38,0
27356.0,151192.0,134049.9,134049.9,0
28335.0,10461.0,82.34,82.34,0
152768.0,52788.0,22950.72,22950.72,0
10.0,36975.0,425.51,425.51,0
17.0,35777.0,129.73,129.73,0
11.0,215191.0,80.74,80.74,0
20.0,24029.0,197.71,197.71,0
170412.0,174431.0,0.009447,0.009447,0
69314.0,69314.0,0.065838,0.065838,0
1776.0,20.0,1271.07,1271.07,0
11495.0,210700.0,2522.88,2522.88,0
11.0,11.0,469052.98,6386.54,0
20737.0,2293.0,527.43,527.43,0
120838.0,118159.0,3889858.49,3889858.49,0
238219.0,46650.0,1794.26,1794.26,0
20.0,600.0,942.79,942.79,0
218604.0,19300.0,4166.79,4166.79,0
15400.0,129044.0,274664.69,274664.69,0
1199.0,115.0,97.97,97.97,0
141352.0,141632.0,119.25,119.25,0
1595.0,12274.0,109.62,109.62,0
113.0,257741.0,904.28,904.28,0
70.0,11337.0,986.32,986.32,0
163897.0,217.0,4071.08,4071.08,0
211362.0,5312.0,8765.61,8765.61,0
6269.0,11437.0,82.04,82.04,0
115943.0,37690.0,10008.39,10008.39,0
72.0,127361.0,17798397.09,17798397.09,0
269077.0,270575.0,0.216104,0.216104,0
53937.0,54266.0,175.42,175.42,0
217.0,163233.0,381.93,381.93,0
25885.0,219815.0,141.74,141.74,0
217242.0,5082.0,16420.47,16420.47,0
1390.0,115690.0,176.35,176.35,0
63587.0,163470.0,618.3,618.3,0
248739.0,116.0,11716.25,11716.25,0
126843.0,123957.0,19414.03,19414.03,0
11495.0,236488.0,4204.21,4204.21,0
138809.0,136678.0,1240.04,1240.04,0
18.0,15740.0,4809.0,4809.0,0
24455.0,234587.0,1191.16,1191.16,0
40989.0,11.0,8165.94,8165.94,0
6090.0,11.0,1.87,1.87,0
1422.0,1422.0,4354.55,1289.47,0
21876.0,24027.0,21560.23,21560.23,0
70.0,25634.0,1707.37,1707.37,0
153743.0,157047.0,199.06,199.06,0
18.0,165440.0,1057.1,1057.1,0
70846.0,270575.0,0.145982,0.145982,0
25634.0,14195.0,1131.89,1131.89,0
135925.0,11.0,373.92,373.92,0
268792.0,171316.0,0.281647,0.281647,0
12966.0,143280.0,3643.16,3643.16,0
70.0,237428.0,3667.13,3667.13,0
3.0,27737.0,558.11,558.11,0
12.0,1277.0,9330.11,9330.11,0
213.0,257433.0,3919.46,3919.46,0
141465.0,141632.0,1075.32,1075.32,0
16.0,19.0,126541.06,126541.06,0
70.0,163470.0,275095.48,275095.48,0
1126.0,254335.0,4664.71,4664.71,0
13354.0,124126.0,358.63,358.63,0
211.0,52788.0,1353.21,1353.21,0
12.0,11222.0,110.87,110.87,0
70.0,123568.0,278371.88,278371.88,0
1135.0,245772.0,3221.98,3221.98,0
1390.0,7530.0,8487.6,8487.6,0
423.0,22260.0,56.02,56.02,0
70.0,115081.0,254.5,254.5,0
18491.0,214423.0,1776.43,1776.43,0
116342.0,215514.0,348.99,348.99,0
14.0,1776.0,326.98,326.98,0
25400.0,14652.0,2591.31,2591.31,0
2514.0,24027.0,2944.09,2944.09,0
498.0,3.0,15.22,15.22,0
33846.0,35358.0,1215.73,1215.73,0
2196.0,22890.0,641904.59,641904.59,0
9096.0,9096.0,7e-06,0.55,0
11.0,211738.0,132440.85,132440.85,0
1639.0,15875.0,894.89,894.89,0
23.0,29592.0,5743.38,5743.38,0
58848.0,160137.0,3435.78,3435.78,0
59524.0,61813.0,6684.3,6684.3,0
394.0,21438.0,239.59,239.59,0
133915.0,219353.0,886.67,886.67,0
18586.0,7530.0,12244.4,12244.4,0
17694.0,44253.0,104.42,104.42,0
70.0,1217.0,258.77,258.77,0
2.0,25526.0,1077.77,1077.77,0
5294.0,118763.0,2756.08,2756.08,0
1768.0,7272.0,3123.6,3123.6,0
12.0,11701.0,12544.89,12544.89,0
115332.0,24027.0,473.27,473.27,0
12966.0,22129.0,663.04,663.04,0
112659.0,111615.0,609317.74,609317.74,0
2860.0,14162.0,3884.35,3884.35,0
394.0,6314.0,774.64,774.64,0
130826.0,5436.0,286.74,286.74,0
118.0,169671.0,0.243633,0.243633,0
35798.0,214342.0,1138.83,1138.83,0
10.0,136009.0,6250.23,6250.23,0
70.0,224699.0,35375.19,35375.19,0
219687.0,115481.0,720.47,720.47,0
11.0,212.0,519755.09,519755.09,0
8997.0,17768.0,10032.88,10032.88,0
216.0,216.0,24.13,24.13,0
27155.0,160896.0,1635.07,1635.07,0
14620.0,4308.0,48.41,48.41,0
116.0,214.0,1037.02,1037.02,0
18624.0,5294.0,305.12,305.12,0
170943.0,271930.0,0.006703,0.006703,0
70.0,19836.0,1637.3,1637.3,0
70.0,237428.0,1768.9,1768.9,0
17180.0,117960.0,40344.4,40344.4,0
1776.0,237428.0,2068.88,2068.88,0
1390.0,15516.0,6667.86,6667.86,0
23.0,132425.0,27771.36,27771.36,0
70.0,124592.0,684.8,684.8,0
394.0,21438.0,116.89,116.89,0
70.0,241036.0,12620.63,12620.63,0
1394.0,5617.0,387.33,387.33,0
245772.0,46428.0,56829.3,56829.3,0
5571.0,5571.0,415400.57,110741.0,0
157900.0,213.0,2023.73,2023.73,0
257433.0,257433.0,2518.81,2518.81,0
149805.0,151852.0,258.47,258.47,0
165768.0,216.0,107.79,107.79,0
6586.0,219353.0,5842.04,5842.04,0
5923.0,17213.0,10318.67,10318.67,0
216.0,115.0,261.18,261.18,0
29867.0,141558.0,135459.31,135459.31,0
70426.0,270308.0,0.073805,0.073805,0
217215.0,216208.0,397.81,397.81,0
2545.0,11880.0,191.84,191.84,0
231905.0,17831.0,150.49,150.49,0
116.0,11.0,231118.45,231118.45,0
42130.0,141352.0,28778.32,28778.32,0
113.0,160008.0,87.52,87.52,0
12.0,11701.0,15453.44,15453.44,0
133159.0,133372.0,2640.04,2640.04,0
216.0,264772.0,11786.78,11786.78,0
20.0,425.0,0.13,0.13,0
163233.0,64059.0,2703.2,2703.2,0
11.0,40989.0,3745.51,3745.51,0
70.0,53736.0,1341.11,1341.11,0
214.0,151944.0,1292.32,1292.32,0
14620.0,220987.0,15677.93,15677.93,0
22031.0,11.0,4473.86,4473.86,0
14.0,214554.0,1736.14,1736.14,0
70.0,251806.0,164.89,164.89,0
40989.0,19.0,4247.01,4247.01,0
498.0,215505.0,5936.08,5936.08,0
18586.0,2293.0,1753.78,1753.78,0
14.0,215112.0,2275.47,2275.47,0
212854.0,37567.0,16.01,16.01,0
18.0,163233.0,107.89,107.89,0
12966.0,143280.0,22961.93,22961.93,0
25892.0,28370.0,121789.36,121789.36,0
15400.0,18121.0,1395.73,1395.73,0
126000.0,40185.0,1163147.07,1163147.07,0
16.0,32245.0,40607.4,40607.4,0
7.0,133159.0,84.93,84.93,0
26.0,27.0,16838.0,16838.0,0
5893.0,26.0,51350.59,51350.59,0
70.0,141204.0,227.07,227.07,0
11046.0,8318.0,285914.87,285914.87,0
11495.0,1120.0,11199.25,11199.25,0
18935.0,21531.0,79958.94,79958.94,0
258606.0,115.0,693.85,693.85,0
12.0,219054.0,4250.47,4250.47,0
3.0,1835.0,4664.29,4664.29,0
11437.0,245509.0,415891.92,415891.92,0
269294.0,169804.0,0.126765,0.126765,0
226151.0,22595.0,57.97,57.97,0
5082.0,24643.0,122.21,122.21,0
4.0,217087.0,160400.85,160400.85,0
26922.0,27425.0,20.82,20.82,0
15168.0,9534.0,8541.64,8541.64,0
241256.0,143233.0,508.76,508.76,0
1439.0,214342.0,18032.08,18032.08,0
70.0,237246.0,281.04,281.04,0
12.0,11832.0,14388.96,14388.96,0
63779.0,263431.0,7185913.52,7185913.52,0
256032.0,219687.0,39.45,39.45,0
7839.0,7530.0,28323.56,28323.56,0
126688.0,11047.0,85.06,85.06,0
600.0,14.0,798.6,798.6,0
21393.0,131787.0,8.14,8.14,0
0.0,215112.0,283.61,283.61,0
20.0,22129.0,3047.09,3047.09,0
70.0,14620.0,2050.06,2050.06,0
14652.0,4308.0,127.12,127.12,0
70.0,1.0,280227.36,280227.36,0
216208.0,19368.0,3161.87,3161.87,0
5893.0,53905.0,146.63,146.63,0
498.0,1768.0,44.26,44.26,0
70.0,1217.0,78.18,78.18,0
1720.0,2514.0,81913.32,81913.32,0
11483.0,122459.0,3249.55,3249.55,0
70.0,235805.0,372.2,372.2,0
237958.0,17.0,124639.39,124639.39,0
118699.0,27234.0,2850.55,2850.55,0
115.0,265862.0,41.96,41.96,0
233186.0,234116.0,64.69,64.69,0
235647.0,138512.0,54363.69,54363.69,0
4187.0,18656.0,3.33,3.33,0
28625.0,61799.0,184.05,184.05,0
257433.0,260017.0,30494.67,30494.67,0
24562.0,167724.0,49.86,49.86,0
160797.0,135744.0,3537.3,3537.3,0
423.0,1390.0,127.31,127.31,0
144292.0,3671.0,247.18,247.18,0
17831.0,220916.0,2959.98,2959.98,0
214.0,50707.0,16132.26,16132.26,0
68281.0,68749.0,807.15,807.15,0
70.0,2860.0,17945.75,17945.75,0
7080.0,27425.0,22567.68,22567.68,0
18.0,163233.0,275.83,275.83,0
13821.0,28958.0,16.6,16.6,0
14620.0,17353.0,1095.19,1095.19,0
11.0,14620.0,1023.61,1023.61,0
70.0,49750.0,124264.29,124264.29,0
217.0,166753.0,3678.29,3678.29,0
11968.0,21566.0,576.93,576.93,0
58138.0,59700.0,95452.47,95452.47,0
24869.0,26300.0,10615.81,10615.81,0
19.0,11.0,2037.43,2037.43,0
70.0,211738.0,464.22,464.22,0
153304.0,30562.0,1411.59,1411.59,0
219.0,253402.0,43.53,43.53,0
70.0,235805.0,618.22,618.22,0
21414.0,25526.0,17.53,17.53,0
13.0,13.0,252885.41,252885.41,0
70.0,30061.0,147.69,147.69,0
115943.0,212518.0,517.28,517.28,0
25.0,234116.0,184.24,184.24,0
12.0,5855.0,218.17,218.17,0
7530.0,22693.0,6882.16,6882.16,0
70.0,49750.0,1032031.31,1032031.31,0
70.0,14.0,15860.09,15860.09,0
3718.0,1638.0,97.59,97.59,0
29844.0,112711.0,738.11,738.11,0
10.0,149108.0,3686.9,3686.9,0
219011.0,52130.0,23.26,23.26,0
13703.0,213123.0,82938.39,82938.39,0
214111.0,5617.0,11.09,11.09,0
212.0,40989.0,1788.03,1788.03,0
215478.0,117960.0,3034.21,3034.21,0
11.0,215456.0,191.64,191.64,0
112.0,52914.0,2368.48,2368.48,0
72351.0,171546.0,0.334429,0.334429,0
212108.0,7249.0,423.29,423.29,0
12274.0,8884.0,18781.16,18781.16,0
11832.0,217087.0,718143.72,718143.72,0
215.0,146341.0,21002.04,21002.04,0
600.0,15607.0,6312.78,6312.78,0
27.0,692.0,127969685.1,127969685.1,0
17831.0,217226.0,929.97,929.97,0
17831.0,217226.0,4023.14,4023.14,0
19229.0,27009.0,994342.52,994342.52,0
232857.0,133372.0,561.07,561.07,0
70.0,28168.0,801.98,801.98,0
14.0,15763.0,9326.88,9326.88,0
237958.0,238669.0,820.92,820.92,0
18935.0,118159.0,282913.4,282913.4,0
238477.0,238477.0,844.37,597.66,0
21939.0,114721.0,2792.16,2792.16,0
135925.0,11.0,195.3,195.3,0
18935.0,21531.0,179628.63,179628.63,0
72.0,72.0,4243.78,4243.78,0
24029.0,248575.0,4762.69,4762.69,0
23726.0,15516.0,808.58,808.58,0
161099.0,22444.0,5864.77,5864.77,0
115.0,115.0,3844006.57,3844006.57,0
19561.0,13354.0,2857.96,2857.96,0
110299.0,112926.0,33378.08,33378.08,0
70.0,142231.0,8841.02,8841.02,0
15885.0,12101.0,1615.68,1615.68,0
70.0,69289.0,0.295674,0.295674,0
53933.0,211.0,2049.54,2049.54,0
13821.0,238579.0,261.63,261.63,0
19.0,143355.0,4653.05,4653.05,0
3460.0,1720.0,351.67,351.67,0
169335.0,169335.0,0.349259,0.349259,0
3202.0,118314.0,11.65,11.65,0
22264.0,5981.0,56.53,56.53,0
22264.0,600.0,1224.29,1224.29,0
29572.0,117284.0,3695411.59,3695411.59,0
70.0,41019.0,659.86,659.86,0
23033.0,224257.0,11237.47,11237.47,0
249331.0,249892.0,1255.62,1255.62,0
22264.0,13590.0,949.76,949.76,0
14195.0,6269.0,41.06,41.06,0
1639.0,19182.0,17687.23,17687.23,0
224.0,30515.0,366.38,366.38,0
425.0,218604.0,1494.58,1494.58,0
11047.0,47060.0,648.82,648.82,0
2368.0,31188.0,236.19,236.19,0
13590.0,15461.0,89.06,89.06,0
19836.0,29572.0,139612.74,139612.74,0
12143.0,129888.0,36265.31,36265.31,0
70997.0,73607.0,0.150288,0.150288,0
2514.0,15461.0,19635.75,19635.75,0
70.0,25400.0,9463.76,9463.76,0
13590.0,120478.0,2449.27,2449.27,0
15194.0,135744.0,1259.54,1259.54,0
211018.0,128948.0,1135.69,1135.69,0
5.0,127152.0,206615.54,206615.54,0
25.0,26.0,6892378.28,6892378.28,0
141465.0,241204.0,101.71,101.71,0
135925.0,235676.0,61663.44,61663.44,0
1768.0,7272.0,1422.38,1422.38,0
70949.0,273676.0,0.003531,0.003531,0
0.0,12055.0,129.16,129.16,0
20.0,14003.0,71.99,71.99,0
58138.0,59700.0,189082.72,189082.72,0
40904.0,11.0,388.25,388.25,0
64059.0,164686.0,2695.38,2695.38,0
215820.0,129759.0,310.48,310.48,0
70.0,19419.0,48.73,48.73,0
112.0,53905.0,4652.51,4652.51,0
213123.0,6809.0,7855292.36,7855292.36,0
8801.0,8801.0,1929.47,514.37,0
212.0,41542.0,4668.47,4668.47,0
113.0,257741.0,78.48,78.48,0
18890.0,128019.0,0.16,0.16,0
136311.0,36242.0,10880.04,10880.04,0
26.0,123568.0,10927.47,10927.47,0
70.0,165440.0,265.67,265.67,0
72474.0,270575.0,0.346729,0.346729,0
25242.0,118681.0,3955.13,3955.13,0
53009.0,24778.0,131.3,131.3,0
18.0,163233.0,13156.66,13156.66,0
214.0,20.0,0.979225,0.979225,0
21647.0,124682.0,718.41,718.41,0
70.0,15516.0,1584541.3,1584541.3,0
264152.0,65528.0,174064.97,174064.97,0
18903.0,18903.0,2509.93,669.12,0
22264.0,15607.0,298.66,298.66,0
15400.0,129044.0,803993.5,803993.5,0
110851.0,11314.0,157.15,157.15,0
1768.0,132480.0,58.78,58.78,0
136311.0,17.0,99.38,99.38,0
113213.0,18747.0,347.97,347.97,0
269329.0,270392.0,1.233071,1.233071,0
227600.0,224574.0,152847.47,152847.47,0
49096.0,249331.0,13544.12,13544.12,0
70.0,212.0,486.45,486.45,0
10.0,149108.0,1509.63,1509.63,0
210091.0,19970.0,22119.58,22119.58,0
236872.0,131371.0,30.24,30.24,0
214445.0,1720.0,341.12,341.12,0
1135.0,246232.0,2420887.96,2420887.96,0
0.0,6058.0,2915.75,2915.75,0
135925.0,236335.0,487.83,487.83,0
257433.0,257433.0,1186.24,1186.24,0
118.0,118.0,0.06747,0.06747,0
70.0,3.0,100.3,100.3,0
10881.0,132483.0,1051.28,1051.28,0
70.0,74785.0,0.063889,0.063889,0
29640.0,118066.0,197989.13,197989.13,0
110.0,241503.0,30.57,30.57,0
12055.0,17319.0,81.35,81.35,0
30515.0,27915.0,217.76,217.76,0
116342.0,6045.0,92.46,92.46,0
14.0,23544.0,6290.34,6290.34,0
127004.0,7249.0,3827.19,3827.19,0
531.0,1217.0,3772.32,3772.32,0
233186.0,133936.0,107.07,107.07,0
7249.0,138920.0,1586.41,1586.41,0
35777.0,138237.0,1809.33,1809.33,0
3.0,12055.0,6393.73,6393.73,0
