ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status
645.0,3683.0,113.0,480.0,Y
3675.0,242.0,108.0,360.0,Y
4652.0,0.0,110.0,360.0,Y
2876.0,1560.0,90.0,360.0,Y
3167.0,0.0,74.0,360.0,N
2947.0,1664.0,70.0,180.0,N
3052.0,1030.0,100.0,360.0,Y
2237.0,0.0,63.0,480.0,N
3704.0,2000.0,120.0,360.0,Y
4887.0,0.0,133.0,360.0,N
6500.0,0.0,105.0,360.0,N
3358.0,0.0,80.0,36.0,N
1782.0,2232.0,107.0,360.0,Y
1538.0,1425.0,30.0,360.0,Y
3086.0,0.0,120.0,360.0,Y
150.0,1800.0,135.0,360.0,N
3858.0,0.0,76.0,360.0,Y
3400.0,2500.0,123.0,360.0,N
3617.0,0.0,107.0,360.0,Y
3466.0,3428.0,150.0,360.0,Y
2178.0,0.0,66.0,300.0,N
5468.0,1032.0,26.0,360.0,Y
3366.0,2200.0,135.0,360.0,N
3814.0,1483.0,124.0,300.0,Y
1875.0,1875.0,97.0,360.0,Y
1625.0,1803.0,96.0,360.0,Y
2309.0,1255.0,125.0,360.0,N
3029.0,0.0,99.0,360.0,Y
3867.0,0.0,62.0,360.0,N
4616.0,0.0,134.0,360.0,N
3173.0,3021.0,137.0,360.0,Y
2425.0,2340.0,143.0,360.0,Y
3316.0,3500.0,88.0,360.0,Y
4288.0,3263.0,133.0,180.0,Y
3917.0,0.0,124.0,360.0,Y
5500.0,0.0,105.0,360.0,N
6406.0,0.0,150.0,360.0,N
4188.0,0.0,115.0,180.0,Y
2600.0,2500.0,90.0,360.0,Y
4860.0,830.0,125.0,360.0,Y
3155.0,1779.0,140.0,360.0,Y
2507.0,0.0,56.0,360.0,Y
2718.0,0.0,70.0,360.0,Y
2400.0,2167.0,115.0,360.0,Y
4692.0,0.0,106.0,360.0,N
5677.0,1424.0,100.0,360.0,Y
3750.0,0.0,116.0,360.0,Y
2583.0,2358.0,120.0,360.0,Y
9703.0,0.0,112.0,360.0,Y
1863.0,1041.0,98.0,360.0,Y
1025.0,2773.0,112.0,360.0,Y
4547.0,0.0,115.0,360.0,Y
1759.0,3541.0,131.0,360.0,Y
2213.0,0.0,66.0,360.0,Y
1800.0,2934.0,93.0,360.0,N
4301.0,0.0,118.0,360.0,Y
2137.0,8980.0,137.0,360.0,Y
2799.0,2253.0,122.0,360.0,Y
3229.0,2739.0,110.0,360.0,Y
2895.0,0.0,95.0,360.0,Y
4281.0,0.0,100.0,360.0,Y
6250.0,0.0,128.0,360.0,Y
2483.0,2466.0,90.0,180.0,Y
4691.0,0.0,100.0,360.0,Y
3158.0,3053.0,89.0,360.0,Y
3326.0,913.0,105.0,84.0,Y
4566.0,0.0,100.0,360.0,N
3497.0,1964.0,116.0,360.0,Y
3748.0,1668.0,110.0,360.0,Y
4885.0,0.0,48.0,360.0,Y
3466.0,1210.0,130.0,360.0,Y
4124.0,0.0,115.0,360.0,Y
3600.0,0.0,80.0,360.0,N
4166.0,0.0,44.0,360.0,Y
1800.0,1213.0,47.0,360.0,Y
2957.0,0.0,81.0,360.0,Y
3588.0,0.0,110.0,360.0,N
3400.0,0.0,95.0,360.0,N
2889.0,0.0,45.0,180.0,N
2333.0,1451.0,102.0,480.0,N
3846.0,0.0,111.0,360.0,Y
2833.0,1857.0,126.0,360.0,Y
3927.0,800.0,112.0,360.0,Y
2479.0,0.0,59.0,360.0,Y
2755.0,0.0,65.0,300.0,N
3159.0,0.0,100.0,360.0,Y
7100.0,0.0,125.0,60.0,Y
2679.0,1302.0,94.0,360.0,Y
4817.0,923.0,120.0,180.0,Y
2995.0,0.0,60.0,360.0,Y
7740.0,0.0,128.0,180.0,Y
1809.0,1868.0,90.0,360.0,Y
2600.0,1911.0,116.0,360.0,N
2726.0,0.0,106.0,360.0,N
1442.0,0.0,35.0,360.0,N
2500.0,0.0,96.0,480.0,N
3900.0,0.0,90.0,360.0,Y
3625.0,0.0,108.0,360.0,Y
4000.0,2500.0,140.0,360.0,Y
2500.0,0.0,55.0,360.0,Y
7085.0,0.0,84.0,360.0,Y
3283.0,2035.0,148.0,360.0,Y
2583.0,2167.0,104.0,360.0,Y
7142.0,0.0,138.0,360.0,Y
