duration,credit_amount,installment_commitment,residence_since,age,existing_credits,class
24.0,1967.0,4.0,4.0,20.0,1.0,good
48.0,7476.0,4.0,1.0,50.0,1.0,good
6.0,1343.0,1.0,4.0,46.0,2.0,good
15.0,874.0,4.0,1.0,24.0,1.0,good
10.0,1225.0,2.0,2.0,37.0,1.0,good
36.0,4473.0,4.0,2.0,31.0,1.0,good
18.0,1126.0,4.0,2.0,21.0,1.0,good
18.0,1190.0,2.0,4.0,55.0,3.0,bad
6.0,454.0,3.0,1.0,22.0,1.0,good
36.0,3913.0,2.0,2.0,23.0,1.0,good
18.0,629.0,4.0,3.0,32.0,2.0,good
4.0,1455.0,2.0,1.0,42.0,3.0,good
18.0,2473.0,4.0,1.0,25.0,1.0,bad
24.0,2058.0,4.0,2.0,33.0,2.0,good
45.0,1845.0,4.0,4.0,23.0,1.0,bad
18.0,3114.0,1.0,4.0,26.0,1.0,bad
15.0,2326.0,2.0,4.0,27.0,1.0,good
48.0,7238.0,3.0,3.0,32.0,2.0,good
12.0,754.0,4.0,4.0,38.0,2.0,good
30.0,3441.0,2.0,4.0,21.0,1.0,bad
18.0,1442.0,4.0,4.0,32.0,2.0,bad
39.0,2569.0,4.0,4.0,24.0,1.0,good
36.0,3959.0,4.0,3.0,30.0,1.0,good
9.0,1388.0,4.0,2.0,26.0,1.0,good
24.0,2197.0,4.0,4.0,43.0,2.0,good
7.0,2329.0,1.0,1.0,45.0,1.0,good
36.0,5842.0,2.0,2.0,35.0,2.0,good
12.0,951.0,4.0,4.0,27.0,4.0,bad
36.0,2299.0,4.0,4.0,39.0,1.0,good
24.0,2812.0,2.0,4.0,26.0,1.0,good
24.0,1311.0,4.0,3.0,26.0,1.0,good
48.0,11590.0,2.0,4.0,24.0,2.0,bad
60.0,10144.0,2.0,4.0,21.0,1.0,good
6.0,1872.0,4.0,4.0,36.0,3.0,good
9.0,1236.0,1.0,4.0,23.0,1.0,good
12.0,7472.0,1.0,2.0,24.0,1.0,good
27.0,2528.0,4.0,1.0,32.0,1.0,good
21.0,1188.0,2.0,4.0,39.0,1.0,bad
24.0,937.0,4.0,3.0,27.0,2.0,good
12.0,685.0,2.0,3.0,25.0,1.0,bad
10.0,2241.0,1.0,3.0,48.0,2.0,good
24.0,1287.0,4.0,4.0,37.0,2.0,good
12.0,2133.0,4.0,4.0,52.0,1.0,good
9.0,2753.0,3.0,4.0,35.0,1.0,good
8.0,760.0,4.0,2.0,44.0,1.0,good
12.0,841.0,2.0,4.0,23.0,1.0,good
10.0,1287.0,4.0,2.0,45.0,1.0,good
10.0,1364.0,2.0,4.0,64.0,1.0,good
18.0,3213.0,1.0,3.0,25.0,1.0,good
18.0,1864.0,4.0,2.0,30.0,2.0,bad
28.0,4006.0,3.0,2.0,45.0,1.0,bad
12.0,2930.0,2.0,1.0,27.0,1.0,good
15.0,1778.0,2.0,1.0,26.0,2.0,bad
36.0,9034.0,4.0,1.0,29.0,1.0,bad
60.0,14782.0,3.0,4.0,60.0,2.0,bad
16.0,1175.0,2.0,3.0,68.0,3.0,good
15.0,2221.0,2.0,4.0,20.0,1.0,good
10.0,2848.0,1.0,2.0,32.0,1.0,good
18.0,8471.0,1.0,2.0,23.0,2.0,good
6.0,1198.0,4.0,4.0,35.0,1.0,bad
24.0,1546.0,4.0,4.0,24.0,1.0,bad
6.0,700.0,4.0,4.0,36.0,2.0,good
36.0,3620.0,1.0,2.0,37.0,1.0,good
12.0,626.0,4.0,4.0,24.0,1.0,bad
12.0,1574.0,4.0,2.0,50.0,1.0,good
15.0,802.0,4.0,3.0,37.0,1.0,bad
12.0,1262.0,3.0,2.0,25.0,1.0,good
18.0,1820.0,2.0,2.0,30.0,1.0,good
6.0,1238.0,4.0,4.0,36.0,1.0,good
4.0,1503.0,2.0,1.0,42.0,2.0,good
24.0,4712.0,4.0,2.0,37.0,2.0,good
15.0,5045.0,1.0,4.0,59.0,1.0,good
21.0,2476.0,4.0,4.0,46.0,1.0,good
24.0,915.0,4.0,2.0,29.0,1.0,bad
48.0,7629.0,4.0,2.0,46.0,2.0,good
5.0,3448.0,1.0,4.0,74.0,1.0,good
18.0,4439.0,1.0,1.0,33.0,1.0,good
18.0,4297.0,4.0,3.0,40.0,1.0,bad
12.0,2331.0,1.0,4.0,49.0,1.0,good
24.0,1965.0,4.0,4.0,42.0,2.0,good
21.0,3275.0,1.0,4.0,36.0,1.0,good
9.0,1224.0,3.0,1.0,30.0,2.0,good
18.0,3612.0,3.0,4.0,37.0,1.0,good
24.0,1344.0,4.0,2.0,37.0,2.0,bad
24.0,1413.0,4.0,2.0,28.0,1.0,good
20.0,3485.0,2.0,4.0,44.0,2.0,good
15.0,3568.0,4.0,2.0,54.0,1.0,good
24.0,2284.0,4.0,2.0,28.0,1.0,good
12.0,719.0,4.0,4.0,41.0,1.0,bad
24.0,1747.0,4.0,1.0,24.0,1.0,good
12.0,1108.0,4.0,3.0,28.0,2.0,bad
15.0,1262.0,4.0,3.0,36.0,2.0,good
48.0,6416.0,4.0,3.0,59.0,1.0,bad
18.0,1887.0,4.0,4.0,28.0,2.0,good
24.0,1382.0,4.0,1.0,26.0,2.0,good
48.0,3051.0,3.0,4.0,54.0,1.0,bad
36.0,2348.0,3.0,2.0,46.0,2.0,good
6.0,368.0,4.0,4.0,38.0,1.0,good
9.0,2118.0,2.0,2.0,37.0,1.0,good
18.0,1239.0,4.0,4.0,61.0,1.0,good
15.0,3812.0,1.0,4.0,23.0,1.0,good
30.0,7596.0,1.0,4.0,63.0,2.0,good
18.0,6761.0,2.0,4.0,68.0,2.0,bad
36.0,4210.0,4.0,2.0,26.0,1.0,bad
12.0,3331.0,2.0,4.0,42.0,1.0,good
12.0,1330.0,4.0,1.0,26.0,1.0,good
12.0,2390.0,4.0,3.0,50.0,1.0,good
48.0,10127.0,2.0,2.0,44.0,1.0,bad
18.0,6204.0,2.0,4.0,44.0,1.0,good
15.0,3643.0,1.0,4.0,27.0,2.0,good
18.0,1533.0,4.0,1.0,43.0,1.0,bad
18.0,1473.0,3.0,4.0,39.0,1.0,good
12.0,1503.0,4.0,4.0,41.0,1.0,good
24.0,4020.0,2.0,2.0,27.0,1.0,good
12.0,640.0,4.0,2.0,49.0,1.0,good
15.0,2728.0,4.0,2.0,35.0,3.0,good
18.0,1984.0,4.0,4.0,47.0,2.0,good
24.0,1659.0,4.0,2.0,29.0,1.0,bad
33.0,7253.0,3.0,2.0,35.0,2.0,good
12.0,7865.0,4.0,4.0,53.0,1.0,bad
12.0,2445.0,2.0,4.0,26.0,1.0,good
18.0,3001.0,2.0,4.0,40.0,1.0,good
12.0,1274.0,3.0,1.0,37.0,1.0,bad
15.0,3186.0,2.0,3.0,20.0,1.0,good
12.0,1402.0,3.0,4.0,37.0,1.0,good
6.0,1543.0,4.0,2.0,33.0,1.0,good
15.0,2327.0,2.0,3.0,25.0,1.0,bad
6.0,3384.0,1.0,4.0,44.0,1.0,bad
18.0,3244.0,1.0,4.0,33.0,2.0,good
18.0,1808.0,4.0,1.0,22.0,1.0,bad
48.0,3931.0,4.0,4.0,46.0,1.0,bad
6.0,709.0,2.0,2.0,27.0,1.0,good
30.0,8072.0,2.0,3.0,25.0,3.0,good
24.0,2670.0,4.0,4.0,35.0,1.0,good
22.0,1283.0,4.0,4.0,25.0,1.0,good
12.0,1474.0,4.0,1.0,33.0,1.0,good
30.0,3017.0,4.0,4.0,47.0,1.0,good
6.0,662.0,3.0,4.0,41.0,1.0,good
12.0,1480.0,2.0,4.0,66.0,3.0,good
20.0,2212.0,4.0,4.0,39.0,1.0,good
12.0,3059.0,2.0,4.0,61.0,1.0,good
27.0,5190.0,4.0,4.0,48.0,4.0,good
36.0,3990.0,3.0,2.0,29.0,1.0,good
12.0,1935.0,4.0,4.0,43.0,3.0,good
12.0,3077.0,2.0,4.0,52.0,1.0,good
15.0,1905.0,4.0,4.0,40.0,1.0,good
30.0,2522.0,1.0,3.0,39.0,1.0,good
60.0,9157.0,2.0,2.0,27.0,1.0,good
36.0,2302.0,4.0,4.0,31.0,1.0,bad
48.0,3578.0,4.0,1.0,47.0,1.0,good
36.0,8947.0,3.0,2.0,31.0,1.0,good
6.0,4611.0,1.0,4.0,32.0,1.0,bad
9.0,2697.0,1.0,2.0,32.0,1.0,good
24.0,3617.0,4.0,4.0,20.0,2.0,good
18.0,1216.0,4.0,3.0,23.0,1.0,bad
30.0,2503.0,4.0,2.0,41.0,2.0,good
24.0,7721.0,1.0,2.0,30.0,1.0,good
30.0,2406.0,4.0,4.0,23.0,1.0,bad
24.0,1533.0,4.0,3.0,38.0,1.0,good
24.0,1285.0,4.0,4.0,32.0,1.0,bad
9.0,2406.0,2.0,3.0,31.0,1.0,good
36.0,5742.0,2.0,2.0,31.0,2.0,good
18.0,6361.0,2.0,1.0,41.0,1.0,good
24.0,1553.0,3.0,2.0,23.0,2.0,good
36.0,4454.0,4.0,4.0,34.0,2.0,good
18.0,2659.0,4.0,2.0,28.0,1.0,good
36.0,9055.0,2.0,4.0,35.0,1.0,good
6.0,14896.0,1.0,4.0,68.0,1.0,bad
6.0,660.0,2.0,4.0,23.0,1.0,good
18.0,3650.0,1.0,4.0,22.0,1.0,good
12.0,2012.0,4.0,2.0,61.0,1.0,good
24.0,6568.0,2.0,2.0,21.0,1.0,good
24.0,5103.0,3.0,3.0,47.0,3.0,good
6.0,753.0,2.0,3.0,64.0,1.0,good
54.0,9436.0,2.0,2.0,39.0,1.0,good
30.0,10623.0,3.0,4.0,38.0,3.0,good
6.0,1750.0,2.0,4.0,45.0,1.0,good
7.0,846.0,3.0,4.0,36.0,1.0,good
18.0,1928.0,2.0,2.0,31.0,2.0,bad
42.0,3394.0,4.0,4.0,65.0,2.0,good
24.0,929.0,4.0,2.0,31.0,1.0,good
18.0,2389.0,4.0,1.0,27.0,1.0,good
24.0,2872.0,3.0,4.0,36.0,1.0,good
6.0,1346.0,2.0,4.0,42.0,1.0,good
12.0,741.0,4.0,3.0,22.0,1.0,bad
24.0,3758.0,1.0,4.0,23.0,1.0,good
12.0,2141.0,3.0,1.0,35.0,1.0,good
6.0,609.0,4.0,3.0,37.0,2.0,good
12.0,2247.0,2.0,2.0,36.0,2.0,good
18.0,3590.0,3.0,3.0,40.0,3.0,good
12.0,709.0,4.0,4.0,57.0,1.0,bad
48.0,5381.0,3.0,4.0,40.0,1.0,good
48.0,3914.0,4.0,2.0,38.0,1.0,bad
24.0,1258.0,3.0,3.0,57.0,1.0,good
18.0,1042.0,4.0,2.0,33.0,1.0,bad
36.0,1842.0,4.0,4.0,34.0,1.0,bad
12.0,1240.0,4.0,2.0,38.0,2.0,good
24.0,3123.0,4.0,1.0,27.0,1.0,bad
24.0,1469.0,4.0,4.0,41.0,1.0,good
10.0,1924.0,1.0,4.0,38.0,1.0,good
24.0,1938.0,4.0,3.0,32.0,1.0,bad
12.0,1736.0,3.0,4.0,31.0,1.0,good
30.0,3108.0,2.0,4.0,31.0,1.0,bad
12.0,2028.0,4.0,2.0,30.0,1.0,good
12.0,1092.0,4.0,4.0,49.0,2.0,good
24.0,4113.0,3.0,4.0,28.0,1.0,bad
24.0,4591.0,2.0,3.0,54.0,3.0,bad
18.0,7374.0,4.0,4.0,40.0,2.0,good
36.0,5848.0,4.0,1.0,24.0,1.0,good
36.0,3249.0,2.0,4.0,39.0,1.0,good
24.0,2064.0,3.0,2.0,34.0,1.0,bad
24.0,1925.0,2.0,2.0,26.0,1.0,good
18.0,2462.0,2.0,2.0,22.0,1.0,bad
12.0,2969.0,4.0,3.0,25.0,2.0,bad
12.0,1934.0,2.0,2.0,26.0,2.0,good
30.0,3857.0,4.0,4.0,40.0,1.0,good
10.0,2146.0,1.0,3.0,23.0,2.0,good
18.0,2779.0,1.0,3.0,21.0,1.0,good
4.0,1494.0,1.0,2.0,29.0,1.0,good
6.0,426.0,4.0,4.0,39.0,1.0,good
45.0,11816.0,2.0,4.0,29.0,2.0,bad
21.0,1591.0,4.0,3.0,34.0,2.0,good
36.0,1977.0,4.0,4.0,40.0,1.0,bad
15.0,3959.0,3.0,2.0,29.0,1.0,bad
24.0,2022.0,4.0,4.0,37.0,1.0,good
24.0,1901.0,4.0,4.0,29.0,1.0,good
12.0,1037.0,3.0,4.0,39.0,1.0,good
24.0,2964.0,4.0,4.0,49.0,1.0,good
24.0,6579.0,4.0,2.0,29.0,1.0,good
12.0,522.0,4.0,4.0,42.0,2.0,good
21.0,3652.0,2.0,3.0,27.0,2.0,good
9.0,1391.0,2.0,1.0,27.0,1.0,good
18.0,1245.0,4.0,2.0,33.0,1.0,bad
9.0,936.0,4.0,2.0,52.0,2.0,good
24.0,6872.0,2.0,1.0,55.0,1.0,bad
15.0,1478.0,4.0,4.0,44.0,2.0,good
24.0,3062.0,4.0,3.0,32.0,1.0,good
12.0,1410.0,2.0,2.0,31.0,1.0,good
9.0,2134.0,4.0,4.0,48.0,3.0,good
18.0,2404.0,2.0,2.0,26.0,2.0,good
36.0,12389.0,1.0,4.0,37.0,1.0,bad
30.0,3077.0,3.0,2.0,40.0,2.0,good
12.0,1082.0,4.0,4.0,48.0,2.0,bad
24.0,3149.0,4.0,1.0,22.0,1.0,good
60.0,6288.0,4.0,4.0,42.0,1.0,bad
12.0,1858.0,4.0,1.0,22.0,1.0,good
36.0,8133.0,1.0,2.0,30.0,1.0,good
6.0,1382.0,1.0,1.0,28.0,2.0,good
36.0,9629.0,4.0,4.0,24.0,2.0,bad
6.0,932.0,3.0,2.0,24.0,1.0,good
72.0,5595.0,2.0,2.0,24.0,1.0,bad
9.0,1366.0,3.0,4.0,22.0,1.0,bad
24.0,1559.0,4.0,4.0,50.0,1.0,good
12.0,900.0,4.0,2.0,23.0,1.0,bad
36.0,10477.0,2.0,4.0,42.0,2.0,good
48.0,7763.0,4.0,4.0,42.0,1.0,bad
12.0,1484.0,2.0,1.0,25.0,1.0,bad
30.0,1908.0,4.0,4.0,66.0,1.0,bad
30.0,4272.0,2.0,2.0,26.0,2.0,good
48.0,6681.0,4.0,4.0,38.0,1.0,good
12.0,1567.0,1.0,1.0,22.0,1.0,good
12.0,930.0,4.0,4.0,65.0,4.0,good
12.0,836.0,4.0,2.0,23.0,1.0,bad
24.0,2359.0,1.0,1.0,33.0,1.0,bad
30.0,5954.0,3.0,2.0,38.0,1.0,good
10.0,1418.0,3.0,2.0,35.0,1.0,good
24.0,2996.0,2.0,4.0,20.0,1.0,bad
21.0,2745.0,3.0,2.0,32.0,2.0,good
18.0,1149.0,4.0,3.0,46.0,2.0,good
15.0,1520.0,4.0,4.0,63.0,1.0,good
12.0,1922.0,4.0,2.0,37.0,1.0,bad
12.0,4843.0,3.0,4.0,43.0,2.0,bad
12.0,2214.0,4.0,3.0,24.0,1.0,good
12.0,701.0,4.0,2.0,32.0,2.0,good
18.0,1961.0,3.0,2.0,23.0,1.0,good
24.0,2028.0,2.0,2.0,30.0,2.0,good
18.0,433.0,3.0,4.0,22.0,1.0,bad
21.0,2767.0,4.0,2.0,61.0,2.0,bad
15.0,950.0,4.0,3.0,33.0,2.0,bad
24.0,6615.0,2.0,4.0,75.0,2.0,good
18.0,1817.0,4.0,2.0,28.0,2.0,good
27.0,5293.0,2.0,4.0,50.0,2.0,bad
45.0,3031.0,4.0,4.0,21.0,1.0,bad
24.0,1199.0,4.0,4.0,60.0,2.0,bad
12.0,3617.0,1.0,4.0,28.0,3.0,good
6.0,590.0,3.0,3.0,26.0,1.0,good
9.0,3074.0,1.0,2.0,33.0,2.0,good
24.0,3621.0,2.0,4.0,31.0,2.0,bad
24.0,1376.0,4.0,1.0,28.0,1.0,good
18.0,3049.0,1.0,1.0,45.0,1.0,good
18.0,1882.0,4.0,4.0,25.0,2.0,bad
24.0,1552.0,3.0,1.0,32.0,1.0,good
18.0,1453.0,3.0,1.0,26.0,1.0,good
36.0,3446.0,4.0,2.0,42.0,1.0,bad
10.0,2210.0,2.0,2.0,25.0,1.0,bad
30.0,5771.0,4.0,2.0,25.0,2.0,good
24.0,1355.0,3.0,4.0,25.0,1.0,bad
18.0,2427.0,4.0,2.0,42.0,2.0,good
12.0,1409.0,4.0,3.0,54.0,1.0,good
9.0,2301.0,2.0,4.0,22.0,1.0,good
24.0,1249.0,4.0,2.0,28.0,1.0,good
42.0,5954.0,2.0,1.0,41.0,2.0,good
30.0,5234.0,4.0,2.0,28.0,2.0,bad
6.0,14555.0,1.0,2.0,23.0,1.0,bad
36.0,9271.0,2.0,1.0,24.0,1.0,bad
24.0,2835.0,3.0,4.0,53.0,1.0,good
18.0,4153.0,2.0,3.0,42.0,1.0,bad
4.0,1544.0,2.0,1.0,42.0,3.0,good
12.0,1291.0,4.0,2.0,35.0,2.0,good
36.0,2145.0,2.0,1.0,24.0,2.0,bad
48.0,14421.0,2.0,2.0,25.0,1.0,bad
8.0,1414.0,4.0,2.0,33.0,1.0,good
24.0,947.0,4.0,3.0,38.0,1.0,bad
36.0,3079.0,4.0,4.0,36.0,1.0,good
18.0,1055.0,4.0,1.0,30.0,2.0,good
30.0,1715.0,4.0,1.0,26.0,1.0,good
6.0,1898.0,1.0,2.0,34.0,2.0,good
18.0,3190.0,2.0,2.0,24.0,1.0,bad
27.0,4526.0,4.0,2.0,32.0,2.0,good
12.0,2292.0,4.0,2.0,42.0,2.0,bad
10.0,1038.0,4.0,3.0,49.0,2.0,good
21.0,3160.0,4.0,3.0,41.0,1.0,good
24.0,2346.0,4.0,3.0,35.0,2.0,good
10.0,2901.0,1.0,4.0,31.0,1.0,good
24.0,5150.0,4.0,4.0,33.0,1.0,good
10.0,1231.0,3.0,4.0,32.0,2.0,good
9.0,1549.0,4.0,2.0,35.0,1.0,good
12.0,1228.0,4.0,2.0,24.0,1.0,bad
12.0,2002.0,3.0,4.0,30.0,1.0,good
12.0,1158.0,3.0,1.0,26.0,1.0,good
8.0,3398.0,1.0,4.0,39.0,2.0,good
24.0,3972.0,2.0,4.0,25.0,1.0,good
4.0,3380.0,1.0,1.0,37.0,1.0,good
12.0,1884.0,4.0,4.0,39.0,1.0,good
6.0,932.0,1.0,3.0,39.0,2.0,good
12.0,3565.0,2.0,1.0,37.0,2.0,good
15.0,2631.0,2.0,4.0,28.0,2.0,bad
18.0,1505.0,4.0,2.0,32.0,1.0,good
15.0,2631.0,3.0,2.0,25.0,1.0,good
18.0,750.0,4.0,1.0,27.0,1.0,bad
12.0,708.0,2.0,3.0,38.0,1.0,good
30.0,3656.0,4.0,4.0,49.0,2.0,good
24.0,1358.0,4.0,3.0,40.0,1.0,bad
24.0,1258.0,4.0,1.0,25.0,1.0,good
24.0,4736.0,2.0,4.0,25.0,1.0,bad
45.0,4576.0,3.0,4.0,27.0,1.0,good
15.0,1213.0,4.0,3.0,47.0,1.0,good
60.0,6527.0,4.0,4.0,34.0,1.0,good
12.0,2762.0,1.0,2.0,25.0,1.0,bad
12.0,1282.0,2.0,4.0,20.0,1.0,bad
15.0,1845.0,4.0,1.0,46.0,1.0,good
24.0,4042.0,3.0,4.0,43.0,2.0,good
12.0,6468.0,2.0,1.0,52.0,1.0,bad
27.0,2520.0,4.0,2.0,23.0,2.0,bad
21.0,2241.0,4.0,2.0,50.0,2.0,good
15.0,1721.0,2.0,3.0,36.0,1.0,good
36.0,2820.0,4.0,4.0,27.0,2.0,bad
18.0,4594.0,3.0,2.0,32.0,1.0,good
12.0,5801.0,2.0,4.0,49.0,1.0,good
21.0,2580.0,4.0,2.0,41.0,1.0,bad
24.0,2463.0,4.0,3.0,27.0,2.0,good
15.0,1308.0,4.0,4.0,38.0,2.0,good
21.0,2288.0,4.0,4.0,23.0,1.0,good
12.0,939.0,4.0,2.0,28.0,3.0,bad
6.0,1169.0,4.0,4.0,67.0,2.0,good
48.0,7685.0,2.0,4.0,37.0,1.0,bad
24.0,4351.0,1.0,4.0,48.0,1.0,good
24.0,2684.0,4.0,2.0,35.0,2.0,good
9.0,2136.0,3.0,2.0,25.0,1.0,good
36.0,2712.0,2.0,2.0,41.0,1.0,bad
9.0,1364.0,3.0,4.0,59.0,1.0,good
12.0,1526.0,4.0,4.0,66.0,2.0,good
48.0,4605.0,3.0,4.0,24.0,2.0,bad
24.0,1275.0,2.0,4.0,36.0,2.0,good
24.0,6967.0,4.0,4.0,36.0,1.0,good
18.0,1582.0,4.0,4.0,46.0,2.0,good
18.0,2320.0,2.0,3.0,34.0,2.0,good
18.0,2515.0,3.0,4.0,43.0,1.0,good
33.0,2764.0,2.0,2.0,26.0,2.0,good
6.0,1338.0,1.0,4.0,62.0,1.0,good
30.0,1867.0,4.0,4.0,58.0,1.0,good
24.0,2828.0,4.0,4.0,22.0,1.0,good
12.0,674.0,4.0,1.0,20.0,1.0,bad
24.0,1837.0,4.0,4.0,34.0,1.0,bad
24.0,7814.0,3.0,3.0,38.0,1.0,good
24.0,11328.0,2.0,3.0,29.0,2.0,bad
48.0,10297.0,4.0,4.0,39.0,3.0,bad
48.0,15672.0,2.0,2.0,23.0,1.0,bad
18.0,1924.0,4.0,3.0,27.0,1.0,bad
12.0,1007.0,4.0,1.0,22.0,1.0,good
12.0,385.0,4.0,3.0,58.0,4.0,good
13.0,1409.0,2.0,4.0,64.0,1.0,good
24.0,2825.0,4.0,3.0,34.0,2.0,good
12.0,2096.0,2.0,3.0,49.0,1.0,good
15.0,3029.0,2.0,2.0,33.0,1.0,good
12.0,3124.0,1.0,3.0,49.0,2.0,good
15.0,1433.0,4.0,3.0,25.0,2.0,good
24.0,2924.0,3.0,4.0,63.0,1.0,good
24.0,2611.0,4.0,3.0,46.0,2.0,good
20.0,2235.0,4.0,2.0,33.0,2.0,bad
24.0,3878.0,4.0,2.0,37.0,1.0,good
12.0,585.0,4.0,4.0,20.0,2.0,good
36.0,6887.0,4.0,3.0,29.0,1.0,bad
6.0,2080.0,1.0,2.0,24.0,1.0,good
48.0,4788.0,4.0,3.0,26.0,1.0,good
15.0,3368.0,3.0,4.0,23.0,2.0,good
9.0,654.0,4.0,3.0,28.0,1.0,bad
6.0,1766.0,1.0,2.0,21.0,1.0,good
15.0,1386.0,4.0,2.0,40.0,1.0,good
12.0,1344.0,4.0,2.0,43.0,2.0,good
12.0,652.0,4.0,4.0,24.0,1.0,good
30.0,2333.0,4.0,2.0,30.0,1.0,good
24.0,2039.0,1.0,1.0,22.0,1.0,bad
