Id,Image,Prediction
349,apple_quality_decision_tree.png, Decision trees with depth = 2 have at most one node at the depth of 3.
350,apple_quality_overfitting_mlp.png, The overfitting of the mlp starts around iteration 700.
351,apple_quality_overfitting_gb.png, The number of estimators for which the model obtains the lowest accuracy is 385.
352,apple_quality_overfitting_rf.png, The random forest accuracy tends to increase and then decrease as the number of estimators grows.
353,apple_quality_overfitting_knn.png, The chart indicates that the accuracy of k-nearest neighbors model decreases when the number of neighbors exceeds 16.
354,apple_quality_overfitting_decision_tree.png, The decision tree with a max depth of 10 is not overfitting the data.
355,apple_quality_overfitting_dt_acc_rec.png, The decision tree with a max depth of 15 has the same performance as the decision tree with a max depth of 16.
356,apple_quality_pca.png, The first principal component explains more than 80% of the variance.
357,apple_quality_correlation_heatmap.png, Size and Ripeness are negatively correlated.
358,apple_quality_boxplots.png,Size has more outliers than other variables.
359,apple_quality_class_histogram.png,The highest percentage of low quality samples appears in the 60-70 range.
360,apple_quality_nr_records_nr_variables.png, The dataset contains only numerical variables.
361,apple_quality_histograms_numeric.png, The average Size is greater than the average Weight.
362,Employee_decision_tree.png, The decision tree's second split is not based on JoiningYear.
363,Employee_overfitting_mlp.png, The overfitting of the MLP starts after 600 iterations.
364,Employee_overfitting_gb.png, The model becomes underfitting after 850 estimators.
365,Employee_overfitting_rf.png, The random forest model with 706 estimators has the best accuracy.
366,Employee_overfitting_knn.png, The accuracy is higher when k = 17 than when k = 13.
367,Employee_overfitting_decision_tree.png, Overfitting starts between a max depth of 15 to 20.
368,Employee_overfitting_dt_acc_rec.png, The decision tree model starts overfitting at a max depth of 7.
369,Employee_pca.png, Principal component 3 explains more variance than principal component 4.
370,Employee_correlation_heatmap.png, PaymentTier is correlated with JoiningYear.
371,Employee_boxplots.png, There's no outlier on 'Age' variable.
372,Employee_histograms_symbolic.png, Women tend to bench press more than men in this dataset.
373,Employee_class_histogram.png, More than half of the employees leave the company.
374,Employee_nr_records_nr_variables.png, The number of variables is more than the number of records.
375,Employee_histograms_numeric.png, Age is the only variable with a normal distribution.
