Id;Data;Chart
40;[1436,13];urinalysis_tests_nr_records_nr_variables.png
41;;urinalysis_tests_histograms_numeric.png
42;;detect_dataset_decision_tree.png
43;no;detect_dataset_overfitting_mlp.png
44;no;detect_dataset_overfitting_gb.png
45;no underfitting,no overfitting,acc>0.8;detect_dataset_overfitting_rf.png
46;no;detect_dataset_overfitting_knn.png
47;no;detect_dataset_overfitting_decision_tree.png
48;acc_rec;detect_dataset_overfitting_dt_acc_rec.png
49;[0.52,0.41,0.06,0.00,0.00,0.00];detect_dataset_pca.png
50;{6,[]};detect_dataset_correlation_heatmap.png
51;;detect_dataset_boxplots.png
52;[6505,5496];detect_dataset_class_histogram.png
53;[12001,7];detect_dataset_nr_records_nr_variables.png
54;;detect_dataset_histograms_numeric.png
55;;diabetes_decision_tree.png
56;no;diabetes_overfitting_mlp.png
57;no;diabetes_overfitting_gb.png
58;underfitting until 502,no overfitting,acc<0.8;diabetes_overfitting_rf.png
59;overfitting until 15;diabetes_overfitting_knn.png
60;overfitting after 6;diabetes_overfitting_decision_tree.png
61;acc_rec;diabetes_overfitting_dt_acc_rec.png
62;[0.89,0.06,0.03,0.01,0.01,0.00,0.00,0.00];diabetes_pca.png
63;{8,[]};diabetes_correlation_heatmap.png
64;;diabetes_boxplots.png
65;[500,268];diabetes_class_histogram.png
66;[768,9];diabetes_nr_records_nr_variables.png
67;;diabetes_histograms_numeric.png
68;;Placement_decision_tree.png
69;no;Placement_overfitting_mlp.png
70;no;Placement_overfitting_gb.png
71;underfitting until 502,no overfitting,acc=0.8;Placement_overfitting_rf.png
72;overfitting until 15;Placement_overfitting_knn.png
73;overfitting after 5;Placement_overfitting_decision_tree.png
74;acc_rec;Placement_overfitting_dt_acc_rec.png
75;[0.50,0.26,0.12,0.07,0.05];Placement_pca.png
76;{5,[]};Placement_correlation_heatmap.png
77;;Placement_boxplots.png
78;;Placement_histograms_symbolic.png
79;[148,67];Placement_class_histogram.png
80;[215,13];Placement_nr_records_nr_variables.png
81;;Placement_histograms_numeric.png
82;;Liver_Patient_decision_tree.png
83;no;Liver_Patient_overfitting_mlp.png
84;overfitting after 502;Liver_Patient_overfitting_gb.png
85;underfitting until 1002,no overfitting,acc<0.8;Liver_Patient_overfitting_rf.png
86;overfitting until 13;Liver_Patient_overfitting_knn.png
87;overfitting after 3;Liver_Patient_overfitting_decision_tree.png
88;acc_rec;Liver_Patient_overfitting_dt_acc_rec.png
89;[0.63,0.32,0.05,0.00,0.00,0.00,0.00,0.00,0.00];Liver_Patient_pca.png
90;{9,[[TB,DB],[Sgpt,Sgot],[TP,ALB]]};Liver_Patient_correlation_heatmap.png
91;;Liver_Patient_boxplots.png
92;;Liver_Patient_histograms_symbolic.png
93;;Liver_Patient_mv.png
94;[416,167];Liver_Patient_class_histogram.png
95;[583,11];Liver_Patient_nr_records_nr_variables.png
96;;Liver_Patient_histograms_numeric.png
97;;Hotel_Reservations_decision_tree.png
98;no;Hotel_Reservations_overfitting_mlp.png
99;no;Hotel_Reservations_overfitting_gb.png
100;no underfitting,no overfitting,acc>0.8;Hotel_Reservations_overfitting_rf.png
101;no;Hotel_Reservations_overfitting_knn.png
102;overfitting after 16;Hotel_Reservations_overfitting_decision_tree.png
103;acc_rec;Hotel_Reservations_overfitting_dt_acc_rec.png
104;[0.85,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00];Hotel_Reservations_pca.png
105;{9,[]};Hotel_Reservations_correlation_heatmap.png
106;;Hotel_Reservations_boxplots.png
107;;Hotel_Reservations_histograms_symbolic.png
108;[24390,11885];Hotel_Reservations_class_histogram.png
109;[36275,15];Hotel_Reservations_nr_records_nr_variables.png
110;;Hotel_Reservations_histograms_numeric.png
111;;StressLevelDataset_decision_tree.png
112;no;StressLevelDataset_overfitting_mlp.png
113;no;StressLevelDataset_overfitting_gb.png
114;underfitting until 502,overfitting after 502,acc>0.8;StressLevelDataset_overfitting_rf.png
115;no;StressLevelDataset_overfitting_knn.png
116;no;StressLevelDataset_overfitting_decision_tree.png
117;[0.78,0.11,0.07,0.01,0.01,0.00,0.00,0.00,0.00,0.00];StressLevelDataset_pca.png
118;{11,[]};StressLevelDataset_correlation_heatmap.png
119;;StressLevelDataset_boxplots.png
120;;StressLevelDataset_histograms_symbolic.png
121;[373,369,358];StressLevelDataset_class_histogram.png
122;[1100,12];StressLevelDataset_nr_records_nr_variables.png
123;;StressLevelDataset_histograms_numeric.png
124;;WineQT_decision_tree.png
125;no;WineQT_overfitting_mlp.png
126;overfitting after 1002;WineQT_overfitting_gb.png
127;underfitting until 502,no overfitting,acc<0.8;WineQT_overfitting_rf.png
128;no;WineQT_overfitting_knn.png
129;no;WineQT_overfitting_decision_tree.png
130;[0.95,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00];WineQT_pca.png
131;{12,[]};WineQT_correlation_heatmap.png
132;;WineQT_boxplots.png
133;[483,462,143,33,16,6];WineQT_class_histogram.png
134;[1143,12];WineQT_nr_records_nr_variables.png
135;;WineQT_histograms_numeric.png
136;;loan_data_decision_tree.png
137;no;loan_data_overfitting_mlp.png
138;no;loan_data_overfitting_gb.png
139;no underfitting,no overfitting,acc<0.8;loan_data_overfitting_rf.png
140;overfitting until 13;loan_data_overfitting_knn.png
141;no;loan_data_overfitting_decision_tree.png
142;acc_rec;loan_data_overfitting_dt_acc_rec.png
143;[0.77,0.23,0.00,0.00];loan_data_pca.png
144;{4,[]};loan_data_correlation_heatmap.png
145;;loan_data_boxplots.png
146;;loan_data_histograms_symbolic.png
147;;loan_data_mv.png
148;[271,110];loan_data_class_histogram.png
149;[381,12];loan_data_nr_records_nr_variables.png
150;;loan_data_histograms_numeric.png
151;;Dry_Bean_Dataset_decision_tree.png
152;no;Dry_Bean_Dataset_overfitting_mlp.png
153;no;Dry_Bean_Dataset_overfitting_gb.png
154;no underfitting,no overfitting,acc>0.8;Dry_Bean_Dataset_overfitting_rf.png
155;no;Dry_Bean_Dataset_overfitting_knn.png
156;overfitting after 7;Dry_Bean_Dataset_overfitting_decision_tree.png
157;[1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00];Dry_Bean_Dataset_pca.png
158;{10,[[Area,Perimeter],[Area,MinorAxisLength],[Area,EquivDiameter],[Perimeter,MinorAxisLength],[Perimeter,EquivDiameter],[MinorAxisLength,EquivDiameter],[MinorAxisLength,ShapeFactor1],[AspecRation,Eccentricity],[EquivDiameter,ShapeFactor1]]};Dry_Bean_Dataset_correlation_heatmap.png
159;;Dry_Bean_Dataset_boxplots.png
160;[3546,2636,2027,1928,1630,1322,522];Dry_Bean_Dataset_class_histogram.png
161;[13611,11];Dry_Bean_Dataset_nr_records_nr_variables.png
162;;Dry_Bean_Dataset_histograms_numeric.png
163;;credit_customers_decision_tree.png
164;no;credit_customers_overfitting_mlp.png
165;no;credit_customers_overfitting_gb.png
166;underfitting until 502,no overfitting,acc<0.8;credit_customers_overfitting_rf.png
167;overfitting until 23;credit_customers_overfitting_knn.png
168;overfitting after 4;credit_customers_overfitting_decision_tree.png
169;acc_rec;credit_customers_overfitting_dt_acc_rec.png
170;[1.00,0.00,0.00,0.00,0.00,0.00];credit_customers_pca.png
171;{6,[]};credit_customers_correlation_heatmap.png
172;;credit_customers_boxplots.png
173;;credit_customers_histograms_symbolic.png
174;[700,300];credit_customers_class_histogram.png
175;[1000,15];credit_customers_nr_records_nr_variables.png
176;;credit_customers_histograms_numeric.png
177;;weatherAUS_decision_tree.png
178;no;weatherAUS_overfitting_mlp.png
179;overfitting after 502;weatherAUS_overfitting_gb.png
180;underfitting until 502,no overfitting,acc>0.8;weatherAUS_overfitting_rf.png
181;overfitting until 7;weatherAUS_overfitting_knn.png
182;overfitting after 5;weatherAUS_overfitting_decision_tree.png
183;acc_rec;weatherAUS_overfitting_dt_acc_rec.png
184;[0.54,0.22,0.16,0.06,0.02,0.01,0.00];weatherAUS_pca.png
185;{7,[]};weatherAUS_correlation_heatmap.png
186;;weatherAUS_boxplots.png
187;;weatherAUS_histograms_symbolic.png
188;;weatherAUS_mv.png
189;[8669,1689];weatherAUS_class_histogram.png
190;[10367,13];weatherAUS_nr_records_nr_variables.png
191;;weatherAUS_histograms_numeric.png
192;;car_insurance_decision_tree.png
193;no;car_insurance_overfitting_mlp.png
194;overfitting after 502;car_insurance_overfitting_gb.png
195;no underfitting,no overfitting,acc>0.8;car_insurance_overfitting_rf.png
196;overfitting until 5;car_insurance_overfitting_knn.png
197;overfitting after 6;car_insurance_overfitting_decision_tree.png
198;acc_rec;car_insurance_overfitting_dt_acc_rec.png
199;[0.91,0.06,0.02,0.01,0.00,0.00,0.00,0.00,0.00];car_insurance_pca.png
200;{9,[[airbags,gross_weight],[displacement,length],[displacement,width],[length,width],[length,gross_weight]]};car_insurance_correlation_heatmap.png
201;;car_insurance_boxplots.png
202;;car_insurance_histograms_symbolic.png
203;[9931,661];car_insurance_class_histogram.png
204;[10592,19];car_insurance_nr_records_nr_variables.png
205;;car_insurance_histograms_numeric.png
206;;heart_decision_tree.png
207;no;heart_overfitting_mlp.png
208;overfitting after 502;heart_overfitting_gb.png
209;no underfitting,no overfitting,acc>0.8;heart_overfitting_rf.png
210;no;heart_overfitting_knn.png
211;no;heart_overfitting_decision_tree.png
212;acc_rec;heart_overfitting_dt_acc_rec.png
213;[0.75,0.15,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00];heart_pca.png
214;{10,[]};heart_correlation_heatmap.png
215;;heart_boxplots.png
216;;heart_histograms_symbolic.png
217;[525,499];heart_class_histogram.png
218;[1025,14];heart_nr_records_nr_variables.png
219;;heart_histograms_numeric.png
220;;Breast_Cancer_decision_tree.png
221;no;Breast_Cancer_overfitting_mlp.png
222;no;Breast_Cancer_overfitting_gb.png
223;underfitting until 502,no overfitting,acc>0.8;Breast_Cancer_overfitting_rf.png
224;overfitting until 3;Breast_Cancer_overfitting_knn.png
225;no;Breast_Cancer_overfitting_decision_tree.png
226;acc_rec;Breast_Cancer_overfitting_dt_acc_rec.png
227;[0.86,0.12,0.01,0.01,,0.00,0.00,0.00,0.00,0.00,0.00];Breast_Cancer_pca.png
228;{10,[[texture_mean,texture_worst],[perimeter_mean,radius_worst],[perimeter_mean,perimeter_worst],[perimeter_se,area_se],[radius_worst,perimeter_worst]]};Breast_Cancer_correlation_heatmap.png
229;;Breast_Cancer_boxplots.png
230;[357,212];Breast_Cancer_class_histogram.png
231;[569,11];Breast_Cancer_nr_records_nr_variables.png
232;;Breast_Cancer_histograms_numeric.png
233;;e-commerce_decision_tree.png
234;no;e-commerce_overfitting_mlp.png
235;overfitting after 502;e-commerce_overfitting_gb.png
236;underfitting until 502,no overfitting,acc<0.8;e-commerce_overfitting_rf.png
237;overfitting until 19;e-commerce_overfitting_knn.png
238;overfitting after 5;e-commerce_overfitting_decision_tree.png
239;acc_rec;e-commerce_overfitting_dt_acc_rec.png
240;[1.00,0.00,0.00,0.00,0.00,0.00];e-commerce_pca.png
241;{6,[]};e-commerce_correlation_heatmap.png
242;;e-commerce_boxplots.png
243;;e-commerce_histograms_symbolic.png
244;[6563,4436];e-commerce_class_histogram.png
245;[10999,11];e-commerce_nr_records_nr_variables.png
246;;e-commerce_histograms_numeric.png
247;;maintenance_decision_tree.png
248;no;maintenance_overfitting_mlp.png
249;no;maintenance_overfitting_gb.png
250;no underfitting,no overfitting,acc>0.8;maintenance_overfitting_rf.png
251;overfitting until 3;maintenance_overfitting_knn.png
252;no;maintenance_overfitting_decision_tree.png
253;acc_rec;maintenance_overfitting_dt_acc_rec.png
254;[0.89,0.11,0.00,0.00,0.00];maintenance_pca.png
255;{5,[[Air temperature [K],Process temperature [K]],[Rotational speed [rpm],Torque [Nm]]]};maintenance_correlation_heatmap.png
256;;maintenance_boxplots.png
257;;maintenance_histograms_symbolic.png
258;[9661,339];maintenance_class_histogram.png
259;[10000,12];maintenance_nr_records_nr_variables.png
260;;maintenance_histograms_numeric.png
261;;Churn_Modelling_decision_tree.png
262;no;Churn_Modelling_overfitting_mlp.png
263;overfitting after 502;Churn_Modelling_overfitting_gb.png
264;underfitting until 502,no overfitting,acc>0.8;Churn_Modelling_overfitting_rf.png
265;overfitting until 11;Churn_Modelling_overfitting_knn.png
266;overfitting after 6;Churn_Modelling_overfitting_decision_tree.png
267;acc_rec;Churn_Modelling_overfitting_dt_acc_rec.png
268;[0.54,0.46,0.00,0.00,0.00,0.00];Churn_Modelling_pca.png
269;{6,[]};Churn_Modelling_correlation_heatmap.png
270;;Churn_Modelling_boxplots.png
271;;Churn_Modelling_histograms_symbolic.png
272;[7963,2037];Churn_Modelling_class_histogram.png
273;[10000,11];Churn_Modelling_nr_records_nr_variables.png
274;;Churn_Modelling_histograms_numeric.png
275;;vehicle_decision_tree.png
276;no;vehicle_overfitting_mlp.png
277;no;vehicle_overfitting_gb.png
278;underfitting until 502,no overfitting,acc<0.8;vehicle_overfitting_rf.png
279;no;vehicle_overfitting_knn.png
280;no;vehicle_overfitting_decision_tree.png
281;[0.96,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00];vehicle_pca.png
282;{12,[[CIRCULARITY,GYRATIONRADIUS],[DISTANCE CIRCULARITY,MINORVARIANCE],[MAJORVARIANCE,MINORVARIANCE]]};vehicle_correlation_heatmap.png
283;;vehicle_boxplots.png
284;[218,217,212,199];vehicle_class_histogram.png
285;[846,12];vehicle_nr_records_nr_variables.png
286;;vehicle_histograms_numeric.png
287;;adult_decision_tree.png
288;no;adult_overfitting_mlp.png
289;overfitting after 502;adult_overfitting_gb.png
290;no underfitting,no overfitting,acc>0.8;adult_overfitting_rf.png
291;overfitting until 15;adult_overfitting_knn.png
292;overfitting after 12;adult_overfitting_decision_tree.png
293;acc_rec;adult_overfitting_dt_acc_rec.png
294;[1.00,0.00,0.00,0.00,0.00,0.00];adult_pca.png
295;{6,[]};adult_correlation_heatmap.png
296;;adult_boxplots.png
297;;adult_histograms_symbolic.png
298;[37155,11687];adult_class_histogram.png
299;[48842,14];adult_nr_records_nr_variables.png
300;;adult_histograms_numeric.png
301;;Covid_Data_decision_tree.png
302;no;Covid_Data_overfitting_mlp.png
303;no;Covid_Data_overfitting_gb.png
304;no underfitting,no overfitting,acc<0.8;Covid_Data_overfitting_rf.png
305;overfitting until 11;Covid_Data_overfitting_knn.png
306;overfitting after 9;Covid_Data_overfitting_decision_tree.png
307;acc_rec;Covid_Data_overfitting_dt_acc_rec.png
308;[0.50,0.34,0.08,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00];Covid_Data_pca.png
309;{12,[[COPD,ASTHMA],[COPD,HIPERTENSION],[COPD,CARDIOVASCULAR],[COPD,RENAL_CHRONIC],[ASTHMA,RENAL_CHRONIC],[HIPERTENSION,CARDIOVASCULAR],[HIPERTENSION,RENAL_CHRONIC],[HIPERTENSION,TOBACCO],[CARDIOVASCULAR,RENAL_CHRONIC],[CARDIOVASCULAR,TOBACCO],[RENAL_CHRONIC,TOBACCO]]};Covid_Data_correlation_heatmap.png
310;;Covid_Data_boxplots.png
311;;Covid_Data_histograms_symbolic.png
312;[8601,3122];Covid_Data_class_histogram.png
313;[11723,16];Covid_Data_nr_records_nr_variables.png
314;;Covid_Data_histograms_numeric.png
315;;sky_survey_decision_tree.png
316;no;sky_survey_overfitting_mlp.png
317;overfitting after 502;sky_survey_overfitting_gb.png
318;no underfitting,no overfitting,acc>0.8;sky_survey_overfitting_rf.png
319;no;sky_survey_overfitting_knn.png
320;overfitting after 6;sky_survey_overfitting_decision_tree.png
321;[0.85,0.14,0.01,0.00,0.00,0.00,0.00,0.00];sky_survey_pca.png
322;{8,[[plate,mjd]]};sky_survey_correlation_heatmap.png
323;;sky_survey_boxplots.png
324;[13345,4645,1010];sky_survey_class_histogram.png
325;[20000,9];sky_survey_nr_records_nr_variables.png
326;;sky_survey_histograms_numeric.png
327;;Wine_decision_tree.png
328;no;Wine_overfitting_mlp.png
329;no;Wine_overfitting_gb.png
330;underfitting until 502,no overfitting,acc>0.8;Wine_overfitting_rf.png
331;no;Wine_overfitting_knn.png
332;no;Wine_overfitting_decision_tree.png
333;[0.56,0.28,0.08,0.04,0.02,0.01,0.01,0.00,0.00,0.00,0.00];Wine_pca.png
334;{12,[[Class,Flavanoids],[Class,OD280-OD315 of diluted wines],[Total phenols,Flavanoids],[Flavanoids,OD280-OD315 of diluted wines]]};Wine_correlation_heatmap.png
335;;Wine_boxplots.png
336;[71,58,48];Wine_class_histogram.png
337;[177,12];Wine_nr_records_nr_variables.png
338;;Wine_histograms_numeric.png
339;;water_potability_decision_tree.png
340;no;water_potability_overfitting_mlp.png
341;overfitting after 502;water_potability_overfitting_gb.png
342;underfitting until 502,no overfitting,acc<0.8;water_potability_overfitting_rf.png
343;overfitting until 7;water_potability_overfitting_knn.png
344;overfitting after 6;water_potability_overfitting_decision_tree.png
345;acc_rec;water_potability_overfitting_dt_acc_rec.png
346;[0.68,0.18,0.11,0.03,0.00,0.00,0.00];water_potability_pca.png
347;{7,[]};water_potability_correlation_heatmap.png
348;;water_potability_boxplots.png
349;;water_potability_mv.png
350;[1998,1278];water_potability_class_histogram.png
351;[3276,8];water_potability_nr_records_nr_variables.png
352;;water_potability_histograms_numeric.png
353;;abalone_decision_tree.png
354;no;abalone_overfitting_mlp.png
355;no;abalone_overfitting_gb.png
356;no underfitting,no overfitting,acc<0.8;abalone_overfitting_rf.png
357;overfitting until 15;abalone_overfitting_knn.png
358;overfitting after 5;abalone_overfitting_decision_tree.png
359;[0.98,0.02,0.00,0.00,0.00,0.00,0.00,0.00];abalone_pca.png
360;{8,[[Length,Diameter],[Length,Whole weight],[Diameter,Whole weight],[Whole weight,Shucked weight],[Whole weight,Viscera weight],[Whole weight,Shell weight],[Shucked weight,Viscera weight]]};abalone_correlation_heatmap.png
361;;abalone_boxplots.png
362;[1528,1342,1307];abalone_class_histogram.png
363;[4177,9];abalone_nr_records_nr_variables.png
364;;abalone_histograms_numeric.png
365;;smoking_drinking_decision_tree.png
366;no;smoking_drinking_overfitting_mlp.png
367;overfitting after 502;smoking_drinking_overfitting_gb.png
368;underfitting until 502,no overfitting,acc<0.8;smoking_drinking_overfitting_rf.png
369;overfitting until 17;smoking_drinking_overfitting_knn.png
370;overfitting after 5;smoking_drinking_overfitting_decision_tree.png
371;acc_rec;smoking_drinking_overfitting_dt_acc_rec.png
372;[0.63,0.15,0.13,0.03,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00];smoking_drinking_pca.png
373;{12,[[weight,waistline],[tot_chole,LDL_chole]]};smoking_drinking_correlation_heatmap.png
374;;smoking_drinking_boxplots.png
375;;smoking_drinking_histograms_symbolic.png
376;[10701,10645];smoking_drinking_class_histogram.png
377;[21346,16];smoking_drinking_nr_records_nr_variables.png
378;;smoking_drinking_histograms_numeric.png
379;;BankNoteAuthentication_decision_tree.png
380;no;BankNoteAuthentication_overfitting_mlp.png
381;no;BankNoteAuthentication_overfitting_gb.png
382;no underfitting,no overfitting,acc>0.8;BankNoteAuthentication_overfitting_rf.png
383;no;BankNoteAuthentication_overfitting_knn.png
384;no;BankNoteAuthentication_overfitting_decision_tree.png
385;acc_rec;BankNoteAuthentication_overfitting_dt_acc_rec.png
386;[0.76,0.14,0.07,0.03];BankNoteAuthentication_pca.png
387;{4,[]};BankNoteAuthentication_correlation_heatmap.png
388;;BankNoteAuthentication_boxplots.png
389;[762,610];BankNoteAuthentication_class_histogram.png
390;[1372,5];BankNoteAuthentication_nr_records_nr_variables.png
391;;BankNoteAuthentication_histograms_numeric.png
392;;Iris_decision_tree.png
393;no;Iris_overfitting_mlp.png
394;no;Iris_overfitting_gb.png
395;no underfitting,no overfitting,acc>0.8;Iris_overfitting_rf.png
396;no;Iris_overfitting_knn.png
397;no;Iris_overfitting_decision_tree.png
398;[0.92,0.05,0.02,0.01];Iris_pca.png
399;{4,[[SepalLengthCm,PetalLengthCm],[PetalLengthCm,PetalWidthCm]]};Iris_correlation_heatmap.png
400;;Iris_boxplots.png
401;[50,50,50];Iris_class_histogram.png
402;[150,5];Iris_nr_records_nr_variables.png
403;;Iris_histograms_numeric.png
404;;phone_decision_tree.png
405;no;phone_overfitting_mlp.png
406;overfitting after 1502;phone_overfitting_gb.png
407;underfitting until 502,no overfitting,acc>0.8;phone_overfitting_rf.png
408;overfitting until 9;phone_overfitting_knn.png
409;no;phone_overfitting_decision_tree.png
410;[0.67,0.17,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00];phone_pca.png
411;{13,[[ram,price_range]]};phone_correlation_heatmap.png
412;;phone_boxplots.png
413;;phone_histograms_symbolic.png
414;[500,500,500,500];phone_class_histogram.png
415;[2000,19];phone_nr_records_nr_variables.png
416;;phone_histograms_numeric.png
417;;Titanic_decision_tree.png
418;no;Titanic_overfitting_mlp.png
419;overfitting after 502;Titanic_overfitting_gb.png
420;underfitting until 502,no overfitting,acc=0.8;Titanic_overfitting_rf.png
421;overfitting until 5;Titanic_overfitting_knn.png
422;overfitting after 10;Titanic_overfitting_decision_tree.png
423;acc_rec;Titanic_overfitting_dt_acc_rec.png
424;[0.93,0.07,0.00,0.00,0.00];Titanic_pca.png
425;{5,[]};Titanic_correlation_heatmap.png
426;;Titanic_boxplots.png
427;;Titanic_histograms_symbolic.png
428;;Titanic_mv.png
429;[549,342];Titanic_class_histogram.png
430;[891,8];Titanic_nr_records_nr_variables.png
431;;Titanic_histograms_numeric.png
432;;apple_quality_decision_tree.png
433;no;apple_quality_overfitting_mlp.png
434;overfitting after 502;apple_quality_overfitting_gb.png
435;underfitting until 502,no overfitting,acc>0.8;apple_quality_overfitting_rf.png
436;overfitting until 9;apple_quality_overfitting_knn.png
437;no;apple_quality_overfitting_decision_tree.png
438;acc_rec;apple_quality_overfitting_dt_acc_rec.png
439;[0.25,0.22,0.17,0.14,0.12,0.07,0.04];apple_quality_pca.png
440;{7,[]};apple_quality_correlation_heatmap.png
441;;apple_quality_boxplots.png
442;[2004,1996];apple_quality_class_histogram.png
443;[4000,8];apple_quality_nr_records_nr_variables.png
444;;apple_quality_histograms_numeric.png
445;;Employee_decision_tree.png
446;no;Employee_overfitting_mlp.png
447;no;Employee_overfitting_gb.png
448;underfitting until 502,no overfitting,acc>0.8;Employee_overfitting_rf.png
449;overfitting until 9;Employee_overfitting_knn.png
450;overfitting after 8;Employee_overfitting_decision_tree.png
451;acc_rec;Employee_overfitting_dt_acc_rec.png
452;[0.79,0.12,0.08,0.01];Employee_pca.png
453;{4,[]};Employee_correlation_heatmap.png
454;;Employee_boxplots.png
455;;Employee_histograms_symbolic.png
456;[3053,1600];Employee_class_histogram.png
457;[4653,9];Employee_nr_records_nr_variables.png
458;;Employee_histograms_numeric.png
