Chart;description;Questions
ObesityDataSet_class_histogram.png;A bar chart showing the distribution of the target variable NObeyesdad.;['Balancing this dataset would be mandatory to improve the results.']
ObesityDataSet_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
ObesityDataSet_histograms_numeric.png;A set of histograms of the variables ['Age', 'Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE'].;['All variables, but the class, should be dealt with as symbolic.', 'The variable Height can be seen as ordinal.', 'The variable NCP can be seen as ordinal without losing information.', 'Variable FAF is balanced.', 'It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable CH2O.', 'Outliers seem to be a problem in the dataset.', 'Variable Height shows a high number of outlier values.', 'Variable TUE doesn’t have any outliers.', 'Variable FCVC presents some outliers.', 'At least 60 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for Weight and Age variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Age variable, dummification would be the most adequate encoding.', 'The variable Weight can be coded as ordinal without losing information.', 'Feature generation based on variable TUE seems to be promising.', 'Feature generation based on the use of variable Weight wouldn’t be useful, but the use of Age seems to be promising.', 'Given the usual semantics of FAF variable, dummification would have been a better codification.', 'It is better to drop the variable Age than removing all records with missing values.', 'Not knowing the semantics of CH2O variable, dummification could have been a more adequate codification.']
customer_segmentation_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition Family_Size <= 2.5 and the second with the condition Work_Experience <= 9.5.;['The variable Family_Size discriminates between the target values, as shown in the decision tree.', 'Variable Work_Experience is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.', 'As reported in the tree, the number of False Positive is smaller than the number of False Negatives.', 'The precision for the presented tree is lower than 60%.', 'The number of True Negatives is higher than the number of False Positives for the presented tree.', 'The number of True Negatives is higher than the number of True Positives for the presented tree.', 'The recall for the presented tree is higher than its accuracy.', 'Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (A,B) as B for any k ≤ 11.', 'Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (A, not B) as C for any k ≤ 723.', 'Considering that A=True<=>[Family_Size <= 2.5] and B=True<=>[Work_Experience <= 9.5], it is possible to state that KNN algorithm classifies (not A, B) as B for any k ≤ 524.']
customer_segmentation_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 300 episodes.']
customer_segmentation_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 502 estimators.']
customer_segmentation_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 1002 estimators.']
customer_segmentation_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 13.', 'KNN with 11 neighbour is in overfitting.', 'KNN with more than 17 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.']
customer_segmentation_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 7.', 'The decision tree is in overfitting for depths above 5.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.']
customer_segmentation_pca.png;A bar chart showing the explained variance ratio of 3 principal components.;['The first 2 principal components are enough for explaining half the data variance.', 'Using the first 2 principal components would imply an error between 10 and 20%.']
customer_segmentation_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['Age', 'Work_Experience', 'Family_Size'].;['The intrinsic dimensionality of this dataset is 2.', 'One of the variables Age or Family_Size can be discarded without losing information.', 'The variable Age can be discarded without risking losing information.', 'Variables Age and Work_Experience seem to be useful for classification tasks.', 'Variables Age and Work_Experience are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable Family_Size seems to be relevant for the majority of mining tasks.', 'Variables Family_Size and Work_Experience seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable Work_Experience might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable Age previously than variable Family_Size.']
customer_segmentation_boxplots.png;A set of boxplots of the variables ['Age', 'Work_Experience', 'Family_Size'].;['Variable Family_Size is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable Work_Experience shows some outliers, but we can’t be sure of the same for variable Family_Size.', 'Outliers seem to be a problem in the dataset.', 'Variable Work_Experience shows a high number of outlier values.', 'Variable Work_Experience doesn’t have any outliers.', 'Variable Age presents some outliers.', 'At least 50 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
customer_segmentation_histograms_symbolic.png;A set of bar charts of the variables ['Profession', 'Spending_Score', 'Var_1', 'Gender', 'Ever_Married', 'Graduated'].;['All variables, but the class, should be dealt with as numeric.', 'The variable Gender can be seen as ordinal.', 'The variable Ever_Married can be seen as ordinal without losing information.', 'Considering the common semantics for Var_1 and Profession variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Profession variable, dummification would be the most adequate encoding.', 'The variable Graduated can be coded as ordinal without losing information.', 'Feature generation based on variable Gender seems to be promising.', 'Feature generation based on the use of variable Graduated wouldn’t be useful, but the use of Profession seems to be promising.', 'Given the usual semantics of Profession variable, dummification would have been a better codification.', 'It is better to drop the variable Graduated than removing all records with missing values.', 'Not knowing the semantics of Spending_Score variable, dummification could have been a more adequate codification.']
customer_segmentation_mv.png;A bar chart showing the number of missing values per variable of the dataset. The variables that have missing values are: ['Ever_Married', 'Graduated', 'Profession', 'Work_Experience', 'Family_Size', 'Var_1'].;['Discarding variable Var_1 would be better than discarding all the records with missing values for that variable.', 'Dropping all records with missing values would be better than to drop the variables with missing values.', 'Dropping all rows with missing values can lead to a dataset with less than 30% of the original data.', 'There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.', 'Feature generation based on variable Var_1 seems to be promising.', 'It is better to drop the variable Family_Size than removing all records with missing values.']
customer_segmentation_class_histogram.png;A bar chart showing the distribution of the target variable Segmentation.;['Balancing this dataset would be mandatory to improve the results.']
customer_segmentation_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
customer_segmentation_histograms_numeric.png;A set of histograms of the variables ['Age', 'Work_Experience', 'Family_Size'].;['All variables, but the class, should be dealt with as symbolic.', 'The variable Family_Size can be seen as ordinal.', 'The variable Age can be seen as ordinal without losing information.', 'Variable Family_Size is balanced.', 'It is clear that variable Work_Experience shows some outliers, but we can’t be sure of the same for variable Age.', 'Outliers seem to be a problem in the dataset.', 'Variable Age shows some outlier values.', 'Variable Family_Size doesn’t have any outliers.', 'Variable Work_Experience presents some outliers.', 'At least 75 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for Family_Size and Age variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Age variable, dummification would be the most adequate encoding.', 'The variable Age can be coded as ordinal without losing information.', 'Feature generation based on variable Work_Experience seems to be promising.', 'Feature generation based on the use of variable Work_Experience wouldn’t be useful, but the use of Age seems to be promising.', 'Given the usual semantics of Age variable, dummification would have been a better codification.', 'It is better to drop the variable Age than removing all records with missing values.', 'Not knowing the semantics of Family_Size variable, dummification could have been a more adequate codification.']
urinalysis_tests_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition Age <= 0.1 and the second with the condition pH <= 5.5.;['The variable Age discriminates between the target values, as shown in the decision tree.', 'Variable Age is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 6%.', 'As reported in the tree, the number of False Positive is bigger than the number of False Negatives.', 'The specificity for the presented tree is higher than 60%.', 'The number of True Positives reported in the same tree is 10.', 'The number of False Positives is higher than the number of False Negatives for the presented tree.', 'The recall for the presented tree is lower than its specificity.', 'Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], the Decision Tree presented classifies (not A, B) as NEGATIVE.', 'Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], the Decision Tree presented classifies (not A, B) as POSITIVE.', 'Considering that A=True<=>[Age <= 0.1] and B=True<=>[pH <= 5.5], it is possible to state that KNN algorithm classifies (not A, B) as NEGATIVE for any k ≤ 763.']
urinalysis_tests_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.']
urinalysis_tests_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.']
urinalysis_tests_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 3, may be explained by its estimators being in overfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 1502 estimators.']
urinalysis_tests_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k larger than 5.', 'KNN with 7 neighbour is in overfitting.', 'KNN with less than 17 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.']
urinalysis_tests_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 5 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 9.', 'The decision tree is in overfitting for depths above 8.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.']
urinalysis_tests_overfitting_dt_acc_rec.png;A multi-line chart showing the overfitting of decision tree where the y-axis represents the performance of both accuracy and recall and the x-axis represents the max depth ranging from 2 to 25.;['The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.']
urinalysis_tests_pca.png;A bar chart showing the explained variance ratio of 3 principal components.;['The first 2 principal components are enough for explaining half the data variance.', 'Using the first 2 principal components would imply an error between 5 and 20%.']
urinalysis_tests_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['Age', 'pH', 'Specific Gravity'].;['The intrinsic dimensionality of this dataset is 2.', 'One of the variables pH or Age can be discarded without losing information.', 'The variable Age can be discarded without risking losing information.', 'Variables Specific Gravity and Age seem to be useful for classification tasks.', 'Variables Age and pH are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable Specific Gravity seems to be relevant for the majority of mining tasks.', 'Variables Specific Gravity and pH seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable pH might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable Age previously than variable pH.']
urinalysis_tests_boxplots.png;A set of boxplots of the variables ['Age', 'pH', 'Specific Gravity'].;['Variable pH is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable Specific Gravity shows some outliers, but we can’t be sure of the same for variable Age.', 'Outliers seem to be a problem in the dataset.', 'Variable Specific Gravity shows a high number of outlier values.', 'Variable Age doesn’t have any outliers.', 'Variable Age presents some outliers.', 'At least 60 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
urinalysis_tests_histograms_symbolic.png;A set of bar charts of the variables ['Color', 'Transparency', 'Glucose', 'Protein', 'Epithelial Cells', 'Mucous Threads', 'Amorphous Urates', 'Bacteria', 'Gender'].;['All variables, but the class, should be dealt with as symbolic.', 'The variable Gender can be seen as ordinal.', 'The variable Mucous Threads can be seen as ordinal without losing information.', 'Considering the common semantics for Epithelial Cells and Color variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Amorphous Urates variable, dummification would be the most adequate encoding.', 'The variable Color can be coded as ordinal without losing information.', 'Feature generation based on variable Amorphous Urates seems to be promising.', 'Feature generation based on the use of variable Protein wouldn’t be useful, but the use of Color seems to be promising.', 'Given the usual semantics of Bacteria variable, dummification would have been a better codification.', 'It is better to drop the variable Bacteria than removing all records with missing values.', 'Not knowing the semantics of Epithelial Cells variable, dummification could have been a more adequate codification.']
urinalysis_tests_mv.png;A bar chart showing the number of missing values per variable of the dataset. The variables that have missing values are: ['Color'].;['Discarding variable Color would be better than discarding all the records with missing values for that variable.', 'Dropping all records with missing values would be better than to drop the variables with missing values.', 'Dropping all rows with missing values can lead to a dataset with less than 30% of the original data.', 'There is no reason to believe that discarding records showing missing values is safer than discarding the corresponding variables in this case.', 'Feature generation based on variable Color seems to be promising.', 'It is better to drop the variable Color than removing all records with missing values.']
urinalysis_tests_class_histogram.png;A bar chart showing the distribution of the target variable Diagnosis.;['Balancing this dataset would be mandatory to improve the results.']
urinalysis_tests_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are date, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
urinalysis_tests_histograms_numeric.png;A set of histograms of the variables ['Age', 'pH', 'Specific Gravity'].;['All variables, but the class, should be dealt with as binary.', 'The variable Specific Gravity can be seen as ordinal.', 'The variable Specific Gravity can be seen as ordinal without losing information.', 'Variable Specific Gravity is balanced.', 'It is clear that variable Age shows some outliers, but we can’t be sure of the same for variable pH.', 'Outliers seem to be a problem in the dataset.', 'Variable Specific Gravity shows a high number of outlier values.', 'Variable Specific Gravity doesn’t have any outliers.', 'Variable Specific Gravity presents some outliers.', 'At least 50 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for Age and pH variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Age variable, dummification would be the most adequate encoding.', 'The variable pH can be coded as ordinal without losing information.', 'Feature generation based on variable Age seems to be promising.', 'Feature generation based on the use of variable Age wouldn’t be useful, but the use of pH seems to be promising.', 'Given the usual semantics of Specific Gravity variable, dummification would have been a better codification.', 'It is better to drop the variable pH than removing all records with missing values.', 'Not knowing the semantics of Age variable, dummification could have been a more adequate codification.']
detect_dataset_decision_tree.png;An image showing a decision tree with depth = 2 where the first decision is made with the condition Ic <= 71.01 and the second with the condition Vb <= -0.37.;['The variable Ic discriminates between the target values, as shown in the decision tree.', 'Variable Vb is one of the most relevant variables.', 'A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 8%.', 'As reported in the tree, the number of False Positive is smaller than the number of False Negatives.', 'The precision for the presented tree is higher than 75%.', 'The number of False Negatives is lower than the number of True Negatives for the presented tree.', 'The number of True Positives is lower than the number of False Positives for the presented tree.', 'The number of False Negatives reported in the same tree is 50.', 'Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], it is possible to state that KNN algorithm classifies (A,B) as 0 for any k ≤ 3.', 'Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], the Decision Tree presented classifies (A, not B) as 0.', 'Considering that A=True<=>[Ic <= 71.01] and B=True<=>[Vb <= -0.37], the Decision Tree presented classifies (A,B) as 0.']
detect_dataset_overfitting_mlp.png;A multi-line chart showing the overfitting of a mlp where the y-axis represents the accuracy and the x-axis represents the number of iterations ranging from 100 to 1000.;['We are able to identify the existence of overfitting for MLP models trained longer than 700 episodes.']
detect_dataset_overfitting_gb.png;A multi-line chart showing the overfitting of gradient boosting where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.']
detect_dataset_overfitting_rf.png;A multi-line chart showing the overfitting of random forest where the y-axis represents the accuracy and the x-axis represents the number of estimators ranging from 2 to 2002.;['Results for Random Forests identified as 2, may be explained by its estimators being in overfitting.', 'The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.', 'We are able to identify the existence of overfitting for random forest models with more than 502 estimators.']
detect_dataset_overfitting_knn.png;A multi-line chart showing the overfitting of k-nearest neighbors where the y-axis represents the accuracy and the x-axis represents the number of neighbors ranging from 1 to 23.;['KNN is in overfitting for k less than 17.', 'KNN with 5 neighbour is in overfitting.', 'KNN with less than 17 neighbours is in overfitting.', 'We are able to identify the existence of overfitting for KNN models with less than 6 neighbors.']
detect_dataset_overfitting_decision_tree.png;A multi-line chart showing the overfitting of a decision tree where the y-axis represents the accuracy and the x-axis represents the max depth ranging from 2 to 25.;['According to the decision tree overfitting chart, the tree with 16 nodes of depth is in overfitting.', 'The chart reporting the recall for different trees shows that the model enters in overfitting for models with depth higher than 5.', 'The decision tree is in overfitting for depths above 9.', 'We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.']
detect_dataset_overfitting_dt_acc_rec.png;A multi-line chart showing the overfitting of decision tree where the y-axis represents the performance of both accuracy and recall and the x-axis represents the max depth ranging from 2 to 25.;['The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.']
detect_dataset_pca.png;A bar chart showing the explained variance ratio of 6 principal components.;['The first 2 principal components are enough for explaining half the data variance.', 'Using the first 3 principal components would imply an error between 10 and 20%.']
detect_dataset_correlation_heatmap.png;A heatmap showing the correlation between the variables of the dataset. The variables are ['Ia', 'Ib', 'Ic', 'Va', 'Vb', 'Vc'].;['The intrinsic dimensionality of this dataset is 5.', 'One of the variables Vc or Va can be discarded without losing information.', 'The variable Ic can be discarded without risking losing information.', 'Variables Ia and Ic are redundant, but we can’t say the same for the pair Vc and Vb.', 'Variables Ib and Vc are redundant.', 'From the correlation analysis alone, it is clear that there are relevant variables.', 'Variable Vb seems to be relevant for the majority of mining tasks.', 'Variables Ib and Ic seem to be useful for classification tasks.', 'Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.', 'Removing variable Ic might improve the training of decision trees .', 'There is evidence in favour for sequential backward selection to select variable Ic previously than variable Va.']
detect_dataset_boxplots.png;A set of boxplots of the variables ['Ia', 'Ib', 'Ic', 'Va', 'Vb', 'Vc'].;['Variable Vb is balanced.', 'Those boxplots show that the data is not normalized.', 'It is clear that variable Vb shows some outliers, but we can’t be sure of the same for variable Va.', 'Outliers seem to be a problem in the dataset.', 'Variable Vb shows some outlier values.', 'Variable Vb doesn’t have any outliers.', 'Variable Ia presents some outliers.', 'At least 75 of the variables present outliers.', 'The boxplots presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'A scaling transformation is mandatory, in order to improve the Naive Bayes performance in this dataset.', 'Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.', 'Normalization of this dataset could not have impact on a KNN classifier.', 'Scaling this dataset would be mandatory to improve the results with distance-based methods.']
detect_dataset_class_histogram.png;A bar chart showing the distribution of the target variable Output.;['Balancing this dataset would be mandatory to improve the results.']
detect_dataset_nr_records_nr_variables.png;A bar chart showing the number of records and variables of the dataset.;['Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.', 'We face the curse of dimensionality when training a classifier with this dataset.', 'Balancing this dataset by SMOTE would most probably be preferable over undersampling.']
detect_dataset_histograms_numeric.png;A set of histograms of the variables ['Ia', 'Ib', 'Ic', 'Va', 'Vb', 'Vc'].;['All variables, but the class, should be dealt with as date.', 'The variable Ic can be seen as ordinal.', 'The variable Vc can be seen as ordinal without losing information.', 'Variable Ia is balanced.', 'It is clear that variable Va shows some outliers, but we can’t be sure of the same for variable Vc.', 'Outliers seem to be a problem in the dataset.', 'Variable Ia shows a high number of outlier values.', 'Variable Ic doesn’t have any outliers.', 'Variable Ic presents some outliers.', 'At least 60 of the variables present outliers.', 'The histograms presented show a large number of outliers for most of the numeric variables.', 'The existence of outliers is one of the problems to tackle in this dataset.', 'Considering the common semantics for Ia and Ib variables, dummification if applied would increase the risk of facing the curse of dimensionality.', 'Considering the common semantics for Vc variable, dummification would be the most adequate encoding.', 'The variable Vb can be coded as ordinal without losing information.', 'Feature generation based on variable Vb seems to be promising.', 'Feature generation based on the use of variable Ic wouldn’t be useful, but the use of Ia seems to be promising.', 'Given the usual semantics of Ib variable, dummification would have been a better codification.', 'It is better to drop the variable Ia than removing all records with missing values.', 'Not knowing the semantics of Ia variable, dummification could have been a more adequate codification.']
