Image;Question;Prediction;Reference
phone_overfitting_knn.png;KNN with more than 15 neighbours is in overfitting.;False.;T
phone_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 5 neighbors.;True.;T
phone_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 9 nodes of depth is in overfitting.;False.;F
phone_overfitting_decision_tree.png;The chart reporting the accuracy for different trees shows that the model enters in overfitting for models with depth higher than 5.;True.;F
phone_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 4.;True;F
phone_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 5 nodes of depth.;False. The sentence is false because it states that the chart does not suffer from overfitting, but then goes on to talk about identifying overfitting in decision tree models with more than 5 nodes of depth, which implies the possibility of overfitting.;F
phone_pca.png;The first 8 principal components are enough for explaining half the data variance.;False. The first 8 principal components explain a cumulative variance of 0.67 + 0.17 + 0.11 + 0.05 = 1.00, which covers all the data variance.;T
phone_pca.png;Using the first 11 principal components would imply an error between 10 and 25%.;"To determine if the statement is true or false, we need to sum the explained variance ratios of the first 11 principal components:

0.67 + 0.17 + 0.11 + 0.05 = 1.00

Since the sum is 1.00, it means that the first 11 principal components explain all the variance in the data. Therefore, using the first 11 principal components would not imply any error, as they capture 100% of the variance in the data. Thus, the statement is false.";F
phone_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 11.;False;F
phone_correlation_heatmap.png;One of the variables px_height or battery_power can be discarded without losing information.;"True.

Since the pairs [ram, price_range] are redundant, we can discard one of the variables in each pair without losing information. Therefore, we can discard one of the variables px_height or battery_power without losing any information.";F
phone_correlation_heatmap.png;The variable battery_power can be discarded without risking losing information.;False;F
phone_correlation_heatmap.png;Variables ram and px_width are redundant, but we can’t say the same for the pair mobile_wt and sc_h.;False;F
phone_correlation_heatmap.png;Variables px_height and sc_w are redundant.;False. The statement is false. The redundant pairs are [[ram, price_range]].;F
phone_correlation_heatmap.png;Considering that the target variable is px_width we can say that from the correlation analysis alone, it is clear that there are relevant variables.;False. The fact that the target variable is px_width does not necessarily mean that there are relevant variables based on correlation analysis alone. It is important to investigate further and consider other factors before making such conclusions.;F
phone_correlation_heatmap.png;Considering that the target variable is px_width we can say that variable n_cores seems to be relevant for the majority of mining tasks.;This statement is false. The correlation heatmap with features ram and price_range being redundant does not provide information about the relevance of the variable n_cores for mining tasks, especially if the target variable is px_width. Correlation heatmaps show relationships between variables, but relevance for a specific task cannot be directly inferred from this type of analysis.;F
phone_correlation_heatmap.png;Considering that the target variable is px_width we can say that variables sc_h and fc seem to be useful for classification tasks.;False;F
phone_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.;True. Since the redundant pair [[ram, price_range]] is already identified, applying a non-supervised feature selection based on redundancy would not further increase the performance of the training algorithms in this dataset.;T
phone_correlation_heatmap.png;Removing variable sc_h might improve the training of decision trees .;False;F
phone_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable px_height previously than variable px_width.;This statement is true. In sequential backward selection, variables are removed one by one based on their importance in the model. Since the pairs [px_height, px_width] and [price_range, ram] are redundant, and [ram, price_range] is redundant, it would make sense to select px_height before px_width in the model building process.;F
phone_boxplots.png;Variable n_cores is balanced.;"The sentence ""Variable n_cores is balanced."" is false.";F
phone_boxplots.png;Those boxplots show that the data is not normalized.;This sentence is false. The given chart is about explained variance ratio of principal components and mentions outliers and balanced data for various features. It does not provide information about the normalization of the data. The presence of outliers and balanced data does not directly imply whether the data is normalized or not. The normalization of data refers to rescaling the features to have a mean of 0 and a standard deviation of 1, which is not evident from the information provided in the chart.;T
phone_boxplots.png;It is clear that variable talk_time shows some outliers, but we can’t be sure of the same for variable px_width.;True.;F
phone_boxplots.png;Outliers seem to be a problem in the dataset.;"The sentence ""Outliers seem to be a problem in the dataset."" is True based on the information provided in the chart. It indicates that there are outliers present for some of the features like fc, n_cores, px_height, sc_h, and sc_w. Outliers can impact the analysis and interpretation of the data, so they are often considered problematic in datasets.";F
phone_boxplots.png;Variable px_height shows some outlier values.;False. The variable px_height does not have any outlier values as indicated in the chart.;F
phone_boxplots.png;Variable sc_w doesn’t have any outliers.;"The sentence ""Variable sc_w doesn’t have any outliers."" is classified as **true** based on the given information in the chart.";F
phone_boxplots.png;Variable pc presents some outliers.;True;F
phone_boxplots.png;At least 50% of the variables present outliers.;False. According to the information provided in the sentence, only some variables have outliers, not all of them.;F
phone_boxplots.png;The histograms presented show a large number of outliers for most of the numeric variables.;False;F
phone_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.;True.;T
phone_boxplots.png;A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.;True. A scaling transformation is usually necessary when working with KNN algorithm, as it is sensitive to the scale of the features. By scaling the data, you can ensure that each feature contributes equally to the distance calculation performed by KNN, thereby improving its performance.;T
phone_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.;False. Scaling transformations such as multiplying ratio and Boolean variables by 100 and variables with a (0,10) range by 10 would not have a similar impact to other scaling transformations. The effect of scaling transformations on the data can vary and impact the performance of machine learning algorithms differently.;F
phone_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.;False. Normalization of the dataset can have a significant impact on a KNN classifier, as KNN is sensitive to the scale of the features. Normalizing the data ensures that all features contribute equally to the distance calculation, which is crucial for the performance of KNN algorithm.;F
phone_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.;True;T
phone_histograms_symbolic.png;All variables should be dealt with as date.;False. The variables shown in the chart are symbolic variables, not date variables.;F
phone_histograms_symbolic.png;The variable four_g can be seen as ordinal.;False. The variable four_g is a binary variable (0 or 1), making it a nominal variable rather than an ordinal variable.;T
phone_histograms_symbolic.png;The variable wifi can be seen as ordinal without losing information.;False. The variable wifi is binary (1 or 0) and does not have a natural ordering, so it cannot be seen as ordinal without losing information.;T
phone_histograms_symbolic.png;Considering the common semantics for touch_screen and blue variables, dummification if applied would increase the risk of facing the curse of dimensionality.;False. Dummification of categorical variables like touch_screen and blue is not likely to increase the risk of the curse of dimensionality as long as the number of levels within each variable is relatively small.;F
phone_histograms_symbolic.png;Considering the common semantics for three_g variable, dummification would be the most adequate encoding.;True.;F
phone_histograms_symbolic.png;The variable three_g can be coded as ordinal without losing information.;True. In this case, the variable three_g has two distinct values (0 and 1), which can be ordered from least to greatest. Therefore, it can be treated as an ordinal variable without losing information.;T
phone_histograms_symbolic.png;Feature generation based on variable four_g seems to be promising.;"Based on the information provided in the sentence, it is not possible to determine if the feature generation based on variable ""four_g"" is promising or not. The sentence does not provide any insights or reasoning behind why generating features based on ""four_g"" would be promising. Therefore, the statement is ambiguous and cannot be classified as true or false without further context or information.";F
phone_histograms_symbolic.png;Feature generation based on the use of variable three_g wouldn’t be useful, but the use of blue seems to be promising.;"The statement ""Feature generation based on the use of variable three_g wouldn’t be useful, but the use of blue seems to be promising."" is NOT verifiable based on the provided chart. We can see the presence of each variable in the dataset, but we cannot determine the usefulness of feature generation based solely on the information provided in the chart.";F
phone_histograms_symbolic.png;Given the usual semantics of three_g variable, dummification would have been a better codification.;True;F
phone_histograms_symbolic.png;Not knowing the semantics of four_g variable, dummification could have been a more adequate codification.;"True. Without knowing the semantics or meaning of the ""four_g"" variable, it may have been more appropriate to dummy code the variable. Dummy coding involves creating binary variables to represent different categories within the variable, which would be more appropriate if the meaning or scale of the variable is unknown.";F
phone_class_histogram.png;Balancing this dataset would be mandatory to improve the results.;False. Balancing the dataset is not necessary in the context of PCA (Principal Component Analysis) as it does not depend on the class distribution. The PCA focuses on finding the directions (principal components) that maximize the variance of the data, regardless of the class labels or balance in the dataset.;F
phone_nr_records_nr_variables.png;Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;False. The statement about facing the curse of dimensionality based on the number of records and the nature of some variables being binary is not relevant in this context. The curse of dimensionality typically refers to problems arising from high-dimensional data, where the number of features or dimensions is much larger than the number of data points. In the case of a bar chart with only two values being referenced (2000 and 19), the issue of the curse of dimensionality is not a concern.;F
phone_nr_records_nr_variables.png;We face the curse of dimensionality when training a classifier with this dataset.;False. The dataset provided (2000, 19) does not exhibit the curse of dimensionality. The curse of dimensionality generally refers to problems that arise when working with datasets with a large number of features (dimensions) relative to the number of samples. In this case, we only have two values, so the curse of dimensionality is not a concern.;F
phone_histograms_numeric.png;All variables should be dealt with as binary.;"False. The sentence ""All variables should be dealt with as binary"" is false. From the provided information, we can see that not all variables are binary and have different characteristics such as outliers, balance, and ordinality. It is essential to analyze each variable individually to determine the appropriate treatment and modeling approach for that specific variable.";F
phone_histograms_numeric.png;The variable int_memory can be seen as ordinal.;"False. The variable ""int_memory"" is not classified as ordinal in the given dictionary.";F
phone_histograms_numeric.png;The variable fc can be seen as ordinal without losing information.;False;F
phone_histograms_numeric.png;Variable sc_h is balanced.;"The sentence ""Variable sc_h is balanced."" is classified as false.";F
phone_histograms_numeric.png;It is clear that variable sc_w shows some outliers, but we can’t be sure of the same for variable sc_h.;True. According to the provided dictionary, for variable sc_w, outliers are flagged, but for variable sc_h, outliers are not mentioned, indicating uncertainty about the presence of outliers for sc_h.;F
phone_histograms_numeric.png;Outliers seem to be a problem in the dataset.;False. The classification indicates that outliers are present in some variables (such as fc) but not in others. Therefore, outliers are not a problem in the entire dataset as a whole.;F
phone_histograms_numeric.png;Variable pc shows a high number of outlier values.;False. The chart indicates that the variable pc does not have any outlier values.;F
phone_histograms_numeric.png;Variable ram doesn’t have any outliers.;"Based on the provided dictionary, the variable ""ram"" does not have any outliers, as indicated by the entry {Outliers:F}. Therefore, the sentence ""Variable ram doesn’t have any outliers."" is **True**.";T
phone_histograms_numeric.png;Variable fc presents some outliers.;True;T
phone_histograms_numeric.png;At least 60% of the variables present outliers.;"To determine if the sentence ""At least 60% of the variables present outliers."" is true or false, let's count the number of variables that have outliers based on the information provided in the dictionary:

Out of the 12 variables listed, the following variables have outliers: fc, px_width.

Calculating the percentage of variables with outliers:
Number of variables with outliers = 2
Total number of variables = 12

Percentage of variables with outliers = (2/12) * 100% = 16.67%

Since 16.67% is less than 60%, the statement ""At least 60% of the variables present outliers."" is **false**.";F
phone_histograms_numeric.png;The histograms presented show a large number of outliers for most of the numeric variables.;False;F
phone_histograms_numeric.png;The existence of outliers is one of the problems to tackle in this dataset.;True. The presence of outliers in a dataset can affect the analysis and modeling process, hence it is important to identify and handle them properly to ensure the accuracy and reliability of the results.;T
phone_histograms_numeric.png;Considering the common semantics for px_height and battery_power variables, dummification if applied would increase the risk of facing the curse of dimensionality.;True.;T
phone_histograms_numeric.png;Considering the common semantics for px_height variable, dummification would be the most adequate encoding.;"False. 

The sentence is false because the px_height variable is not ordinal according to the given dictionary. Since it is not ordinal, dummification (creating dummy variables) would not be the most appropriate encoding method for this variable.";F
phone_histograms_numeric.png;The variable battery_power can be coded as ordinal without losing information.;False. The variable battery_power should not be coded as ordinal based on the information provided, as it does not seem to have the necessary characteristics to be considered ordinal (e.g., outliers, balance).;F
phone_histograms_numeric.png;Feature generation based on variable mobile_wt seems to be promising.;"Based on the information provided in the dictionary, the variable mobile_wt does not have outliers, is not balanced, and is not considered ordinal. Therefore, the sentence ""Feature generation based on variable mobile_wt seems to be promising."" can be classified as false.";F
phone_histograms_numeric.png;Feature generation based on the use of variable sc_h wouldn’t be useful, but the use of battery_power seems to be promising.;True.;F
phone_histograms_numeric.png;Given the usual semantics of mobile_wt variable, dummification would have been a better codification.;False.;F
phone_histograms_numeric.png;Not knowing the semantics of talk_time variable, dummification could have been a more adequate codification.;True, based on the information provided in the dictionary, talk_time variable does not have outliers, is not balanced, and is not ordinal. In this case, if the semantics of talk_time variable are unclear and it is not suitable for ordinal encoding, dummification (one-hot encoding) could be a more appropriate way to encode the variable for further analysis.;F
Titanic_decision_tree.png;The variable Parch discriminates between the target values, as shown in the decision tree.;True. In the decision tree provided, the variable Parch is used to split the data into different branches based on its values. This means that the variable Parch is discriminating between the target values in the dataset.;T
Titanic_decision_tree.png;Variable Parch is one of the most relevant variables.;"False. In the decision tree shown, the variable ""Parch"" is used as a decision node to split the data based on its value, but it does not appear to be one of the most relevant variables overall. The importance of a variable in a decision tree is typically determined by its placement in the tree, the number of samples affected by its split, and other factors.";T
Titanic_decision_tree.png;A smaller tree would be delivered if we would apply post-pruning, accepting an accuracy reduction of 5%.;False. Applying post-pruning to a decision tree typically results in a larger but simpler tree by removing nodes and branches that do not significantly improve the model's accuracy. In this case, accepting an accuracy reduction of 5% would likely result in a more complex tree.;T
Titanic_decision_tree.png;As reported in the tree, the number of False Positive is bigger than the number of False Negatives, consider 1 as the positive class and 0 as the negative class.;"To determine whether the statement is true or false, we need to interpret the values in the decision tree related to False Positive and False Negatives.

In the given decision tree configuration, we can see the values related to False Negatives and False Positives as follows:
- False Negatives: In the branch where 'Pclass <= 2.5' is False, there is a subset where 'Parch <= 0.5' is True. In this subset, there are 51 False Negatives (class 1).
- False Positives: In the branch where 'Pclass <= 2.5' is True, there is a subset where 'Parch <= 0.5' is False. In this subset, there are 63 False Positives (class 1).

Given that the sentence states to consider 1 as the positive class (which implies that False Positives and False Negatives refer to the positive class), we can see that the number of False Positives (63) is indeed bigger than the number of False Negatives (51). Therefore, the statement is **True** based on the information provided in the decision tree configuration.";F
Titanic_decision_tree.png;The accuracy for the presented tree is lower than 75%.;"To determine the accuracy of the decision tree based on the provided configuration, we can calculate it by considering the correct predictions made by the tree. From the configuration, we can see that the total number of samples is 498, with a class distribution of [297, 201]. This means that there are 297 samples of class '0' and 201 samples of class '1'.

Now, let's identify the misclassifications in the leaf nodes:

1. For the True branch of 'Pclass <= 2.5' node:
   - True branch of 'Parch <= 0.5': Incorrect predictions for class '1' = 51
   - False branch of 'Parch <= 0.5': Incorrect predictions for class '1' = 21

2. For the False branch of 'Pclass <= 2.5' node:
   - True branch of 'Parch <= 0.5': Incorrect predictions for class '1' = 44
   - False branch of 'Parch <= 0.5':  Misclassification as class '0' = 19

Adding up all the misclassifications, we get a total of 51 + 21 + 44 + 19 = 135 misclassifications out of 498 samples.

To calculate the accuracy, we can subtract the misclassifications from the total samples and normalize it by dividing by the total samples:

Accuracy = (498 - 135) / 498 = 363 / 498 ≈ 72.89%

Therefore, the statement ""The accuracy for the presented tree is lower than 75%."" is **True**.";T
Titanic_decision_tree.png;The number of True Negatives is lower than the number of False Positives for the presented tree, consider 1 as the positive class and 0 as the negative class.;"To determine whether the statement is true or false, let's break down the information provided about the decision tree:

- True Negatives (TN): The instances that are classified as the negative class (0) correctly.
- False Positives (FP): The instances that are classified as the positive class (1) incorrectly.

From the given decision tree configuration, we can see the following values:
- True Negatives (TN) for the left branch (Pclass <= 2.5 and Parch > 0.5): 94
- False Positives (FP) for the left branch (Pclass <= 2.5 and Parch > 0.5): 51

Since the number of True Negatives (TN = 94) is greater than the number of False Positives (FP = 51), the statement that ""The number of True Negatives is lower than the number of False Positives for the presented tree"" is **false**.";F
Titanic_decision_tree.png;The number of True Negatives is higher than the number of False Positives for the presented tree, consider 1 as the positive class and 0 as the negative class.;"To determine if the statement is true or false, we need to understand the definitions of True Negatives (TN) and False Positives (FP):

- True Negatives (TN): The instances that are actually negative and are correctly classified as negative.
- False Positives (FP): The instances that are actually negative but are incorrectly classified as positive.

Looking at the provided decision tree configuration and assuming that class 1 is considered as the positive class and class 0 as the negative class, we can deduce the following:
- For the True conditions (Pclass <= 2.5 & Parch <= 0.5), we have:
    - True Positives (TP) = 87
    - True Negatives (TN) = 94
- For the False conditions (Pclass <= 2.5 & Parch > 0.5), we have:
    - False Positives (FP) = 21

In this case, the number of True Negatives (94) is actually higher than the number of False Positives (21). Therefore, the statement is **true**.";T
Titanic_decision_tree.png;The number of True Positives is higher than the number of False Negatives for the presented tree, consider 1 as the positive class and 0 as the negative class.;"To determine if the statement is true or false, let's first understand the meaning of True Positives (TP) and False Negatives (FN) in the context of a machine learning classification model:

- True Positives (TP): The number of correctly predicted positive instances (1s) by the model.
- False Negatives (FN): The number of actual positive instances (1s) incorrectly classified as negative (0s) by the model.

Looking at the presented decision tree:
- TP: The number of instances classified as '1' in the 'True' branches of the tree.
- FN: The number of instances that should have been classified as '1' but were wrongly classified as '0' in the 'False' branches of the tree.

Considering 1 as the positive class and 0 as the negative class, let's perform the calculations:

- TP: 
- For the 'True' branch under 'Pclass <= 2.5': 
    - 'Parch <= 0.5' True sub-branch: 138 (correctly predicted '1')
    - 'samples': 138

- FN: 
- For the 'False' branch under 'Pclass <= 2.5': 
    - 'Parch <= 0.5' True sub-branch: 144 (actual '1' incorrectly predicted as '0')
    - 'samples': 144

Therefore, the number of True Positives (138) is **not higher** than the number of False Negatives (144) for the presented tree. 

Therefore, the statement ""The number of True Positives is higher than the number of False Negatives for the presented tree, consider 1 as the positive class and 0 as the negative class."" is **false** based on the provided decision tree configuration.";F
Titanic_decision_tree.png;Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], it is possible to state that KNN algorithm classifies (not A, B) as 1 for any k ≤ 181.;"To determine if the statement is true or false, we need to analyze the decision tree configuration provided and follow the path based on the conditions specified.

Starting from the root of the decision tree:
- If [Pclass <= 2.5] is True, we move to the True branch.
- If [Parch <= 0.5] is True, we move to the True branch. This path leads to a value of [94, 87], which corresponds to class '0'. Therefore, (not A, B) would be classified as class '0', not class '1'.

Hence, the statement is False. The KNN algorithm would classify (not A, B) as class '0' instead of class '1' for any k ≤ 181 according to the provided decision tree.";F
Titanic_decision_tree.png;Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], it is possible to state that Naive Bayes algorithm classifies (A,B), as 1.;"To determine if the statement is true or false, we need to follow the decision tree and see if the conditions A=True and B=True lead to the classification as '1'.

Based on the decision tree:
- The first condition is 'Pclass <= 2.5'. This condition corresponds to A.
- The second condition is 'Parch <= 0.5'. This condition corresponds to B.

Following the conditions given in the decision tree:
- If A=True and B=True:
  - 'Pclass <= 2.5' is True.
  - 'Parch <= 0.5' is True.
  
From the decision tree:
- For A=True, B=True (Pclass <= 2.5, Parch <= 0.5):
  - 'Pclass <= 2.5' is true, which leads to the first set of conditions where 'Parch <= 0.5' is also true.
  - This path leads to classifying the data as '1'.

Therefore, based on the given decision tree, it is true that the Naive Bayes algorithm classifies (A=True, B=True) as '1'.";F
Titanic_decision_tree.png;Considering that A=True<=>[Pclass <= 2.5] and B=True<=>[Parch <= 0.5], it is possible to state that Naive Bayes algorithm classifies (A, not B), as 0.;False.;F
Titanic_overfitting_mlp.png;We are able to identify the existence of overfitting for MLP models trained longer than 500 episodes.;False;F
Titanic_overfitting_gb.png;We are able to identify the existence of overfitting for gradient boosting models with more than 1502 estimators.;False.;T
Titanic_overfitting_rf.png;Results for Random Forests identified as 10, may be explained by its estimators being in overfitting.;False.;F
Titanic_overfitting_rf.png;The random forests results shown can be explained by the lack of diversity resulting from the number of features considered.;False. The statement is not related to the information provided in the chart. The chart describes the behavior of a random forest model in terms of underfitting and overfitting based on the number of estimators used, and does not mention anything about the number of features considered or the diversity of features.;F
Titanic_overfitting_rf.png;We are able to identify the existence of overfitting for random forest models with more than 502 estimators.;False;F
Titanic_overfitting_knn.png;KNN is in overfitting for k larger than 13.;False.;F
Titanic_overfitting_knn.png;KNN with 11 neighbour is in overfitting.;False.;F
Titanic_overfitting_knn.png;KNN with less than 7 neighbours is in overfitting.;False.;F
Titanic_overfitting_knn.png;We are able to identify the existence of overfitting for KNN models with less than 3 neighbors.;False;T
Titanic_overfitting_decision_tree.png;According to the decision tree overfitting chart, the tree with 20 nodes of depth is in overfitting.;True.;T
Titanic_overfitting_decision_tree.png;The chart reporting the accuracy for different trees shows that the model enters in overfitting for models with depth higher than 9.;True. The sentence is true.;F
Titanic_overfitting_decision_tree.png;The decision tree is in overfitting for depths above 5.;True.;F
Titanic_overfitting_decision_tree.png;We are able to identify the existence of overfitting for decision tree models with more than 6 nodes of depth.;True.;F
Titanic_overfitting_dt_acc_rec.png;The difference between recall and accuracy becomes smaller with the depth due to the overfitting phenomenon.;False.;F
Titanic_pca.png;The first 4 principal components are enough for explaining half the data variance.;False. The first 4 principal components in this case explain 100% of the data variance, not just half.;T
Titanic_pca.png;Using the first 2 principal components would imply an error between 15 and 20%.;False. Using the first 2 principal components would imply an error rate of approximately 7%, not between 15 and 20%.;F
Titanic_correlation_heatmap.png;The intrinsic dimensionality of this dataset is 4.;False. The statement is false because the intrinsic dimensionality of a dataset refers to the minimum number of features needed to explain the variance in the data. If the chart is showing a correlation heatmap with 5 features and there are no redundant pairs, then the intrinsic dimensionality of the dataset would be 5, not 4.;F
Titanic_correlation_heatmap.png;One of the variables SibSp or Parch can be discarded without losing information.;True.;F
Titanic_correlation_heatmap.png;The variable Parch can be discarded without risking losing information.;True. Since Parch is a redundant feature, it can be discarded without losing any valuable information.;F
Titanic_correlation_heatmap.png;Variables Fare and Age seem to be useful for classification tasks.;False.;F
Titanic_correlation_heatmap.png;Variables Age and Fare are redundant.;False.;F
Titanic_correlation_heatmap.png;Considering that the target variable is Pclass we can say that from the correlation analysis alone, it is clear that there are relevant variables.;False. Without providing the actual correlation values, it is not possible to make conclusions about the relevance of variables based solely on the correlation analysis.;F
Titanic_correlation_heatmap.png;Considering that the target variable is Parch we can say that variable Pclass seems to be relevant for the majority of mining tasks.;False;F
Titanic_correlation_heatmap.png;Considering that the target variable is Pclass we can say that variables Parch and SibSp seem to be useful for classification tasks.;False;F
Titanic_correlation_heatmap.png;Applying a non-supervised feature selection based on the redundancy, would not increase the performance of the generality of the training algorithms in this dataset.;True;F
Titanic_correlation_heatmap.png;Removing variable SibSp might improve the training of decision trees .;False;F
Titanic_correlation_heatmap.png;There is evidence in favour for sequential backward selection to select variable Fare previously than variable Age.;False;F
Titanic_boxplots.png;Variable Age is balanced.;True.;F
Titanic_boxplots.png;Those boxplots show that the data is not normalized.;False. The sentence mentions boxplots, but the chart provided is a bar chart. The information in the chart does not provide any direct indication about whether the data is normalized or not.;T
Titanic_boxplots.png;It is clear that variable Pclass shows some outliers, but we can’t be sure of the same for variable Fare.;True.;F
Titanic_boxplots.png;Outliers seem to be a problem in the dataset.;True.;T
Titanic_boxplots.png;Variable Fare shows a high number of outlier values.;True.;F
Titanic_boxplots.png;Variable Fare doesn’t have any outliers.;False;F
Titanic_boxplots.png;Variable Parch presents some outliers.;True. From the chart, it can be observed that the variable Parch has outliers.;F
Titanic_boxplots.png;At least 50% of the variables present outliers.;False. The sentence is false because only three out of the five variables present outliers, which is less than 50%.;F
Titanic_boxplots.png;The boxplots presented show a large number of outliers for most of the numeric variables.;False. The sentence is stating that there are outliers in the Age and Fare variables, but not in the Pclass, SibSp, and Parch variables.;T
Titanic_boxplots.png;The existence of outliers is one of the problems to tackle in this dataset.;True. The sentence is true because the presence of outliers, as indicated in the chart for certain features like Age and Fare, can cause issues in data analysis and modeling. Outliers can affect the accuracy and reliability of statistical analyses and may need special treatment to ensure that they do not unduly influence the results.;T
Titanic_boxplots.png;A scaling transformation is mandatory, in order to improve the  KNN performance in this dataset.;False;T
Titanic_boxplots.png;Multiplying ratio and Boolean variables by 100, and variables with a range between 0 and 10 by 10, would have an impact similar to other scaling transformations.;False. Scaling transformations such as multiplying by 100 or by 10 for different variables would not have a similar impact as standard scaling transformations. These types of transformations would vary the scale of the variables in different ways and could lead to different interpretations of the data.;F
Titanic_boxplots.png;Normalization of this dataset could not have impact on a KNN classifier.;"False.

Normalization of the dataset could have an impact on a KNN classifier, as KNN is sensitive to the scale of the features. Normalizing the data can help improve the performance of KNN by ensuring that all features contribute equally to the distance calculation.";F
Titanic_boxplots.png;Scaling this dataset would be mandatory to improve the results with distance-based methods.;True;T
Titanic_histograms_symbolic.png;All variables should be dealt with as date.;False. Not all variables in the chart should be treated as dates. In this case, the variables 'Embarked' and 'Sex' are categorical variables, so they should be treated as such for analysis, not as dates.;F
Titanic_histograms_symbolic.png;The variable Sex can be seen as ordinal.;False. The variable Sex is a categorical variable, not ordinal, as it represents different categories or groups without any inherent order.;T
Titanic_histograms_symbolic.png;The variable Sex can be seen as ordinal without losing information.;False. The variable Sex in this case is nominal, not ordinal. The variable does not have a clear order or ranking associated with its categories (male and female).;F
Titanic_histograms_symbolic.png;Considering the common semantics for Sex and Embarked variables, dummification if applied would increase the risk of facing the curse of dimensionality.;True;F
Titanic_histograms_symbolic.png;Considering the common semantics for Embarked variable, dummification would be the most adequate encoding.;True. The Embarked variable in this case represents different categories (S, C, Q) without any inherent order or ranking. In such cases, dummification, also known as one-hot encoding, would be the most appropriate method of encoding categorical variables to avoid introducing incorrect ordinality in the data.;T
Titanic_histograms_symbolic.png;The variable Embarked can be coded as ordinal without losing information.;False. The variable Embarked cannot be coded as ordinal without losing information because the values 'S', 'C', and 'Q' do not have a meaningful inherent order.;F
Titanic_histograms_symbolic.png;Feature generation based on variable Sex seems to be promising.;False. The sentence is false because the variable Sex is nominal and would require one-hot encoding or similar techniques to be used as a feature in a machine learning model.;F
