Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedOnTime
F,Ship,5,1,160,2,low,M,32,1576,Yes
D,Ship,5,4,190,2,medium,M,9,3753,Yes
F,Ship,5,3,216,3,low,F,40,2146,Yes
A,Ship,4,1,183,3,low,M,37,2042,Yes
B,Ship,4,4,141,3,low,M,22,1735,Yes
C,Ship,4,3,165,3,low,F,44,1320,Yes
F,Ship,2,1,170,3,low,M,41,1128,Yes
D,Ship,4,3,203,3,high,M,12,3539,Yes
F,Ship,2,5,246,5,low,M,46,2437,Yes
A,Ship,3,3,238,3,low,F,61,3096,Yes
B,Ship,3,3,193,3,medium,F,29,3453,Yes
C,Ship,5,5,141,3,high,M,41,1367,Yes
F,Ship,4,1,150,3,high,F,17,1923,Yes
D,Ship,3,1,221,3,low,F,64,2794,Yes
F,Ship,3,3,179,3,medium,M,52,1158,Yes
A,Ship,5,1,105,6,medium,M,62,1292,Yes
B,Ship,3,1,177,3,medium,M,61,1880,Yes
C,Ship,4,5,261,2,high,M,49,3045,Yes
F,Ship,3,2,202,3,low,M,49,2881,Yes
D,Ship,3,2,109,3,medium,F,15,1710,Yes
F,Ship,3,3,158,3,low,F,6,1878,Yes
A,Ship,4,2,231,4,medium,F,6,2512,Yes
B,Ship,3,5,206,3,medium,M,39,2929,Yes
C,Ship,5,1,187,4,high,M,14,3849,Yes
F,Ship,5,5,230,2,low,F,2,2229,Yes
D,Ship,5,5,232,3,medium,F,33,2998,Yes
F,Ship,4,5,215,3,medium,F,21,3984,Yes
A,Ship,6,1,238,6,low,F,13,2442,Yes
B,Ship,4,1,266,3,low,F,23,3775,Yes
C,Ship,2,3,158,2,medium,F,36,1788,Yes
F,Ship,3,3,113,3,low,F,43,1518,Yes
D,Ship,3,4,223,3,low,M,18,3959,Yes
F,Ship,3,5,257,2,medium,F,56,3711,Yes
A,Ship,3,4,180,2,medium,F,49,1942,Yes
B,Ship,2,5,132,3,low,M,18,1759,Yes
C,Ship,4,4,217,3,high,F,26,2875,Yes
F,Ship,5,5,162,3,high,F,31,1364,Yes
D,Ship,4,5,197,2,medium,F,40,2710,Yes
F,Ship,3,4,197,3,medium,M,13,2148,Yes
A,Ship,4,1,185,2,low,M,44,2910,Yes
B,Ship,6,2,278,3,medium,F,3,2974,Yes
C,Ship,3,3,229,3,low,M,49,2339,Yes
F,Ship,4,1,186,4,medium,F,57,3880,Yes
D,Ship,5,3,174,6,high,F,41,1085,Yes
F,Ship,5,5,286,3,low,F,18,3163,Yes
A,Ship,4,4,175,2,medium,F,7,1188,Yes
B,Ship,3,3,219,3,medium,F,17,3387,Yes
C,Ship,4,1,213,4,high,F,35,2343,Yes
F,Ship,2,3,235,3,low,M,57,2034,Yes
D,Ship,3,3,149,2,medium,M,18,1225,Yes
F,Ship,4,1,271,2,medium,F,8,2401,Yes
A,Ship,3,5,144,4,medium,M,5,1104,Yes
B,Ship,4,2,145,2,medium,M,21,1617,Yes
C,Ship,5,3,143,2,medium,M,59,1837,Yes
F,Ship,5,5,227,4,low,M,53,2624,Yes
D,Ship,2,1,213,3,low,M,29,2732,Yes
F,Ship,5,1,144,4,low,M,37,1658,Yes
A,Ship,3,3,218,3,low,M,3,2255,Yes
B,Ship,4,2,144,3,medium,M,59,1588,Yes
C,Ship,3,1,238,3,low,M,17,2624,Yes
F,Ship,4,5,216,3,high,M,26,2053,Yes
D,Ship,4,5,238,3,high,F,55,3257,Yes
F,Ship,4,1,141,3,medium,M,47,1250,Yes
A,Road,3,1,158,2,low,M,2,1284,Yes
B,Road,4,2,239,3,low,F,65,3679,Yes
C,Road,4,3,175,2,low,M,25,1816,Yes
F,Road,3,2,263,3,low,M,41,2817,Yes
D,Road,3,5,168,2,high,M,50,1616,Yes
F,Road,3,4,176,3,high,M,36,1779,Yes
A,Road,4,1,150,4,high,M,60,1024,Yes
B,Road,4,3,265,2,medium,F,31,2326,Yes
C,Road,2,5,263,3,low,F,5,2947,Yes
F,Road,5,1,145,3,low,M,20,1387,Yes
D,Road,4,2,183,3,low,F,33,2741,Yes
F,Road,3,3,205,3,medium,F,19,2167,Yes
A,Road,4,2,160,3,low,M,64,1714,Yes
B,Road,3,3,252,2,medium,F,48,2102,Yes
C,Road,5,5,222,3,low,M,10,2280,Yes
F,Road,3,3,203,2,low,M,25,3607,Yes
D,Road,4,5,220,3,medium,M,40,3516,Yes
F,Road,3,3,147,4,low,F,60,1722,Yes
A,Road,4,4,200,4,medium,M,16,2060,Yes
B,Road,4,5,224,4,medium,M,21,2026,Yes
C,Road,3,5,179,2,low,F,17,1364,Yes
F,Road,3,4,144,3,low,M,50,1865,Yes
D,Flight,5,2,247,3,low,M,17,3889,Yes
F,Flight,5,4,280,6,medium,F,51,3582,Yes
A,Flight,3,3,168,2,medium,F,1,1829,Yes
B,Flight,3,5,157,3,medium,F,4,1889,Yes
C,Flight,3,3,189,4,medium,F,51,2208,Yes
F,Flight,3,5,162,2,medium,M,7,1739,Yes
D,Flight,4,1,207,5,low,M,48,2399,Yes
F,Flight,5,1,237,2,low,F,10,3860,Yes
A,Flight,4,4,264,3,high,M,59,2020,Yes
B,Flight,5,4,149,3,low,M,51,1645,Yes
C,Flight,5,5,162,3,low,M,41,1462,Yes
F,Flight,2,1,205,4,medium,F,63,2156,Yes
D,Flight,2,1,158,3,medium,F,51,1540,Yes
F,Flight,2,2,248,2,low,M,46,3707,Yes
A,Flight,3,5,191,3,low,M,23,3750,Yes
B,Flight,4,3,146,4,medium,F,24,1844,Yes
C,Flight,3,3,135,3,low,M,56,1490,Yes
F,Flight,5,1,149,3,low,M,40,1062,Yes
D,Flight,4,4,220,2,medium,F,7,2551,Yes
F,Flight,5,3,98,5,medium,M,44,1269,Yes
A,Flight,3,4,97,4,low,M,32,1238,Yes
B,Flight,3,3,183,2,low,M,53,3932,Yes
C,Ship,3,3,162,3,medium,F,8,1869,Yes
F,Ship,5,1,114,4,low,F,47,1443,Yes
D,Ship,6,3,275,5,low,M,41,2491,Yes
F,Ship,3,2,203,2,medium,F,39,3845,Yes
A,Ship,5,5,205,2,high,M,65,3671,Yes
B,Ship,3,3,149,3,low,F,63,1946,Yes
C,Ship,2,2,112,4,medium,M,56,1138,Yes
F,Ship,3,1,207,3,medium,F,56,3482,Yes
D,Ship,4,1,261,4,low,F,58,3427,Yes
F,Ship,5,2,274,3,medium,M,6,3375,Yes
A,Ship,3,5,141,2,low,M,52,1692,Yes
B,Ship,3,3,166,4,medium,F,17,1498,Yes
C,Ship,5,2,141,3,high,F,34,1020,Yes
F,Ship,4,5,152,3,low,M,43,1709,Yes
D,Ship,4,2,250,3,low,F,53,2478,Yes
F,Ship,4,3,161,3,medium,F,28,1809,Yes
A,Ship,4,3,185,3,medium,F,10,2263,Yes
B,Ship,4,4,176,4,high,F,52,1096,Yes
C,Ship,3,4,148,3,low,M,56,1550,Yes
F,Ship,3,2,270,3,low,F,63,2751,Yes
D,Ship,3,3,242,3,low,F,51,3935,Yes
F,Ship,4,4,150,2,medium,M,3,1285,Yes
A,Ship,4,5,192,3,high,M,20,3872,Yes
B,Ship,4,5,116,3,medium,M,54,1314,Yes
C,Ship,3,3,192,3,medium,F,2,3995,Yes
F,Ship,5,5,255,4,medium,M,3,3440,Yes
D,Ship,4,1,161,7,medium,F,18,1294,Yes
F,Ship,4,5,157,3,low,M,20,1487,Yes
A,Ship,3,2,164,10,high,F,28,1940,Yes
B,Ship,3,5,162,7,medium,F,16,1052,Yes
C,Ship,3,3,146,2,low,M,50,1486,Yes
F,Ship,3,2,209,3,medium,M,54,3001,Yes
D,Ship,5,4,134,2,medium,F,55,1386,Yes
F,Ship,2,1,222,2,medium,M,5,3778,Yes
A,Ship,2,5,139,3,low,F,27,1233,Yes
B,Ship,2,4,134,3,low,F,42,1415,Yes
C,Ship,2,5,130,3,low,M,16,1092,Yes
F,Ship,2,5,133,3,low,F,62,1596,Yes
D,Ship,2,4,140,3,low,F,7,1411,Yes
F,Ship,2,2,158,3,low,M,28,1968,Yes
A,Ship,4,2,270,4,low,F,46,1736,Yes
B,Ship,2,5,140,3,low,F,30,1030,Yes
C,Ship,2,2,135,3,low,M,15,1339,Yes
F,Ship,2,3,136,3,low,F,19,1568,Yes
D,Ship,2,3,142,3,medium,F,38,7640,Yes
F,Ship,2,2,154,3,medium,M,38,7846,Yes
A,Ship,2,3,139,3,low,M,9,1471,Yes
B,Ship,2,3,160,3,low,F,43,1251,Yes
C,Ship,2,4,134,3,low,M,58,1067,Yes
F,Ship,5,3,161,5,high,M,48,1883,Yes
D,Ship,2,5,155,3,low,M,23,1602,Yes
F,Ship,2,3,145,3,medium,F,24,7588,Yes
A,Ship,2,2,157,3,low,M,1,1477,Yes
B,Ship,2,2,160,3,low,M,48,1691,Yes
C,Ship,2,4,152,3,low,M,55,1498,Yes
F,Ship,2,5,148,3,high,F,11,1502,Yes
D,Ship,2,1,127,3,low,F,15,1522,Yes
F,Ship,2,5,154,3,low,F,21,1113,Yes
A,Ship,2,5,127,3,low,M,44,1341,Yes
B,Ship,2,5,160,3,medium,F,31,7401,Yes
C,Ship,2,4,129,3,low,F,48,1219,Yes
F,Ship,2,5,158,3,low,F,40,1722,Yes
D,Ship,4,3,185,3,medium,M,3,3131,Yes
F,Ship,4,4,176,4,high,F,63,1293,Yes
A,Ship,3,4,148,3,low,M,37,1523,Yes
B,Ship,3,5,270,3,low,M,60,3885,Yes
C,Ship,3,4,242,3,low,M,29,2381,Yes
F,Ship,4,3,150,2,medium,M,31,1588,Yes
D,Ship,4,2,192,3,high,M,4,2061,Yes
F,Ship,4,5,116,3,medium,F,9,1314,Yes
A,Ship,3,4,192,3,medium,F,31,3331,Yes
B,Ship,5,4,255,4,medium,F,38,2771,Yes
C,Ship,4,3,161,7,medium,M,63,1496,Yes
F,Ship,4,2,157,3,low,F,48,1393,Yes
D,Ship,3,2,164,10,high,M,14,1375,Yes
F,Ship,3,3,162,7,medium,F,42,1278,Yes
A,Ship,3,1,146,2,low,F,54,1528,Yes
B,Ship,3,4,209,3,medium,F,60,2240,Yes
C,Ship,5,5,134,2,medium,M,53,1088,Yes
F,Ship,2,1,222,2,medium,M,58,3626,Yes
D,Ship,2,1,139,3,low,F,39,1582,Yes
F,Ship,2,2,134,3,low,M,38,1352,Yes
A,Ship,2,3,130,3,low,F,48,1801,Yes
B,Ship,2,2,133,3,low,M,5,1268,Yes
C,Ship,2,3,140,3,low,F,23,1372,Yes
F,Ship,2,3,158,3,low,M,10,1515,Yes
D,Ship,4,5,270,4,low,M,65,1818,Yes
F,Ship,2,4,140,3,low,F,33,1278,Yes
A,Ship,2,2,135,3,low,M,58,1734,Yes
B,Ship,2,4,136,3,low,M,43,1958,Yes
C,Ship,2,1,142,3,medium,F,8,6064,Yes
F,Ship,2,4,154,3,medium,F,48,7684,Yes
D,Ship,2,3,139,3,low,F,3,1788,Yes
F,Road,2,4,160,3,low,F,50,1030,Yes
A,Road,2,2,134,3,low,F,38,1530,Yes
B,Road,5,5,161,5,high,F,54,1511,Yes
C,Road,2,3,155,3,low,F,45,1639,Yes
F,Road,2,2,145,3,medium,F,5,6102,Yes
D,Road,2,1,157,3,low,M,58,1930,Yes
F,Road,2,5,160,3,low,F,19,1399,Yes
A,Road,2,2,152,3,low,F,61,1800,Yes
B,Road,2,2,148,3,high,F,35,1349,Yes
C,Road,2,2,127,3,low,M,13,1128,Yes
F,Road,2,2,129,3,medium,F,22,6614,Yes
D,Road,2,3,158,3,low,F,13,1245,Yes
F,Road,2,4,147,3,low,M,5,1920,Yes
A,Road,2,5,159,3,low,F,49,1621,Yes
B,Road,2,3,151,3,low,F,23,1930,Yes
C,Road,3,1,294,4,low,F,52,1089,Yes
F,Road,3,2,226,2,medium,M,45,1446,Yes
D,Road,5,3,271,5,high,M,9,1813,Yes
F,Road,7,2,203,5,medium,F,61,1856,Yes
A,Road,2,3,264,4,low,F,10,1648,Yes
B,Road,4,1,258,3,medium,M,36,2211,Yes
C,Road,3,5,241,3,low,F,21,3078,Yes
F,Flight,4,5,208,3,medium,M,23,2056,Yes
D,Flight,3,2,209,5,medium,F,12,3054,Yes
F,Flight,5,1,182,2,medium,F,23,2707,Yes
A,Flight,4,5,148,2,medium,F,43,1087,Yes
B,Flight,2,3,183,2,medium,F,52,3199,Yes
C,Flight,3,5,229,6,medium,M,22,2717,Yes
F,Flight,5,5,115,5,low,F,26,1692,Yes
D,Flight,4,2,136,3,low,F,65,1962,Yes
F,Flight,4,4,212,3,low,M,21,3307,Yes
A,Flight,4,3,171,3,low,F,24,1304,Yes
B,Flight,3,1,151,2,low,M,60,1925,Yes
C,Flight,3,1,205,3,medium,M,39,3062,Yes
F,Flight,5,4,147,3,medium,M,23,1132,Yes
D,Flight,3,3,155,3,low,F,29,1712,Yes
F,Flight,5,4,165,3,low,F,20,1150,Yes
A,Flight,5,5,230,3,low,F,32,3249,Yes
B,Flight,2,4,181,4,medium,M,13,2309,Yes
C,Flight,5,3,234,2,low,F,55,3308,Yes
F,Flight,4,4,149,3,low,M,34,1977,Yes
D,Flight,5,5,156,2,low,M,44,1561,Yes
F,Flight,4,2,172,3,medium,F,59,1858,Yes
A,Flight,4,4,270,3,low,M,12,3279,Yes
B,Ship,4,1,206,3,medium,M,23,3807,Yes
C,Ship,4,3,211,4,medium,M,40,3106,Yes
F,Ship,3,2,136,4,low,M,62,1090,Yes
D,Ship,5,1,186,2,high,F,52,3981,Yes
F,Ship,3,1,202,2,medium,M,62,3398,Yes
A,Ship,4,2,183,3,medium,F,12,3646,Yes
B,Ship,4,4,232,2,low,M,36,2861,Yes
C,Ship,4,2,147,4,medium,M,52,1129,Yes
F,Ship,4,3,136,3,medium,M,20,1531,Yes
D,Ship,5,3,127,3,low,F,43,1446,Yes
F,Ship,4,5,202,2,medium,M,35,3695,Yes
A,Ship,3,4,241,2,low,M,57,3671,Yes
B,Ship,4,3,222,2,medium,M,55,3833,Yes
C,Ship,3,2,183,4,medium,F,12,2777,Yes
F,Ship,4,4,249,3,medium,F,36,3769,Yes
D,Ship,3,1,243,4,high,M,59,3838,Yes
F,Ship,3,3,163,3,medium,M,9,1257,Yes
A,Ship,4,2,165,2,high,M,11,1596,Yes
B,Ship,5,5,266,3,medium,F,53,3089,Yes
C,Ship,3,4,193,2,medium,M,48,3909,Yes
F,Ship,3,2,154,3,low,F,56,1136,Yes
D,Ship,3,3,140,3,medium,M,51,1046,Yes
F,Ship,4,3,272,3,medium,M,38,3705,Yes
A,Ship,4,2,143,6,medium,M,20,1654,Yes
B,Ship,4,2,138,3,low,F,30,1805,Yes
C,Ship,4,2,238,2,high,M,17,3358,Yes
F,Ship,4,5,273,4,medium,F,31,2373,Yes
D,Ship,3,1,200,2,medium,M,27,2551,Yes
F,Ship,4,5,213,4,low,M,39,2381,Yes
A,Ship,3,4,224,2,medium,F,15,2701,Yes
B,Ship,4,5,141,3,medium,M,12,1672,Yes
C,Ship,3,3,150,3,low,M,46,1040,Yes
F,Ship,3,1,192,2,low,M,33,2818,Yes
D,Ship,5,1,279,4,medium,F,24,3440,Yes
F,Ship,3,4,246,3,medium,M,30,3748,Yes
A,Ship,3,4,173,3,medium,M,52,1587,Yes
B,Ship,4,4,233,4,medium,F,59,2358,Yes
C,Ship,5,1,274,2,medium,M,24,2423,Yes
F,Ship,4,5,243,4,medium,F,41,2782,Yes
D,Ship,3,4,197,3,medium,F,56,3427,Yes
F,Ship,4,3,140,3,high,F,46,1072,Yes
A,Ship,3,5,215,3,medium,F,22,2585,Yes
B,Ship,3,4,211,3,medium,M,8,3710,Yes
C,Ship,4,2,220,5,low,M,33,2854,Yes
F,Ship,3,1,194,4,low,M,64,2026,Yes
D,Ship,5,1,262,3,medium,F,58,3599,Yes
F,Ship,4,4,201,2,low,F,1,3147,Yes
A,Ship,3,5,261,3,medium,M,15,2989,Yes
B,Ship,4,4,191,6,low,F,60,3425,Yes
C,Ship,2,5,255,5,medium,F,53,3775,Yes
F,Ship,3,2,169,2,high,M,30,1698,Yes
D,Ship,4,5,162,2,medium,M,64,1918,Yes
F,Ship,2,5,248,6,low,F,62,2750,Yes
A,Ship,5,3,197,4,low,F,2,2222,Yes
B,Ship,5,1,264,3,low,M,6,2882,Yes
C,Ship,5,5,260,2,medium,F,55,2791,Yes
F,Ship,5,3,186,2,medium,F,58,2259,Yes
D,Ship,4,5,233,4,low,F,44,2551,Yes
F,Ship,5,1,161,3,low,M,47,1954,Yes
A,Ship,4,5,188,3,low,F,13,2409,Yes
B,Ship,5,5,171,2,medium,F,22,1695,Yes
C,Ship,2,2,267,3,medium,M,15,2481,Yes
F,Ship,4,3,255,2,high,M,47,2956,Yes
D,Ship,3,2,132,3,low,F,56,1303,Yes
F,Ship,5,1,266,3,low,F,31,3157,Yes
A,Ship,3,4,198,2,low,M,25,2774,Yes
B,Ship,2,3,247,2,medium,F,62,3127,Yes
C,Ship,3,1,140,3,medium,F,65,1291,Yes
F,Ship,4,3,131,5,low,M,6,1659,Yes
D,Ship,5,2,246,3,medium,M,49,3236,Yes
F,Ship,3,2,159,3,medium,F,4,1681,Yes
A,Ship,3,5,203,2,medium,M,61,3642,Yes
B,Ship,4,3,187,4,high,F,29,3141,Yes
C,Ship,6,2,146,3,low,F,62,1936,Yes
F,Ship,3,2,234,3,medium,M,39,2099,Yes
D,Ship,3,4,122,3,high,F,15,1354,Yes
F,Ship,3,3,135,3,low,M,8,1074,Yes
A,Ship,3,5,103,3,low,M,3,1403,Yes
B,Ship,3,5,257,3,medium,F,19,2173,Yes
C,Ship,4,3,169,2,low,M,2,1399,Yes
F,Ship,4,5,159,3,medium,M,18,1808,Yes
D,Ship,4,5,188,3,low,M,38,3031,Yes
F,Ship,5,1,136,3,medium,M,19,1420,Yes
A,Ship,5,1,227,3,low,F,19,3007,Yes
B,Ship,3,5,262,2,low,F,53,3275,Yes
C,Ship,2,3,157,2,low,M,45,1965,Yes
F,Ship,5,3,238,2,medium,F,21,2053,Yes
D,Ship,3,5,152,3,low,M,43,1282,Yes
F,Ship,3,2,201,3,medium,M,5,2040,Yes
A,Ship,3,4,148,2,low,M,54,1778,Yes
B,Ship,5,2,199,4,low,F,59,2885,Yes
C,Ship,5,4,215,2,low,F,45,3501,Yes
F,Ship,4,5,175,2,low,M,40,1270,Yes
D,Road,4,3,236,2,high,M,23,3123,Yes
F,Road,2,5,182,2,medium,F,57,2896,Yes
A,Road,3,1,251,3,medium,M,42,3698,Yes
B,Road,5,2,173,3,low,F,7,1855,Yes
C,Road,4,3,225,3,low,F,62,2587,Yes
F,Road,4,2,167,4,low,F,20,1705,Yes
D,Road,4,1,259,3,low,M,20,2154,Yes
F,Road,4,1,178,3,medium,F,63,1573,Yes
A,Road,4,4,178,4,medium,F,13,1614,Yes
B,Road,5,4,169,2,low,F,20,1765,Yes
C,Road,3,2,272,2,low,M,33,2321,Yes
F,Road,4,4,183,3,low,M,29,3251,Yes
D,Road,3,4,205,3,low,F,10,2728,Yes
F,Road,2,1,123,4,low,F,53,1036,Yes
A,Road,4,3,152,3,low,M,58,1453,Yes
B,Road,3,1,220,2,high,F,40,3773,Yes
C,Road,4,3,134,3,low,M,51,1965,Yes
F,Road,3,2,217,2,high,M,19,2992,Yes
D,Road,3,2,265,3,low,F,49,2791,Yes
F,Road,4,2,249,5,medium,M,36,3836,Yes
A,Road,5,3,213,4,medium,F,50,2003,Yes
B,Road,2,2,124,3,low,F,56,1494,Yes
C,Flight,4,1,180,2,low,M,23,1193,Yes
F,Flight,4,5,193,3,medium,M,65,2267,Yes
D,Flight,3,2,192,3,medium,M,43,3339,Yes
F,Flight,2,5,166,3,medium,M,3,1832,Yes
A,Flight,3,2,264,3,medium,M,5,3861,Yes
B,Flight,3,4,200,2,medium,M,14,3528,Yes
C,Flight,4,3,142,4,medium,M,12,1396,Yes
F,Flight,4,1,215,2,low,M,32,3066,Yes
D,Flight,2,1,218,2,low,M,15,2745,Yes
F,Flight,3,2,115,3,low,F,27,1814,Yes
A,Flight,4,3,159,3,low,M,33,1330,Yes
B,Flight,5,5,133,3,low,M,63,1218,Yes
C,Flight,5,2,178,3,low,M,48,1517,Yes
F,Flight,4,2,134,2,low,F,43,1714,Yes
D,Flight,3,1,184,5,medium,F,58,2544,Yes
F,Flight,4,2,251,2,medium,M,24,2405,Yes
A,Flight,3,2,141,3,low,M,7,1933,Yes
B,Flight,4,4,229,2,medium,M,45,3776,Yes
C,Flight,4,1,203,4,low,M,34,3813,Yes
F,Flight,4,3,158,3,medium,F,57,1911,Yes
D,Flight,3,4,167,3,medium,M,52,1755,Yes
F,Flight,5,4,197,4,low,F,40,3303,Yes
A,Ship,2,2,140,3,low,F,19,1806,Yes
B,Ship,5,1,205,2,medium,M,27,3569,Yes
C,Ship,5,5,208,3,low,F,45,2018,Yes
F,Ship,4,2,96,3,low,M,22,1294,Yes
D,Ship,6,4,205,3,low,F,44,2064,Yes
F,Ship,4,2,215,3,medium,F,48,2953,Yes
A,Ship,4,1,216,3,low,F,43,2643,Yes
B,Ship,3,1,112,2,high,M,22,1846,Yes
C,Ship,5,4,222,3,low,F,20,3632,Yes
F,Ship,5,2,186,3,medium,F,15,2153,Yes
D,Ship,3,5,241,3,medium,M,48,2841,Yes
F,Ship,3,3,172,3,low,F,58,1269,Yes
A,Ship,3,5,251,2,high,M,23,2426,Yes
B,Ship,5,3,190,3,high,M,45,2628,Yes
C,Ship,4,3,186,2,medium,F,48,2805,Yes
F,Ship,4,4,207,2,medium,M,35,2596,Yes
D,Ship,3,3,135,3,low,F,19,1366,Yes
F,Ship,4,4,189,2,medium,F,18,2955,Yes
A,Ship,4,4,173,5,medium,F,51,1691,Yes
B,Ship,3,4,194,3,medium,M,3,2169,Yes
C,Ship,3,1,183,3,low,M,19,3018,Yes
F,Ship,4,3,140,2,low,F,22,1248,Yes
D,Ship,4,4,244,3,medium,F,55,2782,Yes
F,Ship,2,3,189,4,low,M,34,3355,Yes
A,Ship,3,2,157,2,medium,M,53,1390,Yes
B,Ship,4,1,275,10,medium,F,23,2726,Yes
C,Ship,4,5,133,3,low,F,53,1467,Yes
F,Ship,4,1,149,3,medium,M,54,1178,Yes
D,Ship,3,3,254,2,high,M,17,3153,Yes
F,Ship,3,4,145,8,low,F,15,1429,Yes
A,Ship,3,2,179,5,low,F,52,1991,Yes
B,Ship,5,2,168,3,low,M,26,1526,Yes
C,Ship,4,1,202,3,medium,F,18,3940,Yes
F,Ship,3,4,220,7,low,M,43,2620,Yes
D,Ship,3,4,244,8,low,M,1,2703,Yes
F,Ship,4,2,186,7,medium,F,40,3111,Yes
A,Ship,5,2,263,8,medium,M,24,3139,Yes
B,Ship,3,2,294,4,low,F,15,1318,Yes
C,Ship,3,5,226,2,medium,F,2,1043,Yes
F,Ship,4,4,173,5,medium,F,2,1175,Yes
D,Ship,3,5,194,3,medium,F,10,2277,Yes
F,Ship,3,5,183,3,low,F,2,3459,Yes
A,Ship,4,1,140,2,low,M,61,1770,Yes
B,Ship,4,3,244,3,medium,M,8,3318,Yes
C,Ship,2,2,189,4,low,M,9,3413,Yes
F,Ship,3,1,157,2,medium,F,39,1525,Yes
D,Ship,4,3,275,10,medium,M,10,2093,Yes
F,Ship,4,5,133,3,low,M,59,1092,Yes
A,Ship,4,2,149,3,medium,M,26,1863,Yes
B,Ship,3,4,254,2,high,F,41,3973,Yes
C,Ship,3,4,145,8,low,F,24,1594,Yes
F,Ship,3,5,179,5,low,M,56,1113,Yes
D,Ship,5,4,168,3,low,F,13,1317,Yes
F,Ship,4,5,202,3,medium,F,46,3181,Yes
A,Ship,3,3,220,7,low,M,25,2141,Yes
B,Ship,3,2,244,8,low,F,50,3562,Yes
C,Ship,4,3,186,7,medium,F,30,2062,Yes
F,Ship,5,5,263,8,medium,F,9,2236,Yes
D,Ship,3,1,294,4,low,F,25,1498,Yes
F,Ship,4,1,139,3,low,F,56,1811,Yes
A,Ship,7,5,192,3,low,M,46,1550,Yes
B,Ship,3,3,235,3,low,M,5,3065,Yes
C,Ship,2,1,176,3,low,F,15,1996,Yes
F,Ship,5,4,224,3,low,F,34,2627,Yes
D,Ship,3,4,128,3,medium,F,51,1524,Yes
F,Ship,5,4,226,5,low,M,47,2240,Yes
A,Ship,5,1,160,5,medium,F,16,1526,Yes
B,Ship,3,1,197,5,low,M,45,2224,Yes
C,Ship,4,2,216,3,low,F,12,2273,Yes
F,Ship,4,4,199,2,low,M,9,3075,Yes
D,Ship,5,5,271,2,low,M,27,3957,Yes
F,Ship,5,1,201,3,low,F,47,2657,Yes
A,Ship,3,4,212,2,low,M,33,2021,Yes
B,Ship,3,2,177,3,low,M,10,1641,Yes
C,Ship,3,4,191,4,medium,F,43,2903,Yes
F,Ship,3,2,174,3,low,M,30,1986,Yes
D,Ship,5,3,162,2,low,F,14,1045,Yes
F,Ship,3,1,219,2,low,F,39,2696,Yes
